published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-04-05,2011-04-05 11:00:00,458.0,458.0,453.5,455.75,-0.49,194.6,87375.4,-1
2011-04-05,2011-04-05 12:00:00,455.75,455.75,453.5,453.5,-0.49,194.6,87375.4,-1
2011-04-05,2011-04-05 13:00:00,453.5,453.5,451.25,451.25,-0.5,194.6,87375.4,-1
2011-04-05,2011-04-05 14:00:00,451.25,451.25,449.0,449.0,-0.5,194.6,87375.4,-1
2011-04-05,2011-04-05 15:00:00,449.0,449.0,449.0,449.0,0.0,194.6,87375.4,0
2011-04-25,2011-04-25 11:00:00,449.0,449.0,445.0,447.0,-0.45,27.4,12083.4,-1
2011-04-25,2011-04-25 12:00:00,447.0,447.0,445.0,445.0,-0.45,27.4,12083.4,-1
2011-04-25,2011-04-25 13:00:00,445.0,445.0,443.0,443.0,-0.45,27.4,12083.4,-1
2011-04-25,2011-04-25 14:00:00,443.0,443.0,441.0,441.0,-0.45,27.4,12083.4,-1
2011-04-25,2011-04-25 15:00:00,441.0,441.0,441.0,441.0,0.0,27.4,12083.4,0
2011-05-10,2011-05-10 11:00:00,441.0,441.0,433.0,437.0,-0.91,14.2,6068.6,-1
2011-05-10,2011-05-10 12:00:00,437.0,437.0,433.0,433.0,-0.92,14.2,6068.6,-1
2011-05-10,2011-05-10 13:00:00,433.0,433.0,429.0,429.0,-0.92,14.2,6068.6,-1
2011-05-10,2011-05-10 14:00:00,429.0,429.0,425.0,425.0,-0.93,14.2,6068.6,-1
2011-05-10,2011-05-10 15:00:00,425.0,433.0,425.0,425.0,0.0,14.2,6068.6,0
2011-05-18,2011-05-18 11:00:00,425.0,425.0,421.0,423.0,-0.47,2.0,834.0,-1
2011-05-18,2011-05-18 12:00:00,423.0,423.0,421.0,421.0,-0.47,2.0,834.0,-1
2011-05-18,2011-05-18 13:00:00,421.0,421.0,419.0,419.0,-0.48,2.0,834.0,-1
2011-05-18,2011-05-18 14:00:00,419.0,419.0,417.0,417.0,-0.48,2.0,834.0,-1
2011-05-18,2011-05-18 15:00:00,417.0,417.0,417.0,417.0,0.0,2.0,834.0,0
