published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-11-15,2022-11-15 11:00:00,350.5,357.55,333.0,343.12,-2.11,11918.0,3894144.4,-1
2022-11-15,2022-11-15 12:00:00,343.12,343.12,335.75,335.75,-2.15,11918.0,3894144.4,-1
2022-11-15,2022-11-15 13:00:00,335.75,335.75,328.38,328.38,-2.2,11918.0,3894144.4,-1
2022-11-15,2022-11-15 14:00:00,328.38,328.38,321.0,321.0,-2.25,11918.0,3894144.4,-1
2022-11-15,2022-11-15 15:00:00,321.0,364.6,315.5,321.0,0.0,11918.0,3894144.4,0
2022-11-16,2022-11-16 11:00:00,327.4,340.25,327.4,333.82,1.96,4730.0,1662069.8,1
2022-11-16,2022-11-16 12:00:00,333.82,340.25,333.82,340.25,1.93,4730.0,1662069.8,1
2022-11-16,2022-11-16 13:00:00,340.25,346.68,340.25,346.68,1.89,4730.0,1662069.8,1
2022-11-16,2022-11-16 14:00:00,346.68,353.1,346.68,353.1,1.85,4730.0,1662069.8,1
2022-11-16,2022-11-16 15:00:00,353.1,353.1,327.4,353.1,0.0,4730.0,1662069.8,0
2022-11-17,2022-11-17 11:00:00,360.1,374.25,360.1,367.18,1.97,630.0,244332.0,1
2022-11-17,2022-11-17 12:00:00,367.18,374.25,367.18,374.25,1.93,630.0,244332.0,1
2022-11-17,2022-11-17 13:00:00,374.25,381.32,374.25,381.32,1.89,630.0,244332.0,1
2022-11-17,2022-11-17 14:00:00,381.32,388.4,381.32,388.4,1.86,630.0,244332.0,1
2022-11-17,2022-11-17 15:00:00,388.4,388.4,360.1,388.4,0.0,630.0,244332.0,0
2022-11-22,2022-11-22 11:00:00,396.1,396.1,375.6,389.83,-1.58,9925.8,3705278.46,-1
2022-11-22,2022-11-22 12:00:00,389.83,389.83,383.55,383.55,-1.61,9925.8,3705278.46,-1
2022-11-22,2022-11-22 13:00:00,383.55,383.55,377.27,377.27,-1.64,9925.8,3705278.46,-1
2022-11-22,2022-11-22 14:00:00,377.27,377.27,371.0,371.0,-1.66,9925.8,3705278.46,-1
2022-11-22,2022-11-22 15:00:00,371.0,396.1,355.1,371.0,0.0,9925.8,3705278.46,0
2022-11-23,2022-11-23 11:00:00,365.0,368.0,365.0,366.0,0.27,3451.6,1268451.12,1
2022-11-23,2022-11-23 12:00:00,366.0,367.0,366.0,367.0,0.27,3451.6,1268451.12,1
2022-11-23,2022-11-23 13:00:00,367.0,368.0,367.0,368.0,0.27,3451.6,1268451.12,1
2022-11-23,2022-11-23 14:00:00,368.0,369.0,368.0,369.0,0.27,3451.6,1268451.12,1
2022-11-23,2022-11-23 15:00:00,369.0,371.0,365.0,369.0,0.0,3451.6,1268451.12,0
2022-11-24,2022-11-24 11:00:00,364.0,367.0,360.55,365.25,0.34,3528.0,1285204.0,1
2022-11-24,2022-11-24 12:00:00,365.25,366.5,365.25,366.5,0.34,3528.0,1285204.0,1
2022-11-24,2022-11-24 13:00:00,366.5,367.75,366.5,367.75,0.34,3528.0,1285204.0,1
2022-11-24,2022-11-24 14:00:00,367.75,369.0,367.75,369.0,0.34,3528.0,1285204.0,1
2022-11-24,2022-11-24 15:00:00,369.0,370.0,357.1,369.0,0.0,3528.0,1285204.0,0
2022-11-27,2022-11-27 11:00:00,369.0,370.5,365.55,368.93,-0.02,3108.4,1136898.14,-1
2022-11-27,2022-11-27 12:00:00,368.93,368.93,368.85,368.85,-0.02,3108.4,1136898.14,-1
2022-11-27,2022-11-27 13:00:00,368.85,368.85,368.77,368.77,-0.02,3108.4,1136898.14,-1
2022-11-27,2022-11-27 14:00:00,368.77,368.77,368.7,368.7,-0.02,3108.4,1136898.14,-1
2022-11-27,2022-11-27 15:00:00,368.7,372.0,362.1,368.7,0.0,3108.4,1136898.14,0
2022-11-28,2022-11-28 11:00:00,365.0,370.7,365.0,365.0,0.0,1842.6,681017.02,0
2022-11-28,2022-11-28 12:00:00,365.0,365.0,365.0,365.0,0.0,1842.6,681017.02,0
2022-11-28,2022-11-28 13:00:00,365.0,365.0,365.0,365.0,0.0,1842.6,681017.02,0
2022-11-28,2022-11-28 14:00:00,365.0,365.0,365.0,365.0,0.0,1842.6,681017.02,0
2022-11-28,2022-11-28 15:00:00,365.0,376.4,365.0,365.0,0.0,1842.6,681017.02,0
2022-11-29,2022-11-29 11:00:00,362.6,364.7,362.6,363.2,0.17,1514.0,551502.8,1
2022-11-29,2022-11-29 12:00:00,363.2,363.8,363.2,363.8,0.17,1514.0,551502.8,1
2022-11-29,2022-11-29 13:00:00,363.8,364.4,363.8,364.4,0.16,1514.0,551502.8,1
2022-11-29,2022-11-29 14:00:00,364.4,365.0,364.4,365.0,0.16,1514.0,551502.8,1
2022-11-29,2022-11-29 15:00:00,365.0,366.8,362.6,365.0,0.0,1514.0,551502.8,0
2022-11-30,2022-11-30 11:00:00,362.6,365.8,360.3,361.95,-0.18,1118.0,405274.0,-1
2022-11-30,2022-11-30 12:00:00,361.95,361.95,361.3,361.3,-0.18,1118.0,405274.0,-1
2022-11-30,2022-11-30 13:00:00,361.3,361.3,360.65,360.65,-0.18,1118.0,405274.0,-1
2022-11-30,2022-11-30 14:00:00,360.65,360.65,360.0,360.0,-0.18,1118.0,405274.0,-1
2022-11-30,2022-11-30 15:00:00,360.0,369.0,358.0,360.0,0.0,1118.0,405274.0,0
2022-12-01,2022-12-01 11:00:00,360.0,360.15,357.0,360.07,0.02,1271.0,454158.6,1
2022-12-01,2022-12-01 12:00:00,360.07,360.15,360.07,360.15,0.02,1271.0,454158.6,1
2022-12-01,2022-12-01 13:00:00,360.15,360.23,360.15,360.23,0.02,1271.0,454158.6,1
2022-12-01,2022-12-01 14:00:00,360.23,360.3,360.23,360.3,0.02,1271.0,454158.6,1
2022-12-01,2022-12-01 15:00:00,360.3,360.3,354.0,360.3,0.0,1271.0,454158.6,0
2022-12-04,2022-12-04 11:00:00,361.0,371.5,361.0,364.07,0.85,2867.0,1076036.6,1
2022-12-04,2022-12-04 12:00:00,364.07,367.15,364.07,367.15,0.85,2867.0,1076036.6,1
2022-12-04,2022-12-04 13:00:00,367.15,370.23,367.15,370.23,0.84,2867.0,1076036.6,1
2022-12-04,2022-12-04 14:00:00,370.23,373.3,370.23,373.3,0.83,2867.0,1076036.6,1
2022-12-04,2022-12-04 15:00:00,373.3,382.0,361.0,373.3,0.0,2867.0,1076036.6,0
2022-12-05,2022-12-05 11:00:00,366.0,374.0,366.0,367.02,0.28,4062.2,1504928.04,1
2022-12-05,2022-12-05 12:00:00,367.02,368.05,367.02,368.05,0.28,4062.2,1504928.04,1
2022-12-05,2022-12-05 13:00:00,368.05,369.08,368.05,369.08,0.28,4062.2,1504928.04,1
2022-12-05,2022-12-05 14:00:00,369.08,370.1,369.08,370.1,0.28,4062.2,1504928.04,1
2022-12-05,2022-12-05 15:00:00,370.1,382.0,366.0,370.1,0.0,4062.2,1504928.04,0
2022-12-06,2022-12-06 11:00:00,364.0,368.0,362.65,364.25,0.07,1599.0,584737.8,1
2022-12-06,2022-12-06 12:00:00,364.25,364.5,364.25,364.5,0.07,1599.0,584737.8,1
2022-12-06,2022-12-06 13:00:00,364.5,364.75,364.5,364.75,0.07,1599.0,584737.8,1
2022-12-06,2022-12-06 14:00:00,364.75,365.0,364.75,365.0,0.07,1599.0,584737.8,1
2022-12-06,2022-12-06 15:00:00,365.0,372.0,361.3,365.0,0.0,1599.0,584737.8,0
2022-12-07,2022-12-07 11:00:00,360.1,366.2,359.55,361.33,0.34,2460.6,893787.8,1
2022-12-07,2022-12-07 12:00:00,361.33,362.55,361.33,362.55,0.34,2460.6,893787.8,1
2022-12-07,2022-12-07 13:00:00,362.55,363.77,362.55,363.77,0.34,2460.6,893787.8,1
2022-12-07,2022-12-07 14:00:00,363.77,365.0,363.77,365.0,0.34,2460.6,893787.8,1
2022-12-07,2022-12-07 15:00:00,365.0,372.3,359.0,365.0,0.0,2460.6,893787.8,0
2022-12-11,2022-12-11 11:00:00,359.1,365.0,358.55,360.33,0.34,3491.4,1269670.64,1
2022-12-11,2022-12-11 12:00:00,360.33,361.55,360.33,361.55,0.34,3491.4,1269670.64,1
2022-12-11,2022-12-11 13:00:00,361.55,362.77,361.55,362.77,0.34,3491.4,1269670.64,1
2022-12-11,2022-12-11 14:00:00,362.77,364.0,362.77,364.0,0.34,3491.4,1269670.64,1
2022-12-11,2022-12-11 15:00:00,364.0,370.9,358.0,364.0,0.0,3491.4,1269670.64,0
2022-12-12,2022-12-12 11:00:00,357.0,365.0,357.0,361.0,1.12,2438.0,894245.74,1
2022-12-12,2022-12-12 12:00:00,361.0,365.0,361.0,365.0,1.11,2438.0,894245.74,1
2022-12-12,2022-12-12 13:00:00,365.0,369.0,365.0,369.0,1.1,2438.0,894245.74,1
2022-12-12,2022-12-12 14:00:00,369.0,373.0,369.0,373.0,1.08,2438.0,894245.74,1
2022-12-12,2022-12-12 15:00:00,373.0,373.0,357.0,373.0,0.0,2438.0,894245.74,0
2022-12-13,2022-12-13 11:00:00,370.0,374.95,370.0,372.0,0.54,2496.0,932467.8,1
2022-12-13,2022-12-13 12:00:00,372.0,374.0,372.0,374.0,0.54,2496.0,932467.8,1
2022-12-13,2022-12-13 13:00:00,374.0,376.0,374.0,376.0,0.53,2496.0,932467.8,1
2022-12-13,2022-12-13 14:00:00,376.0,378.0,376.0,378.0,0.53,2496.0,932467.8,1
2022-12-13,2022-12-13 15:00:00,378.0,379.9,370.0,378.0,0.0,2496.0,932467.8,0
2022-12-14,2022-12-14 11:00:00,370.5,375.25,370.5,372.62,0.57,3392.8,1278550.2,1
2022-12-14,2022-12-14 12:00:00,372.62,374.75,372.62,374.75,0.57,3392.8,1278550.2,1
2022-12-14,2022-12-14 13:00:00,374.75,376.88,374.75,376.88,0.57,3392.8,1278550.2,1
2022-12-14,2022-12-14 14:00:00,376.88,379.0,376.88,379.0,0.56,3392.8,1278550.2,1
2022-12-14,2022-12-14 15:00:00,379.0,380.0,370.5,379.0,0.0,3392.8,1278550.2,0
2022-12-15,2022-12-15 11:00:00,375.0,378.5,374.2,374.82,-0.05,1342.2,504018.48,-1
2022-12-15,2022-12-15 12:00:00,374.82,374.82,374.65,374.65,-0.05,1342.2,504018.48,-1
2022-12-15,2022-12-15 13:00:00,374.65,374.65,374.48,374.48,-0.05,1342.2,504018.48,-1
2022-12-15,2022-12-15 14:00:00,374.48,374.48,374.3,374.3,-0.05,1342.2,504018.48,-1
2022-12-15,2022-12-15 15:00:00,374.3,382.0,373.4,374.3,0.0,1342.2,504018.48,0
2022-12-18,2022-12-18 11:00:00,367.0,368.6,363.4,367.75,0.2,1340.0,492448.2,1
2022-12-18,2022-12-18 12:00:00,367.75,368.5,367.75,368.5,0.2,1340.0,492448.2,1
2022-12-18,2022-12-18 13:00:00,368.5,369.25,368.5,369.25,0.2,1340.0,492448.2,1
2022-12-18,2022-12-18 14:00:00,369.25,370.0,369.25,370.0,0.2,1340.0,492448.2,1
2022-12-18,2022-12-18 15:00:00,370.0,370.2,359.8,370.0,0.0,1340.0,492448.2,0
2022-12-19,2022-12-19 11:00:00,364.0,367.0,362.05,365.5,0.41,1183.2,430912.8,1
