published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-04-10,2026-04-10 11:00:00,284.3,298.5,284.3,291.4,2.5,28.0,8529.4,1
2026-04-10,2026-04-10 12:00:00,291.4,298.5,291.4,298.5,2.44,28.0,8529.4,1
2026-04-10,2026-04-10 13:00:00,298.5,305.6,298.5,305.6,2.38,28.0,8529.4,1
2026-04-10,2026-04-10 14:00:00,305.6,312.7,305.6,312.7,2.32,28.0,8529.4,1
2026-04-10,2026-04-10 15:00:00,312.7,312.7,284.3,312.7,0.0,28.0,8529.4,0
2026-04-13,2026-04-13 11:00:00,312.1,328.0,312.1,320.05,2.55,46.0,15500.4,1
2026-04-13,2026-04-13 12:00:00,320.05,328.0,320.05,328.0,2.48,46.0,15500.4,1
2026-04-13,2026-04-13 13:00:00,328.0,335.95,328.0,335.95,2.42,46.0,15500.4,1
2026-04-13,2026-04-13 14:00:00,335.95,343.9,335.95,343.9,2.37,46.0,15500.4,1
2026-04-13,2026-04-13 15:00:00,343.9,343.9,312.1,343.9,0.0,46.0,15500.4,0
2026-04-15,2026-04-15 11:00:00,340.6,359.4,340.6,350.0,2.76,56.0,20936.6,1
2026-04-15,2026-04-15 12:00:00,350.0,359.4,350.0,359.4,2.69,56.0,20936.6,1
2026-04-15,2026-04-15 13:00:00,359.4,368.8,359.4,368.8,2.62,56.0,20936.6,1
2026-04-15,2026-04-15 14:00:00,368.8,378.2,368.8,378.2,2.55,56.0,20936.6,1
2026-04-15,2026-04-15 15:00:00,378.2,378.2,340.6,378.2,0.0,56.0,20936.6,0
2026-04-16,2026-04-16 11:00:00,372.5,394.25,372.5,383.38,2.92,40.0,16345.8,1
2026-04-16,2026-04-16 12:00:00,383.38,394.25,383.38,394.25,2.84,40.0,16345.8,1
2026-04-16,2026-04-16 13:00:00,394.25,405.12,394.25,405.12,2.76,40.0,16345.8,1
2026-04-16,2026-04-16 14:00:00,405.12,416.0,405.12,416.0,2.69,40.0,16345.8,1
2026-04-16,2026-04-16 15:00:00,416.0,416.0,372.5,416.0,0.0,40.0,16345.8,0
2026-04-17,2026-04-17 11:00:00,424.3,440.95,424.3,432.62,1.96,44.0,19570.8,1
2026-04-17,2026-04-17 12:00:00,432.62,440.95,432.62,440.95,1.93,44.0,19570.8,1
2026-04-17,2026-04-17 13:00:00,440.95,449.28,440.95,449.28,1.89,44.0,19570.8,1
2026-04-17,2026-04-17 14:00:00,449.28,457.6,449.28,457.6,1.85,44.0,19570.8,1
2026-04-17,2026-04-17 15:00:00,457.6,457.6,424.3,457.6,0.0,44.0,19570.8,0
2026-04-20,2026-04-20 11:00:00,471.3,498.75,471.3,485.03,2.91,76.0,39724.4,1
2026-04-20,2026-04-20 12:00:00,485.03,498.75,485.03,498.75,2.83,76.0,39724.4,1
2026-04-20,2026-04-20 13:00:00,498.75,512.48,498.75,512.48,2.75,76.0,39724.4,1
2026-04-20,2026-04-20 14:00:00,512.48,526.2,512.48,526.2,2.68,76.0,39724.4,1
2026-04-20,2026-04-20 15:00:00,526.2,526.2,471.3,526.2,0.0,76.0,39724.4,0
2026-04-21,2026-04-21 11:00:00,528.7,566.9,528.7,547.8,3.61,116.0,69448.0,1
2026-04-21,2026-04-21 12:00:00,547.8,566.9,547.8,566.9,3.49,116.0,69448.0,1
2026-04-21,2026-04-21 13:00:00,566.9,586.0,566.9,586.0,3.37,116.0,69448.0,1
2026-04-21,2026-04-21 14:00:00,586.0,605.1,586.0,605.1,3.26,116.0,69448.0,1
2026-04-21,2026-04-21 15:00:00,605.1,605.1,528.7,605.1,0.0,116.0,69448.0,0
2026-04-22,2026-04-22 11:00:00,623.2,659.5,623.2,641.35,2.91,156.0,108192.0,1
2026-04-22,2026-04-22 12:00:00,641.35,659.5,641.35,659.5,2.83,156.0,108192.0,1
2026-04-22,2026-04-22 13:00:00,659.5,677.65,659.5,677.65,2.75,156.0,108192.0,1
2026-04-22,2026-04-22 14:00:00,677.65,695.8,677.65,695.8,2.68,156.0,108192.0,1
2026-04-22,2026-04-22 15:00:00,695.8,695.8,623.2,695.8,0.0,156.0,108192.0,0
2026-04-23,2026-04-23 11:00:00,730.5,765.3,730.5,747.9,2.38,328.0,261865.4,1
2026-04-23,2026-04-23 12:00:00,747.9,765.3,747.9,765.3,2.33,328.0,261865.4,1
2026-04-23,2026-04-23 13:00:00,765.3,782.7,765.3,782.7,2.27,328.0,261865.4,1
2026-04-23,2026-04-23 14:00:00,782.7,800.1,782.7,800.1,2.22,328.0,261865.4,1
2026-04-23,2026-04-23 15:00:00,800.1,800.1,730.5,800.1,0.0,328.0,261865.4,0
2026-04-24,2026-04-24 11:00:00,840.1,880.1,840.1,860.1,2.38,360.0,330584.2,1
2026-04-24,2026-04-24 12:00:00,860.1,880.1,860.1,880.1,2.33,360.0,330584.2,1
2026-04-24,2026-04-24 13:00:00,880.1,900.1,880.1,900.1,2.27,360.0,330584.2,1
2026-04-24,2026-04-24 14:00:00,900.1,920.1,900.1,920.1,2.22,360.0,330584.2,1
2026-04-24,2026-04-24 15:00:00,920.1,920.1,840.1,920.1,0.0,360.0,330584.2,0
2026-04-27,2026-04-27 11:00:00,966.1,1012.1,966.1,989.1,2.38,876.0,926145.6,1
2026-04-27,2026-04-27 12:00:00,989.1,1012.1,989.1,1012.1,2.33,876.0,926145.6,1
2026-04-27,2026-04-27 13:00:00,1012.1,1035.1,1012.1,1035.1,2.27,876.0,926145.6,1
2026-04-27,2026-04-27 14:00:00,1035.1,1058.1,1035.1,1058.1,2.22,876.0,926145.6,1
