published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2018-04-05,2018-04-05 11:00:00,313.0,313.0,313.0,313.0,0.0,2.0,626.0,0
2018-04-05,2018-04-05 12:00:00,313.0,313.0,313.0,313.0,0.0,2.0,626.0,0
2018-04-05,2018-04-05 13:00:00,313.0,313.0,313.0,313.0,0.0,2.0,626.0,0
2018-04-05,2018-04-05 14:00:00,313.0,313.0,313.0,313.0,0.0,2.0,626.0,0
2018-04-05,2018-04-05 15:00:00,313.0,313.0,313.0,313.0,0.0,2.0,626.0,0
2018-04-08,2018-04-08 11:00:00,319.0,322.0,319.0,320.5,0.47,4.0,1288.0,1
2018-04-08,2018-04-08 12:00:00,320.5,322.0,320.5,322.0,0.47,4.0,1288.0,1
2018-04-08,2018-04-08 13:00:00,322.0,323.5,322.0,323.5,0.47,4.0,1288.0,1
2018-04-08,2018-04-08 14:00:00,323.5,325.0,323.5,325.0,0.46,4.0,1288.0,1
2018-04-08,2018-04-08 15:00:00,325.0,325.0,319.0,325.0,0.0,4.0,1288.0,0
2018-04-09,2018-04-09 11:00:00,331.0,334.0,331.0,332.5,0.45,4.0,1336.0,1
2018-04-09,2018-04-09 12:00:00,332.5,334.0,332.5,334.0,0.45,4.0,1336.0,1
2018-04-09,2018-04-09 13:00:00,334.0,335.5,334.0,335.5,0.45,4.0,1336.0,1
2018-04-09,2018-04-09 14:00:00,335.5,337.0,335.5,337.0,0.45,4.0,1336.0,1
2018-04-09,2018-04-09 15:00:00,337.0,337.0,331.0,337.0,0.0,4.0,1336.0,0
2018-04-10,2018-04-10 11:00:00,343.0,346.0,343.0,344.5,0.44,4.0,1384.0,1
2018-04-10,2018-04-10 12:00:00,344.5,346.0,344.5,346.0,0.44,4.0,1384.0,1
2018-04-10,2018-04-10 13:00:00,346.0,347.5,346.0,347.5,0.43,4.0,1384.0,1
2018-04-10,2018-04-10 14:00:00,347.5,349.0,347.5,349.0,0.43,4.0,1384.0,1
2018-04-10,2018-04-10 15:00:00,349.0,349.0,343.0,349.0,0.0,4.0,1384.0,0
2018-04-11,2018-04-11 11:00:00,355.0,358.5,355.0,356.75,0.49,4.0,1434.0,1
2018-04-11,2018-04-11 12:00:00,356.75,358.5,356.75,358.5,0.49,4.0,1434.0,1
2018-04-11,2018-04-11 13:00:00,358.5,360.25,358.5,360.25,0.49,4.0,1434.0,1
2018-04-11,2018-04-11 14:00:00,360.25,362.0,360.25,362.0,0.49,4.0,1434.0,1
2018-04-11,2018-04-11 15:00:00,362.0,362.0,355.0,362.0,0.0,4.0,1434.0,0
2018-04-12,2018-04-12 11:00:00,369.0,372.5,369.0,370.75,0.47,4.0,1490.0,1
2018-04-12,2018-04-12 12:00:00,370.75,372.5,370.75,372.5,0.47,4.0,1490.0,1
2018-04-12,2018-04-12 13:00:00,372.5,374.25,372.5,374.25,0.47,4.0,1490.0,1
2018-04-12,2018-04-12 14:00:00,374.25,376.0,374.25,376.0,0.47,4.0,1490.0,1
2018-04-12,2018-04-12 15:00:00,376.0,376.0,369.0,376.0,0.0,4.0,1490.0,0
2018-04-15,2018-04-15 11:00:00,383.0,386.5,383.0,384.75,0.46,4.0,1546.0,1
2018-04-15,2018-04-15 12:00:00,384.75,386.5,384.75,386.5,0.45,4.0,1546.0,1
2018-04-15,2018-04-15 13:00:00,386.5,388.25,386.5,388.25,0.45,4.0,1546.0,1
2018-04-15,2018-04-15 14:00:00,388.25,390.0,388.25,390.0,0.45,4.0,1546.0,1
2018-04-15,2018-04-15 15:00:00,390.0,390.0,383.0,390.0,0.0,4.0,1546.0,0
2018-04-23,2018-04-23 11:00:00,397.0,404.5,397.0,400.75,0.94,6.0,2426.0,1
2018-04-23,2018-04-23 12:00:00,400.75,404.5,400.75,404.5,0.94,6.0,2426.0,1
2018-04-23,2018-04-23 13:00:00,404.5,408.25,404.5,408.25,0.93,6.0,2426.0,1
2018-04-23,2018-04-23 14:00:00,408.25,412.0,408.25,412.0,0.92,6.0,2426.0,1
2018-04-23,2018-04-23 15:00:00,412.0,412.0,397.0,412.0,0.0,6.0,2426.0,0
2018-05-06,2018-05-06 11:00:00,432.0,432.0,432.0,432.0,0.0,4.0,1744.0,0
2018-05-06,2018-05-06 12:00:00,432.0,432.0,432.0,432.0,0.0,4.0,1744.0,0
2018-05-06,2018-05-06 13:00:00,432.0,432.0,432.0,432.0,0.0,4.0,1744.0,0
2018-05-06,2018-05-06 14:00:00,432.0,432.0,432.0,432.0,0.0,4.0,1744.0,0
2018-05-06,2018-05-06 15:00:00,432.0,432.0,432.0,432.0,0.0,4.0,1744.0,0
2018-05-09,2018-05-09 11:00:00,440.0,444.0,440.0,442.0,0.45,4.0,1776.0,1
2018-05-09,2018-05-09 12:00:00,442.0,444.0,442.0,444.0,0.45,4.0,1776.0,1
2018-05-09,2018-05-09 13:00:00,444.0,446.0,444.0,446.0,0.45,4.0,1776.0,1
2018-05-09,2018-05-09 14:00:00,446.0,448.0,446.0,448.0,0.45,4.0,1776.0,1
2018-05-09,2018-05-09 15:00:00,448.0,448.0,440.0,448.0,0.0,4.0,1776.0,0
2018-05-10,2018-05-10 11:00:00,456.0,465.0,456.0,460.5,0.99,8.0,3756.0,1
2018-05-10,2018-05-10 12:00:00,460.5,465.0,460.5,465.0,0.98,8.0,3756.0,1
2018-05-10,2018-05-10 13:00:00,465.0,469.5,465.0,469.5,0.97,8.0,3756.0,1
2018-05-10,2018-05-10 14:00:00,469.5,474.0,469.5,474.0,0.96,8.0,3756.0,1
2018-05-10,2018-05-10 15:00:00,474.0,474.0,456.0,474.0,0.0,8.0,3756.0,0
2018-05-14,2018-05-14 11:00:00,483.0,483.0,483.0,483.0,0.0,4.0,1932.0,0
2018-05-14,2018-05-14 12:00:00,483.0,483.0,483.0,483.0,0.0,4.0,1932.0,0
2018-05-14,2018-05-14 13:00:00,483.0,483.0,483.0,483.0,0.0,4.0,1932.0,0
2018-05-14,2018-05-14 14:00:00,483.0,483.0,483.0,483.0,0.0,4.0,1932.0,0
2018-05-14,2018-05-14 15:00:00,483.0,483.0,483.0,483.0,0.0,4.0,1932.0,0
2018-05-20,2018-05-20 11:00:00,497.0,509.0,497.0,503.0,1.21,10.0,5122.0,1
2018-05-20,2018-05-20 12:00:00,503.0,509.0,503.0,509.0,1.19,10.0,5122.0,1
2018-05-20,2018-05-20 13:00:00,509.0,515.0,509.0,515.0,1.18,10.0,5122.0,1
2018-05-20,2018-05-20 14:00:00,515.0,521.0,515.0,521.0,1.17,10.0,5122.0,1
2018-05-20,2018-05-20 15:00:00,521.0,521.0,497.0,521.0,0.0,10.0,5122.0,0
2018-05-21,2018-05-21 11:00:00,531.0,531.0,531.0,531.0,0.0,2.0,1062.0,0
2018-05-21,2018-05-21 12:00:00,531.0,531.0,531.0,531.0,0.0,2.0,1062.0,0
2018-05-21,2018-05-21 13:00:00,531.0,531.0,531.0,531.0,0.0,2.0,1062.0,0
2018-05-21,2018-05-21 14:00:00,531.0,531.0,531.0,531.0,0.0,2.0,1062.0,0
2018-05-21,2018-05-21 15:00:00,531.0,531.0,531.0,531.0,0.0,2.0,1062.0,0
2018-05-24,2018-05-24 11:00:00,557.0,557.0,557.0,557.0,0.0,2.0,1114.0,0
2018-05-24,2018-05-24 12:00:00,557.0,557.0,557.0,557.0,0.0,2.0,1114.0,0
2018-05-24,2018-05-24 13:00:00,557.0,557.0,557.0,557.0,0.0,2.0,1114.0,0
2018-05-24,2018-05-24 14:00:00,557.0,557.0,557.0,557.0,0.0,2.0,1114.0,0
2018-05-24,2018-05-24 15:00:00,557.0,557.0,557.0,557.0,0.0,2.0,1114.0,0
2018-06-10,2018-06-10 11:00:00,568.0,584.5,568.0,576.25,1.45,8.0,4676.0,1
2018-06-10,2018-06-10 12:00:00,576.25,584.5,576.25,584.5,1.43,8.0,4676.0,1
2018-06-10,2018-06-10 13:00:00,584.5,592.75,584.5,592.75,1.41,8.0,4676.0,1
2018-06-10,2018-06-10 14:00:00,592.75,601.0,592.75,601.0,1.39,8.0,4676.0,1
2018-06-10,2018-06-10 15:00:00,601.0,601.0,568.0,601.0,0.0,8.0,4676.0,0
2018-06-11,2018-06-11 11:00:00,613.0,613.0,613.0,613.0,0.0,2.0,1226.0,0
2018-06-11,2018-06-11 12:00:00,613.0,613.0,613.0,613.0,0.0,2.0,1226.0,0
2018-06-11,2018-06-11 13:00:00,613.0,613.0,613.0,613.0,0.0,2.0,1226.0,0
2018-06-11,2018-06-11 14:00:00,613.0,613.0,613.0,613.0,0.0,2.0,1226.0,0
2018-06-11,2018-06-11 15:00:00,613.0,613.0,613.0,613.0,0.0,2.0,1226.0,0
2018-06-12,2018-06-12 11:00:00,369.0,372.5,369.0,370.75,0.47,4.0,1490.0,1
2018-06-12,2018-06-12 12:00:00,370.75,372.5,370.75,372.5,0.47,4.0,1490.0,1
2018-06-12,2018-06-12 13:00:00,372.5,374.25,372.5,374.25,0.47,4.0,1490.0,1
2018-06-12,2018-06-12 14:00:00,374.25,376.0,374.25,376.0,0.47,4.0,1490.0,1
