published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-06-26,2026-06-26 11:00:00,298.7,321.1,298.7,309.9,3.75,14.0,4455.2,1
2026-06-26,2026-06-26 12:00:00,309.9,321.1,309.9,321.1,3.61,14.0,4455.2,1
2026-06-26,2026-06-26 13:00:00,321.1,332.3,321.1,332.3,3.49,14.0,4455.2,1
2026-06-26,2026-06-26 14:00:00,332.3,343.5,332.3,343.5,3.37,14.0,4455.2,1
2026-06-26,2026-06-26 15:00:00,343.5,343.5,298.7,343.5,0.0,14.0,4455.2,0
2026-06-29,2026-06-29 11:00:00,353.8,374.4,353.8,364.1,2.91,12.0,4540.0,1
2026-06-29,2026-06-29 12:00:00,364.1,374.4,364.1,374.4,2.83,12.0,4540.0,1
2026-06-29,2026-06-29 13:00:00,374.4,384.7,374.4,384.7,2.75,12.0,4540.0,1
2026-06-29,2026-06-29 14:00:00,384.7,395.0,384.7,395.0,2.68,12.0,4540.0,1
2026-06-29,2026-06-29 15:00:00,395.0,395.0,353.8,395.0,0.0,12.0,4540.0,0
2026-06-30,2026-06-30 11:00:00,411.9,433.05,411.9,422.47,2.57,18.0,7988.0,1
2026-06-30,2026-06-30 12:00:00,422.47,433.05,422.47,433.05,2.5,18.0,7988.0,1
2026-06-30,2026-06-30 13:00:00,433.05,443.62,433.05,443.62,2.44,18.0,7988.0,1
2026-06-30,2026-06-30 14:00:00,443.62,454.2,443.62,454.2,2.38,18.0,7988.0,1
2026-06-30,2026-06-30 15:00:00,454.2,454.2,411.9,454.2,0.0,18.0,7988.0,0
2026-07-01,2026-07-01 11:00:00,467.8,495.05,467.8,481.43,2.91,26.0,13315.0,1
2026-07-01,2026-07-01 12:00:00,481.43,495.05,481.43,495.05,2.83,26.0,13315.0,1
2026-07-01,2026-07-01 13:00:00,495.05,508.67,495.05,508.67,2.75,26.0,13315.0,1
2026-07-01,2026-07-01 14:00:00,508.67,522.3,508.67,522.3,2.68,26.0,13315.0,1
2026-07-01,2026-07-01 15:00:00,522.3,522.3,467.8,522.3,0.0,26.0,13315.0,0
2026-07-02,2026-07-02 11:00:00,537.9,569.25,537.9,553.58,2.92,36.0,21317.2,1
2026-07-02,2026-07-02 12:00:00,553.58,569.25,553.58,569.25,2.83,36.0,21317.2,1
2026-07-02,2026-07-02 13:00:00,569.25,584.92,569.25,584.92,2.75,36.0,21317.2,1
2026-07-02,2026-07-02 14:00:00,584.92,600.6,584.92,600.6,2.68,36.0,21317.2,1
2026-07-02,2026-07-02 15:00:00,600.6,600.6,537.9,600.6,0.0,36.0,21317.2,0
2026-07-03,2026-07-03 11:00:00,618.6,654.6,618.6,636.6,2.91,184.0,126721.0,1
2026-07-03,2026-07-03 12:00:00,636.6,654.6,636.6,654.6,2.83,184.0,126721.0,1
2026-07-03,2026-07-03 13:00:00,654.6,672.6,654.6,672.6,2.75,184.0,126721.0,1
2026-07-03,2026-07-03 14:00:00,672.6,690.6,672.6,690.6,2.68,184.0,126721.0,1
2026-07-03,2026-07-03 15:00:00,690.6,690.6,618.6,690.6,0.0,184.0,126721.0,0
2026-07-06,2026-07-06 11:00:00,725.1,759.6,725.1,742.35,2.38,2528.0,2007198.6,1
2026-07-06,2026-07-06 12:00:00,742.35,759.6,742.35,759.6,2.32,2528.0,2007198.6,1
2026-07-06,2026-07-06 13:00:00,759.6,776.85,759.6,776.85,2.27,2528.0,2007198.6,1
2026-07-06,2026-07-06 14:00:00,776.85,794.1,776.85,794.1,2.22,2528.0,2007198.6,1
2026-07-06,2026-07-06 15:00:00,794.1,794.1,725.1,794.1,0.0,2528.0,2007198.6,0
2026-07-07,2026-07-07 11:00:00,833.8,833.8,766.9,813.7,-2.41,16226.0,12393135.6,-1
2026-07-07,2026-07-07 12:00:00,813.7,813.7,793.6,793.6,-2.47,16226.0,12393135.6,-1
2026-07-07,2026-07-07 13:00:00,793.6,793.6,773.5,773.5,-2.53,16226.0,12393135.6,-1
2026-07-07,2026-07-07 14:00:00,773.5,773.5,753.4,753.4,-2.6,16226.0,12393135.6,-1
2026-07-07,2026-07-07 15:00:00,753.4,833.8,700.0,753.4,0.0,16226.0,12393135.6,0
2026-07-08,2026-07-08 11:00:00,750.0,780.0,738.7,759.12,1.22,6256.0,4843034.2,1
2026-07-08,2026-07-08 12:00:00,759.12,768.25,759.12,768.25,1.2,6256.0,4843034.2,1
2026-07-08,2026-07-08 13:00:00,768.25,777.38,768.25,777.38,1.19,6256.0,4843034.2,1
2026-07-08,2026-07-08 14:00:00,777.38,786.5,777.38,786.5,1.17,6256.0,4843034.2,1
