published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-06-08,2026-06-08 11:00:00,276.5,290.3,276.5,283.4,2.5,78.0,23378.8,1
2026-06-08,2026-06-08 12:00:00,283.4,290.3,283.4,290.3,2.43,78.0,23378.8,1
2026-06-08,2026-06-08 13:00:00,290.3,297.2,290.3,297.2,2.38,78.0,23378.8,1
2026-06-08,2026-06-08 14:00:00,297.2,304.1,297.2,304.1,2.32,78.0,23378.8,1
2026-06-08,2026-06-08 15:00:00,304.1,304.1,276.5,304.1,0.0,78.0,23378.8,0
2026-06-09,2026-06-09 11:00:00,306.8,328.25,306.8,317.52,3.49,40.0,13662.0,1
2026-06-09,2026-06-09 12:00:00,317.52,328.25,317.52,328.25,3.38,40.0,13662.0,1
2026-06-09,2026-06-09 13:00:00,328.25,338.98,328.25,338.98,3.27,40.0,13662.0,1
2026-06-09,2026-06-09 14:00:00,338.98,349.7,338.98,349.7,3.16,40.0,13662.0,1
2026-06-09,2026-06-09 15:00:00,349.7,349.7,306.8,349.7,0.0,40.0,13662.0,0
2026-06-10,2026-06-10 11:00:00,351.5,376.8,351.5,364.15,3.6,68.0,26951.8,1
2026-06-10,2026-06-10 12:00:00,364.15,376.8,364.15,376.8,3.47,68.0,26951.8,1
2026-06-10,2026-06-10 13:00:00,376.8,389.45,376.8,389.45,3.36,68.0,26951.8,1
2026-06-10,2026-06-10 14:00:00,389.45,402.1,389.45,402.1,3.25,68.0,26951.8,1
2026-06-10,2026-06-10 15:00:00,402.1,402.1,351.5,402.1,0.0,68.0,26951.8,0
2026-06-11,2026-06-11 11:00:00,422.2,442.3,422.2,432.25,2.38,60.0,27255.2,1
2026-06-11,2026-06-11 12:00:00,432.25,442.3,432.25,442.3,2.33,60.0,27255.2,1
2026-06-11,2026-06-11 13:00:00,442.3,452.35,442.3,452.35,2.27,60.0,27255.2,1
2026-06-11,2026-06-11 14:00:00,452.35,462.4,452.35,462.4,2.22,60.0,27255.2,1
2026-06-11,2026-06-11 15:00:00,462.4,462.4,422.2,462.4,0.0,60.0,27255.2,0
2026-06-12,2026-06-12 11:00:00,471.3,501.5,471.3,486.4,3.2,76.0,39733.0,1
2026-06-12,2026-06-12 12:00:00,486.4,501.5,486.4,501.5,3.1,76.0,39733.0,1
2026-06-12,2026-06-12 13:00:00,501.5,516.6,501.5,516.6,3.01,76.0,39733.0,1
2026-06-12,2026-06-12 14:00:00,516.6,531.7,516.6,531.7,2.92,76.0,39733.0,1
2026-06-12,2026-06-12 15:00:00,531.7,531.7,471.3,531.7,0.0,76.0,39733.0,0
2026-06-15,2026-06-15 11:00:00,550.0,580.7,550.0,565.35,2.79,122.0,73564.4,1
2026-06-15,2026-06-15 12:00:00,565.35,580.7,565.35,580.7,2.72,122.0,73564.4,1
2026-06-15,2026-06-15 13:00:00,580.7,596.05,580.7,596.05,2.64,122.0,73564.4,1
2026-06-15,2026-06-15 14:00:00,596.05,611.4,596.05,611.4,2.58,122.0,73564.4,1
2026-06-15,2026-06-15 15:00:00,611.4,611.4,550.0,611.4,0.0,122.0,73564.4,0
2026-06-16,2026-06-16 11:00:00,629.5,666.3,629.5,647.9,2.92,156.0,109178.0,1
2026-06-16,2026-06-16 12:00:00,647.9,666.3,647.9,666.3,2.84,156.0,109178.0,1
