published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-10-17,2022-10-17 11:00:00,194.8,204.5,194.8,199.65,2.49,190.0,40557.0,1
2022-10-17,2022-10-17 12:00:00,199.65,204.5,199.65,204.5,2.43,190.0,40557.0,1
2022-10-17,2022-10-17 13:00:00,204.5,209.35,204.5,209.35,2.37,190.0,40557.0,1
2022-10-17,2022-10-17 14:00:00,209.35,214.2,209.35,214.2,2.32,190.0,40557.0,1
2022-10-17,2022-10-17 15:00:00,214.2,214.2,194.8,214.2,0.0,190.0,40557.0,0
2022-10-19,2022-10-19 11:00:00,218.4,227.0,218.4,222.7,1.97,826.6,194584.56,1
2022-10-19,2022-10-19 12:00:00,222.7,227.0,222.7,227.0,1.93,826.6,194584.56,1
2022-10-19,2022-10-19 13:00:00,227.0,231.3,227.0,231.3,1.89,826.6,194584.56,1
2022-10-19,2022-10-19 14:00:00,231.3,235.6,231.3,235.6,1.86,826.6,194584.56,1
2022-10-19,2022-10-19 15:00:00,235.6,235.6,218.4,235.6,0.0,826.6,194584.56,0
2022-10-20,2022-10-20 11:00:00,240.3,249.7,240.3,245.0,1.96,838.8,217128.28,1
2022-10-20,2022-10-20 12:00:00,245.0,249.7,245.0,249.7,1.92,838.8,217128.28,1
2022-10-20,2022-10-20 13:00:00,249.7,254.4,249.7,254.4,1.88,838.8,217128.28,1
2022-10-20,2022-10-20 14:00:00,254.4,259.1,254.4,259.1,1.85,838.8,217128.28,1
2022-10-20,2022-10-20 15:00:00,259.1,259.1,240.3,259.1,0.0,838.8,217128.28,0
2022-10-23,2022-10-23 11:00:00,264.2,274.6,264.2,269.4,1.97,286.0,81240.4,1
2022-10-23,2022-10-23 12:00:00,269.4,274.6,269.4,274.6,1.93,286.0,81240.4,1
2022-10-23,2022-10-23 13:00:00,274.6,279.8,274.6,279.8,1.89,286.0,81240.4,1
2022-10-23,2022-10-23 14:00:00,279.8,285.0,279.8,285.0,1.86,286.0,81240.4,1
2022-10-23,2022-10-23 15:00:00,285.0,285.0,264.2,285.0,0.0,286.0,81240.4,0
2022-10-31,2022-10-31 11:00:00,290.7,302.1,290.7,296.4,1.96,1853.4,580928.9,1
2022-10-31,2022-10-31 12:00:00,296.4,302.1,296.4,302.1,1.92,1853.4,580928.9,1
2022-10-31,2022-10-31 13:00:00,302.1,307.8,302.1,307.8,1.89,1853.4,580928.9,1
2022-10-31,2022-10-31 14:00:00,307.8,313.5,307.8,313.5,1.85,1853.4,580928.9,1
2022-10-31,2022-10-31 15:00:00,313.5,313.5,290.7,313.5,0.0,1853.4,580928.9,0
2022-11-01,2022-11-01 11:00:00,319.7,322.85,301.95,317.77,-0.6,5187.4,1548260.82,-1
2022-11-01,2022-11-01 12:00:00,317.77,317.77,315.85,315.85,-0.6,5187.4,1548260.82,-1
2022-11-01,2022-11-01 13:00:00,315.85,315.85,313.93,313.93,-0.61,5187.4,1548260.82,-1
2022-11-01,2022-11-01 14:00:00,313.93,313.93,312.0,312.0,-0.61,5187.4,1548260.82,-1
2022-11-01,2022-11-01 15:00:00,312.0,326.0,284.2,312.0,0.0,5187.4,1548260.82,0
2022-11-02,2022-11-02 11:00:00,318.2,321.1,309.6,317.38,-0.26,1789.6,548956.8,-1
2022-11-02,2022-11-02 12:00:00,317.38,317.38,316.55,316.55,-0.26,1789.6,548956.8,-1
2022-11-02,2022-11-02 13:00:00,316.55,316.55,315.72,315.72,-0.26,1789.6,548956.8,-1
2022-11-02,2022-11-02 14:00:00,315.72,315.72,314.9,314.9,-0.26,1789.6,548956.8,-1
2022-11-02,2022-11-02 15:00:00,314.9,324.0,301.0,314.9,0.0,1789.6,548956.8,0
2022-11-03,2022-11-03 11:00:00,313.0,313.5,307.5,312.25,-0.24,560.0,171429.8,-1
2022-11-03,2022-11-03 12:00:00,312.25,312.25,311.5,311.5,-0.24,560.0,171429.8,-1
2022-11-03,2022-11-03 13:00:00,311.5,311.5,310.75,310.75,-0.24,560.0,171429.8,-1
2022-11-03,2022-11-03 14:00:00,310.75,310.75,310.0,310.0,-0.24,560.0,171429.8,-1
2022-11-03,2022-11-03 15:00:00,310.0,314.0,302.0,310.0,0.0,560.0,171429.8,0
2022-11-06,2022-11-06 11:00:00,303.8,309.9,301.9,306.57,0.91,701.8,216273.0,1
2022-11-06,2022-11-06 12:00:00,306.57,309.35,306.57,309.35,0.91,701.8,216273.0,1
2022-11-06,2022-11-06 13:00:00,309.35,312.12,309.35,312.12,0.9,701.8,216273.0,1
2022-11-06,2022-11-06 14:00:00,312.12,314.9,312.12,314.9,0.89,701.8,216273.0,1
2022-11-06,2022-11-06 15:00:00,314.9,316.0,300.0,314.9,0.0,701.8,216273.0,0
2022-11-07,2022-11-07 11:00:00,309.0,314.75,308.15,309.45,0.15,757.0,236728.8,1
2022-11-07,2022-11-07 12:00:00,309.45,309.9,309.45,309.9,0.15,757.0,236728.8,1
2022-11-07,2022-11-07 13:00:00,309.9,310.35,309.9,310.35,0.15,757.0,236728.8,1
2022-11-07,2022-11-07 14:00:00,310.35,310.8,310.35,310.8,0.14,757.0,236728.8,1
2022-11-07,2022-11-07 15:00:00,310.8,320.5,307.3,310.8,0.0,757.0,236728.8,0
2022-11-08,2022-11-08 11:00:00,304.7,307.35,303.0,306.02,0.43,826.8,253879.16,1
2022-11-08,2022-11-08 12:00:00,306.02,307.35,306.02,307.35,0.43,826.8,253879.16,1
2022-11-08,2022-11-08 13:00:00,307.35,308.68,307.35,308.68,0.43,826.8,253879.16,1
2022-11-08,2022-11-08 14:00:00,308.68,310.0,308.68,310.0,0.43,826.8,253879.16,1
2022-11-08,2022-11-08 15:00:00,310.0,310.0,301.3,310.0,0.0,826.8,253879.16,0
2022-11-09,2022-11-09 11:00:00,304.1,305.8,300.1,304.33,0.08,470.0,141871.8,1
2022-11-09,2022-11-09 12:00:00,304.33,304.55,304.33,304.55,0.07,470.0,141871.8,1
2022-11-09,2022-11-09 13:00:00,304.55,304.77,304.55,304.77,0.07,470.0,141871.8,1
2022-11-09,2022-11-09 14:00:00,304.77,305.0,304.77,305.0,0.08,470.0,141871.8,1
