published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-04-04,2023-04-04 11:00:00,638.0,638.0,605.95,621.98,-2.51,9935.8,5738575.62,-1
2023-04-04,2023-04-04 12:00:00,621.98,621.98,605.95,605.95,-2.58,9935.8,5738575.62,-1
2023-04-04,2023-04-04 13:00:00,605.95,605.95,589.92,589.92,-2.65,9935.8,5738575.62,-1
2023-04-04,2023-04-04 14:00:00,589.92,589.92,573.9,573.9,-2.72,9935.8,5738575.62,-1
2023-04-04,2023-04-04 15:00:00,573.9,638.0,573.9,573.9,0.0,9935.8,5738575.62,0
2023-04-05,2023-04-05 11:00:00,573.9,573.9,562.45,570.17,-0.65,4643.8,2580867.82,-1
2023-04-05,2023-04-05 12:00:00,570.17,570.17,566.45,566.45,-0.65,4643.8,2580867.82,-1
2023-04-05,2023-04-05 13:00:00,566.45,566.45,562.73,562.73,-0.66,4643.8,2580867.82,-1
2023-04-05,2023-04-05 14:00:00,562.73,562.73,559.0,559.0,-0.66,4643.8,2580867.82,-1
2023-04-05,2023-04-05 15:00:00,559.0,573.9,551.0,559.0,0.0,4643.8,2580867.82,0
2023-04-06,2023-04-06 11:00:00,559.0,563.95,554.95,560.75,0.31,2969.4,1657541.24,1
2023-04-06,2023-04-06 12:00:00,560.75,562.5,560.75,562.5,0.31,2969.4,1657541.24,1
2023-04-06,2023-04-06 13:00:00,562.5,564.25,562.5,564.25,0.31,2969.4,1657541.24,1
2023-04-06,2023-04-06 14:00:00,564.25,566.0,564.25,566.0,0.31,2969.4,1657541.24,1
2023-04-06,2023-04-06 15:00:00,566.0,568.9,550.9,566.0,0.0,2969.4,1657541.24,0
2023-04-09,2023-04-09 11:00:00,554.8,554.9,550.4,553.6,-0.22,9247.4,5069848.24,-1
2023-04-09,2023-04-09 12:00:00,553.6,553.6,552.4,552.4,-0.22,9247.4,5069848.24,-1
2023-04-09,2023-04-09 13:00:00,552.4,552.4,551.2,551.2,-0.22,9247.4,5069848.24,-1
2023-04-09,2023-04-09 14:00:00,551.2,551.2,550.0,550.0,-0.22,9247.4,5069848.24,-1
2023-04-09,2023-04-09 15:00:00,550.0,555.0,546.0,550.0,0.0,9247.4,5069848.24,0
2023-04-10,2023-04-10 11:00:00,560.0,560.5,551.0,555.5,-0.8,1464.2,801521.0,-1
2023-04-10,2023-04-10 12:00:00,555.5,555.5,551.0,551.0,-0.81,1464.2,801521.0,-1
2023-04-10,2023-04-10 13:00:00,551.0,551.0,546.5,546.5,-0.82,1464.2,801521.0,-1
2023-04-10,2023-04-10 14:00:00,546.5,546.5,542.0,542.0,-0.82,1464.2,801521.0,-1
2023-04-10,2023-04-10 15:00:00,542.0,561.0,542.0,542.0,0.0,1464.2,801521.0,0
2023-04-11,2023-04-11 11:00:00,542.0,545.95,538.0,543.5,0.28,4084.8,2207835.88,1
2023-04-11,2023-04-11 12:00:00,543.5,545.0,543.5,545.0,0.28,4084.8,2207835.88,1
2023-04-11,2023-04-11 13:00:00,545.0,546.5,545.0,546.5,0.28,4084.8,2207835.88,1
2023-04-11,2023-04-11 14:00:00,546.5,548.0,546.5,548.0,0.27,4084.8,2207835.88,1
2023-04-11,2023-04-11 15:00:00,548.0,549.9,534.0,548.0,0.0,4084.8,2207835.88,0
2023-04-12,2023-04-12 11:00:00,555.0,565.0,555.0,560.0,0.9,8725.8,4923311.4,1
2023-04-12,2023-04-12 12:00:00,560.0,565.0,560.0,565.0,0.89,8725.8,4923311.4,1
2023-04-12,2023-04-12 13:00:00,565.0,570.0,565.0,570.0,0.88,8725.8,4923311.4,1
2023-04-12,2023-04-12 14:00:00,570.0,575.0,570.0,575.0,0.88,8725.8,4923311.4,1
2023-04-12,2023-04-12 15:00:00,575.0,575.0,555.0,575.0,0.0,8725.8,4923311.4,0
2023-04-13,2023-04-13 11:00:00,585.0,586.0,572.5,581.0,-0.68,2419.2,1387672.32,-1
2023-04-13,2023-04-13 12:00:00,581.0,581.0,577.0,577.0,-0.69,2419.2,1387672.32,-1
2023-04-13,2023-04-13 13:00:00,577.0,577.0,573.0,573.0,-0.69,2419.2,1387672.32,-1
2023-04-13,2023-04-13 14:00:00,573.0,573.0,569.0,569.0,-0.7,2419.2,1387672.32,-1
2023-04-13,2023-04-13 15:00:00,569.0,587.0,560.0,569.0,0.0,2419.2,1387672.32,0
2023-04-16,2023-04-16 11:00:00,577.5,577.5,563.8,572.38,-0.89,3869.0,2172913.94,-1
2023-04-16,2023-04-16 12:00:00,572.38,572.38,567.25,567.25,-0.9,3869.0,2172913.94,-1
2023-04-16,2023-04-16 13:00:00,567.25,567.25,562.12,562.12,-0.9,3869.0,2172913.94,-1
2023-04-16,2023-04-16 14:00:00,562.12,562.12,557.0,557.0,-0.91,3869.0,2172913.94,-1
2023-04-16,2023-04-16 15:00:00,557.0,577.5,550.1,557.0,0.0,3869.0,2172913.94,0
2023-04-17,2023-04-17 11:00:00,552.4,555.2,552.25,552.55,0.03,1970.6,1092317.56,1
2023-04-17,2023-04-17 12:00:00,552.55,552.7,552.55,552.7,0.03,1970.6,1092317.56,1
2023-04-17,2023-04-17 13:00:00,552.7,552.85,552.7,552.85,0.03,1970.6,1092317.56,1
2023-04-17,2023-04-17 14:00:00,552.85,553.0,552.85,553.0,0.03,1970.6,1092317.56,1
2023-04-17,2023-04-17 15:00:00,553.0,558.0,552.1,553.0,0.0,1970.6,1092317.56,0
2023-04-18,2023-04-18 11:00:00,554.0,557.95,552.05,555.2,0.22,3147.2,1743110.18,1
2023-04-18,2023-04-18 12:00:00,555.2,556.4,555.2,556.4,0.22,3147.2,1743110.18,1
2023-04-18,2023-04-18 13:00:00,556.4,557.6,556.4,557.6,0.22,3147.2,1743110.18,1
2023-04-18,2023-04-18 14:00:00,557.6,558.8,557.6,558.8,0.22,3147.2,1743110.18,1
2023-04-18,2023-04-18 15:00:00,558.8,561.9,550.1,558.8,0.0,3147.2,1743110.18,0
2023-04-19,2023-04-19 11:00:00,560.0,565.5,557.5,562.75,0.49,2929.8,1652942.9,1
2023-04-19,2023-04-19 12:00:00,562.75,565.5,562.75,565.5,0.49,2929.8,1652942.9,1
2023-04-19,2023-04-19 13:00:00,565.5,568.25,565.5,568.25,0.49,2929.8,1652942.9,1
2023-04-19,2023-04-19 14:00:00,568.25,571.0,568.25,571.0,0.48,2929.8,1652942.9,1
2023-04-19,2023-04-19 15:00:00,571.0,571.0,555.0,571.0,0.0,2929.8,1652942.9,0
2023-04-20,2023-04-20 11:00:00,577.9,581.45,574.45,578.17,0.05,5735.4,3324426.68,1
2023-04-20,2023-04-20 12:00:00,578.17,578.45,578.17,578.45,0.05,5735.4,3324426.68,1
2023-04-20,2023-04-20 13:00:00,578.45,578.73,578.45,578.73,0.05,5735.4,3324426.68,1
2023-04-20,2023-04-20 14:00:00,578.73,579.0,578.73,579.0,0.05,5735.4,3324426.68,1
2023-04-20,2023-04-20 15:00:00,579.0,585.0,571.0,579.0,0.0,5735.4,3324426.68,0
2023-04-23,2023-04-23 11:00:00,570.0,574.5,570.0,570.52,0.09,1030.6,590539.22,1
2023-04-23,2023-04-23 12:00:00,570.52,571.05,570.52,571.05,0.09,1030.6,590539.22,1
2023-04-23,2023-04-23 13:00:00,571.05,571.58,571.05,571.58,0.09,1030.6,590539.22,1
2023-04-23,2023-04-23 14:00:00,571.58,572.1,571.58,572.1,0.09,1030.6,590539.22,1
2023-04-23,2023-04-23 15:00:00,572.1,579.0,570.0,572.1,0.0,1030.6,590539.22,0
2023-04-24,2023-04-24 11:00:00,570.0,573.5,566.5,571.5,0.26,887.4,507390.9,1
