published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-05-12,2022-05-12 11:00:00,1346.0,1346.0,1291.05,1318.53,-2.04,267.8,336500.82,-1
2022-05-12,2022-05-12 12:00:00,1318.53,1318.53,1291.05,1291.05,-2.08,267.8,336500.82,-1
2022-05-12,2022-05-12 13:00:00,1291.05,1291.05,1263.57,1263.57,-2.13,267.8,336500.82,-1
2022-05-12,2022-05-12 14:00:00,1263.57,1263.57,1236.1,1236.1,-2.17,267.8,336500.82,-1
2022-05-12,2022-05-12 15:00:00,1236.1,1346.0,1236.1,1236.1,0.0,267.8,336500.82,0
2022-05-17,2022-05-17 11:00:00,1212.0,1212.0,1162.25,1187.12,-2.05,259.6,290499.6,-1
2022-05-17,2022-05-17 12:00:00,1187.12,1187.12,1162.25,1162.25,-2.09,259.6,290499.6,-1
2022-05-17,2022-05-17 13:00:00,1162.25,1162.25,1137.38,1137.38,-2.14,259.6,290499.6,-1
2022-05-17,2022-05-17 14:00:00,1137.38,1137.38,1112.5,1112.5,-2.19,259.6,290499.6,-1
2022-05-17,2022-05-17 15:00:00,1112.5,1212.0,1112.5,1112.5,0.0,259.6,290499.6,0
2022-05-18,2022-05-18 11:00:00,1090.3,1090.3,1045.8,1068.05,-2.04,274.2,277966.66,-1
2022-05-18,2022-05-18 12:00:00,1068.05,1068.05,1045.8,1045.8,-2.08,274.2,277966.66,-1
2022-05-18,2022-05-18 13:00:00,1045.8,1045.8,1023.55,1023.55,-2.13,274.2,277966.66,-1
2022-05-18,2022-05-18 14:00:00,1023.55,1023.55,1001.3,1001.3,-2.17,274.2,277966.66,-1
2022-05-18,2022-05-18 15:00:00,1001.3,1090.3,1001.3,1001.3,0.0,274.2,277966.66,0
2022-05-19,2022-05-19 11:00:00,982.0,983.5,953.6,974.0,-0.81,3212.2,3097293.84,-1
2022-05-19,2022-05-19 12:00:00,974.0,974.0,966.0,966.0,-0.82,3212.2,3097293.84,-1
2022-05-19,2022-05-19 13:00:00,966.0,966.0,958.0,958.0,-0.83,3212.2,3097293.84,-1
2022-05-19,2022-05-19 14:00:00,958.0,958.0,950.0,950.0,-0.84,3212.2,3097293.84,-1
2022-05-19,2022-05-19 15:00:00,950.0,985.0,925.2,950.0,0.0,3212.2,3097293.84,0
2022-05-20,2022-05-20 11:00:00,960.0,972.5,945.0,952.5,-0.78,916.0,867741.4,-1
2022-05-20,2022-05-20 12:00:00,952.5,952.5,945.0,945.0,-0.79,916.0,867741.4,-1
2022-05-20,2022-05-20 13:00:00,945.0,945.0,937.5,937.5,-0.79,916.0,867741.4,-1
2022-05-20,2022-05-20 14:00:00,937.5,937.5,930.0,930.0,-0.8,916.0,867741.4,-1
2022-05-20,2022-05-20 15:00:00,930.0,985.0,930.0,930.0,0.0,916.0,867741.4,0
2022-05-23,2022-05-23 11:00:00,911.4,911.4,898.2,907.3,-0.45,725.2,648098.24,-1
2022-05-23,2022-05-23 12:00:00,907.3,907.3,903.2,903.2,-0.45,725.2,648098.24,-1
2022-05-23,2022-05-23 13:00:00,903.2,903.2,899.1,899.1,-0.45,725.2,648098.24,-1
2022-05-23,2022-05-23 14:00:00,899.1,899.1,895.0,895.0,-0.46,725.2,648098.24,-1
2022-05-23,2022-05-23 15:00:00,895.0,911.4,885.0,895.0,0.0,725.2,648098.24,0
2022-05-24,2022-05-24 11:00:00,912.5,913.75,876.8,898.62,-1.52,2088.0,1826364.14,-1
2022-05-24,2022-05-24 12:00:00,898.62,898.62,884.75,884.75,-1.54,2088.0,1826364.14,-1
2022-05-24,2022-05-24 13:00:00,884.75,884.75,870.88,870.88,-1.57,2088.0,1826364.14,-1
2022-05-24,2022-05-24 14:00:00,870.88,870.88,857.0,857.0,-1.59,2088.0,1826364.14,-1
2022-05-24,2022-05-24 15:00:00,857.0,915.0,841.1,857.0,0.0,2088.0,1826364.14,0
2022-05-25,2022-05-25 11:00:00,874.1,881.55,858.45,875.08,0.11,1371.2,1180520.92,1
2022-05-25,2022-05-25 12:00:00,875.08,876.05,875.08,876.05,0.11,1371.2,1180520.92,1
2022-05-25,2022-05-25 13:00:00,876.05,877.02,876.05,877.02,0.11,1371.2,1180520.92,1
