published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-10,2025-12-10 11:00:00,319.8,335.75,319.8,327.77,2.49,60.0,20529.4,1
2025-12-10,2025-12-10 12:00:00,327.77,335.75,327.77,335.75,2.43,60.0,20529.4,1
2025-12-10,2025-12-10 13:00:00,335.75,343.73,335.75,343.73,2.38,60.0,20529.4,1
2025-12-10,2025-12-10 14:00:00,343.73,351.7,343.73,351.7,2.32,60.0,20529.4,1
2025-12-10,2025-12-10 15:00:00,351.7,351.7,319.8,351.7,0.0,60.0,20529.4,0
2025-12-11,2025-12-11 11:00:00,358.7,372.75,358.7,365.73,1.96,64.0,24448.4,1
2025-12-11,2025-12-11 12:00:00,365.73,372.75,365.73,372.75,1.92,64.0,24448.4,1
2025-12-11,2025-12-11 13:00:00,372.75,379.77,372.75,379.77,1.88,64.0,24448.4,1
2025-12-11,2025-12-11 14:00:00,379.77,386.8,379.77,386.8,1.85,64.0,24448.4,1
2025-12-11,2025-12-11 15:00:00,386.8,386.8,358.7,386.8,0.0,64.0,24448.4,0
2025-12-14,2025-12-14 11:00:00,379.5,402.45,379.5,390.98,3.03,100.0,42129.2,1
2025-12-14,2025-12-14 12:00:00,390.98,402.45,390.98,402.45,2.93,100.0,42129.2,1
2025-12-14,2025-12-14 13:00:00,402.45,413.92,402.45,413.92,2.85,100.0,42129.2,1
2025-12-14,2025-12-14 14:00:00,413.92,425.4,413.92,425.4,2.77,100.0,42129.2,1
2025-12-14,2025-12-14 15:00:00,425.4,425.4,379.5,425.4,0.0,100.0,42129.2,0
2025-12-15,2025-12-15 11:00:00,433.9,450.9,433.9,442.4,1.96,92.0,42879.6,1
2025-12-15,2025-12-15 12:00:00,442.4,450.9,442.4,450.9,1.92,92.0,42879.6,1
2025-12-15,2025-12-15 13:00:00,450.9,459.4,450.9,459.4,1.89,92.0,42879.6,1
2025-12-15,2025-12-15 14:00:00,459.4,467.9,459.4,467.9,1.85,92.0,42879.6,1
