published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-04-10,2023-04-10 11:00:00,295.0,309.75,295.0,302.38,2.5,41249.4,13313716.08,1
2023-04-10,2023-04-10 12:00:00,302.38,309.75,302.38,309.75,2.44,41249.4,13313716.08,1
2023-04-10,2023-04-10 13:00:00,309.75,317.12,309.75,317.12,2.38,41249.4,13313716.08,1
2023-04-10,2023-04-10 14:00:00,317.12,324.5,317.12,324.5,2.33,41249.4,13313716.08,1
2023-04-10,2023-04-10 15:00:00,324.5,324.5,295.0,324.5,0.0,41249.4,13313716.08,0
2023-04-11,2023-04-11 11:00:00,330.9,336.45,317.45,326.42,-1.35,31769.0,10063659.4,-1
2023-04-11,2023-04-11 12:00:00,326.42,326.42,321.95,321.95,-1.37,31769.0,10063659.4,-1
2023-04-11,2023-04-11 13:00:00,321.95,321.95,317.48,317.48,-1.39,31769.0,10063659.4,-1
2023-04-11,2023-04-11 14:00:00,317.48,317.48,313.0,313.0,-1.41,31769.0,10063659.4,-1
2023-04-11,2023-04-11 15:00:00,313.0,342.0,304.0,313.0,0.0,31769.0,10063659.4,0
2023-04-12,2023-04-12 11:00:00,306.8,320.4,306.8,312.98,2.01,16456.2,5324239.0,1
2023-04-12,2023-04-12 12:00:00,312.98,319.15,312.98,319.15,1.97,16456.2,5324239.0,1
2023-04-12,2023-04-12 13:00:00,319.15,325.32,319.15,325.32,1.93,16456.2,5324239.0,1
2023-04-12,2023-04-12 14:00:00,325.32,331.5,325.32,331.5,1.9,16456.2,5324239.0,1
2023-04-12,2023-04-12 15:00:00,331.5,334.0,306.8,331.5,0.0,16456.2,5324239.0,0
2023-04-13,2023-04-13 11:00:00,338.1,338.1,328.3,333.83,-1.26,9832.2,3176854.6,-1
2023-04-13,2023-04-13 12:00:00,333.83,333.83,329.55,329.55,-1.28,9832.2,3176854.6,-1
2023-04-13,2023-04-13 13:00:00,329.55,329.55,325.27,325.27,-1.3,9832.2,3176854.6,-1
2023-04-13,2023-04-13 14:00:00,325.27,325.27,321.0,321.0,-1.31,9832.2,3176854.6,-1
2023-04-13,2023-04-13 15:00:00,321.0,338.1,318.5,321.0,0.0,9832.2,3176854.6,0
2023-04-16,2023-04-16 11:00:00,319.0,319.5,313.5,316.5,-0.78,12449.2,3895838.08,-1
2023-04-16,2023-04-16 12:00:00,316.5,316.5,314.0,314.0,-0.79,12449.2,3895838.08,-1
2023-04-16,2023-04-16 13:00:00,314.0,314.0,311.5,311.5,-0.8,12449.2,3895838.08,-1
2023-04-16,2023-04-16 14:00:00,311.5,311.5,309.0,309.0,-0.8,12449.2,3895838.08,-1
2023-04-16,2023-04-16 15:00:00,309.0,320.0,308.0,309.0,0.0,12449.2,3895838.08,0
2023-04-17,2023-04-17 11:00:00,304.0,309.5,304.0,306.65,0.87,8376.6,2600849.2,1
2023-04-17,2023-04-17 12:00:00,306.65,309.3,306.65,309.3,0.86,8376.6,2600849.2,1
2023-04-17,2023-04-17 13:00:00,309.3,311.95,309.3,311.95,0.86,8376.6,2600849.2,1
2023-04-17,2023-04-17 14:00:00,311.95,314.6,311.95,314.6,0.85,8376.6,2600849.2,1
2023-04-17,2023-04-17 15:00:00,314.6,315.0,304.0,314.6,0.0,8376.6,2600849.2,0
2023-04-18,2023-04-18 11:00:00,308.4,314.2,305.7,311.3,0.94,7769.0,2444170.6,1
2023-04-18,2023-04-18 12:00:00,311.3,314.2,311.3,314.2,0.93,7769.0,2444170.6,1
