published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-10-31,2021-10-31 11:00:00,254.2,256.7,254.2,255.45,0.49,4.0,1026.8,1
2021-10-31,2021-10-31 12:00:00,255.45,256.7,255.45,256.7,0.49,4.0,1026.8,1
2021-10-31,2021-10-31 13:00:00,256.7,257.95,256.7,257.95,0.49,4.0,1026.8,1
2021-10-31,2021-10-31 14:00:00,257.95,259.2,257.95,259.2,0.48,4.0,1026.8,1
2021-10-31,2021-10-31 15:00:00,259.2,259.2,254.2,259.2,0.0,4.0,1026.8,0
2021-11-01,2021-11-01 11:00:00,264.3,266.9,264.3,265.6,0.49,4.4,1170.84,1
2021-11-01,2021-11-01 12:00:00,265.6,266.9,265.6,266.9,0.49,4.4,1170.84,1
2021-11-01,2021-11-01 13:00:00,266.9,268.2,266.9,268.2,0.49,4.4,1170.84,1
2021-11-01,2021-11-01 14:00:00,268.2,269.5,268.2,269.5,0.48,4.4,1170.84,1
2021-11-01,2021-11-01 15:00:00,269.5,269.5,264.3,269.5,0.0,4.4,1170.84,0
2021-11-02,2021-11-02 11:00:00,274.8,280.3,274.8,277.55,1.0,7.6,2129.44,1
2021-11-02,2021-11-02 12:00:00,277.55,280.3,277.55,280.3,0.99,7.6,2129.44,1
2021-11-02,2021-11-02 13:00:00,280.3,283.05,280.3,283.05,0.98,7.6,2129.44,1
2021-11-02,2021-11-02 14:00:00,283.05,285.8,283.05,285.8,0.97,7.6,2129.44,1
2021-11-02,2021-11-02 15:00:00,285.8,285.8,274.8,285.8,0.0,7.6,2129.44,0
2021-11-03,2021-11-03 11:00:00,288.7,294.45,288.7,291.57,0.99,8.0,2341.02,1
2021-11-03,2021-11-03 12:00:00,291.57,294.45,291.57,294.45,0.99,8.0,2341.02,1
2021-11-03,2021-11-03 13:00:00,294.45,297.32,294.45,297.32,0.97,8.0,2341.02,1
2021-11-03,2021-11-03 14:00:00,297.32,300.2,297.32,300.2,0.97,8.0,2341.02,1
2021-11-03,2021-11-03 15:00:00,300.2,300.2,288.7,300.2,0.0,8.0,2341.02,0
2021-11-08,2021-11-08 11:00:00,300.2,315.2,300.2,307.7,2.5,26.0,8261.16,1
2021-11-08,2021-11-08 12:00:00,307.7,315.2,307.7,315.2,2.44,26.0,8261.16,1
2021-11-08,2021-11-08 13:00:00,315.2,322.7,315.2,322.7,2.38,26.0,8261.16,1
2021-11-08,2021-11-08 14:00:00,322.7,330.2,322.7,330.2,2.32,26.0,8261.16,1
2021-11-08,2021-11-08 15:00:00,330.2,330.2,300.2,330.2,0.0,26.0,8261.16,0
2021-11-09,2021-11-09 11:00:00,336.8,350.0,336.8,343.4,1.96,34.0,12219.0,1
2021-11-09,2021-11-09 12:00:00,343.4,350.0,343.4,350.0,1.92,34.0,12219.0,1
2021-11-09,2021-11-09 13:00:00,350.0,356.6,350.0,356.6,1.89,34.0,12219.0,1
2021-11-09,2021-11-09 14:00:00,356.6,363.2,356.6,363.2,1.85,34.0,12219.0,1
2021-11-09,2021-11-09 15:00:00,363.2,363.2,336.8,363.2,0.0,34.0,12219.0,0
2021-11-11,2021-11-11 11:00:00,370.4,384.95,370.4,377.67,1.96,61.8,24545.56,1
2021-11-11,2021-11-11 12:00:00,377.67,384.95,377.67,384.95,1.93,61.8,24545.56,1
2021-11-11,2021-11-11 13:00:00,384.95,392.23,384.95,392.23,1.89,61.8,24545.56,1
2021-11-11,2021-11-11 14:00:00,392.23,399.5,392.23,399.5,1.85,61.8,24545.56,1
2021-11-11,2021-11-11 15:00:00,399.5,399.5,370.4,399.5,0.0,61.8,24545.56,0
2021-11-14,2021-11-14 11:00:00,407.4,423.4,407.4,415.4,1.96,106.0,46419.0,1
2021-11-14,2021-11-14 12:00:00,415.4,423.4,415.4,423.4,1.93,106.0,46419.0,1
2021-11-14,2021-11-14 13:00:00,423.4,431.4,423.4,431.4,1.89,106.0,46419.0,1
2021-11-14,2021-11-14 14:00:00,431.4,439.4,431.4,439.4,1.85,106.0,46419.0,1
2021-11-14,2021-11-14 15:00:00,439.4,439.4,407.4,439.4,0.0,106.0,46419.0,0
2021-11-15,2021-11-15 11:00:00,448.1,465.7,448.1,456.9,1.96,660.4,318927.72,1
2021-11-15,2021-11-15 12:00:00,456.9,465.7,456.9,465.7,1.93,660.4,318927.72,1
2021-11-15,2021-11-15 13:00:00,465.7,474.5,465.7,474.5,1.89,660.4,318927.72,1
2021-11-15,2021-11-15 14:00:00,474.5,483.3,474.5,483.3,1.85,660.4,318927.72,1
