published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-12-07,2023-12-07 11:00:00,268.0,281.4,268.0,274.7,2.5,3980.8,1173048.24,1
2023-12-07,2023-12-07 12:00:00,274.7,281.4,274.7,281.4,2.44,3980.8,1173048.24,1
2023-12-07,2023-12-07 13:00:00,281.4,288.1,281.4,288.1,2.38,3980.8,1173048.24,1
2023-12-07,2023-12-07 14:00:00,288.1,294.8,288.1,294.8,2.33,3980.8,1173048.24,1
2023-12-07,2023-12-07 15:00:00,294.8,294.8,268.0,294.8,0.0,3980.8,1173048.24,0
2023-12-10,2023-12-10 11:00:00,294.8,309.5,294.8,302.15,2.49,534.0,172571.6,1
2023-12-10,2023-12-10 12:00:00,302.15,309.5,302.15,309.5,2.43,534.0,172571.6,1
2023-12-10,2023-12-10 13:00:00,309.5,316.85,309.5,316.85,2.37,534.0,172571.6,1
2023-12-10,2023-12-10 14:00:00,316.85,324.2,316.85,324.2,2.32,534.0,172571.6,1
2023-12-10,2023-12-10 15:00:00,324.2,324.2,294.8,324.2,0.0,534.0,172571.6,0
2023-12-11,2023-12-11 11:00:00,330.6,337.25,312.3,325.18,-1.64,11838.8,3687954.26,-1
2023-12-11,2023-12-11 12:00:00,325.18,325.18,319.75,319.75,-1.67,11838.8,3687954.26,-1
2023-12-11,2023-12-11 13:00:00,319.75,319.75,314.32,314.32,-1.7,11838.8,3687954.26,-1
2023-12-11,2023-12-11 14:00:00,314.32,314.32,308.9,308.9,-1.72,11838.8,3687954.26,-1
2023-12-11,2023-12-11 15:00:00,308.9,343.9,294.0,308.9,0.0,11838.8,3687954.26,0
2023-12-12,2023-12-12 11:00:00,303.1,321.4,303.05,312.25,3.02,7682.4,2501156.56,1
2023-12-12,2023-12-12 12:00:00,312.25,321.4,312.25,321.4,2.93,7682.4,2501156.56,1
2023-12-12,2023-12-12 13:00:00,321.4,330.55,321.4,330.55,2.85,7682.4,2501156.56,1
2023-12-12,2023-12-12 14:00:00,330.55,339.7,330.55,339.7,2.77,7682.4,2501156.56,1
2023-12-12,2023-12-12 15:00:00,339.7,339.7,303.0,339.7,0.0,7682.4,2501156.56,0
2023-12-13,2023-12-13 11:00:00,339.0,354.1,338.1,344.0,1.47,4416.8,1571862.0,1
2023-12-13,2023-12-13 12:00:00,344.0,349.0,344.0,349.0,1.45,4416.8,1571862.0,1
2023-12-13,2023-12-13 13:00:00,349.0,354.0,349.0,354.0,1.43,4416.8,1571862.0,1
2023-12-13,2023-12-13 14:00:00,354.0,359.0,354.0,359.0,1.41,4416.8,1571862.0,1
2023-12-13,2023-12-13 15:00:00,359.0,369.2,337.2,359.0,0.0,4416.8,1571862.0,0
2023-12-14,2023-12-14 11:00:00,351.9,355.95,342.05,352.92,0.29,6891.4,2402028.52,1
2023-12-14,2023-12-14 12:00:00,352.92,353.95,352.92,353.95,0.29,6891.4,2402028.52,1
2023-12-14,2023-12-14 13:00:00,353.95,354.98,353.95,354.98,0.29,6891.4,2402028.52,1
2023-12-14,2023-12-14 14:00:00,354.98,356.0,354.98,356.0,0.29,6891.4,2402028.52,1
2023-12-14,2023-12-14 15:00:00,356.0,360.0,332.2,356.0,0.0,6891.4,2402028.52,0
2023-12-17,2023-12-17 11:00:00,348.9,352.95,344.45,348.92,0.01,5885.4,2062847.46,1
2023-12-17,2023-12-17 12:00:00,348.92,348.95,348.92,348.95,0.01,5885.4,2062847.46,1
2023-12-17,2023-12-17 13:00:00,348.95,348.98,348.95,348.98,0.01,5885.4,2062847.46,1
2023-12-17,2023-12-17 14:00:00,348.98,349.0,348.98,349.0,0.01,5885.4,2062847.46,1
2023-12-17,2023-12-17 15:00:00,349.0,357.0,340.0,349.0,0.0,5885.4,2062847.46,0
2023-12-18,2023-12-18 11:00:00,355.0,361.5,345.0,350.75,-1.2,7429.6,2596808.16,-1
2023-12-18,2023-12-18 12:00:00,350.75,350.75,346.5,346.5,-1.21,7429.6,2596808.16,-1
2023-12-18,2023-12-18 13:00:00,346.5,346.5,342.25,342.25,-1.23,7429.6,2596808.16,-1
2023-12-18,2023-12-18 14:00:00,342.25,342.25,338.0,338.0,-1.24,7429.6,2596808.16,-1
2023-12-18,2023-12-18 15:00:00,338.0,368.0,335.0,338.0,0.0,7429.6,2596808.16,0
2023-12-19,2023-12-19 11:00:00,333.1,338.55,332.55,334.08,0.29,4091.6,1378426.8,1
2023-12-19,2023-12-19 12:00:00,334.08,335.05,334.08,335.05,0.29,4091.6,1378426.8,1
2023-12-19,2023-12-19 13:00:00,335.05,336.02,335.05,336.02,0.29,4091.6,1378426.8,1
2023-12-19,2023-12-19 14:00:00,336.02,337.0,336.02,337.0,0.29,4091.6,1378426.8,1
2023-12-19,2023-12-19 15:00:00,337.0,344.0,332.0,337.0,0.0,4091.6,1378426.8,0
2023-12-20,2023-12-20 11:00:00,337.0,343.4,334.5,338.43,0.42,5041.4,1714987.88,1
2023-12-20,2023-12-20 12:00:00,338.43,339.85,338.43,339.85,0.42,5041.4,1714987.88,1
2023-12-20,2023-12-20 13:00:00,339.85,341.27,339.85,341.27,0.42,5041.4,1714987.88,1
2023-12-20,2023-12-20 14:00:00,341.27,342.7,341.27,342.7,0.42,5041.4,1714987.88,1
2023-12-20,2023-12-20 15:00:00,342.7,349.8,332.0,342.7,0.0,5041.4,1714987.88,0
2023-12-21,2023-12-21 11:00:00,342.2,347.05,338.1,343.9,0.5,5629.2,1922911.76,1
2023-12-21,2023-12-21 12:00:00,343.9,345.6,343.9,345.6,0.49,5629.2,1922911.76,1
2023-12-21,2023-12-21 13:00:00,345.6,347.3,345.6,347.3,0.49,5629.2,1922911.76,1
2023-12-21,2023-12-21 14:00:00,347.3,349.0,347.3,349.0,0.49,5629.2,1922911.76,1
2023-12-21,2023-12-21 15:00:00,349.0,351.9,334.0,349.0,0.0,5629.2,1922911.76,0
2023-12-24,2023-12-24 11:00:00,355.9,364.45,346.05,360.17,1.2,15259.4,5517318.2,1
2023-12-24,2023-12-24 12:00:00,360.17,364.45,360.17,364.45,1.19,15259.4,5517318.2,1
2023-12-24,2023-12-24 13:00:00,364.45,368.73,364.45,368.73,1.17,15259.4,5517318.2,1
2023-12-24,2023-12-24 14:00:00,368.73,373.0,368.73,373.0,1.16,15259.4,5517318.2,1
2023-12-24,2023-12-24 15:00:00,373.0,373.0,336.2,373.0,0.0,15259.4,5517318.2,0
2023-12-27,2023-12-27 11:00:00,380.4,395.35,380.4,387.8,1.95,11314.8,4571661.12,1
2023-12-27,2023-12-27 12:00:00,387.8,395.2,387.8,395.2,1.91,11314.8,4571661.12,1
2023-12-27,2023-12-27 13:00:00,395.2,402.6,395.2,402.6,1.87,11314.8,4571661.12,1
2023-12-27,2023-12-27 14:00:00,402.6,410.0,402.6,410.0,1.84,11314.8,4571661.12,1
2023-12-27,2023-12-27 15:00:00,410.0,410.3,380.4,410.0,0.0,11314.8,4571661.12,0
2023-12-28,2023-12-28 11:00:00,418.0,426.0,406.5,413.25,-1.14,7899.2,3183421.24,-1
2023-12-28,2023-12-28 12:00:00,413.25,413.25,408.5,408.5,-1.15,7899.2,3183421.24,-1
2023-12-28,2023-12-28 13:00:00,408.5,408.5,403.75,403.75,-1.16,7899.2,3183421.24,-1
2023-12-28,2023-12-28 14:00:00,403.75,403.75,399.0,399.0,-1.18,7899.2,3183421.24,-1
2023-12-28,2023-12-28 15:00:00,399.0,434.0,395.0,399.0,0.0,7899.2,3183421.24,0
2024-01-01,2024-01-01 11:00:00,406.0,407.5,391.0,398.5,-1.85,11180.8,4389243.52,-1
2024-01-01,2024-01-01 12:00:00,398.5,398.5,391.0,391.0,-1.88,11180.8,4389243.52,-1
2024-01-01,2024-01-01 13:00:00,391.0,391.0,383.5,383.5,-1.92,11180.8,4389243.52,-1
2024-01-01,2024-01-01 14:00:00,383.5,383.5,376.0,376.0,-1.96,11180.8,4389243.52,-1
2024-01-01,2024-01-01 15:00:00,376.0,409.0,376.0,376.0,0.0,11180.8,4389243.52,0
2024-01-02,2024-01-02 11:00:00,383.0,383.0,372.4,381.0,-0.52,5747.4,2125266.28,-1
2024-01-02,2024-01-02 12:00:00,381.0,381.0,379.0,379.0,-0.52,5747.4,2125266.28,-1
2024-01-02,2024-01-02 13:00:00,379.0,379.0,377.0,377.0,-0.53,5747.4,2125266.28,-1
2024-01-02,2024-01-02 14:00:00,377.0,377.0,375.0,375.0,-0.53,5747.4,2125266.28,-1
2024-01-02,2024-01-02 15:00:00,375.0,383.0,361.8,375.0,0.0,5747.4,2125266.28,0
2024-01-03,2024-01-03 11:00:00,370.0,383.45,370.0,375.25,1.42,4848.0,1867681.26,1
2024-01-03,2024-01-03 12:00:00,375.25,380.5,375.25,380.5,1.4,4848.0,1867681.26,1
2024-01-03,2024-01-03 13:00:00,380.5,385.75,380.5,385.75,1.38,4848.0,1867681.26,1
2024-01-03,2024-01-03 14:00:00,385.75,391.0,385.75,391.0,1.36,4848.0,1867681.26,1
2024-01-03,2024-01-03 15:00:00,391.0,396.9,370.0,391.0,0.0,4848.0,1867681.26,0
2024-01-04,2024-01-04 11:00:00,396.8,401.4,389.65,393.85,-0.74,7508.6,2951857.46,-1
2024-01-04,2024-01-04 12:00:00,393.85,393.85,390.9,390.9,-0.75,7508.6,2951857.46,-1
2024-01-04,2024-01-04 13:00:00,390.9,390.9,387.95,387.95,-0.75,7508.6,2951857.46,-1
2024-01-04,2024-01-04 14:00:00,387.95,387.95,385.0,385.0,-0.76,7508.6,2951857.46,-1
2024-01-04,2024-01-04 15:00:00,385.0,406.0,382.5,385.0,0.0,7508.6,2951857.46,0
2024-01-07,2024-01-07 11:00:00,377.3,385.0,374.15,378.23,0.25,4094.4,1578670.28,1
2024-01-07,2024-01-07 12:00:00,378.23,379.15,378.23,379.15,0.24,4094.4,1578670.28,1
2024-01-07,2024-01-07 13:00:00,379.15,380.07,379.15,380.07,0.24,4094.4,1578670.28,1
2024-01-07,2024-01-07 14:00:00,380.07,381.0,380.07,381.0,0.24,4094.4,1578670.28,1
2024-01-07,2024-01-07 15:00:00,381.0,392.7,371.0,381.0,0.0,4094.4,1578670.28,0
2024-01-08,2024-01-08 11:00:00,378.0,398.55,378.0,388.27,2.72,11961.2,4884150.6,1
2024-01-08,2024-01-08 12:00:00,388.27,398.55,388.27,398.55,2.65,11961.2,4884150.6,1
2024-01-08,2024-01-08 13:00:00,398.55,408.83,398.55,408.83,2.58,11961.2,4884150.6,1
2024-01-08,2024-01-08 14:00:00,408.83,419.1,408.83,419.1,2.51,11961.2,4884150.6,1
2024-01-08,2024-01-08 15:00:00,419.1,419.1,378.0,419.1,0.0,11961.2,4884150.6,0
2024-01-09,2024-01-09 11:00:00,427.4,444.2,427.2,435.8,1.97,16373.8,7443989.54,1
2024-01-09,2024-01-09 12:00:00,435.8,444.2,435.8,444.2,1.93,16373.8,7443989.54,1
2024-01-09,2024-01-09 13:00:00,444.2,452.6,444.2,452.6,1.89,16373.8,7443989.54,1
2024-01-09,2024-01-09 14:00:00,452.6,461.0,452.6,461.0,1.86,16373.8,7443989.54,1
2024-01-09,2024-01-09 15:00:00,461.0,461.0,427.0,461.0,0.0,16373.8,7443989.54,0
2024-01-10,2024-01-10 11:00:00,470.2,480.1,466.45,471.15,0.2,13136.6,6215626.78,1
2024-01-10,2024-01-10 12:00:00,471.15,472.1,471.15,472.1,0.2,13136.6,6215626.78,1
2024-01-10,2024-01-10 13:00:00,472.1,473.05,472.1,473.05,0.2,13136.6,6215626.78,1
2024-01-10,2024-01-10 14:00:00,473.05,474.0,473.05,474.0,0.2,13136.6,6215626.78,1
2024-01-10,2024-01-10 15:00:00,474.0,490.0,462.7,474.0,0.0,13136.6,6215626.78,0
2024-01-11,2024-01-11 11:00:00,474.0,497.7,467.0,485.85,2.5,13019.0,6547479.72,1
2024-01-11,2024-01-11 12:00:00,485.85,497.7,485.85,497.7,2.44,13019.0,6547479.72,1
2024-01-11,2024-01-11 13:00:00,497.7,509.55,497.7,509.55,2.38,13019.0,6547479.72,1
2024-01-11,2024-01-11 14:00:00,509.55,521.4,509.55,521.4,2.33,13019.0,6547479.72,1
2024-01-11,2024-01-11 15:00:00,521.4,521.4,460.0,521.4,0.0,13019.0,6547479.72,0
2024-01-14,2024-01-14 11:00:00,531.8,552.65,530.9,542.22,1.96,4934.0,2794310.8,1
2024-01-14,2024-01-14 12:00:00,542.22,552.65,542.22,552.65,1.92,4934.0,2794310.8,1
2024-01-14,2024-01-14 13:00:00,552.65,563.08,552.65,563.08,1.89,4934.0,2794310.8,1
2024-01-14,2024-01-14 14:00:00,563.08,573.5,563.08,573.5,1.85,4934.0,2794310.8,1
2024-01-14,2024-01-14 15:00:00,573.5,573.5,530.0,573.5,0.0,4934.0,2794310.8,0
2024-01-16,2024-01-16 11:00:00,584.9,607.85,574.95,591.17,1.07,15304.0,9001329.68,1
2024-01-16,2024-01-16 12:00:00,591.17,597.45,591.17,597.45,1.06,15304.0,9001329.68,1
2024-01-16,2024-01-16 13:00:00,597.45,603.73,597.45,603.73,1.05,15304.0,9001329.68,1
2024-01-16,2024-01-16 14:00:00,603.73,610.0,603.73,610.0,1.04,15304.0,9001329.68,1
2024-01-16,2024-01-16 15:00:00,610.0,630.8,565.0,610.0,0.0,15304.0,9001329.68,0
2024-01-17,2024-01-17 11:00:00,622.0,622.5,592.0,611.25,-1.73,12777.8,7595569.42,-1
2024-01-17,2024-01-17 12:00:00,611.25,611.25,600.5,600.5,-1.76,12777.8,7595569.42,-1
2024-01-17,2024-01-17 13:00:00,600.5,600.5,589.75,589.75,-1.79,12777.8,7595569.42,-1
2024-01-17,2024-01-17 14:00:00,589.75,589.75,579.0,579.0,-1.82,12777.8,7595569.42,-1
2024-01-17,2024-01-17 15:00:00,579.0,623.0,562.0,579.0,0.0,12777.8,7595569.42,0
2024-01-18,2024-01-18 11:00:00,567.5,578.25,563.75,569.65,0.38,7441.6,4291351.18,1
2024-01-18,2024-01-18 12:00:00,569.65,571.8,569.65,571.8,0.38,7441.6,4291351.18,1
2024-01-18,2024-01-18 13:00:00,571.8,573.95,571.8,573.95,0.38,7441.6,4291351.18,1
2024-01-18,2024-01-18 14:00:00,573.95,576.1,573.95,576.1,0.37,7441.6,4291351.18,1
2024-01-18,2024-01-18 15:00:00,576.1,589.0,560.0,576.1,0.0,7441.6,4291351.18,0
2024-01-21,2024-01-21 11:00:00,565.0,593.0,565.0,568.75,0.66,4915.4,2848627.52,1
2024-01-21,2024-01-21 12:00:00,568.75,572.5,568.75,572.5,0.66,4915.4,2848627.52,1
2024-01-21,2024-01-21 13:00:00,572.5,576.25,572.5,576.25,0.66,4915.4,2848627.52,1
2024-01-21,2024-01-21 14:00:00,576.25,580.0,576.25,580.0,0.65,4915.4,2848627.52,1
2024-01-21,2024-01-21 15:00:00,580.0,621.0,565.0,580.0,0.0,4915.4,2848627.52,0
2024-01-22,2024-01-22 11:00:00,568.6,574.3,557.3,563.45,-0.91,4160.6,2332505.34,-1
2024-01-22,2024-01-22 12:00:00,563.45,563.45,558.3,558.3,-0.91,4160.6,2332505.34,-1
2024-01-22,2024-01-22 13:00:00,558.3,558.3,553.15,553.15,-0.92,4160.6,2332505.34,-1
2024-01-22,2024-01-22 14:00:00,553.15,553.15,548.0,548.0,-0.93,4160.6,2332505.34,-1
2024-01-22,2024-01-22 15:00:00,548.0,580.0,546.0,548.0,0.0,4160.6,2332505.34,0
2024-01-23,2024-01-23 11:00:00,550.0,554.5,535.0,544.35,-1.03,3508.0,1915314.8,-1
2024-01-23,2024-01-23 12:00:00,544.35,544.35,538.7,538.7,-1.04,3508.0,1915314.8,-1
2024-01-23,2024-01-23 13:00:00,538.7,538.7,533.05,533.05,-1.05,3508.0,1915314.8,-1
2024-01-23,2024-01-23 14:00:00,533.05,533.05,527.4,527.4,-1.06,3508.0,1915314.8,-1
2024-01-23,2024-01-23 15:00:00,527.4,559.0,520.0,527.4,0.0,3508.0,1915314.8,0
2024-01-24,2024-01-24 11:00:00,537.9,543.25,524.45,534.2,-0.69,3587.0,1892592.0,-1
2024-01-24,2024-01-24 12:00:00,534.2,534.2,530.5,530.5,-0.69,3587.0,1892592.0,-1
2024-01-24,2024-01-24 13:00:00,530.5,530.5,526.8,526.8,-0.7,3587.0,1892592.0,-1
2024-01-24,2024-01-24 14:00:00,526.8,526.8,523.1,523.1,-0.7,3587.0,1892592.0,-1
2024-01-24,2024-01-24 15:00:00,523.1,548.6,511.0,523.1,0.0,3587.0,1892592.0,0
2024-01-25,2024-01-25 11:00:00,517.0,530.55,517.0,522.0,0.97,3161.4,1670513.62,1
2024-01-25,2024-01-25 12:00:00,522.0,527.0,522.0,527.0,0.96,3161.4,1670513.62,1
2024-01-25,2024-01-25 13:00:00,527.0,532.0,527.0,532.0,0.95,3161.4,1670513.62,1
2024-01-25,2024-01-25 14:00:00,532.0,537.0,532.0,537.0,0.94,3161.4,1670513.62,1
2024-01-25,2024-01-25 15:00:00,537.0,544.1,517.0,537.0,0.0,3161.4,1670513.62,0
2024-01-28,2024-01-28 11:00:00,526.3,533.15,524.15,529.72,0.65,3994.4,2120208.6,1
2024-01-28,2024-01-28 12:00:00,529.72,533.15,529.72,533.15,0.65,3994.4,2120208.6,1
2024-01-28,2024-01-28 13:00:00,533.15,536.58,533.15,536.58,0.64,3994.4,2120208.6,1
2024-01-28,2024-01-28 14:00:00,536.58,540.0,536.58,540.0,0.64,3994.4,2120208.6,1
2024-01-28,2024-01-28 15:00:00,540.0,540.0,522.0,540.0,0.0,3994.4,2120208.6,0
2024-01-29,2024-01-29 11:00:00,530.0,561.5,530.0,538.75,1.65,8843.0,5074804.4,1
2024-01-29,2024-01-29 12:00:00,538.75,547.5,538.75,547.5,1.62,8843.0,5074804.4,1
2024-01-29,2024-01-29 13:00:00,547.5,556.25,547.5,556.25,1.6,8843.0,5074804.4,1
2024-01-29,2024-01-29 14:00:00,556.25,565.0,556.25,565.0,1.57,8843.0,5074804.4,1
2024-01-29,2024-01-29 15:00:00,565.0,593.0,530.0,565.0,0.0,8843.0,5074804.4,0
2024-01-30,2024-01-30 11:00:00,570.0,578.75,565.0,573.0,0.53,7289.6,4189574.0,1
2024-01-30,2024-01-30 12:00:00,573.0,576.0,573.0,576.0,0.52,7289.6,4189574.0,1
2024-01-30,2024-01-30 13:00:00,576.0,579.0,576.0,579.0,0.52,7289.6,4189574.0,1
2024-01-30,2024-01-30 14:00:00,579.0,582.0,579.0,582.0,0.52,7289.6,4189574.0,1
2024-01-30,2024-01-30 15:00:00,582.0,587.5,560.0,582.0,0.0,7289.6,4189574.0,0
2024-01-31,2024-01-31 11:00:00,572.1,581.05,565.55,571.58,-0.09,5147.2,2911029.0,-1
2024-01-31,2024-01-31 12:00:00,571.58,571.58,571.05,571.05,-0.09,5147.2,2911029.0,-1
