published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-05-27,2022-05-27 11:00:00,1211.0,1235.45,1211.0,1223.22,1.01,8.0,9834.2,1
2022-05-27,2022-05-27 12:00:00,1223.22,1235.45,1223.22,1235.45,1.0,8.0,9834.2,1
2022-05-27,2022-05-27 13:00:00,1235.45,1247.68,1235.45,1247.68,0.99,8.0,9834.2,1
2022-05-27,2022-05-27 14:00:00,1247.68,1259.9,1247.68,1259.9,0.98,8.0,9834.2,1
2022-05-27,2022-05-27 15:00:00,1259.9,1259.9,1211.0,1259.9,0.0,8.0,9834.2,0
2022-05-30,2022-05-30 11:00:00,1257.7,1310.65,1257.7,1284.17,2.1,14.0,18154.2,1
2022-05-30,2022-05-30 12:00:00,1284.17,1310.65,1284.17,1310.65,2.06,14.0,18154.2,1
2022-05-30,2022-05-30 13:00:00,1310.65,1337.12,1310.65,1337.12,2.02,14.0,18154.2,1
2022-05-30,2022-05-30 14:00:00,1337.12,1363.6,1337.12,1363.6,1.98,14.0,18154.2,1
2022-05-30,2022-05-30 15:00:00,1363.6,1363.6,1257.7,1363.6,0.0,14.0,18154.2,0
2022-05-31,2022-05-31 11:00:00,1390.8,1433.3,1390.8,1412.05,1.53,10.0,14252.72,1
2022-05-31,2022-05-31 12:00:00,1412.05,1433.3,1412.05,1433.3,1.5,10.0,14252.72,1
2022-05-31,2022-05-31 13:00:00,1433.3,1454.55,1433.3,1454.55,1.48,10.0,14252.72,1
2022-05-31,2022-05-31 14:00:00,1454.55,1475.8,1454.55,1475.8,1.46,10.0,14252.72,1
2022-05-31,2022-05-31 15:00:00,1475.8,1475.8,1390.8,1475.8,0.0,10.0,14252.72,0
2022-06-01,2022-06-01 11:00:00,1505.3,1520.35,1505.3,1512.83,0.5,6.0,9104.8,1
2022-06-01,2022-06-01 12:00:00,1512.83,1520.35,1512.83,1520.35,0.5,6.0,9104.8,1
2022-06-01,2022-06-01 13:00:00,1520.35,1527.88,1520.35,1527.88,0.5,6.0,9104.8,1
2022-06-01,2022-06-01 14:00:00,1527.88,1535.4,1527.88,1535.4,0.49,6.0,9104.8,1
2022-06-01,2022-06-01 15:00:00,1535.4,1535.4,1505.3,1535.4,0.0,6.0,9104.8,0
2022-06-02,2022-06-02 11:00:00,1566.1,1581.75,1566.1,1573.92,0.5,4.0,6327.0,1
2022-06-02,2022-06-02 12:00:00,1573.92,1581.75,1573.92,1581.75,0.5,4.0,6327.0,1
2022-06-02,2022-06-02 13:00:00,1581.75,1589.58,1581.75,1589.58,0.5,4.0,6327.0,1
2022-06-02,2022-06-02 14:00:00,1589.58,1597.4,1589.58,1597.4,0.49,4.0,6327.0,1
2022-06-02,2022-06-02 15:00:00,1597.4,1597.4,1566.1,1597.4,0.0,4.0,6327.0,0
2022-06-03,2022-06-03 11:00:00,1603.3,1680.2,1603.3,1641.75,2.4,12.0,20200.6,1
2022-06-03,2022-06-03 12:00:00,1641.75,1680.2,1641.75,1680.2,2.34,12.0,20200.6,1
2022-06-03,2022-06-03 13:00:00,1680.2,1718.65,1680.2,1718.65,2.29,12.0,20200.6,1
2022-06-03,2022-06-03 14:00:00,1718.65,1757.1,1718.65,1757.1,2.24,12.0,20200.6,1
2022-06-03,2022-06-03 15:00:00,1757.1,1757.1,1603.3,1757.1,0.0,12.0,20200.6,0
2022-06-06,2022-06-06 11:00:00,1792.2,1862.5,1792.2,1827.35,1.96,26.0,49563.2,1
2022-06-06,2022-06-06 12:00:00,1827.35,1862.5,1827.35,1862.5,1.92,26.0,49563.2,1
2022-06-06,2022-06-06 13:00:00,1862.5,1897.65,1862.5,1897.65,1.89,26.0,49563.2,1
2022-06-06,2022-06-06 14:00:00,1897.65,1932.8,1897.65,1932.8,1.85,26.0,49563.2,1
2022-06-06,2022-06-06 15:00:00,1932.8,1932.8,1792.2,1932.8,0.0,26.0,49563.2,0
2022-06-07,2022-06-07 11:00:00,1971.4,2048.7,1971.4,2010.05,1.96,38.0,80030.4,1
2022-06-07,2022-06-07 12:00:00,2010.05,2048.7,2010.05,2048.7,1.92,38.0,80030.4,1
2022-06-07,2022-06-07 13:00:00,2048.7,2087.35,2048.7,2087.35,1.89,38.0,80030.4,1
2022-06-07,2022-06-07 14:00:00,2087.35,2126.0,2087.35,2126.0,1.85,38.0,80030.4,1
2022-06-07,2022-06-07 15:00:00,2126.0,2126.0,1971.4,2126.0,0.0,38.0,80030.4,0
2022-06-08,2022-06-08 11:00:00,2168.5,2253.55,2168.5,2211.03,1.96,18.0,41260.8,1
2022-06-08,2022-06-08 12:00:00,2211.03,2253.55,2211.03,2253.55,1.92,18.0,41260.8,1
2022-06-08,2022-06-08 13:00:00,2253.55,2296.07,2253.55,2296.07,1.89,18.0,41260.8,1
2022-06-08,2022-06-08 14:00:00,2296.07,2338.6,2296.07,2338.6,1.85,18.0,41260.8,1
2022-06-08,2022-06-08 15:00:00,2338.6,2338.6,2168.5,2338.6,0.0,18.0,41260.8,0
2022-06-09,2022-06-09 11:00:00,2385.3,2478.85,2385.3,2432.08,1.96,32.0,81399.8,1
2022-06-09,2022-06-09 12:00:00,2432.08,2478.85,2432.08,2478.85,1.92,32.0,81399.8,1
2022-06-09,2022-06-09 13:00:00,2478.85,2525.62,2478.85,2525.62,1.89,32.0,81399.8,1
2022-06-09,2022-06-09 14:00:00,2525.62,2572.4,2525.62,2572.4,1.85,32.0,81399.8,1
2022-06-09,2022-06-09 15:00:00,2572.4,2572.4,2385.3,2572.4,0.0,32.0,81399.8,0
2022-06-10,2022-06-10 11:00:00,2572.0,2700.8,2572.0,2636.4,2.5,371.4,1044609.84,1
2022-06-10,2022-06-10 12:00:00,2636.4,2700.8,2636.4,2700.8,2.44,371.4,1044609.84,1
2022-06-10,2022-06-10 13:00:00,2700.8,2765.2,2700.8,2765.2,2.38,371.4,1044609.84,1
2022-06-10,2022-06-10 14:00:00,2765.2,2829.6,2765.2,2829.6,2.33,371.4,1044609.84,1
2022-06-10,2022-06-10 15:00:00,2829.6,2829.6,2572.0,2829.6,0.0,371.4,1044609.84,0
2022-06-13,2022-06-13 11:00:00,2886.1,2999.3,2793.05,2840.07,-1.59,4012.0,11272807.0,-1
2022-06-13,2022-06-13 12:00:00,2840.07,2840.07,2794.05,2794.05,-1.62,4012.0,11272807.0,-1
2022-06-13,2022-06-13 13:00:00,2794.05,2794.05,2748.03,2748.03,-1.65,4012.0,11272807.0,-1
2022-06-13,2022-06-13 14:00:00,2748.03,2748.03,2702.0,2702.0,-1.68,4012.0,11272807.0,-1
2022-06-13,2022-06-13 15:00:00,2702.0,3112.5,2700.0,2702.0,0.0,4012.0,11272807.0,0
2022-06-14,2022-06-14 11:00:00,2740.0,2740.0,2650.0,2696.0,-1.61,2210.2,5752039.64,-1
2022-06-14,2022-06-14 12:00:00,2696.0,2696.0,2652.0,2652.0,-1.63,2210.2,5752039.64,-1
2022-06-14,2022-06-14 13:00:00,2652.0,2652.0,2608.0,2608.0,-1.66,2210.2,5752039.64,-1
2022-06-14,2022-06-14 14:00:00,2608.0,2608.0,2564.0,2564.0,-1.69,2210.2,5752039.64,-1
2022-06-14,2022-06-14 15:00:00,2564.0,2740.0,2560.0,2564.0,0.0,2210.2,5752039.64,0
2022-06-15,2022-06-15 11:00:00,2565.0,2565.0,2495.0,2550.8,-0.55,1133.4,2806203.9,-1
2022-06-15,2022-06-15 12:00:00,2550.8,2550.8,2536.6,2536.6,-0.56,1133.4,2806203.9,-1
2022-06-15,2022-06-15 13:00:00,2536.6,2536.6,2522.4,2522.4,-0.56,1133.4,2806203.9,-1
2022-06-15,2022-06-15 14:00:00,2522.4,2522.4,2508.2,2508.2,-0.56,1133.4,2806203.9,-1
2022-06-15,2022-06-15 15:00:00,2508.2,2565.0,2425.0,2508.2,0.0,1133.4,2806203.9,0
2022-06-16,2022-06-16 11:00:00,2460.0,2505.0,2460.0,2482.5,0.91,660.8,1651321.12,1
2022-06-16,2022-06-16 12:00:00,2482.5,2505.0,2482.5,2505.0,0.91,660.8,1651321.12,1
2022-06-16,2022-06-16 13:00:00,2505.0,2527.5,2505.0,2527.5,0.9,660.8,1651321.12,1
2022-06-16,2022-06-16 14:00:00,2527.5,2550.0,2527.5,2550.0,0.89,660.8,1651321.12,1
2022-06-16,2022-06-16 15:00:00,2550.0,2550.0,2460.0,2550.0,0.0,660.8,1651321.12,0
2022-06-17,2022-06-17 11:00:00,2599.9,2600.45,2563.1,2586.18,-0.53,344.0,878284.24,-1
2022-06-17,2022-06-17 12:00:00,2586.18,2586.18,2572.45,2572.45,-0.53,344.0,878284.24,-1
2022-06-17,2022-06-17 13:00:00,2572.45,2572.45,2558.72,2558.72,-0.53,344.0,878284.24,-1
2022-06-17,2022-06-17 14:00:00,2558.72,2558.72,2545.0,2545.0,-0.54,344.0,878284.24,-1
2022-06-17,2022-06-17 15:00:00,2545.0,2601.0,2526.3,2545.0,0.0,344.0,878284.24,0
2022-06-19,2022-06-19 11:00:00,2530.0,2540.0,2510.05,2523.0,-0.28,446.0,1118338.0,-1
2022-06-19,2022-06-19 12:00:00,2523.0,2523.0,2516.0,2516.0,-0.28,446.0,1118338.0,-1
2022-06-19,2022-06-19 13:00:00,2516.0,2516.0,2509.0,2509.0,-0.28,446.0,1118338.0,-1
2022-06-19,2022-06-19 14:00:00,2509.0,2509.0,2502.0,2502.0,-0.28,446.0,1118338.0,-1
2022-06-19,2022-06-19 15:00:00,2502.0,2550.0,2490.1,2502.0,0.0,446.0,1118338.0,0
2022-06-20,2022-06-20 11:00:00,2455.0,2477.5,2430.05,2445.0,-0.41,639.4,1559859.12,-1
2022-06-20,2022-06-20 12:00:00,2445.0,2445.0,2435.0,2435.0,-0.41,639.4,1559859.12,-1
2022-06-20,2022-06-20 13:00:00,2435.0,2435.0,2425.0,2425.0,-0.41,639.4,1559859.12,-1
2022-06-20,2022-06-20 14:00:00,2425.0,2425.0,2415.0,2415.0,-0.41,639.4,1559859.12,-1
2022-06-20,2022-06-20 15:00:00,2415.0,2500.0,2405.1,2415.0,0.0,639.4,1559859.12,0
2022-06-21,2022-06-21 11:00:00,2400.0,2455.0,2400.0,2424.75,1.03,465.0,1148496.3,1
2022-06-21,2022-06-21 12:00:00,2424.75,2449.5,2424.75,2449.5,1.02,465.0,1148496.3,1
2022-06-21,2022-06-21 13:00:00,2449.5,2474.25,2449.5,2474.25,1.01,465.0,1148496.3,1
2022-06-21,2022-06-21 14:00:00,2474.25,2499.0,2474.25,2499.0,1.0,465.0,1148496.3,1
2022-06-21,2022-06-21 15:00:00,2499.0,2510.0,2400.0,2499.0,0.0,465.0,1148496.3,0
2022-06-22,2022-06-22 11:00:00,2461.0,2468.5,2440.55,2462.0,0.04,306.0,748416.84,1
2022-06-22,2022-06-22 12:00:00,2462.0,2463.0,2462.0,2463.0,0.04,306.0,748416.84,1
2022-06-22,2022-06-22 13:00:00,2463.0,2464.0,2463.0,2464.0,0.04,306.0,748416.84,1
2022-06-22,2022-06-22 14:00:00,2464.0,2465.0,2464.0,2465.0,0.04,306.0,748416.84,1
2022-06-22,2022-06-22 15:00:00,2465.0,2476.0,2420.1,2465.0,0.0,306.0,748416.84,0
2022-06-23,2022-06-23 11:00:00,2418.0,2424.0,2399.0,2410.0,-0.33,510.4,1224760.0,-1
2022-06-23,2022-06-23 12:00:00,2410.0,2410.0,2402.0,2402.0,-0.33,510.4,1224760.0,-1
2022-06-23,2022-06-23 13:00:00,2402.0,2402.0,2394.0,2394.0,-0.33,510.4,1224760.0,-1
2022-06-23,2022-06-23 14:00:00,2394.0,2394.0,2386.0,2386.0,-0.33,510.4,1224760.0,-1
2022-06-23,2022-06-23 15:00:00,2386.0,2430.0,2380.0,2386.0,0.0,510.4,1224760.0,0
2022-06-24,2022-06-24 11:00:00,2360.0,2419.3,2351.5,2377.0,0.72,171.0,411063.8,1
2022-06-24,2022-06-24 12:00:00,2377.0,2394.0,2377.0,2394.0,0.72,171.0,411063.8,1
2022-06-24,2022-06-24 13:00:00,2394.0,2411.0,2394.0,2411.0,0.71,171.0,411063.8,1
2022-06-24,2022-06-24 14:00:00,2411.0,2428.0,2411.0,2428.0,0.71,171.0,411063.8,1
2022-06-24,2022-06-24 15:00:00,2428.0,2478.6,2343.0,2428.0,0.0,171.0,411063.8,0
2022-06-26,2022-06-26 11:00:00,2476.5,2525.25,2460.75,2492.38,0.64,595.4,1502230.3,1
2022-06-26,2022-06-26 12:00:00,2492.38,2508.25,2492.38,2508.25,0.64,595.4,1502230.3,1
2022-06-26,2022-06-26 13:00:00,2508.25,2524.12,2508.25,2524.12,0.63,595.4,1502230.3,1
2022-06-26,2022-06-26 14:00:00,2524.12,2540.0,2524.12,2540.0,0.63,595.4,1502230.3,1
2022-06-26,2022-06-26 15:00:00,2540.0,2574.0,2445.0,2540.0,0.0,595.4,1502230.3,0
