published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-09-25,2023-09-25 11:00:00,293.0,293.0,278.35,285.75,-2.47,23771.2,6325063.72,-1
2023-09-25,2023-09-25 12:00:00,285.75,285.75,278.5,278.5,-2.54,23771.2,6325063.72,-1
2023-09-25,2023-09-25 13:00:00,278.5,278.5,271.25,271.25,-2.6,23771.2,6325063.72,-1
2023-09-25,2023-09-25 14:00:00,271.25,271.25,264.0,264.0,-2.67,23771.2,6325063.72,-1
2023-09-25,2023-09-25 15:00:00,264.0,293.0,263.7,264.0,0.0,23771.2,6325063.72,0
2023-09-26,2023-09-26 11:00:00,258.8,267.65,258.4,262.85,1.56,12606.4,3374319.04,1
2023-09-26,2023-09-26 12:00:00,262.85,266.9,262.85,266.9,1.54,12606.4,3374319.04,1
2023-09-26,2023-09-26 13:00:00,266.9,270.95,266.9,270.95,1.52,12606.4,3374319.04,1
2023-09-26,2023-09-26 14:00:00,270.95,275.0,270.95,275.0,1.49,12606.4,3374319.04,1
2023-09-26,2023-09-26 15:00:00,275.0,276.5,258.0,275.0,0.0,12606.4,3374319.04,0
2023-09-27,2023-09-27 11:00:00,275.0,288.25,274.5,279.5,1.64,7486.4,2166353.98,1
2023-09-27,2023-09-27 12:00:00,279.5,284.0,279.5,284.0,1.61,7486.4,2166353.98,1
2023-09-27,2023-09-27 13:00:00,284.0,288.5,284.0,288.5,1.58,7486.4,2166353.98,1
2023-09-27,2023-09-27 14:00:00,288.5,293.0,288.5,293.0,1.56,7486.4,2166353.98,1
2023-09-27,2023-09-27 15:00:00,293.0,301.5,274.0,293.0,0.0,7486.4,2166353.98,0
2023-10-01,2023-10-01 11:00:00,290.0,290.0,276.9,284.0,-2.07,13602.6,3683864.6,-1
2023-10-01,2023-10-01 12:00:00,284.0,284.0,278.0,278.0,-2.11,13602.6,3683864.6,-1
2023-10-01,2023-10-01 13:00:00,278.0,278.0,272.0,272.0,-2.16,13602.6,3683864.6,-1
2023-10-01,2023-10-01 14:00:00,272.0,272.0,266.0,266.0,-2.21,13602.6,3683864.6,-1
2023-10-01,2023-10-01 15:00:00,266.0,290.0,263.8,266.0,0.0,13602.6,3683864.6,0
2023-10-02,2023-10-02 11:00:00,260.7,270.35,256.35,264.27,1.37,8538.4,2215187.94,1
2023-10-02,2023-10-02 12:00:00,264.27,267.85,264.27,267.85,1.35,8538.4,2215187.94,1
2023-10-02,2023-10-02 13:00:00,267.85,271.43,267.85,271.43,1.34,8538.4,2215187.94,1
2023-10-02,2023-10-02 14:00:00,271.43,275.0,271.43,275.0,1.32,8538.4,2215187.94,1
2023-10-02,2023-10-02 15:00:00,275.0,280.0,252.0,275.0,0.0,8538.4,2215187.94,0
