published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2010-09-16,2010-09-16 11:00:00,117.0,118.5,116.7,117.12,0.1,211.2,0.0,1
2010-09-16,2010-09-16 11:10:00,117.12,117.25,117.12,117.25,0.11,211.2,0.0,1
2010-09-16,2010-09-16 11:20:00,117.25,117.38,117.25,117.38,0.11,211.2,0.0,1
2010-09-16,2010-09-16 11:30:00,117.38,117.5,117.38,117.5,0.1,211.2,0.0,1
2010-09-16,2010-09-16 11:40:00,117.5,117.62,117.5,117.62,0.1,211.2,0.0,1
2010-09-16,2010-09-16 11:50:00,117.62,117.75,117.62,117.75,0.11,211.2,0.0,1
2010-09-16,2010-09-16 12:00:00,117.75,117.88,117.75,117.88,0.11,211.2,0.0,1
2010-09-16,2010-09-16 12:10:00,117.88,118.0,117.88,118.0,0.1,211.2,0.0,1
2010-09-16,2010-09-16 12:20:00,118.0,118.12,118.0,118.12,0.1,211.2,0.0,1
2010-09-16,2010-09-16 12:30:00,118.12,118.25,118.12,118.25,0.11,211.2,0.0,1
2010-09-16,2010-09-16 12:40:00,118.25,118.38,118.25,118.38,0.11,211.2,0.0,1
2010-09-16,2010-09-16 12:50:00,118.38,118.5,118.38,118.5,0.1,211.2,0.0,1
2010-09-16,2010-09-16 13:00:00,118.5,122.0,116.0,118.62,0.1,211.2,0.0,1
2010-09-16,2010-09-16 13:10:00,118.62,118.75,118.62,118.75,0.11,211.2,0.0,1
2010-09-16,2010-09-16 13:20:00,118.75,118.88,118.75,118.88,0.11,211.2,0.0,1
2010-09-16,2010-09-16 13:30:00,118.88,119.0,118.88,119.0,0.1,211.2,0.0,1
2010-09-16,2010-09-16 13:40:00,119.0,119.12,119.0,119.12,0.1,211.2,0.0,1
2010-09-16,2010-09-16 13:50:00,119.12,119.25,119.12,119.25,0.11,211.2,0.0,1
2010-09-16,2010-09-16 14:00:00,119.25,119.38,119.25,119.38,0.11,211.2,0.0,1
2010-09-16,2010-09-16 14:10:00,119.38,119.5,119.38,119.5,0.1,211.2,0.0,1
2010-09-16,2010-09-16 14:20:00,119.5,119.62,119.5,119.62,0.1,211.2,0.0,1
2010-09-16,2010-09-16 14:30:00,119.62,119.75,119.62,119.75,0.11,211.2,0.0,1
2010-09-16,2010-09-16 14:40:00,119.75,119.88,119.75,119.88,0.11,211.2,0.0,1
2010-09-16,2010-09-16 14:50:00,119.88,120.0,119.88,120.0,0.1,211.2,0.0,1
2010-09-16,2010-09-16 15:00:00,120.0,122.0,116.0,120.0,0.0,211.2,0.0,0
2010-09-19,2010-09-19 11:00:00,120.0,120.0,118.8,119.92,-0.07,105.92,0.0,-1
2010-09-19,2010-09-19 11:10:00,119.92,119.92,119.83,119.83,-0.08,105.92,0.0,-1
2010-09-19,2010-09-19 11:20:00,119.83,119.83,119.75,119.75,-0.07,105.92,0.0,-1
2010-09-19,2010-09-19 11:30:00,119.75,119.75,119.67,119.67,-0.07,105.92,0.0,-1
2010-09-19,2010-09-19 11:40:00,119.67,119.67,119.58,119.58,-0.08,105.92,0.0,-1
2010-09-19,2010-09-19 11:50:00,119.58,119.58,119.5,119.5,-0.07,105.92,0.0,-1
2010-09-19,2010-09-19 12:00:00,119.5,119.5,119.42,119.42,-0.07,105.92,0.0,-1
2010-09-19,2010-09-19 12:10:00,119.42,119.42,119.33,119.33,-0.08,105.92,0.0,-1
2010-09-19,2010-09-19 12:20:00,119.33,119.33,119.25,119.25,-0.07,105.92,0.0,-1
2010-09-19,2010-09-19 12:30:00,119.25,119.25,119.17,119.17,-0.07,105.92,0.0,-1
2010-09-19,2010-09-19 12:40:00,119.17,119.17,119.08,119.08,-0.08,105.92,0.0,-1
2010-09-19,2010-09-19 12:50:00,119.08,119.08,119.0,119.0,-0.07,105.92,0.0,-1
2010-09-19,2010-09-19 13:00:00,119.0,120.0,116.0,118.92,-0.07,105.92,0.0,-1
2010-09-19,2010-09-19 13:10:00,118.92,118.92,118.83,118.83,-0.08,105.92,0.0,-1
2010-09-19,2010-09-19 13:20:00,118.83,118.83,118.75,118.75,-0.07,105.92,0.0,-1
2010-09-19,2010-09-19 13:30:00,118.75,118.75,118.67,118.67,-0.07,105.92,0.0,-1
2010-09-19,2010-09-19 13:40:00,118.67,118.67,118.58,118.58,-0.08,105.92,0.0,-1
2010-09-19,2010-09-19 13:50:00,118.58,118.58,118.5,118.5,-0.07,105.92,0.0,-1
2010-09-19,2010-09-19 14:00:00,118.5,118.5,118.42,118.42,-0.07,105.92,0.0,-1
2010-09-19,2010-09-19 14:10:00,118.42,118.42,118.33,118.33,-0.08,105.92,0.0,-1
2010-09-19,2010-09-19 14:20:00,118.33,118.33,118.25,118.25,-0.07,105.92,0.0,-1
2010-09-19,2010-09-19 14:30:00,118.25,118.25,118.17,118.17,-0.07,105.92,0.0,-1
2010-09-19,2010-09-19 14:40:00,118.17,118.17,118.08,118.08,-0.08,105.92,0.0,-1
2010-09-19,2010-09-19 14:50:00,118.08,118.08,118.0,118.0,-0.07,105.92,0.0,-1
2010-09-19,2010-09-19 15:00:00,118.0,120.0,116.0,118.0,0.0,105.92,0.0,0
2010-09-20,2010-09-20 11:00:00,118.0,118.3,117.4,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 11:10:00,118.0,118.0,118.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 11:20:00,118.0,118.0,118.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 11:30:00,118.0,118.0,118.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 11:40:00,118.0,118.0,118.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 11:50:00,118.0,118.0,118.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 12:00:00,118.0,118.0,118.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 12:10:00,118.0,118.0,118.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 12:20:00,118.0,118.0,118.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 12:30:00,118.0,118.0,118.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 12:40:00,118.0,118.0,118.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 12:50:00,118.0,118.0,118.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 13:00:00,118.0,119.0,116.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 13:10:00,118.0,118.0,118.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 13:20:00,118.0,118.0,118.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 13:30:00,118.0,118.0,118.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 13:40:00,118.0,118.0,118.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 13:50:00,118.0,118.0,118.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 14:00:00,118.0,118.0,118.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 14:10:00,118.0,118.0,118.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 14:20:00,118.0,118.0,118.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 14:30:00,118.0,118.0,118.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 14:40:00,118.0,118.0,118.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 14:50:00,118.0,118.0,118.0,118.0,0.0,93.84,0.0,0
2010-09-20,2010-09-20 15:00:00,118.0,119.0,116.0,118.0,0.0,93.84,0.0,0
2010-09-21,2010-09-21 11:00:00,118.0,118.0,117.1,117.92,-0.07,286.4,0.0,-1
2010-09-21,2010-09-21 11:10:00,117.92,117.92,117.83,117.83,-0.08,286.4,0.0,-1
2010-09-21,2010-09-21 11:20:00,117.83,117.83,117.75,117.75,-0.07,286.4,0.0,-1
2010-09-21,2010-09-21 11:30:00,117.75,117.75,117.67,117.67,-0.07,286.4,0.0,-1
2010-09-21,2010-09-21 11:40:00,117.67,117.67,117.58,117.58,-0.08,286.4,0.0,-1
2010-09-21,2010-09-21 11:50:00,117.58,117.58,117.5,117.5,-0.07,286.4,0.0,-1
2010-09-21,2010-09-21 12:00:00,117.5,117.5,117.42,117.42,-0.07,286.4,0.0,-1
2010-09-21,2010-09-21 12:10:00,117.42,117.42,117.33,117.33,-0.08,286.4,0.0,-1
2010-09-21,2010-09-21 12:20:00,117.33,117.33,117.25,117.25,-0.07,286.4,0.0,-1
2010-09-21,2010-09-21 12:30:00,117.25,117.25,117.17,117.17,-0.07,286.4,0.0,-1
2010-09-21,2010-09-21 12:40:00,117.17,117.17,117.08,117.08,-0.08,286.4,0.0,-1
2010-09-21,2010-09-21 12:50:00,117.08,117.08,117.0,117.0,-0.07,286.4,0.0,-1
2010-09-21,2010-09-21 13:00:00,117.0,118.0,115.0,116.92,-0.07,286.4,0.0,-1
2010-09-21,2010-09-21 13:10:00,116.92,116.92,116.83,116.83,-0.08,286.4,0.0,-1
2010-09-21,2010-09-21 13:20:00,116.83,116.83,116.75,116.75,-0.07,286.4,0.0,-1
2010-09-21,2010-09-21 13:30:00,116.75,116.75,116.67,116.67,-0.07,286.4,0.0,-1
2010-09-21,2010-09-21 13:40:00,116.67,116.67,116.58,116.58,-0.08,286.4,0.0,-1
2010-09-21,2010-09-21 13:50:00,116.58,116.58,116.5,116.5,-0.07,286.4,0.0,-1
2010-09-21,2010-09-21 14:00:00,116.5,116.5,116.42,116.42,-0.07,286.4,0.0,-1
2010-09-21,2010-09-21 14:10:00,116.42,116.42,116.33,116.33,-0.08,286.4,0.0,-1
2010-09-21,2010-09-21 14:20:00,116.33,116.33,116.25,116.25,-0.07,286.4,0.0,-1
2010-09-21,2010-09-21 14:30:00,116.25,116.25,116.17,116.17,-0.07,286.4,0.0,-1
2010-09-21,2010-09-21 14:40:00,116.17,116.17,116.08,116.08,-0.08,286.4,0.0,-1
