published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-03-23,2023-03-23 11:00:00,298.8,307.74,298.8,300.04,0.41,128.8,42221.23,1
2023-03-23,2023-03-23 11:10:00,300.04,301.28,300.04,301.28,0.41,128.8,42221.23,1
2023-03-23,2023-03-23 11:20:00,301.28,302.53,301.28,302.53,0.41,128.8,42221.23,1
2023-03-23,2023-03-23 11:30:00,302.53,303.77,302.53,303.77,0.41,128.8,42221.23,1
2023-03-23,2023-03-23 11:40:00,303.77,305.01,303.77,305.01,0.41,128.8,42221.23,1
2023-03-23,2023-03-23 11:50:00,305.01,306.25,305.01,306.25,0.41,128.8,42221.23,1
2023-03-23,2023-03-23 12:00:00,306.25,307.49,306.25,307.49,0.4,128.8,42221.23,1
2023-03-23,2023-03-23 12:10:00,307.49,308.73,307.49,308.73,0.4,128.8,42221.23,1
2023-03-23,2023-03-23 12:20:00,308.73,309.98,308.73,309.98,0.4,128.8,42221.23,1
2023-03-23,2023-03-23 12:30:00,309.98,311.22,309.98,311.22,0.4,128.8,42221.23,1
2023-03-23,2023-03-23 12:40:00,311.22,312.46,311.22,312.46,0.4,128.8,42221.23,1
2023-03-23,2023-03-23 12:50:00,312.46,313.7,312.46,313.7,0.4,128.8,42221.23,1
2023-03-23,2023-03-23 13:00:00,313.7,328.6,298.8,314.94,0.4,128.8,42221.23,1
2023-03-23,2023-03-23 13:10:00,314.94,316.18,314.94,316.18,0.39,128.8,42221.23,1
2023-03-23,2023-03-23 13:20:00,316.18,317.43,316.18,317.43,0.4,128.8,42221.23,1
2023-03-23,2023-03-23 13:30:00,317.43,318.67,317.43,318.67,0.39,128.8,42221.23,1
2023-03-23,2023-03-23 13:40:00,318.67,319.91,318.67,319.91,0.39,128.8,42221.23,1
2023-03-23,2023-03-23 13:50:00,319.91,321.15,319.91,321.15,0.39,128.8,42221.23,1
2023-03-23,2023-03-23 14:00:00,321.15,322.39,321.15,322.39,0.39,128.8,42221.23,1
2023-03-23,2023-03-23 14:10:00,322.39,323.63,322.39,323.63,0.38,128.8,42221.23,1
2023-03-23,2023-03-23 14:20:00,323.63,324.88,323.63,324.88,0.39,128.8,42221.23,1
2023-03-23,2023-03-23 14:30:00,324.88,326.12,324.88,326.12,0.38,128.8,42221.23,1
2023-03-23,2023-03-23 14:40:00,326.12,327.36,326.12,327.36,0.38,128.8,42221.23,1
2023-03-23,2023-03-23 14:50:00,327.36,328.6,327.36,328.6,0.38,128.8,42221.23,1
2023-03-23,2023-03-23 15:00:00,328.6,328.6,298.8,328.6,0.0,128.8,42221.23,0
2023-03-26,2023-03-26 11:00:00,335.0,342.92,335.0,336.1,0.33,39.2,14140.88,1
2023-03-26,2023-03-26 11:10:00,336.1,337.2,336.1,337.2,0.33,39.2,14140.88,1
2023-03-26,2023-03-26 11:20:00,337.2,338.3,337.2,338.3,0.33,39.2,14140.88,1
2023-03-26,2023-03-26 11:30:00,338.3,339.4,338.3,339.4,0.33,39.2,14140.88,1
2023-03-26,2023-03-26 11:40:00,339.4,340.5,339.4,340.5,0.32,39.2,14140.88,1
2023-03-26,2023-03-26 11:50:00,340.5,341.6,340.5,341.6,0.32,39.2,14140.88,1
2023-03-26,2023-03-26 12:00:00,341.6,342.7,341.6,342.7,0.32,39.2,14140.88,1
2023-03-26,2023-03-26 12:10:00,342.7,343.8,342.7,343.8,0.32,39.2,14140.88,1
2023-03-26,2023-03-26 12:20:00,343.8,344.9,343.8,344.9,0.32,39.2,14140.88,1
2023-03-26,2023-03-26 12:30:00,344.9,346.0,344.9,346.0,0.32,39.2,14140.88,1
2023-03-26,2023-03-26 12:40:00,346.0,347.1,346.0,347.1,0.32,39.2,14140.88,1
2023-03-26,2023-03-26 12:50:00,347.1,348.2,347.1,348.2,0.32,39.2,14140.88,1
2023-03-26,2023-03-26 13:00:00,348.2,361.4,335.0,349.3,0.32,39.2,14140.88,1
2023-03-26,2023-03-26 13:10:00,349.3,350.4,349.3,350.4,0.31,39.2,14140.88,1
2023-03-26,2023-03-26 13:20:00,350.4,351.5,350.4,351.5,0.31,39.2,14140.88,1
2023-03-26,2023-03-26 13:30:00,351.5,352.6,351.5,352.6,0.31,39.2,14140.88,1
2023-03-26,2023-03-26 13:40:00,352.6,353.7,352.6,353.7,0.31,39.2,14140.88,1
2023-03-26,2023-03-26 13:50:00,353.7,354.8,353.7,354.8,0.31,39.2,14140.88,1
2023-03-26,2023-03-26 14:00:00,354.8,355.9,354.8,355.9,0.31,39.2,14140.88,1
2023-03-26,2023-03-26 14:10:00,355.9,357.0,355.9,357.0,0.31,39.2,14140.88,1
2023-03-26,2023-03-26 14:20:00,357.0,358.1,357.0,358.1,0.31,39.2,14140.88,1
2023-03-26,2023-03-26 14:30:00,358.1,359.2,358.1,359.2,0.31,39.2,14140.88,1
2023-03-26,2023-03-26 14:40:00,359.2,360.3,359.2,360.3,0.31,39.2,14140.88,1
2023-03-26,2023-03-26 14:50:00,360.3,361.4,360.3,361.4,0.31,39.2,14140.88,1
2023-03-26,2023-03-26 15:00:00,361.4,361.4,335.0,361.4,0.0,39.2,14140.88,0
2023-03-27,2023-03-27 11:00:00,368.6,377.27,368.6,369.8,0.33,256.4,101890.56,1
2023-03-27,2023-03-27 11:10:00,369.8,371.01,369.8,371.01,0.33,256.4,101890.56,1
2023-03-27,2023-03-27 11:20:00,371.01,372.21,371.01,372.21,0.32,256.4,101890.56,1
2023-03-27,2023-03-27 11:30:00,372.21,373.42,372.21,373.42,0.33,256.4,101890.56,1
2023-03-27,2023-03-27 11:40:00,373.42,374.62,373.42,374.62,0.32,256.4,101890.56,1
2023-03-27,2023-03-27 11:50:00,374.62,375.83,374.62,375.83,0.32,256.4,101890.56,1
2023-03-27,2023-03-27 12:00:00,375.83,377.03,375.83,377.03,0.32,256.4,101890.56,1
2023-03-27,2023-03-27 12:10:00,377.03,378.23,377.03,378.23,0.32,256.4,101890.56,1
2023-03-27,2023-03-27 12:20:00,378.23,379.44,378.23,379.44,0.32,256.4,101890.56,1
2023-03-27,2023-03-27 12:30:00,379.44,380.64,379.44,380.64,0.32,256.4,101890.56,1
2023-03-27,2023-03-27 12:40:00,380.64,381.85,380.64,381.85,0.32,256.4,101890.56,1
2023-03-27,2023-03-27 12:50:00,381.85,383.05,381.85,383.05,0.31,256.4,101890.56,1
2023-03-27,2023-03-27 13:00:00,383.05,397.5,368.6,384.25,0.31,256.4,101890.56,1
2023-03-27,2023-03-27 13:10:00,384.25,385.46,384.25,385.46,0.31,256.4,101890.56,1
2023-03-27,2023-03-27 13:20:00,385.46,386.66,385.46,386.66,0.31,256.4,101890.56,1
2023-03-27,2023-03-27 13:30:00,386.66,387.87,386.66,387.87,0.31,256.4,101890.56,1
2023-03-27,2023-03-27 13:40:00,387.87,389.07,387.87,389.07,0.31,256.4,101890.56,1
2023-03-27,2023-03-27 13:50:00,389.07,390.27,389.07,390.27,0.31,256.4,101890.56,1
2023-03-27,2023-03-27 14:00:00,390.27,391.48,390.27,391.48,0.31,256.4,101890.56,1
