published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2018-12-25,2018-12-25 11:00:00,102.0,102.0,100.8,101.96,-0.04,23.6,2355.2,-1
2018-12-25,2018-12-25 11:10:00,101.96,101.96,101.92,101.92,-0.04,23.6,2355.2,-1
2018-12-25,2018-12-25 11:20:00,101.92,101.92,101.88,101.88,-0.04,23.6,2355.2,-1
2018-12-25,2018-12-25 11:30:00,101.88,101.88,101.83,101.83,-0.05,23.6,2355.2,-1
2018-12-25,2018-12-25 11:40:00,101.83,101.83,101.79,101.79,-0.04,23.6,2355.2,-1
2018-12-25,2018-12-25 11:50:00,101.79,101.79,101.75,101.75,-0.04,23.6,2355.2,-1
2018-12-25,2018-12-25 12:00:00,101.75,101.75,101.71,101.71,-0.04,23.6,2355.2,-1
2018-12-25,2018-12-25 12:10:00,101.71,101.71,101.67,101.67,-0.04,23.6,2355.2,-1
2018-12-25,2018-12-25 12:20:00,101.67,101.67,101.62,101.62,-0.05,23.6,2355.2,-1
2018-12-25,2018-12-25 12:30:00,101.62,101.62,101.58,101.58,-0.04,23.6,2355.2,-1
2018-12-25,2018-12-25 12:40:00,101.58,101.58,101.54,101.54,-0.04,23.6,2355.2,-1
2018-12-25,2018-12-25 12:50:00,101.54,101.54,101.5,101.5,-0.04,23.6,2355.2,-1
2018-12-25,2018-12-25 13:00:00,101.5,102.0,98.0,101.46,-0.04,23.6,2355.2,-1
2018-12-25,2018-12-25 13:10:00,101.46,101.46,101.42,101.42,-0.04,23.6,2355.2,-1
2018-12-25,2018-12-25 13:20:00,101.42,101.42,101.38,101.38,-0.04,23.6,2355.2,-1
2018-12-25,2018-12-25 13:30:00,101.38,101.38,101.33,101.33,-0.05,23.6,2355.2,-1
2018-12-25,2018-12-25 13:40:00,101.33,101.33,101.29,101.29,-0.04,23.6,2355.2,-1
2018-12-25,2018-12-25 13:50:00,101.29,101.29,101.25,101.25,-0.04,23.6,2355.2,-1
2018-12-25,2018-12-25 14:00:00,101.25,101.25,101.21,101.21,-0.04,23.6,2355.2,-1
2018-12-25,2018-12-25 14:10:00,101.21,101.21,101.17,101.17,-0.04,23.6,2355.2,-1
2018-12-25,2018-12-25 14:20:00,101.17,101.17,101.12,101.12,-0.05,23.6,2355.2,-1
2018-12-25,2018-12-25 14:30:00,101.12,101.12,101.08,101.08,-0.04,23.6,2355.2,-1
2018-12-25,2018-12-25 14:40:00,101.08,101.08,101.04,101.04,-0.04,23.6,2355.2,-1
2018-12-25,2018-12-25 14:50:00,101.04,101.04,101.0,101.0,-0.04,23.6,2355.2,-1
2018-12-25,2018-12-25 15:00:00,101.0,102.0,98.0,101.0,0.0,23.6,2355.2,0
2018-12-26,2018-12-26 11:00:00,100.0,100.6,100.0,100.04,0.04,15.6,1579.6,1
2018-12-26,2018-12-26 11:10:00,100.04,100.08,100.04,100.08,0.04,15.6,1579.6,1
2018-12-26,2018-12-26 11:20:00,100.08,100.12,100.08,100.12,0.04,15.6,1579.6,1
2018-12-26,2018-12-26 11:30:00,100.12,100.17,100.12,100.17,0.05,15.6,1579.6,1
2018-12-26,2018-12-26 11:40:00,100.17,100.21,100.17,100.21,0.04,15.6,1579.6,1
2018-12-26,2018-12-26 11:50:00,100.21,100.25,100.21,100.25,0.04,15.6,1579.6,1
2018-12-26,2018-12-26 12:00:00,100.25,100.29,100.25,100.29,0.04,15.6,1579.6,1
2018-12-26,2018-12-26 12:10:00,100.29,100.33,100.29,100.33,0.04,15.6,1579.6,1
2018-12-26,2018-12-26 12:20:00,100.33,100.38,100.33,100.38,0.05,15.6,1579.6,1
2018-12-26,2018-12-26 12:30:00,100.38,100.42,100.38,100.42,0.04,15.6,1579.6,1
2018-12-26,2018-12-26 12:40:00,100.42,100.46,100.42,100.46,0.04,15.6,1579.6,1
2018-12-26,2018-12-26 12:50:00,100.46,100.5,100.46,100.5,0.04,15.6,1579.6,1
2018-12-26,2018-12-26 13:00:00,100.5,102.0,100.0,100.54,0.04,15.6,1579.6,1
2018-12-26,2018-12-26 13:10:00,100.54,100.58,100.54,100.58,0.04,15.6,1579.6,1
2018-12-26,2018-12-26 13:20:00,100.58,100.62,100.58,100.62,0.04,15.6,1579.6,1
2018-12-26,2018-12-26 13:30:00,100.62,100.67,100.62,100.67,0.05,15.6,1579.6,1
2018-12-26,2018-12-26 13:40:00,100.67,100.71,100.67,100.71,0.04,15.6,1579.6,1
2018-12-26,2018-12-26 13:50:00,100.71,100.75,100.71,100.75,0.04,15.6,1579.6,1
2018-12-26,2018-12-26 14:00:00,100.75,100.79,100.75,100.79,0.04,15.6,1579.6,1
2018-12-26,2018-12-26 14:10:00,100.79,100.83,100.79,100.83,0.04,15.6,1579.6,1
2018-12-26,2018-12-26 14:20:00,100.83,100.88,100.83,100.88,0.05,15.6,1579.6,1
2018-12-26,2018-12-26 14:30:00,100.88,100.92,100.88,100.92,0.04,15.6,1579.6,1
2018-12-26,2018-12-26 14:40:00,100.92,100.96,100.92,100.96,0.04,15.6,1579.6,1
2018-12-26,2018-12-26 14:50:00,100.96,101.0,100.96,101.0,0.04,15.6,1579.6,1
2018-12-26,2018-12-26 15:00:00,101.0,102.0,100.0,101.0,0.0,15.6,1579.6,0
2018-12-27,2018-12-27 11:00:00,100.0,100.6,99.7,99.96,-0.04,33.6,3369.6,-1
2018-12-27,2018-12-27 11:10:00,99.96,99.96,99.92,99.92,-0.04,33.6,3369.6,-1
2018-12-27,2018-12-27 11:20:00,99.92,99.92,99.88,99.88,-0.04,33.6,3369.6,-1
2018-12-27,2018-12-27 11:30:00,99.88,99.88,99.83,99.83,-0.05,33.6,3369.6,-1
2018-12-27,2018-12-27 11:40:00,99.83,99.83,99.79,99.79,-0.04,33.6,3369.6,-1
2018-12-27,2018-12-27 11:50:00,99.79,99.79,99.75,99.75,-0.04,33.6,3369.6,-1
2018-12-27,2018-12-27 12:00:00,99.75,99.75,99.71,99.71,-0.04,33.6,3369.6,-1
2018-12-27,2018-12-27 12:10:00,99.71,99.71,99.67,99.67,-0.04,33.6,3369.6,-1
2018-12-27,2018-12-27 12:20:00,99.67,99.67,99.62,99.62,-0.05,33.6,3369.6,-1
2018-12-27,2018-12-27 12:30:00,99.62,99.62,99.58,99.58,-0.04,33.6,3369.6,-1
2018-12-27,2018-12-27 12:40:00,99.58,99.58,99.54,99.54,-0.04,33.6,3369.6,-1
2018-12-27,2018-12-27 12:50:00,99.54,99.54,99.5,99.5,-0.04,33.6,3369.6,-1
2018-12-27,2018-12-27 13:00:00,99.5,102.0,99.0,99.46,-0.04,33.6,3369.6,-1
2018-12-27,2018-12-27 13:10:00,99.46,99.46,99.42,99.42,-0.04,33.6,3369.6,-1
2018-12-27,2018-12-27 13:20:00,99.42,99.42,99.38,99.38,-0.04,33.6,3369.6,-1
2018-12-27,2018-12-27 13:30:00,99.38,99.38,99.33,99.33,-0.05,33.6,3369.6,-1
2018-12-27,2018-12-27 13:40:00,99.33,99.33,99.29,99.29,-0.04,33.6,3369.6,-1
2018-12-27,2018-12-27 13:50:00,99.29,99.29,99.25,99.25,-0.04,33.6,3369.6,-1
2018-12-27,2018-12-27 14:00:00,99.25,99.25,99.21,99.21,-0.04,33.6,3369.6,-1
2018-12-27,2018-12-27 14:10:00,99.21,99.21,99.17,99.17,-0.04,33.6,3369.6,-1
2018-12-27,2018-12-27 14:20:00,99.17,99.17,99.12,99.12,-0.05,33.6,3369.6,-1
2018-12-27,2018-12-27 14:30:00,99.12,99.12,99.08,99.08,-0.04,33.6,3369.6,-1
2018-12-27,2018-12-27 14:40:00,99.08,99.08,99.04,99.04,-0.04,33.6,3369.6,-1
2018-12-27,2018-12-27 14:50:00,99.04,99.04,99.0,99.0,-0.04,33.6,3369.6,-1
2018-12-27,2018-12-27 15:00:00,99.0,102.0,99.0,99.0,0.0,33.6,3369.6,0
2018-12-30,2018-12-30 11:00:00,100.0,100.0,99.4,99.96,-0.04,16.8,1656.0,-1
2018-12-30,2018-12-30 11:10:00,99.96,99.96,99.92,99.92,-0.04,16.8,1656.0,-1
2018-12-30,2018-12-30 11:20:00,99.92,99.92,99.88,99.88,-0.04,16.8,1656.0,-1
2018-12-30,2018-12-30 11:30:00,99.88,99.88,99.83,99.83,-0.05,16.8,1656.0,-1
2018-12-30,2018-12-30 11:40:00,99.83,99.83,99.79,99.79,-0.04,16.8,1656.0,-1
2018-12-30,2018-12-30 11:50:00,99.79,99.79,99.75,99.75,-0.04,16.8,1656.0,-1
2018-12-30,2018-12-30 12:00:00,99.75,99.75,99.71,99.71,-0.04,16.8,1656.0,-1
2018-12-30,2018-12-30 12:10:00,99.71,99.71,99.67,99.67,-0.04,16.8,1656.0,-1
2018-12-30,2018-12-30 12:20:00,99.67,99.67,99.62,99.62,-0.05,16.8,1656.0,-1
2018-12-30,2018-12-30 12:30:00,99.62,99.62,99.58,99.58,-0.04,16.8,1656.0,-1
2018-12-30,2018-12-30 12:40:00,99.58,99.58,99.54,99.54,-0.04,16.8,1656.0,-1
2018-12-30,2018-12-30 12:50:00,99.54,99.54,99.5,99.5,-0.04,16.8,1656.0,-1
2018-12-30,2018-12-30 13:00:00,99.5,100.0,98.0,99.46,-0.04,16.8,1656.0,-1
2018-12-30,2018-12-30 13:10:00,99.46,99.46,99.42,99.42,-0.04,16.8,1656.0,-1
2018-12-30,2018-12-30 13:20:00,99.42,99.42,99.38,99.38,-0.04,16.8,1656.0,-1
2018-12-30,2018-12-30 13:30:00,99.38,99.38,99.33,99.33,-0.05,16.8,1656.0,-1
2018-12-30,2018-12-30 13:40:00,99.33,99.33,99.29,99.29,-0.04,16.8,1656.0,-1
2018-12-30,2018-12-30 13:50:00,99.29,99.29,99.25,99.25,-0.04,16.8,1656.0,-1
2018-12-30,2018-12-30 14:00:00,99.25,99.25,99.21,99.21,-0.04,16.8,1656.0,-1
2018-12-30,2018-12-30 14:10:00,99.21,99.21,99.17,99.17,-0.04,16.8,1656.0,-1
2018-12-30,2018-12-30 14:20:00,99.17,99.17,99.12,99.12,-0.05,16.8,1656.0,-1
2018-12-30,2018-12-30 14:30:00,99.12,99.12,99.08,99.08,-0.04,16.8,1656.0,-1
2018-12-30,2018-12-30 14:40:00,99.08,99.08,99.04,99.04,-0.04,16.8,1656.0,-1
2018-12-30,2018-12-30 14:50:00,99.04,99.04,99.0,99.0,-0.04,16.8,1656.0,-1
2018-12-30,2018-12-30 15:00:00,99.0,100.0,98.0,99.0,0.0,16.8,1656.0,0
2018-12-31,2018-12-31 11:00:00,99.0,99.3,98.7,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 11:10:00,99.0,99.0,99.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 11:20:00,99.0,99.0,99.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 11:30:00,99.0,99.0,99.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 11:40:00,99.0,99.0,99.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 11:50:00,99.0,99.0,99.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 12:00:00,99.0,99.0,99.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 12:10:00,99.0,99.0,99.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 12:20:00,99.0,99.0,99.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 12:30:00,99.0,99.0,99.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 12:40:00,99.0,99.0,99.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 12:50:00,99.0,99.0,99.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 13:00:00,99.0,100.0,98.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 13:10:00,99.0,99.0,99.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 13:20:00,99.0,99.0,99.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 13:30:00,99.0,99.0,99.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 13:40:00,99.0,99.0,99.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 13:50:00,99.0,99.0,99.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 14:00:00,99.0,99.0,99.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 14:10:00,99.0,99.0,99.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 14:20:00,99.0,99.0,99.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 14:30:00,99.0,99.0,99.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 14:40:00,99.0,99.0,99.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 14:50:00,99.0,99.0,99.0,99.0,0.0,50.8,5043.6,0
2018-12-31,2018-12-31 15:00:00,99.0,100.0,98.0,99.0,0.0,50.8,5043.6,0
2019-01-01,2019-01-01 11:00:00,98.0,98.0,97.4,97.96,-0.04,41.2,4006.0,-1
2019-01-01,2019-01-01 11:10:00,97.96,97.96,97.92,97.92,-0.04,41.2,4006.0,-1
2019-01-01,2019-01-01 11:20:00,97.92,97.92,97.88,97.88,-0.04,41.2,4006.0,-1
