published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-05-02,2023-05-02 11:00:00,403.8,413.73,403.8,405.18,0.34,5.6,2375.98,1
2023-05-02,2023-05-02 11:10:00,405.18,406.56,405.18,406.56,0.34,5.6,2375.98,1
2023-05-02,2023-05-02 11:20:00,406.56,407.94,406.56,407.94,0.34,5.6,2375.98,1
2023-05-02,2023-05-02 11:30:00,407.94,409.32,407.94,409.32,0.34,5.6,2375.98,1
2023-05-02,2023-05-02 11:40:00,409.32,410.7,409.32,410.7,0.34,5.6,2375.98,1
2023-05-02,2023-05-02 11:50:00,410.7,412.07,410.7,412.07,0.33,5.6,2375.98,1
2023-05-02,2023-05-02 12:00:00,412.07,413.45,412.07,413.45,0.33,5.6,2375.98,1
2023-05-02,2023-05-02 12:10:00,413.45,414.83,413.45,414.83,0.33,5.6,2375.98,1
2023-05-02,2023-05-02 12:20:00,414.83,416.21,414.83,416.21,0.33,5.6,2375.98,1
2023-05-02,2023-05-02 12:30:00,416.21,417.59,416.21,417.59,0.33,5.6,2375.98,1
2023-05-02,2023-05-02 12:40:00,417.59,418.97,417.59,418.97,0.33,5.6,2375.98,1
2023-05-02,2023-05-02 12:50:00,418.97,420.35,418.97,420.35,0.33,5.6,2375.98,1
2023-05-02,2023-05-02 13:00:00,420.35,436.9,403.8,421.73,0.33,5.6,2375.98,1
2023-05-02,2023-05-02 13:10:00,421.73,423.11,421.73,423.11,0.33,5.6,2375.98,1
2023-05-02,2023-05-02 13:20:00,423.11,424.49,423.11,424.49,0.33,5.6,2375.98,1
2023-05-02,2023-05-02 13:30:00,424.49,425.87,424.49,425.87,0.33,5.6,2375.98,1
2023-05-02,2023-05-02 13:40:00,425.87,427.25,425.87,427.25,0.32,5.6,2375.98,1
2023-05-02,2023-05-02 13:50:00,427.25,428.62,427.25,428.62,0.32,5.6,2375.98,1
2023-05-02,2023-05-02 14:00:00,428.62,430.0,428.62,430.0,0.32,5.6,2375.98,1
2023-05-02,2023-05-02 14:10:00,430.0,431.38,430.0,431.38,0.32,5.6,2375.98,1
2023-05-02,2023-05-02 14:20:00,431.38,432.76,431.38,432.76,0.32,5.6,2375.98,1
2023-05-02,2023-05-02 14:30:00,432.76,434.14,432.76,434.14,0.32,5.6,2375.98,1
2023-05-02,2023-05-02 14:40:00,434.14,435.52,434.14,435.52,0.32,5.6,2375.98,1
2023-05-02,2023-05-02 14:50:00,435.52,436.9,435.52,436.9,0.32,5.6,2375.98,1
2023-05-02,2023-05-02 15:00:00,436.9,436.9,403.8,436.9,0.0,5.6,2375.98,0
2023-05-03,2023-05-03 11:00:00,445.6,450.97,445.6,446.35,0.17,1.6,720.93,1
2023-05-03,2023-05-03 11:10:00,446.35,447.09,446.35,447.09,0.17,1.6,720.93,1
2023-05-03,2023-05-03 11:20:00,447.09,447.84,447.09,447.84,0.17,1.6,720.93,1
2023-05-03,2023-05-03 11:30:00,447.84,448.58,447.84,448.58,0.17,1.6,720.93,1
2023-05-03,2023-05-03 11:40:00,448.58,449.33,448.58,449.33,0.17,1.6,720.93,1
2023-05-03,2023-05-03 11:50:00,449.33,450.08,449.33,450.08,0.17,1.6,720.93,1
2023-05-03,2023-05-03 12:00:00,450.08,450.82,450.08,450.82,0.16,1.6,720.93,1
2023-05-03,2023-05-03 12:10:00,450.82,451.57,450.82,451.57,0.17,1.6,720.93,1
2023-05-03,2023-05-03 12:20:00,451.57,452.31,451.57,452.31,0.16,1.6,720.93,1
2023-05-03,2023-05-03 12:30:00,452.31,453.06,452.31,453.06,0.17,1.6,720.93,1
2023-05-03,2023-05-03 12:40:00,453.06,453.8,453.06,453.8,0.16,1.6,720.93,1
2023-05-03,2023-05-03 12:50:00,453.8,454.55,453.8,454.55,0.17,1.6,720.93,1
2023-05-03,2023-05-03 13:00:00,454.55,463.5,445.6,455.3,0.16,1.6,720.93,1
2023-05-03,2023-05-03 13:10:00,455.3,456.04,455.3,456.04,0.16,1.6,720.93,1
2023-05-03,2023-05-03 13:20:00,456.04,456.79,456.04,456.79,0.16,1.6,720.93,1
2023-05-03,2023-05-03 13:30:00,456.79,457.53,456.79,457.53,0.16,1.6,720.93,1
2023-05-03,2023-05-03 13:40:00,457.53,458.28,457.53,458.28,0.16,1.6,720.93,1
2023-05-03,2023-05-03 13:50:00,458.28,459.02,458.28,459.02,0.16,1.6,720.93,1
2023-05-03,2023-05-03 14:00:00,459.02,459.77,459.02,459.77,0.16,1.6,720.93,1
2023-05-03,2023-05-03 14:10:00,459.77,460.52,459.77,460.52,0.16,1.6,720.93,1
2023-05-03,2023-05-03 14:20:00,460.52,461.26,460.52,461.26,0.16,1.6,720.93,1
2023-05-03,2023-05-03 14:30:00,461.26,462.01,461.26,462.01,0.16,1.6,720.93,1
2023-05-03,2023-05-03 14:40:00,462.01,462.75,462.01,462.75,0.16,1.6,720.93,1
2023-05-03,2023-05-03 14:50:00,462.75,463.5,462.75,463.5,0.16,1.6,720.93,1
2023-05-03,2023-05-03 15:00:00,463.5,463.5,445.6,463.5,0.0,1.6,720.93,0
2023-05-04,2023-05-04 11:00:00,472.7,481.34,472.7,473.9,0.25,2.0,964.94,1
2023-05-04,2023-05-04 11:10:00,473.9,475.1,473.9,475.1,0.25,2.0,964.94,1
2023-05-04,2023-05-04 11:20:00,475.1,476.3,475.1,476.3,0.25,2.0,964.94,1
2023-05-04,2023-05-04 11:30:00,476.3,477.5,476.3,477.5,0.25,2.0,964.94,1
2023-05-04,2023-05-04 11:40:00,477.5,478.7,477.5,478.7,0.25,2.0,964.94,1
2023-05-04,2023-05-04 11:50:00,478.7,479.9,478.7,479.9,0.25,2.0,964.94,1
2023-05-04,2023-05-04 12:00:00,479.9,481.1,479.9,481.1,0.25,2.0,964.94,1
2023-05-04,2023-05-04 12:10:00,481.1,482.3,481.1,482.3,0.25,2.0,964.94,1
2023-05-04,2023-05-04 12:20:00,482.3,483.5,482.3,483.5,0.25,2.0,964.94,1
2023-05-04,2023-05-04 12:30:00,483.5,484.7,483.5,484.7,0.25,2.0,964.94,1
2023-05-04,2023-05-04 12:40:00,484.7,485.9,484.7,485.9,0.25,2.0,964.94,1
2023-05-04,2023-05-04 12:50:00,485.9,487.1,485.9,487.1,0.25,2.0,964.94,1
