published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-06-08,2023-06-08 11:00:00,202.8,208.86,202.8,203.64,0.41,128.92,28689.69,1
2023-06-08,2023-06-08 11:10:00,203.64,204.48,203.64,204.48,0.41,128.92,28689.69,1
2023-06-08,2023-06-08 11:20:00,204.48,205.33,204.48,205.33,0.42,128.92,28689.69,1
2023-06-08,2023-06-08 11:30:00,205.33,206.17,205.33,206.17,0.41,128.92,28689.69,1
2023-06-08,2023-06-08 11:40:00,206.17,207.01,206.17,207.01,0.41,128.92,28689.69,1
2023-06-08,2023-06-08 11:50:00,207.01,207.85,207.01,207.85,0.41,128.92,28689.69,1
2023-06-08,2023-06-08 12:00:00,207.85,208.69,207.85,208.69,0.4,128.92,28689.69,1
2023-06-08,2023-06-08 12:10:00,208.69,209.53,208.69,209.53,0.4,128.92,28689.69,1
2023-06-08,2023-06-08 12:20:00,209.53,210.38,209.53,210.38,0.41,128.92,28689.69,1
2023-06-08,2023-06-08 12:30:00,210.38,211.22,210.38,211.22,0.4,128.92,28689.69,1
2023-06-08,2023-06-08 12:40:00,211.22,212.06,211.22,212.06,0.4,128.92,28689.69,1
2023-06-08,2023-06-08 12:50:00,212.06,212.9,212.06,212.9,0.4,128.92,28689.69,1
2023-06-08,2023-06-08 13:00:00,212.9,223.0,202.8,213.74,0.39,128.92,28689.69,1
2023-06-08,2023-06-08 13:10:00,213.74,214.58,213.74,214.58,0.39,128.92,28689.69,1
2023-06-08,2023-06-08 13:20:00,214.58,215.43,214.58,215.43,0.4,128.92,28689.69,1
2023-06-08,2023-06-08 13:30:00,215.43,216.27,215.43,216.27,0.39,128.92,28689.69,1
2023-06-08,2023-06-08 13:40:00,216.27,217.11,216.27,217.11,0.39,128.92,28689.69,1
2023-06-08,2023-06-08 13:50:00,217.11,217.95,217.11,217.95,0.39,128.92,28689.69,1
2023-06-08,2023-06-08 14:00:00,217.95,218.79,217.95,218.79,0.39,128.92,28689.69,1
2023-06-08,2023-06-08 14:10:00,218.79,219.63,218.79,219.63,0.38,128.92,28689.69,1
2023-06-08,2023-06-08 14:20:00,219.63,220.47,219.63,220.47,0.38,128.92,28689.69,1
2023-06-08,2023-06-08 14:30:00,220.47,221.32,220.47,221.32,0.39,128.92,28689.69,1
2023-06-08,2023-06-08 14:40:00,221.32,222.16,221.32,222.16,0.38,128.92,28689.69,1
2023-06-08,2023-06-08 14:50:00,222.16,223.0,222.16,223.0,0.38,128.92,28689.69,1
2023-06-08,2023-06-08 15:00:00,223.0,223.0,202.8,223.0,0.0,128.92,28689.69,0
2023-06-11,2023-06-11 11:00:00,227.4,232.77,227.4,228.15,0.33,114.32,27988.75,1
2023-06-11,2023-06-11 11:10:00,228.15,228.89,228.15,228.89,0.32,114.32,27988.75,1
2023-06-11,2023-06-11 11:20:00,228.89,229.64,228.89,229.64,0.33,114.32,27988.75,1
2023-06-11,2023-06-11 11:30:00,229.64,230.38,229.64,230.38,0.32,114.32,27988.75,1
2023-06-11,2023-06-11 11:40:00,230.38,231.13,230.38,231.13,0.33,114.32,27988.75,1
2023-06-11,2023-06-11 11:50:00,231.13,231.88,231.13,231.88,0.32,114.32,27988.75,1
2023-06-11,2023-06-11 12:00:00,231.88,232.62,231.88,232.62,0.32,114.32,27988.75,1
2023-06-11,2023-06-11 12:10:00,232.62,233.37,232.62,233.37,0.32,114.32,27988.75,1
2023-06-11,2023-06-11 12:20:00,233.37,234.11,233.37,234.11,0.32,114.32,27988.75,1
2023-06-11,2023-06-11 12:30:00,234.11,234.86,234.11,234.86,0.32,114.32,27988.75,1
2023-06-11,2023-06-11 12:40:00,234.86,235.6,234.86,235.6,0.32,114.32,27988.75,1
2023-06-11,2023-06-11 12:50:00,235.6,236.35,235.6,236.35,0.32,114.32,27988.75,1
2023-06-11,2023-06-11 13:00:00,236.35,245.3,227.4,237.1,0.32,114.32,27988.75,1
2023-06-11,2023-06-11 13:10:00,237.1,237.84,237.1,237.84,0.31,114.32,27988.75,1
2023-06-11,2023-06-11 13:20:00,237.84,238.59,237.84,238.59,0.32,114.32,27988.75,1
2023-06-11,2023-06-11 13:30:00,238.59,239.33,238.59,239.33,0.31,114.32,27988.75,1
2023-06-11,2023-06-11 13:40:00,239.33,240.08,239.33,240.08,0.31,114.32,27988.75,1
2023-06-11,2023-06-11 13:50:00,240.08,240.83,240.08,240.83,0.31,114.32,27988.75,1
2023-06-11,2023-06-11 14:00:00,240.83,241.57,240.83,241.57,0.31,114.32,27988.75,1
2023-06-11,2023-06-11 14:10:00,241.57,242.32,241.57,242.32,0.31,114.32,27988.75,1
2023-06-11,2023-06-11 14:20:00,242.32,243.06,242.32,243.06,0.31,114.32,27988.75,1
2023-06-11,2023-06-11 14:30:00,243.06,243.81,243.06,243.81,0.31,114.32,27988.75,1
2023-06-11,2023-06-11 14:40:00,243.81,244.55,243.81,244.55,0.3,114.32,27988.75,1
2023-06-11,2023-06-11 14:50:00,244.55,245.3,244.55,245.3,0.31,114.32,27988.75,1
2023-06-11,2023-06-11 15:00:00,245.3,245.3,227.4,245.3,0.0,114.32,27988.75,0
2023-06-12,2023-06-12 11:00:00,250.2,256.08,250.2,251.02,0.33,496.88,134029.38,1
2023-06-12,2023-06-12 11:10:00,251.02,251.83,251.02,251.83,0.32,496.88,134029.38,1
2023-06-12,2023-06-12 11:20:00,251.83,252.65,251.83,252.65,0.33,496.88,134029.38,1
2023-06-12,2023-06-12 11:30:00,252.65,253.47,252.65,253.47,0.32,496.88,134029.38,1
2023-06-12,2023-06-12 11:40:00,253.47,254.28,253.47,254.28,0.32,496.88,134029.38,1
2023-06-12,2023-06-12 11:50:00,254.28,255.1,254.28,255.1,0.32,496.88,134029.38,1
2023-06-12,2023-06-12 12:00:00,255.1,255.92,255.1,255.92,0.32,496.88,134029.38,1
2023-06-12,2023-06-12 12:10:00,255.92,256.73,255.92,256.73,0.32,496.88,134029.38,1
2023-06-12,2023-06-12 12:20:00,256.73,257.55,256.73,257.55,0.32,496.88,134029.38,1
2023-06-12,2023-06-12 12:30:00,257.55,258.37,257.55,258.37,0.32,496.88,134029.38,1
2023-06-12,2023-06-12 12:40:00,258.37,259.18,258.37,259.18,0.31,496.88,134029.38,1
