published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-05-25,2022-05-25 11:00:00,104.7,106.56,104.7,104.96,0.25,5.2,553.02,1
2022-05-25,2022-05-25 11:10:00,104.96,105.22,104.96,105.22,0.25,5.2,553.02,1
2022-05-25,2022-05-25 11:20:00,105.22,105.48,105.22,105.48,0.25,5.2,553.02,1
2022-05-25,2022-05-25 11:30:00,105.48,105.73,105.48,105.73,0.24,5.2,553.02,1
2022-05-25,2022-05-25 11:40:00,105.73,105.99,105.73,105.99,0.25,5.2,553.02,1
2022-05-25,2022-05-25 11:50:00,105.99,106.25,105.99,106.25,0.25,5.2,553.02,1
2022-05-25,2022-05-25 12:00:00,106.25,106.51,106.25,106.51,0.24,5.2,553.02,1
2022-05-25,2022-05-25 12:10:00,106.51,106.77,106.51,106.77,0.24,5.2,553.02,1
2022-05-25,2022-05-25 12:20:00,106.77,107.03,106.77,107.03,0.24,5.2,553.02,1
2022-05-25,2022-05-25 12:30:00,107.03,107.28,107.03,107.28,0.23,5.2,553.02,1
2022-05-25,2022-05-25 12:40:00,107.28,107.54,107.28,107.54,0.24,5.2,553.02,1
2022-05-25,2022-05-25 12:50:00,107.54,107.8,107.54,107.8,0.24,5.2,553.02,1
2022-05-25,2022-05-25 13:00:00,107.8,110.9,104.7,108.06,0.24,5.2,553.02,1
2022-05-25,2022-05-25 13:10:00,108.06,108.32,108.06,108.32,0.24,5.2,553.02,1
2022-05-25,2022-05-25 13:20:00,108.32,108.58,108.32,108.58,0.24,5.2,553.02,1
2022-05-25,2022-05-25 13:30:00,108.58,108.83,108.58,108.83,0.23,5.2,553.02,1
2022-05-25,2022-05-25 13:40:00,108.83,109.09,108.83,109.09,0.24,5.2,553.02,1
2022-05-25,2022-05-25 13:50:00,109.09,109.35,109.09,109.35,0.24,5.2,553.02,1
2022-05-25,2022-05-25 14:00:00,109.35,109.61,109.35,109.61,0.24,5.2,553.02,1
2022-05-25,2022-05-25 14:10:00,109.61,109.87,109.61,109.87,0.24,5.2,553.02,1
2022-05-25,2022-05-25 14:20:00,109.87,110.12,109.87,110.12,0.23,5.2,553.02,1
