published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-03-22,2026-03-22 11:00:00,270.1,278.2,270.1,271.23,0.42,3.2,907.92,1
2026-03-22,2026-03-22 11:10:00,271.23,272.35,271.23,272.35,0.41,3.2,907.92,1
2026-03-22,2026-03-22 11:20:00,272.35,273.48,272.35,273.48,0.41,3.2,907.92,1
2026-03-22,2026-03-22 11:30:00,273.48,274.6,273.48,274.6,0.41,3.2,907.92,1
2026-03-22,2026-03-22 11:40:00,274.6,275.73,274.6,275.73,0.41,3.2,907.92,1
2026-03-22,2026-03-22 11:50:00,275.73,276.85,275.73,276.85,0.41,3.2,907.92,1
2026-03-22,2026-03-22 12:00:00,276.85,277.98,276.85,277.98,0.41,3.2,907.92,1
2026-03-22,2026-03-22 12:10:00,277.98,279.1,277.98,279.1,0.4,3.2,907.92,1
2026-03-22,2026-03-22 12:20:00,279.1,280.23,279.1,280.23,0.4,3.2,907.92,1
2026-03-22,2026-03-22 12:30:00,280.23,281.35,280.23,281.35,0.4,3.2,907.92,1
2026-03-22,2026-03-22 12:40:00,281.35,282.48,281.35,282.48,0.4,3.2,907.92,1
2026-03-22,2026-03-22 12:50:00,282.48,283.6,282.48,283.6,0.4,3.2,907.92,1
2026-03-22,2026-03-22 13:00:00,283.6,297.1,270.1,284.73,0.4,3.2,907.92,1
2026-03-22,2026-03-22 13:10:00,284.73,285.85,284.73,285.85,0.39,3.2,907.92,1
2026-03-22,2026-03-22 13:20:00,285.85,286.98,285.85,286.98,0.4,3.2,907.92,1
2026-03-22,2026-03-22 13:30:00,286.98,288.1,286.98,288.1,0.39,3.2,907.92,1
2026-03-22,2026-03-22 13:40:00,288.1,289.23,288.1,289.23,0.39,3.2,907.92,1
2026-03-22,2026-03-22 13:50:00,289.23,290.35,289.23,290.35,0.39,3.2,907.92,1
2026-03-22,2026-03-22 14:00:00,290.35,291.48,290.35,291.48,0.39,3.2,907.92,1
2026-03-22,2026-03-22 14:10:00,291.48,292.6,291.48,292.6,0.38,3.2,907.92,1
2026-03-22,2026-03-22 14:20:00,292.6,293.73,292.6,293.73,0.39,3.2,907.92,1
2026-03-22,2026-03-22 14:30:00,293.73,294.85,293.73,294.85,0.38,3.2,907.92,1
2026-03-22,2026-03-22 14:40:00,294.85,295.98,294.85,295.98,0.38,3.2,907.92,1
2026-03-22,2026-03-22 14:50:00,295.98,297.1,295.98,297.1,0.38,3.2,907.92,1
2026-03-22,2026-03-22 15:00:00,297.1,297.1,270.1,297.1,0.0,3.2,907.92,0
2026-03-23,2026-03-23 11:00:00,294.1,303.91,294.1,295.46,0.46,6.4,2048.88,1
2026-03-23,2026-03-23 11:10:00,295.46,296.83,295.46,296.83,0.46,6.4,2048.88,1
2026-03-23,2026-03-23 11:20:00,296.83,298.19,296.83,298.19,0.46,6.4,2048.88,1
2026-03-23,2026-03-23 11:30:00,298.19,299.55,298.19,299.55,0.46,6.4,2048.88,1
2026-03-23,2026-03-23 11:40:00,299.55,300.91,299.55,300.91,0.45,6.4,2048.88,1
2026-03-23,2026-03-23 11:50:00,300.91,302.28,300.91,302.28,0.46,6.4,2048.88,1
2026-03-23,2026-03-23 12:00:00,302.28,303.64,302.28,303.64,0.45,6.4,2048.88,1
2026-03-23,2026-03-23 12:10:00,303.64,305.0,303.64,305.0,0.45,6.4,2048.88,1
2026-03-23,2026-03-23 12:20:00,305.0,306.36,305.0,306.36,0.45,6.4,2048.88,1
2026-03-23,2026-03-23 12:30:00,306.36,307.73,306.36,307.73,0.45,6.4,2048.88,1
2026-03-23,2026-03-23 12:40:00,307.73,309.09,307.73,309.09,0.44,6.4,2048.88,1
2026-03-23,2026-03-23 12:50:00,309.09,310.45,309.09,310.45,0.44,6.4,2048.88,1
2026-03-23,2026-03-23 13:00:00,310.45,326.8,294.1,311.81,0.44,6.4,2048.88,1
2026-03-23,2026-03-23 13:10:00,311.81,313.18,311.81,313.18,0.44,6.4,2048.88,1
2026-03-23,2026-03-23 13:20:00,313.18,314.54,313.18,314.54,0.43,6.4,2048.88,1
2026-03-23,2026-03-23 13:30:00,314.54,315.9,314.54,315.9,0.43,6.4,2048.88,1
2026-03-23,2026-03-23 13:40:00,315.9,317.26,315.9,317.26,0.43,6.4,2048.88,1
2026-03-23,2026-03-23 13:50:00,317.26,318.62,317.26,318.62,0.43,6.4,2048.88,1
2026-03-23,2026-03-23 14:00:00,318.62,319.99,318.62,319.99,0.43,6.4,2048.88,1
2026-03-23,2026-03-23 14:10:00,319.99,321.35,319.99,321.35,0.43,6.4,2048.88,1
2026-03-23,2026-03-23 14:20:00,321.35,322.71,321.35,322.71,0.42,6.4,2048.88,1
2026-03-23,2026-03-23 14:30:00,322.71,324.07,322.71,324.07,0.42,6.4,2048.88,1
2026-03-23,2026-03-23 14:40:00,324.07,325.44,324.07,325.44,0.42,6.4,2048.88,1
2026-03-23,2026-03-23 14:50:00,325.44,326.8,325.44,326.8,0.42,6.4,2048.88,1
2026-03-23,2026-03-23 15:00:00,326.8,326.8,294.1,326.8,0.0,6.4,2048.88,0
2026-03-24,2026-03-24 11:00:00,323.5,334.27,323.5,325.0,0.46,4.8,1678.4,1
2026-03-24,2026-03-24 11:10:00,325.0,326.49,325.0,326.49,0.46,4.8,1678.4,1
2026-03-24,2026-03-24 11:20:00,326.49,327.99,326.49,327.99,0.46,4.8,1678.4,1
2026-03-24,2026-03-24 11:30:00,327.99,329.48,327.99,329.48,0.45,4.8,1678.4,1
2026-03-24,2026-03-24 11:40:00,329.48,330.98,329.48,330.98,0.46,4.8,1678.4,1
2026-03-24,2026-03-24 11:50:00,330.98,332.48,330.98,332.48,0.45,4.8,1678.4,1
2026-03-24,2026-03-24 12:00:00,332.48,333.97,332.48,333.97,0.45,4.8,1678.4,1
2026-03-24,2026-03-24 12:10:00,333.97,335.47,333.97,335.47,0.45,4.8,1678.4,1
2026-03-24,2026-03-24 12:20:00,335.47,336.96,335.47,336.96,0.44,4.8,1678.4,1
2026-03-24,2026-03-24 12:30:00,336.96,338.46,336.96,338.46,0.45,4.8,1678.4,1
2026-03-24,2026-03-24 12:40:00,338.46,339.95,338.46,339.95,0.44,4.8,1678.4,1
2026-03-24,2026-03-24 12:50:00,339.95,341.45,339.95,341.45,0.44,4.8,1678.4,1
2026-03-24,2026-03-24 13:00:00,341.45,359.4,323.5,342.95,0.44,4.8,1678.4,1
2026-03-24,2026-03-24 13:10:00,342.95,344.44,342.95,344.44,0.43,4.8,1678.4,1
2026-03-24,2026-03-24 13:20:00,344.44,345.94,344.44,345.94,0.44,4.8,1678.4,1
2026-03-24,2026-03-24 13:30:00,345.94,347.43,345.94,347.43,0.43,4.8,1678.4,1
2026-03-24,2026-03-24 13:40:00,347.43,348.93,347.43,348.93,0.43,4.8,1678.4,1
2026-03-24,2026-03-24 13:50:00,348.93,350.42,348.93,350.42,0.43,4.8,1678.4,1
2026-03-24,2026-03-24 14:00:00,350.42,351.92,350.42,351.92,0.43,4.8,1678.4,1
2026-03-24,2026-03-24 14:10:00,351.92,353.42,351.92,353.42,0.43,4.8,1678.4,1
2026-03-24,2026-03-24 14:20:00,353.42,354.91,353.42,354.91,0.42,4.8,1678.4,1
