published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-01-18,2022-01-18 11:00:00,246.7,251.2,246.7,247.32,0.25,2.44,614.08,1
2022-01-18,2022-01-18 11:10:00,247.32,247.95,247.32,247.95,0.25,2.44,614.08,1
2022-01-18,2022-01-18 11:20:00,247.95,248.57,247.95,248.57,0.25,2.44,614.08,1
2022-01-18,2022-01-18 11:30:00,248.57,249.2,248.57,249.2,0.25,2.44,614.08,1
2022-01-18,2022-01-18 11:40:00,249.2,249.82,249.2,249.82,0.25,2.44,614.08,1
2022-01-18,2022-01-18 11:50:00,249.82,250.45,249.82,250.45,0.25,2.44,614.08,1
2022-01-18,2022-01-18 12:00:00,250.45,251.07,250.45,251.07,0.25,2.44,614.08,1
2022-01-18,2022-01-18 12:10:00,251.07,251.7,251.07,251.7,0.25,2.44,614.08,1
2022-01-18,2022-01-18 12:20:00,251.7,252.32,251.7,252.32,0.25,2.44,614.08,1
2022-01-18,2022-01-18 12:30:00,252.32,252.95,252.32,252.95,0.25,2.44,614.08,1
2022-01-18,2022-01-18 12:40:00,252.95,253.57,252.95,253.57,0.25,2.44,614.08,1
2022-01-18,2022-01-18 12:50:00,253.57,254.2,253.57,254.2,0.25,2.44,614.08,1
2022-01-18,2022-01-18 13:00:00,254.2,261.7,246.7,254.82,0.24,2.44,614.08,1
2022-01-18,2022-01-18 13:10:00,254.82,255.45,254.82,255.45,0.25,2.44,614.08,1
2022-01-18,2022-01-18 13:20:00,255.45,256.07,255.45,256.07,0.24,2.44,614.08,1
2022-01-18,2022-01-18 13:30:00,256.07,256.7,256.07,256.7,0.25,2.44,614.08,1
2022-01-18,2022-01-18 13:40:00,256.7,257.32,256.7,257.32,0.24,2.44,614.08,1
2022-01-18,2022-01-18 13:50:00,257.32,257.95,257.32,257.95,0.24,2.44,614.08,1
2022-01-18,2022-01-18 14:00:00,257.95,258.57,257.95,258.57,0.24,2.44,614.08,1
2022-01-18,2022-01-18 14:10:00,258.57,259.2,258.57,259.2,0.24,2.44,614.08,1
2022-01-18,2022-01-18 14:20:00,259.2,259.82,259.2,259.82,0.24,2.44,614.08,1
2022-01-18,2022-01-18 14:30:00,259.82,260.45,259.82,260.45,0.24,2.44,614.08,1
2022-01-18,2022-01-18 14:40:00,260.45,261.07,260.45,261.07,0.24,2.44,614.08,1
2022-01-18,2022-01-18 14:50:00,261.07,261.7,261.07,261.7,0.24,2.44,614.08,1
2022-01-18,2022-01-18 15:00:00,261.7,261.7,246.7,261.7,0.0,2.44,614.08,0
2022-01-19,2022-01-19 11:00:00,266.9,273.17,266.9,267.77,0.33,2.04,565.68,1
2022-01-19,2022-01-19 11:10:00,267.77,268.64,267.77,268.64,0.32,2.04,565.68,1
2022-01-19,2022-01-19 11:20:00,268.64,269.51,268.64,269.51,0.32,2.04,565.68,1
2022-01-19,2022-01-19 11:30:00,269.51,270.38,269.51,270.38,0.32,2.04,565.68,1
2022-01-19,2022-01-19 11:40:00,270.38,271.25,270.38,271.25,0.32,2.04,565.68,1
2022-01-19,2022-01-19 11:50:00,271.25,272.12,271.25,272.12,0.32,2.04,565.68,1
2022-01-19,2022-01-19 12:00:00,272.12,273.0,272.12,273.0,0.32,2.04,565.68,1
2022-01-19,2022-01-19 12:10:00,273.0,273.87,273.0,273.87,0.32,2.04,565.68,1
2022-01-19,2022-01-19 12:20:00,273.87,274.74,273.87,274.74,0.32,2.04,565.68,1
2022-01-19,2022-01-19 12:30:00,274.74,275.61,274.74,275.61,0.32,2.04,565.68,1
2022-01-19,2022-01-19 12:40:00,275.61,276.48,275.61,276.48,0.32,2.04,565.68,1
2022-01-19,2022-01-19 12:50:00,276.48,277.35,276.48,277.35,0.31,2.04,565.68,1
2022-01-19,2022-01-19 13:00:00,277.35,287.8,266.9,278.22,0.31,2.04,565.68,1
2022-01-19,2022-01-19 13:10:00,278.22,279.09,278.22,279.09,0.31,2.04,565.68,1
2022-01-19,2022-01-19 13:20:00,279.09,279.96,279.09,279.96,0.31,2.04,565.68,1
2022-01-19,2022-01-19 13:30:00,279.96,280.83,279.96,280.83,0.31,2.04,565.68,1
2022-01-19,2022-01-19 13:40:00,280.83,281.7,280.83,281.7,0.31,2.04,565.68,1
2022-01-19,2022-01-19 13:50:00,281.7,282.57,281.7,282.57,0.31,2.04,565.68,1
2022-01-19,2022-01-19 14:00:00,282.57,283.45,282.57,283.45,0.31,2.04,565.68,1
2022-01-19,2022-01-19 14:10:00,283.45,284.32,283.45,284.32,0.31,2.04,565.68,1
2022-01-19,2022-01-19 14:20:00,284.32,285.19,284.32,285.19,0.31,2.04,565.68,1
2022-01-19,2022-01-19 14:30:00,285.19,286.06,285.19,286.06,0.31,2.04,565.68,1
2022-01-19,2022-01-19 14:40:00,286.06,286.93,286.06,286.93,0.3,2.04,565.68,1
2022-01-19,2022-01-19 14:50:00,286.93,287.8,286.93,287.8,0.3,2.04,565.68,1
2022-01-19,2022-01-19 15:00:00,287.8,287.8,266.9,287.8,0.0,2.04,565.68,0
