published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-08-14,2023-08-14 11:00:00,10.0,10.0,9.94,9.99,-0.1,8.0,79.24,-1
2023-08-14,2023-08-14 11:10:00,9.99,9.99,9.98,9.98,-0.1,8.0,79.24,-1
2023-08-14,2023-08-14 11:20:00,9.98,9.98,9.98,9.98,0.0,8.0,79.24,0
2023-08-14,2023-08-14 11:30:00,9.98,9.98,9.97,9.97,-0.1,8.0,79.24,-1
2023-08-14,2023-08-14 11:40:00,9.97,9.97,9.96,9.96,-0.1,8.0,79.24,-1
2023-08-14,2023-08-14 11:50:00,9.96,9.96,9.95,9.95,-0.1,8.0,79.24,-1
2023-08-14,2023-08-14 12:00:00,9.95,9.95,9.94,9.94,-0.1,8.0,79.24,-1
2023-08-14,2023-08-14 12:10:00,9.94,9.94,9.94,9.94,0.0,8.0,79.24,0
2023-08-14,2023-08-14 12:20:00,9.94,9.94,9.93,9.93,-0.1,8.0,79.24,-1
2023-08-14,2023-08-14 12:30:00,9.93,9.93,9.92,9.92,-0.1,8.0,79.24,-1
2023-08-14,2023-08-14 12:40:00,9.92,9.92,9.91,9.91,-0.1,8.0,79.24,-1
2023-08-14,2023-08-14 12:50:00,9.91,9.91,9.91,9.91,0.0,8.0,79.24,0
2023-08-14,2023-08-14 13:00:00,9.91,10.0,9.81,9.9,-0.1,8.0,79.24,-1
2023-08-14,2023-08-14 13:10:00,9.9,9.9,9.89,9.89,-0.1,8.0,79.24,-1
2023-08-14,2023-08-14 13:20:00,9.89,9.89,9.88,9.88,-0.1,8.0,79.24,-1
2023-08-14,2023-08-14 13:30:00,9.88,9.88,9.87,9.87,-0.1,8.0,79.24,-1
2023-08-14,2023-08-14 13:40:00,9.87,9.87,9.87,9.87,0.0,8.0,79.24,0
2023-08-14,2023-08-14 13:50:00,9.87,9.87,9.86,9.86,-0.1,8.0,79.24,-1
2023-08-14,2023-08-14 14:00:00,9.86,9.86,9.85,9.85,-0.1,8.0,79.24,-1
2023-08-14,2023-08-14 14:10:00,9.85,9.85,9.84,9.84,-0.1,8.0,79.24,-1
2023-08-14,2023-08-14 14:20:00,9.84,9.84,9.83,9.83,-0.1,8.0,79.24,-1
2023-08-14,2023-08-14 14:30:00,9.83,9.83,9.83,9.83,0.0,8.0,79.24,0
2023-08-14,2023-08-14 14:40:00,9.83,9.83,9.82,9.82,-0.1,8.0,79.24,-1
2023-08-14,2023-08-14 14:50:00,9.82,9.82,9.81,9.81,-0.1,8.0,79.24,-1
2023-08-14,2023-08-14 15:00:00,9.81,10.0,9.81,9.81,0.0,8.0,79.24,0
2023-08-15,2023-08-15 11:00:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 11:10:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 11:20:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 11:30:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 11:40:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 11:50:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 12:00:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 12:10:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 12:20:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 12:30:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 12:40:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 12:50:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 13:00:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 13:10:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 13:20:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 13:30:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 13:40:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 13:50:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 14:00:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 14:10:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 14:20:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 14:30:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 14:40:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 14:50:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-15,2023-08-15 15:00:00,9.62,9.62,9.62,9.62,0.0,4.0,38.48,0
2023-08-16,2023-08-16 11:00:00,9.43,9.43,9.38,9.42,-0.11,8.0,74.72,-1
2023-08-16,2023-08-16 11:10:00,9.42,9.42,9.41,9.41,-0.11,8.0,74.72,-1
2023-08-16,2023-08-16 11:20:00,9.41,9.41,9.41,9.41,0.0,8.0,74.72,0
2023-08-16,2023-08-16 11:30:00,9.41,9.41,9.4,9.4,-0.11,8.0,74.72,-1
2023-08-16,2023-08-16 11:40:00,9.4,9.4,9.39,9.39,-0.11,8.0,74.72,-1
2023-08-16,2023-08-16 11:50:00,9.39,9.39,9.38,9.38,-0.11,8.0,74.72,-1
2023-08-16,2023-08-16 12:00:00,9.38,9.38,9.38,9.38,0.0,8.0,74.72,0
2023-08-16,2023-08-16 12:10:00,9.38,9.38,9.37,9.37,-0.11,8.0,74.72,-1
2023-08-16,2023-08-16 12:20:00,9.37,9.37,9.36,9.36,-0.11,8.0,74.72,-1
2023-08-16,2023-08-16 12:30:00,9.36,9.36,9.36,9.36,0.0,8.0,74.72,0
