published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2014-06-18,2014-06-18 11:00:00,336.0,336.6,331.2,335.46,-0.16,1391.2,460795.88,-1
2014-06-18,2014-06-18 11:10:00,335.46,335.46,334.92,334.92,-0.16,1391.2,460795.88,-1
2014-06-18,2014-06-18 11:20:00,334.92,334.92,334.38,334.38,-0.16,1391.2,460795.88,-1
2014-06-18,2014-06-18 11:30:00,334.38,334.38,333.83,333.83,-0.16,1391.2,460795.88,-1
2014-06-18,2014-06-18 11:40:00,333.83,333.83,333.29,333.29,-0.16,1391.2,460795.88,-1
2014-06-18,2014-06-18 11:50:00,333.29,333.29,332.75,332.75,-0.16,1391.2,460795.88,-1
2014-06-18,2014-06-18 12:00:00,332.75,332.75,332.21,332.21,-0.16,1391.2,460795.88,-1
2014-06-18,2014-06-18 12:10:00,332.21,332.21,331.67,331.67,-0.16,1391.2,460795.88,-1
2014-06-18,2014-06-18 12:20:00,331.67,331.67,331.12,331.12,-0.17,1391.2,460795.88,-1
2014-06-18,2014-06-18 12:30:00,331.12,331.12,330.58,330.58,-0.16,1391.2,460795.88,-1
2014-06-18,2014-06-18 12:40:00,330.58,330.58,330.04,330.04,-0.16,1391.2,460795.88,-1
2014-06-18,2014-06-18 12:50:00,330.04,330.04,329.5,329.5,-0.16,1391.2,460795.88,-1
2014-06-18,2014-06-18 13:00:00,329.5,338.0,320.0,328.96,-0.16,1391.2,460795.88,-1
2014-06-18,2014-06-18 13:10:00,328.96,328.96,328.42,328.42,-0.16,1391.2,460795.88,-1
2014-06-18,2014-06-18 13:20:00,328.42,328.42,327.88,327.88,-0.16,1391.2,460795.88,-1
2014-06-18,2014-06-18 13:30:00,327.88,327.88,327.33,327.33,-0.17,1391.2,460795.88,-1
2014-06-18,2014-06-18 13:40:00,327.33,327.33,326.79,326.79,-0.16,1391.2,460795.88,-1
2014-06-18,2014-06-18 13:50:00,326.79,326.79,326.25,326.25,-0.17,1391.2,460795.88,-1
