published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-02-07,2021-02-07 11:00:00,161.0,161.9,161.0,161.12,0.07,1.2,194.4,1
2021-02-07,2021-02-07 11:10:00,161.12,161.25,161.12,161.25,0.08,1.2,194.4,1
2021-02-07,2021-02-07 11:20:00,161.25,161.38,161.25,161.38,0.08,1.2,194.4,1
2021-02-07,2021-02-07 11:30:00,161.38,161.5,161.38,161.5,0.07,1.2,194.4,1
2021-02-07,2021-02-07 11:40:00,161.5,161.62,161.5,161.62,0.07,1.2,194.4,1
2021-02-07,2021-02-07 11:50:00,161.62,161.75,161.62,161.75,0.08,1.2,194.4,1
2021-02-07,2021-02-07 12:00:00,161.75,161.88,161.75,161.88,0.08,1.2,194.4,1
2021-02-07,2021-02-07 12:10:00,161.88,162.0,161.88,162.0,0.07,1.2,194.4,1
2021-02-07,2021-02-07 12:20:00,162.0,162.12,162.0,162.12,0.07,1.2,194.4,1
2021-02-07,2021-02-07 12:30:00,162.12,162.25,162.12,162.25,0.08,1.2,194.4,1
2021-02-07,2021-02-07 12:40:00,162.25,162.38,162.25,162.38,0.08,1.2,194.4,1
2021-02-07,2021-02-07 12:50:00,162.38,162.5,162.38,162.5,0.07,1.2,194.4,1
2021-02-07,2021-02-07 13:00:00,162.5,164.0,161.0,162.62,0.07,1.2,194.4,1
2021-02-07,2021-02-07 13:10:00,162.62,162.75,162.62,162.75,0.08,1.2,194.4,1
2021-02-07,2021-02-07 13:20:00,162.75,162.88,162.75,162.88,0.08,1.2,194.4,1
2021-02-07,2021-02-07 13:30:00,162.88,163.0,162.88,163.0,0.07,1.2,194.4,1
2021-02-07,2021-02-07 13:40:00,163.0,163.12,163.0,163.12,0.07,1.2,194.4,1
2021-02-07,2021-02-07 13:50:00,163.12,163.25,163.12,163.25,0.08,1.2,194.4,1
2021-02-07,2021-02-07 14:00:00,163.25,163.38,163.25,163.38,0.08,1.2,194.4,1
2021-02-07,2021-02-07 14:10:00,163.38,163.5,163.38,163.5,0.07,1.2,194.4,1
2021-02-07,2021-02-07 14:20:00,163.5,163.62,163.5,163.62,0.07,1.2,194.4,1
2021-02-07,2021-02-07 14:30:00,163.62,163.75,163.62,163.75,0.08,1.2,194.4,1
2021-02-07,2021-02-07 14:40:00,163.75,163.88,163.75,163.88,0.08,1.2,194.4,1
2021-02-07,2021-02-07 14:50:00,163.88,164.0,163.88,164.0,0.07,1.2,194.4,1
2021-02-07,2021-02-07 15:00:00,164.0,164.0,161.0,164.0,0.0,1.2,194.4,0
2021-02-08,2021-02-08 11:00:00,159.0,163.2,159.0,159.58,0.36,2.0,331.76,1
2021-02-08,2021-02-08 11:10:00,159.58,160.17,159.58,160.17,0.37,2.0,331.76,1
2021-02-08,2021-02-08 11:20:00,160.17,160.75,160.17,160.75,0.36,2.0,331.76,1
2021-02-08,2021-02-08 11:30:00,160.75,161.33,160.75,161.33,0.36,2.0,331.76,1
2021-02-08,2021-02-08 11:40:00,161.33,161.92,161.33,161.92,0.37,2.0,331.76,1
2021-02-08,2021-02-08 11:50:00,161.92,162.5,161.92,162.5,0.36,2.0,331.76,1
2021-02-08,2021-02-08 12:00:00,162.5,163.08,162.5,163.08,0.36,2.0,331.76,1
2021-02-08,2021-02-08 12:10:00,163.08,163.67,163.08,163.67,0.36,2.0,331.76,1
2021-02-08,2021-02-08 12:20:00,163.67,164.25,163.67,164.25,0.35,2.0,331.76,1
2021-02-08,2021-02-08 12:30:00,164.25,164.83,164.25,164.83,0.35,2.0,331.76,1
2021-02-08,2021-02-08 12:40:00,164.83,165.42,164.83,165.42,0.36,2.0,331.76,1
2021-02-08,2021-02-08 12:50:00,165.42,166.0,165.42,166.0,0.35,2.0,331.76,1
2021-02-08,2021-02-08 13:00:00,166.0,173.0,159.0,166.58,0.35,2.0,331.76,1
2021-02-08,2021-02-08 13:10:00,166.58,167.17,166.58,167.17,0.35,2.0,331.76,1
2021-02-08,2021-02-08 13:20:00,167.17,167.75,167.17,167.75,0.35,2.0,331.76,1
2021-02-08,2021-02-08 13:30:00,167.75,168.33,167.75,168.33,0.35,2.0,331.76,1
2021-02-08,2021-02-08 13:40:00,168.33,168.92,168.33,168.92,0.35,2.0,331.76,1
2021-02-08,2021-02-08 13:50:00,168.92,169.5,168.92,169.5,0.34,2.0,331.76,1
2021-02-08,2021-02-08 14:00:00,169.5,170.08,169.5,170.08,0.34,2.0,331.76,1
2021-02-08,2021-02-08 14:10:00,170.08,170.67,170.08,170.67,0.35,2.0,331.76,1
2021-02-08,2021-02-08 14:20:00,170.67,171.25,170.67,171.25,0.34,2.0,331.76,1
2021-02-08,2021-02-08 14:30:00,171.25,171.83,171.25,171.83,0.34,2.0,331.76,1
2021-02-08,2021-02-08 14:40:00,171.83,172.42,171.83,172.42,0.34,2.0,331.76,1
2021-02-08,2021-02-08 14:50:00,172.42,173.0,172.42,173.0,0.34,2.0,331.76,1
2021-02-08,2021-02-08 15:00:00,173.0,173.0,159.0,173.0,0.0,2.0,331.76,0
2021-02-09,2021-02-09 11:00:00,168.0,170.4,168.0,168.33,0.2,1.2,207.56,1
2021-02-09,2021-02-09 11:10:00,168.33,168.67,168.33,168.67,0.2,1.2,207.56,1
2021-02-09,2021-02-09 11:20:00,168.67,169.0,168.67,169.0,0.2,1.2,207.56,1
2021-02-09,2021-02-09 11:30:00,169.0,169.33,169.0,169.33,0.2,1.2,207.56,1
2021-02-09,2021-02-09 11:40:00,169.33,169.67,169.33,169.67,0.2,1.2,207.56,1
2021-02-09,2021-02-09 11:50:00,169.67,170.0,169.67,170.0,0.19,1.2,207.56,1
2021-02-09,2021-02-09 12:00:00,170.0,170.33,170.0,170.33,0.19,1.2,207.56,1
2021-02-09,2021-02-09 12:10:00,170.33,170.67,170.33,170.67,0.2,1.2,207.56,1
2021-02-09,2021-02-09 12:20:00,170.67,171.0,170.67,171.0,0.19,1.2,207.56,1
2021-02-09,2021-02-09 12:30:00,171.0,171.33,171.0,171.33,0.19,1.2,207.56,1
2021-02-09,2021-02-09 12:40:00,171.33,171.67,171.33,171.67,0.2,1.2,207.56,1
2021-02-09,2021-02-09 12:50:00,171.67,172.0,171.67,172.0,0.19,1.2,207.56,1
2021-02-09,2021-02-09 13:00:00,172.0,176.0,168.0,172.33,0.19,1.2,207.56,1
2021-02-09,2021-02-09 13:10:00,172.33,172.67,172.33,172.67,0.2,1.2,207.56,1
2021-02-09,2021-02-09 13:20:00,172.67,173.0,172.67,173.0,0.19,1.2,207.56,1
2021-02-09,2021-02-09 13:30:00,173.0,173.33,173.0,173.33,0.19,1.2,207.56,1
2021-02-09,2021-02-09 13:40:00,173.33,173.67,173.33,173.67,0.2,1.2,207.56,1
2021-02-09,2021-02-09 13:50:00,173.67,174.0,173.67,174.0,0.19,1.2,207.56,1
2021-02-09,2021-02-09 14:00:00,174.0,174.33,174.0,174.33,0.19,1.2,207.56,1
2021-02-09,2021-02-09 14:10:00,174.33,174.67,174.33,174.67,0.2,1.2,207.56,1
2021-02-09,2021-02-09 14:20:00,174.67,175.0,174.67,175.0,0.19,1.2,207.56,1
2021-02-09,2021-02-09 14:30:00,175.0,175.33,175.0,175.33,0.19,1.2,207.56,1
2021-02-09,2021-02-09 14:40:00,175.33,175.67,175.33,175.67,0.19,1.2,207.56,1
2021-02-09,2021-02-09 14:50:00,175.67,176.0,175.67,176.0,0.19,1.2,207.56,1
2021-02-09,2021-02-09 15:00:00,176.0,176.0,168.0,176.0,0.0,1.2,207.56,0
2021-02-10,2021-02-10 11:00:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 11:10:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 11:20:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 11:30:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 11:40:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 11:50:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 12:00:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 12:10:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 12:20:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 12:30:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 12:40:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 12:50:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 13:00:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 13:10:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 13:20:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 13:30:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 13:40:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 13:50:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 14:00:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 14:10:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 14:20:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 14:30:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 14:40:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
2021-02-10,2021-02-10 14:50:00,179.0,179.0,179.0,179.0,0.0,0.8,142.08,0
