published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-03-20,2011-03-20 11:00:00,127.0,127.0,126.7,127.0,0.0,2.07,261.41,0
2011-03-20,2011-03-20 11:01:00,127.0,127.0,126.99,126.99,-0.01,2.07,261.41,-1
2011-03-20,2011-03-20 11:02:00,126.99,126.99,126.99,126.99,0.0,2.07,261.41,0
2011-03-20,2011-03-20 11:03:00,126.99,126.99,126.98,126.98,-0.01,2.07,261.41,-1
2011-03-20,2011-03-20 11:04:00,126.98,126.98,126.98,126.98,0.0,2.07,261.41,0
2011-03-20,2011-03-20 11:05:00,126.98,126.98,126.97,126.97,-0.01,2.07,261.41,-1
2011-03-20,2011-03-20 11:06:00,126.97,126.97,126.97,126.97,0.0,2.07,261.41,0
2011-03-20,2011-03-20 11:07:00,126.97,126.97,126.97,126.97,0.0,2.07,261.41,0
2011-03-20,2011-03-20 11:08:00,126.97,126.97,126.96,126.96,-0.01,2.07,261.41,-1
2011-03-20,2011-03-20 11:09:00,126.96,126.96,126.96,126.96,0.0,2.07,261.41,0
2011-03-20,2011-03-20 11:10:00,126.96,126.96,126.95,126.95,-0.01,2.07,261.41,-1
2011-03-20,2011-03-20 11:11:00,126.95,126.95,126.95,126.95,0.0,2.07,261.41,0
2011-03-20,2011-03-20 11:12:00,126.95,126.95,126.95,126.95,0.0,2.07,261.41,0
2011-03-20,2011-03-20 11:13:00,126.95,126.95,126.94,126.94,-0.01,2.07,261.41,-1
2011-03-20,2011-03-20 11:14:00,126.94,126.94,126.94,126.94,0.0,2.07,261.41,0
2011-03-20,2011-03-20 11:15:00,126.94,126.94,126.93,126.93,-0.01,2.07,261.41,-1
2011-03-20,2011-03-20 11:16:00,126.93,126.93,126.93,126.93,0.0,2.07,261.41,0
2011-03-20,2011-03-20 11:17:00,126.93,126.93,126.92,126.92,-0.01,2.07,261.41,-1
2011-03-20,2011-03-20 11:18:00,126.92,126.92,126.92,126.92,0.0,2.07,261.41,0
2011-03-20,2011-03-20 11:19:00,126.92,126.92,126.92,126.92,0.0,2.07,261.41,0
2011-03-20,2011-03-20 11:20:00,126.92,126.92,126.91,126.91,-0.01,2.07,261.41,-1
