published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-11-06,2025-11-06 11:00:00,402.2,414.26,402.2,403.88,0.42,18.4,8076.36,1
2025-11-06,2025-11-06 11:10:00,403.88,405.55,403.88,405.55,0.41,18.4,8076.36,1
2025-11-06,2025-11-06 11:20:00,405.55,407.22,405.55,407.22,0.41,18.4,8076.36,1
2025-11-06,2025-11-06 11:30:00,407.22,408.9,407.22,408.9,0.41,18.4,8076.36,1
2025-11-06,2025-11-06 11:40:00,408.9,410.57,408.9,410.57,0.41,18.4,8076.36,1
2025-11-06,2025-11-06 11:50:00,410.57,412.25,410.57,412.25,0.41,18.4,8076.36,1
2025-11-06,2025-11-06 12:00:00,412.25,413.93,412.25,413.93,0.41,18.4,8076.36,1
2025-11-06,2025-11-06 12:10:00,413.93,415.6,413.93,415.6,0.4,18.4,8076.36,1
2025-11-06,2025-11-06 12:20:00,415.6,417.27,415.6,417.27,0.4,18.4,8076.36,1
2025-11-06,2025-11-06 12:30:00,417.27,418.95,417.27,418.95,0.4,18.4,8076.36,1
2025-11-06,2025-11-06 12:40:00,418.95,420.62,418.95,420.62,0.4,18.4,8076.36,1
2025-11-06,2025-11-06 12:50:00,420.62,422.3,420.62,422.3,0.4,18.4,8076.36,1
2025-11-06,2025-11-06 13:00:00,422.3,442.4,402.2,423.97,0.4,18.4,8076.36,1
2025-11-06,2025-11-06 13:10:00,423.97,425.65,423.97,425.65,0.4,18.4,8076.36,1
2025-11-06,2025-11-06 13:20:00,425.65,427.32,425.65,427.32,0.39,18.4,8076.36,1
2025-11-06,2025-11-06 13:30:00,427.32,429.0,427.32,429.0,0.39,18.4,8076.36,1
2025-11-06,2025-11-06 13:40:00,429.0,430.67,429.0,430.67,0.39,18.4,8076.36,1
2025-11-06,2025-11-06 13:50:00,430.67,432.35,430.67,432.35,0.39,18.4,8076.36,1
2025-11-06,2025-11-06 14:00:00,432.35,434.02,432.35,434.02,0.39,18.4,8076.36,1
2025-11-06,2025-11-06 14:10:00,434.02,435.7,434.02,435.7,0.39,18.4,8076.36,1
2025-11-06,2025-11-06 14:20:00,435.7,437.38,435.7,437.38,0.39,18.4,8076.36,1
2025-11-06,2025-11-06 14:30:00,437.38,439.05,437.38,439.05,0.38,18.4,8076.36,1
2025-11-06,2025-11-06 14:40:00,439.05,440.72,439.05,440.72,0.38,18.4,8076.36,1
2025-11-06,2025-11-06 14:50:00,440.72,442.4,440.72,442.4,0.38,18.4,8076.36,1
2025-11-06,2025-11-06 15:00:00,442.4,442.4,402.2,442.4,0.0,18.4,8076.36,0
2025-11-09,2025-11-09 11:00:00,451.0,461.68,451.0,452.48,0.33,38.8,18816.52,1
2025-11-09,2025-11-09 11:10:00,452.48,453.97,452.48,453.97,0.33,38.8,18816.52,1
2025-11-09,2025-11-09 11:20:00,453.97,455.45,453.97,455.45,0.33,38.8,18816.52,1
2025-11-09,2025-11-09 11:30:00,455.45,456.93,455.45,456.93,0.32,38.8,18816.52,1
2025-11-09,2025-11-09 11:40:00,456.93,458.42,456.93,458.42,0.33,38.8,18816.52,1
2025-11-09,2025-11-09 11:50:00,458.42,459.9,458.42,459.9,0.32,38.8,18816.52,1
2025-11-09,2025-11-09 12:00:00,459.9,461.38,459.9,461.38,0.32,38.8,18816.52,1
2025-11-09,2025-11-09 12:10:00,461.38,462.87,461.38,462.87,0.32,38.8,18816.52,1
2025-11-09,2025-11-09 12:20:00,462.87,464.35,462.87,464.35,0.32,38.8,18816.52,1
2025-11-09,2025-11-09 12:30:00,464.35,465.83,464.35,465.83,0.32,38.8,18816.52,1
2025-11-09,2025-11-09 12:40:00,465.83,467.32,465.83,467.32,0.32,38.8,18816.52,1
2025-11-09,2025-11-09 12:50:00,467.32,468.8,467.32,468.8,0.32,38.8,18816.52,1
2025-11-09,2025-11-09 13:00:00,468.8,486.6,451.0,470.28,0.32,38.8,18816.52,1
2025-11-09,2025-11-09 13:10:00,470.28,471.77,470.28,471.77,0.32,38.8,18816.52,1
2025-11-09,2025-11-09 13:20:00,471.77,473.25,471.77,473.25,0.31,38.8,18816.52,1
2025-11-09,2025-11-09 13:30:00,473.25,474.73,473.25,474.73,0.31,38.8,18816.52,1
2025-11-09,2025-11-09 13:40:00,474.73,476.22,474.73,476.22,0.31,38.8,18816.52,1
2025-11-09,2025-11-09 13:50:00,476.22,477.7,476.22,477.7,0.31,38.8,18816.52,1
2025-11-09,2025-11-09 14:00:00,477.7,479.18,477.7,479.18,0.31,38.8,18816.52,1
2025-11-09,2025-11-09 14:10:00,479.18,480.67,479.18,480.67,0.31,38.8,18816.52,1
2025-11-09,2025-11-09 14:20:00,480.67,482.15,480.67,482.15,0.31,38.8,18816.52,1
2025-11-09,2025-11-09 14:30:00,482.15,483.63,482.15,483.63,0.31,38.8,18816.52,1
2025-11-09,2025-11-09 14:40:00,483.63,485.12,483.63,485.12,0.31,38.8,18816.52,1
2025-11-09,2025-11-09 14:50:00,485.12,486.6,485.12,486.6,0.31,38.8,18816.52,1
2025-11-09,2025-11-09 15:00:00,486.6,486.6,451.0,486.6,0.0,38.8,18816.52,0
2025-11-10,2025-11-10 11:00:00,491.2,504.4,491.2,493.03,0.37,131.2,70170.24,1
2025-11-10,2025-11-10 11:10:00,493.03,494.87,493.03,494.87,0.37,131.2,70170.24,1
2025-11-10,2025-11-10 11:20:00,494.87,496.7,494.87,496.7,0.37,131.2,70170.24,1
2025-11-10,2025-11-10 11:30:00,496.7,498.53,496.7,498.53,0.37,131.2,70170.24,1
2025-11-10,2025-11-10 11:40:00,498.53,500.37,498.53,500.37,0.37,131.2,70170.24,1
2025-11-10,2025-11-10 11:50:00,500.37,502.2,500.37,502.2,0.37,131.2,70170.24,1
2025-11-10,2025-11-10 12:00:00,502.2,504.03,502.2,504.03,0.36,131.2,70170.24,1
2025-11-10,2025-11-10 12:10:00,504.03,505.87,504.03,505.87,0.37,131.2,70170.24,1
2025-11-10,2025-11-10 12:20:00,505.87,507.7,505.87,507.7,0.36,131.2,70170.24,1
2025-11-10,2025-11-10 12:30:00,507.7,509.53,507.7,509.53,0.36,131.2,70170.24,1
2025-11-10,2025-11-10 12:40:00,509.53,511.37,509.53,511.37,0.36,131.2,70170.24,1
2025-11-10,2025-11-10 12:50:00,511.37,513.2,511.37,513.2,0.36,131.2,70170.24,1
2025-11-10,2025-11-10 13:00:00,513.2,535.2,491.2,515.03,0.36,131.2,70170.24,1
2025-11-10,2025-11-10 13:10:00,515.03,516.87,515.03,516.87,0.36,131.2,70170.24,1
2025-11-10,2025-11-10 13:20:00,516.87,518.7,516.87,518.7,0.35,131.2,70170.24,1
2025-11-10,2025-11-10 13:30:00,518.7,520.53,518.7,520.53,0.35,131.2,70170.24,1
2025-11-10,2025-11-10 13:40:00,520.53,522.37,520.53,522.37,0.35,131.2,70170.24,1
2025-11-10,2025-11-10 13:50:00,522.37,524.2,522.37,524.2,0.35,131.2,70170.24,1
2025-11-10,2025-11-10 14:00:00,524.2,526.03,524.2,526.03,0.35,131.2,70170.24,1
2025-11-10,2025-11-10 14:10:00,526.03,527.87,526.03,527.87,0.35,131.2,70170.24,1
2025-11-10,2025-11-10 14:20:00,527.87,529.7,527.87,529.7,0.35,131.2,70170.24,1
