published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-04-20,2017-04-20 11:00:00,244.0,244.0,242.8,243.83,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 11:10:00,243.83,243.83,243.67,243.67,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 11:20:00,243.67,243.67,243.5,243.5,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 11:30:00,243.5,243.5,243.33,243.33,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 11:40:00,243.33,243.33,243.17,243.17,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 11:50:00,243.17,243.17,243.0,243.0,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 12:00:00,243.0,243.0,242.83,242.83,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 12:10:00,242.83,242.83,242.67,242.67,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 12:20:00,242.67,242.67,242.5,242.5,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 12:30:00,242.5,242.5,242.33,242.33,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 12:40:00,242.33,242.33,242.17,242.17,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 12:50:00,242.17,242.17,242.0,242.0,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 13:00:00,242.0,242.0,240.0,241.83,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 13:10:00,241.83,241.83,241.67,241.67,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 13:20:00,241.67,241.67,241.5,241.5,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 13:30:00,241.5,241.5,241.33,241.33,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 13:40:00,241.33,241.33,241.17,241.17,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 13:50:00,241.17,241.17,241.0,241.0,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 14:00:00,241.0,241.0,240.83,240.83,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 14:10:00,240.83,240.83,240.67,240.67,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 14:20:00,240.67,240.67,240.5,240.5,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 14:30:00,240.5,240.5,240.33,240.33,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 14:40:00,240.33,240.33,240.17,240.17,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 14:50:00,240.17,240.17,240.0,240.0,-0.07,3.44,825.6,-1
2017-04-20,2017-04-20 15:00:00,240.0,240.0,240.0,240.0,0.0,3.44,825.6,0
2017-04-24,2017-04-24 11:00:00,240.0,240.0,234.9,239.29,-0.3,4.28,983.24,-1
2017-04-24,2017-04-24 11:10:00,239.29,239.29,238.58,238.58,-0.3,4.28,983.24,-1
2017-04-24,2017-04-24 11:20:00,238.58,238.58,237.88,237.88,-0.29,4.28,983.24,-1
2017-04-24,2017-04-24 11:30:00,237.88,237.88,237.17,237.17,-0.3,4.28,983.24,-1
2017-04-24,2017-04-24 11:40:00,237.17,237.17,236.46,236.46,-0.3,4.28,983.24,-1
2017-04-24,2017-04-24 11:50:00,236.46,236.46,235.75,235.75,-0.3,4.28,983.24,-1
2017-04-24,2017-04-24 12:00:00,235.75,235.75,235.04,235.04,-0.3,4.28,983.24,-1
2017-04-24,2017-04-24 12:10:00,235.04,235.04,234.33,234.33,-0.3,4.28,983.24,-1
2017-04-24,2017-04-24 12:20:00,234.33,234.33,233.62,233.62,-0.3,4.28,983.24,-1
2017-04-24,2017-04-24 12:30:00,233.62,233.62,232.92,232.92,-0.3,4.28,983.24,-1
2017-04-24,2017-04-24 12:40:00,232.92,232.92,232.21,232.21,-0.3,4.28,983.24,-1
2017-04-24,2017-04-24 12:50:00,232.21,232.21,231.5,231.5,-0.31,4.28,983.24,-1
2017-04-24,2017-04-24 13:00:00,231.5,239.0,223.0,230.79,-0.31,4.28,983.24,-1
2017-04-24,2017-04-24 13:10:00,230.79,230.79,230.08,230.08,-0.31,4.28,983.24,-1
2017-04-24,2017-04-24 13:20:00,230.08,230.08,229.38,229.38,-0.3,4.28,983.24,-1
2017-04-24,2017-04-24 13:30:00,229.38,229.38,228.67,228.67,-0.31,4.28,983.24,-1
2017-04-24,2017-04-24 13:40:00,228.67,228.67,227.96,227.96,-0.31,4.28,983.24,-1
2017-04-24,2017-04-24 13:50:00,227.96,227.96,227.25,227.25,-0.31,4.28,983.24,-1
2017-04-24,2017-04-24 14:00:00,227.25,227.25,226.54,226.54,-0.31,4.28,983.24,-1
2017-04-24,2017-04-24 14:10:00,226.54,226.54,225.83,225.83,-0.31,4.28,983.24,-1
2017-04-24,2017-04-24 14:20:00,225.83,225.83,225.12,225.12,-0.31,4.28,983.24,-1
2017-04-24,2017-04-24 14:30:00,225.12,225.12,224.42,224.42,-0.31,4.28,983.24,-1
2017-04-24,2017-04-24 14:40:00,224.42,224.42,223.71,223.71,-0.32,4.28,983.24,-1
2017-04-24,2017-04-24 14:50:00,223.71,223.71,223.0,223.0,-0.32,4.28,983.24,-1
2017-04-24,2017-04-24 15:00:00,223.0,239.0,223.0,223.0,0.0,4.28,983.24,0
2017-04-25,2017-04-25 11:00:00,223.0,225.1,223.0,223.29,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 11:10:00,223.29,223.58,223.29,223.58,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 11:20:00,223.58,223.88,223.58,223.88,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 11:30:00,223.88,224.17,223.88,224.17,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 11:40:00,224.17,224.46,224.17,224.46,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 11:50:00,224.46,224.75,224.46,224.75,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 12:00:00,224.75,225.04,224.75,225.04,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 12:10:00,225.04,225.33,225.04,225.33,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 12:20:00,225.33,225.62,225.33,225.62,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 12:30:00,225.62,225.92,225.62,225.92,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 12:40:00,225.92,226.21,225.92,226.21,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 12:50:00,226.21,226.5,226.21,226.5,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 13:00:00,226.5,230.0,223.0,226.79,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 13:10:00,226.79,227.08,226.79,227.08,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 13:20:00,227.08,227.38,227.08,227.38,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 13:30:00,227.38,227.67,227.38,227.67,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 13:40:00,227.67,227.96,227.67,227.96,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 13:50:00,227.96,228.25,227.96,228.25,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 14:00:00,228.25,228.54,228.25,228.54,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 14:10:00,228.54,228.83,228.54,228.83,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 14:20:00,228.83,229.12,228.83,229.12,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 14:30:00,229.12,229.42,229.12,229.42,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 14:40:00,229.42,229.71,229.42,229.71,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 14:50:00,229.71,230.0,229.71,230.0,0.13,22.76,5192.24,1
2017-04-25,2017-04-25 15:00:00,230.0,230.0,223.0,230.0,0.0,22.76,5192.24,0
2017-04-26,2017-04-26 11:00:00,230.0,231.2,229.4,230.17,0.07,10.64,2440.48,1
2017-04-26,2017-04-26 11:10:00,230.17,230.33,230.17,230.33,0.07,10.64,2440.48,1
2017-04-26,2017-04-26 11:20:00,230.33,230.5,230.33,230.5,0.07,10.64,2440.48,1
2017-04-26,2017-04-26 11:30:00,230.5,230.67,230.5,230.67,0.07,10.64,2440.48,1
2017-04-26,2017-04-26 11:40:00,230.67,230.83,230.67,230.83,0.07,10.64,2440.48,1
2017-04-26,2017-04-26 11:50:00,230.83,231.0,230.83,231.0,0.07,10.64,2440.48,1
2017-04-26,2017-04-26 12:00:00,231.0,231.17,231.0,231.17,0.07,10.64,2440.48,1
2017-04-26,2017-04-26 12:10:00,231.17,231.33,231.17,231.33,0.07,10.64,2440.48,1
2017-04-26,2017-04-26 12:20:00,231.33,231.5,231.33,231.5,0.07,10.64,2440.48,1
2017-04-26,2017-04-26 12:30:00,231.5,231.67,231.5,231.67,0.07,10.64,2440.48,1
2017-04-26,2017-04-26 12:40:00,231.67,231.83,231.67,231.83,0.07,10.64,2440.48,1
2017-04-26,2017-04-26 12:50:00,231.83,232.0,231.83,232.0,0.07,10.64,2440.48,1
2017-04-26,2017-04-26 13:00:00,232.0,234.0,228.0,232.17,0.07,10.64,2440.48,1
2017-04-26,2017-04-26 13:10:00,232.17,232.33,232.17,232.33,0.07,10.64,2440.48,1
2017-04-26,2017-04-26 13:20:00,232.33,232.5,232.33,232.5,0.07,10.64,2440.48,1
2017-04-26,2017-04-26 13:30:00,232.5,232.67,232.5,232.67,0.07,10.64,2440.48,1
2017-04-26,2017-04-26 13:40:00,232.67,232.83,232.67,232.83,0.07,10.64,2440.48,1
2017-04-26,2017-04-26 13:50:00,232.83,233.0,232.83,233.0,0.07,10.64,2440.48,1
2017-04-26,2017-04-26 14:00:00,233.0,233.17,233.0,233.17,0.07,10.64,2440.48,1
2017-04-26,2017-04-26 14:10:00,233.17,233.33,233.17,233.33,0.07,10.64,2440.48,1
2017-04-26,2017-04-26 14:20:00,233.33,233.5,233.33,233.5,0.07,10.64,2440.48,1
2017-04-26,2017-04-26 14:30:00,233.5,233.67,233.5,233.67,0.07,10.64,2440.48,1
2017-04-26,2017-04-26 14:40:00,233.67,233.83,233.67,233.83,0.07,10.64,2440.48,1
