published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-06-08,2023-06-08 11:00:00,261.0,268.83,257.7,262.09,0.42,3132.6,870683.94,1
2023-06-08,2023-06-08 11:10:00,262.09,263.18,262.09,263.18,0.42,3132.6,870683.94,1
2023-06-08,2023-06-08 11:20:00,263.18,264.26,263.18,264.26,0.41,3132.6,870683.94,1
2023-06-08,2023-06-08 11:30:00,264.26,265.35,264.26,265.35,0.41,3132.6,870683.94,1
2023-06-08,2023-06-08 11:40:00,265.35,266.44,265.35,266.44,0.41,3132.6,870683.94,1
2023-06-08,2023-06-08 11:50:00,266.44,267.52,266.44,267.52,0.41,3132.6,870683.94,1
2023-06-08,2023-06-08 12:00:00,267.52,268.61,267.52,268.61,0.41,3132.6,870683.94,1
2023-06-08,2023-06-08 12:10:00,268.61,269.7,268.61,269.7,0.41,3132.6,870683.94,1
2023-06-08,2023-06-08 12:20:00,269.7,270.79,269.7,270.79,0.4,3132.6,870683.94,1
2023-06-08,2023-06-08 12:30:00,270.79,271.88,270.79,271.88,0.4,3132.6,870683.94,1
2023-06-08,2023-06-08 12:40:00,271.88,272.96,271.88,272.96,0.4,3132.6,870683.94,1
2023-06-08,2023-06-08 12:50:00,272.96,274.05,272.96,274.05,0.4,3132.6,870683.94,1
2023-06-08,2023-06-08 13:00:00,274.05,287.1,250.0,275.14,0.4,3132.6,870683.94,1
2023-06-08,2023-06-08 13:10:00,275.14,276.23,275.14,276.23,0.4,3132.6,870683.94,1
2023-06-08,2023-06-08 13:20:00,276.23,277.31,276.23,277.31,0.39,3132.6,870683.94,1
2023-06-08,2023-06-08 13:30:00,277.31,278.4,277.31,278.4,0.39,3132.6,870683.94,1
2023-06-08,2023-06-08 13:40:00,278.4,279.49,278.4,279.49,0.39,3132.6,870683.94,1
2023-06-08,2023-06-08 13:50:00,279.49,280.58,279.49,280.58,0.39,3132.6,870683.94,1
2023-06-08,2023-06-08 14:00:00,280.58,281.66,280.58,281.66,0.38,3132.6,870683.94,1
2023-06-08,2023-06-08 14:10:00,281.66,282.75,281.66,282.75,0.39,3132.6,870683.94,1
2023-06-08,2023-06-08 14:20:00,282.75,283.84,282.75,283.84,0.39,3132.6,870683.94,1
2023-06-08,2023-06-08 14:30:00,283.84,284.93,283.84,284.93,0.38,3132.6,870683.94,1
2023-06-08,2023-06-08 14:40:00,284.93,286.01,284.93,286.01,0.38,3132.6,870683.94,1
2023-06-08,2023-06-08 14:50:00,286.01,287.1,286.01,287.1,0.38,3132.6,870683.94,1
2023-06-08,2023-06-08 15:00:00,287.1,287.1,250.0,287.1,0.0,3132.6,870683.94,0
2023-06-11,2023-06-11 11:00:00,292.8,298.26,288.75,292.77,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 11:10:00,292.77,292.77,292.73,292.73,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 11:20:00,292.73,292.73,292.7,292.7,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 11:30:00,292.7,292.7,292.67,292.67,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 11:40:00,292.67,292.67,292.63,292.63,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 11:50:00,292.63,292.63,292.6,292.6,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 12:00:00,292.6,292.6,292.57,292.57,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 12:10:00,292.57,292.57,292.53,292.53,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 12:20:00,292.53,292.53,292.5,292.5,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 12:30:00,292.5,292.5,292.47,292.47,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 12:40:00,292.47,292.47,292.43,292.43,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 12:50:00,292.43,292.43,292.4,292.4,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 13:00:00,292.4,311.0,279.3,292.37,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 13:10:00,292.37,292.37,292.33,292.33,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 13:20:00,292.33,292.33,292.3,292.3,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 13:30:00,292.3,292.3,292.27,292.27,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 13:40:00,292.27,292.27,292.23,292.23,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 13:50:00,292.23,292.23,292.2,292.2,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 14:00:00,292.2,292.2,292.17,292.17,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 14:10:00,292.17,292.17,292.13,292.13,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 14:20:00,292.13,292.13,292.1,292.1,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 14:30:00,292.1,292.1,292.07,292.07,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 14:40:00,292.07,292.07,292.03,292.03,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 14:50:00,292.03,292.03,292.0,292.0,-0.01,1673.04,488010.75,-1
2023-06-11,2023-06-11 15:00:00,292.0,311.0,279.3,292.0,0.0,1673.04,488010.75,0
2023-06-12,2023-06-12 11:00:00,287.0,287.78,283.37,286.85,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 11:10:00,286.85,286.85,286.71,286.71,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 11:20:00,286.71,286.71,286.56,286.56,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 11:30:00,286.56,286.56,286.42,286.42,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 11:40:00,286.42,286.42,286.27,286.27,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 11:50:00,286.27,286.27,286.12,286.12,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 12:00:00,286.12,286.12,285.98,285.98,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 12:10:00,285.98,285.98,285.83,285.83,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 12:20:00,285.83,285.83,285.69,285.69,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 12:30:00,285.69,285.69,285.54,285.54,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 12:40:00,285.54,285.54,285.4,285.4,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 12:50:00,285.4,285.4,285.25,285.25,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 13:00:00,285.25,289.6,274.9,285.1,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 13:10:00,285.1,285.1,284.96,284.96,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 13:20:00,284.96,284.96,284.81,284.81,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 13:30:00,284.81,284.81,284.67,284.67,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 13:40:00,284.67,284.67,284.52,284.52,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 13:50:00,284.52,284.52,284.38,284.38,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 14:00:00,284.38,284.38,284.23,284.23,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 14:10:00,284.23,284.23,284.08,284.08,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 14:20:00,284.08,284.08,283.94,283.94,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 14:30:00,283.94,283.94,283.79,283.79,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 14:40:00,283.79,283.79,283.65,283.65,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 14:50:00,283.65,283.65,283.5,283.5,-0.05,1339.16,380553.3,-1
2023-06-12,2023-06-12 15:00:00,283.5,289.6,274.9,283.5,0.0,1339.16,380553.3,0
2023-06-13,2023-06-13 11:00:00,283.0,289.75,281.5,283.5,0.18,1311.68,376200.04,1
2023-06-13,2023-06-13 11:10:00,283.5,284.0,283.5,284.0,0.18,1311.68,376200.04,1
2023-06-13,2023-06-13 11:20:00,284.0,284.5,284.0,284.5,0.18,1311.68,376200.04,1
2023-06-13,2023-06-13 11:30:00,284.5,285.0,284.5,285.0,0.18,1311.68,376200.04,1
2023-06-13,2023-06-13 11:40:00,285.0,285.5,285.0,285.5,0.18,1311.68,376200.04,1
2023-06-13,2023-06-13 11:50:00,285.5,286.0,285.5,286.0,0.18,1311.68,376200.04,1
2023-06-13,2023-06-13 12:00:00,286.0,286.5,286.0,286.5,0.17,1311.68,376200.04,1
2023-06-13,2023-06-13 12:10:00,286.5,287.0,286.5,287.0,0.17,1311.68,376200.04,1
2023-06-13,2023-06-13 12:20:00,287.0,287.5,287.0,287.5,0.17,1311.68,376200.04,1
2023-06-13,2023-06-13 12:30:00,287.5,288.0,287.5,288.0,0.17,1311.68,376200.04,1
2023-06-13,2023-06-13 12:40:00,288.0,288.5,288.0,288.5,0.17,1311.68,376200.04,1
2023-06-13,2023-06-13 12:50:00,288.5,289.0,288.5,289.0,0.17,1311.68,376200.04,1
2023-06-13,2023-06-13 13:00:00,289.0,305.5,278.0,289.5,0.17,1311.68,376200.04,1
2023-06-13,2023-06-13 13:10:00,289.5,290.0,289.5,290.0,0.17,1311.68,376200.04,1
2023-06-13,2023-06-13 13:20:00,290.0,290.5,290.0,290.5,0.17,1311.68,376200.04,1
2023-06-13,2023-06-13 13:30:00,290.5,291.0,290.5,291.0,0.17,1311.68,376200.04,1
2023-06-13,2023-06-13 13:40:00,291.0,291.5,291.0,291.5,0.17,1311.68,376200.04,1
2023-06-13,2023-06-13 13:50:00,291.5,292.0,291.5,292.0,0.17,1311.68,376200.04,1
2023-06-13,2023-06-13 14:00:00,292.0,292.5,292.0,292.5,0.17,1311.68,376200.04,1
2023-06-13,2023-06-13 14:10:00,292.5,293.0,292.5,293.0,0.17,1311.68,376200.04,1
2023-06-13,2023-06-13 14:20:00,293.0,293.5,293.0,293.5,0.17,1311.68,376200.04,1
2023-06-13,2023-06-13 14:30:00,293.5,294.0,293.5,294.0,0.17,1311.68,376200.04,1
2023-06-13,2023-06-13 14:40:00,294.0,294.5,294.0,294.5,0.17,1311.68,376200.04,1
2023-06-13,2023-06-13 14:50:00,294.5,295.0,294.5,295.0,0.17,1311.68,376200.04,1
2023-06-13,2023-06-13 15:00:00,295.0,305.5,278.0,295.0,0.0,1311.68,376200.04,0
2023-06-14,2023-06-14 11:00:00,290.0,294.11,288.5,290.0,0.0,801.92,236662.29,0
2023-06-14,2023-06-14 11:10:00,290.0,290.0,290.0,290.0,0.0,801.92,236662.29,0
2023-06-14,2023-06-14 11:20:00,290.0,290.0,290.0,290.0,0.0,801.92,236662.29,0
2023-06-14,2023-06-14 11:30:00,290.0,290.0,290.0,290.0,0.0,801.92,236662.29,0
2023-06-14,2023-06-14 11:40:00,290.0,290.0,290.0,290.0,0.0,801.92,236662.29,0
2023-06-14,2023-06-14 11:50:00,290.0,290.0,290.0,290.0,0.0,801.92,236662.29,0
2023-06-14,2023-06-14 12:00:00,290.0,290.0,290.0,290.0,0.0,801.92,236662.29,0
2023-06-14,2023-06-14 12:10:00,290.0,290.0,290.0,290.0,0.0,801.92,236662.29,0
2023-06-14,2023-06-14 12:20:00,290.0,290.0,290.0,290.0,0.0,801.92,236662.29,0
