published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-07-14,2022-07-14 11:00:00,307.1,316.31,303.47,307.43,0.11,5103.28,1631146.75,1
2022-07-14,2022-07-14 11:10:00,307.43,307.76,307.43,307.76,0.11,5103.28,1631146.75,1
2022-07-14,2022-07-14 11:20:00,307.76,308.09,307.76,308.09,0.11,5103.28,1631146.75,1
2022-07-14,2022-07-14 11:30:00,308.09,308.42,308.09,308.42,0.11,5103.28,1631146.75,1
2022-07-14,2022-07-14 11:40:00,308.42,308.75,308.42,308.75,0.11,5103.28,1631146.75,1
2022-07-14,2022-07-14 11:50:00,308.75,309.08,308.75,309.08,0.11,5103.28,1631146.75,1
2022-07-14,2022-07-14 12:00:00,309.08,309.4,309.08,309.4,0.1,5103.28,1631146.75,1
2022-07-14,2022-07-14 12:10:00,309.4,309.73,309.4,309.73,0.11,5103.28,1631146.75,1
2022-07-14,2022-07-14 12:20:00,309.73,310.06,309.73,310.06,0.11,5103.28,1631146.75,1
2022-07-14,2022-07-14 12:30:00,310.06,310.39,310.06,310.39,0.11,5103.28,1631146.75,1
2022-07-14,2022-07-14 12:40:00,310.39,310.72,310.39,310.72,0.11,5103.28,1631146.75,1
2022-07-14,2022-07-14 12:50:00,310.72,311.05,310.72,311.05,0.11,5103.28,1631146.75,1
2022-07-14,2022-07-14 13:00:00,311.05,337.8,295.0,311.38,0.11,5103.28,1631146.75,1
2022-07-14,2022-07-14 13:10:00,311.38,311.71,311.38,311.71,0.11,5103.28,1631146.75,1
2022-07-14,2022-07-14 13:20:00,311.71,312.04,311.71,312.04,0.11,5103.28,1631146.75,1
2022-07-14,2022-07-14 13:30:00,312.04,312.37,312.04,312.37,0.11,5103.28,1631146.75,1
2022-07-14,2022-07-14 13:40:00,312.37,312.7,312.37,312.7,0.11,5103.28,1631146.75,1
2022-07-14,2022-07-14 13:50:00,312.7,313.02,312.7,313.02,0.1,5103.28,1631146.75,1
2022-07-14,2022-07-14 14:00:00,313.02,313.35,313.02,313.35,0.11,5103.28,1631146.75,1
2022-07-14,2022-07-14 14:10:00,313.35,313.68,313.35,313.68,0.11,5103.28,1631146.75,1
2022-07-14,2022-07-14 14:20:00,313.68,314.01,313.68,314.01,0.11,5103.28,1631146.75,1
2022-07-14,2022-07-14 14:30:00,314.01,314.34,314.01,314.34,0.11,5103.28,1631146.75,1
2022-07-14,2022-07-14 14:40:00,314.34,314.67,314.34,314.67,0.1,5103.28,1631146.75,1
2022-07-14,2022-07-14 14:50:00,314.67,315.0,314.67,315.0,0.1,5103.28,1631146.75,1
2022-07-14,2022-07-14 15:00:00,315.0,337.8,295.0,315.0,0.0,5103.28,1631146.75,0
2022-07-15,2022-07-15 11:00:00,320.0,320.0,312.2,319.55,-0.14,1116.44,340653.43,-1
2022-07-15,2022-07-15 11:10:00,319.55,319.55,319.1,319.1,-0.14,1116.44,340653.43,-1
2022-07-15,2022-07-15 11:20:00,319.1,319.1,318.65,318.65,-0.14,1116.44,340653.43,-1
2022-07-15,2022-07-15 11:30:00,318.65,318.65,318.2,318.2,-0.14,1116.44,340653.43,-1
2022-07-15,2022-07-15 11:40:00,318.2,318.2,317.75,317.75,-0.14,1116.44,340653.43,-1
2022-07-15,2022-07-15 11:50:00,317.75,317.75,317.3,317.3,-0.14,1116.44,340653.43,-1
2022-07-15,2022-07-15 12:00:00,317.3,317.3,316.85,316.85,-0.14,1116.44,340653.43,-1
2022-07-15,2022-07-15 12:10:00,316.85,316.85,316.4,316.4,-0.14,1116.44,340653.43,-1
2022-07-15,2022-07-15 12:20:00,316.4,316.4,315.95,315.95,-0.14,1116.44,340653.43,-1
2022-07-15,2022-07-15 12:30:00,315.95,315.95,315.5,315.5,-0.14,1116.44,340653.43,-1
2022-07-15,2022-07-15 12:40:00,315.5,315.5,315.05,315.05,-0.14,1116.44,340653.43,-1
2022-07-15,2022-07-15 12:50:00,315.05,315.05,314.6,314.6,-0.14,1116.44,340653.43,-1
2022-07-15,2022-07-15 13:00:00,314.6,320.0,294.0,314.15,-0.14,1116.44,340653.43,-1
2022-07-15,2022-07-15 13:10:00,314.15,314.15,313.7,313.7,-0.14,1116.44,340653.43,-1
2022-07-15,2022-07-15 13:20:00,313.7,313.7,313.25,313.25,-0.14,1116.44,340653.43,-1
