published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-07-17,2026-07-17 11:00:00,296.6,304.79,296.6,297.74,0.38,2.0,614.8,1
2026-07-17,2026-07-17 11:10:00,297.74,298.88,297.74,298.88,0.38,2.0,614.8,1
2026-07-17,2026-07-17 11:20:00,298.88,300.01,298.88,300.01,0.38,2.0,614.8,1
2026-07-17,2026-07-17 11:30:00,300.01,301.15,300.01,301.15,0.38,2.0,614.8,1
2026-07-17,2026-07-17 11:40:00,301.15,302.29,301.15,302.29,0.38,2.0,614.8,1
2026-07-17,2026-07-17 11:50:00,302.29,303.43,302.29,303.43,0.38,2.0,614.8,1
2026-07-17,2026-07-17 12:00:00,303.43,304.56,303.43,304.56,0.37,2.0,614.8,1
2026-07-17,2026-07-17 12:10:00,304.56,305.7,304.56,305.7,0.37,2.0,614.8,1
2026-07-17,2026-07-17 12:20:00,305.7,306.84,305.7,306.84,0.37,2.0,614.8,1
2026-07-17,2026-07-17 12:30:00,306.84,307.98,306.84,307.98,0.37,2.0,614.8,1
2026-07-17,2026-07-17 12:40:00,307.98,309.11,307.98,309.11,0.37,2.0,614.8,1
2026-07-17,2026-07-17 12:50:00,309.11,310.25,309.11,310.25,0.37,2.0,614.8,1
2026-07-17,2026-07-17 13:00:00,310.25,323.9,296.6,311.39,0.37,2.0,614.8,1
2026-07-17,2026-07-17 13:10:00,311.39,312.52,311.39,312.52,0.36,2.0,614.8,1
2026-07-17,2026-07-17 13:20:00,312.52,313.66,312.52,313.66,0.36,2.0,614.8,1
2026-07-17,2026-07-17 13:30:00,313.66,314.8,313.66,314.8,0.36,2.0,614.8,1
2026-07-17,2026-07-17 13:40:00,314.8,315.94,314.8,315.94,0.36,2.0,614.8,1
2026-07-17,2026-07-17 13:50:00,315.94,317.07,315.94,317.07,0.36,2.0,614.8,1
2026-07-17,2026-07-17 14:00:00,317.07,318.21,317.07,318.21,0.36,2.0,614.8,1
2026-07-17,2026-07-17 14:10:00,318.21,319.35,318.21,319.35,0.36,2.0,614.8,1
2026-07-17,2026-07-17 14:20:00,319.35,320.49,319.35,320.49,0.36,2.0,614.8,1
2026-07-17,2026-07-17 14:30:00,320.49,321.62,320.49,321.62,0.35,2.0,614.8,1
2026-07-17,2026-07-17 14:40:00,321.62,322.76,321.62,322.76,0.35,2.0,614.8,1
2026-07-17,2026-07-17 14:50:00,322.76,323.9,322.76,323.9,0.35,2.0,614.8,1
2026-07-17,2026-07-17 15:00:00,323.9,323.9,296.6,323.9,0.0,2.0,614.8,0
2026-07-20,2026-07-20 11:00:00,333.6,345.24,333.6,335.22,0.49,3.2,1154.08,1
2026-07-20,2026-07-20 11:10:00,335.22,336.83,335.22,336.83,0.48,3.2,1154.08,1
2026-07-20,2026-07-20 11:20:00,336.83,338.45,336.83,338.45,0.48,3.2,1154.08,1
2026-07-20,2026-07-20 11:30:00,338.45,340.07,338.45,340.07,0.48,3.2,1154.08,1
2026-07-20,2026-07-20 11:40:00,340.07,341.68,340.07,341.68,0.47,3.2,1154.08,1
2026-07-20,2026-07-20 11:50:00,341.68,343.3,341.68,343.3,0.47,3.2,1154.08,1
2026-07-20,2026-07-20 12:00:00,343.3,344.92,343.3,344.92,0.47,3.2,1154.08,1
2026-07-20,2026-07-20 12:10:00,344.92,346.53,344.92,346.53,0.47,3.2,1154.08,1
2026-07-20,2026-07-20 12:20:00,346.53,348.15,346.53,348.15,0.47,3.2,1154.08,1
2026-07-20,2026-07-20 12:30:00,348.15,349.77,348.15,349.77,0.47,3.2,1154.08,1
