published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-03-06,2022-03-06 11:00:00,287.1,287.1,287.1,287.1,0.0,0.8,231.16,0
2022-03-06,2022-03-06 11:10:00,287.1,287.1,287.1,287.1,0.0,0.8,231.16,0
2022-03-06,2022-03-06 11:20:00,287.1,287.1,287.1,287.1,0.0,0.8,231.16,0
2022-03-06,2022-03-06 11:30:00,287.1,287.1,287.1,287.1,0.0,0.8,231.16,0
2022-03-06,2022-03-06 11:40:00,287.1,287.1,287.1,287.1,0.0,0.8,231.16,0
2022-03-06,2022-03-06 11:50:00,287.1,287.1,287.1,287.1,0.0,0.8,231.16,0
2022-03-06,2022-03-06 12:00:00,287.1,287.1,287.1,287.1,0.0,0.8,231.16,0
2022-03-06,2022-03-06 12:10:00,287.1,287.1,287.1,287.1,0.0,0.8,231.16,0
2022-03-06,2022-03-06 12:20:00,287.1,287.1,287.1,287.1,0.0,0.8,231.16,0
2022-03-06,2022-03-06 12:30:00,287.1,287.1,287.1,287.1,0.0,0.8,231.16,0
2022-03-06,2022-03-06 12:40:00,287.1,287.1,287.1,287.1,0.0,0.8,231.16,0
2022-03-06,2022-03-06 12:50:00,287.1,287.1,287.1,287.1,0.0,0.8,231.16,0
2022-03-06,2022-03-06 13:00:00,287.1,287.1,287.1,287.1,0.0,0.8,231.16,0
2022-03-06,2022-03-06 13:10:00,287.1,287.1,287.1,287.1,0.0,0.8,231.16,0
2022-03-06,2022-03-06 13:20:00,287.1,287.1,287.1,287.1,0.0,0.8,231.16,0
2022-03-06,2022-03-06 13:30:00,287.1,287.1,287.1,287.1,0.0,0.8,231.16,0
2022-03-06,2022-03-06 13:40:00,287.1,287.1,287.1,287.1,0.0,0.8,231.16,0
2022-03-06,2022-03-06 13:50:00,287.1,287.1,287.1,287.1,0.0,0.8,231.16,0
2022-03-06,2022-03-06 14:00:00,287.1,287.1,287.1,287.1,0.0,0.8,231.16,0
2022-03-06,2022-03-06 14:10:00,287.1,287.1,287.1,287.1,0.0,0.8,231.16,0
2022-03-06,2022-03-06 14:20:00,287.1,287.1,287.1,287.1,0.0,0.8,231.16,0
2022-03-06,2022-03-06 14:30:00,287.1,287.1,287.1,287.1,0.0,0.8,231.16,0
