published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-06-05,2011-06-05 11:00:00,132.0,132.6,130.8,131.83,-0.13,32.4,4236.0,-1
2011-06-05,2011-06-05 11:10:00,131.83,131.83,131.67,131.67,-0.12,32.4,4236.0,-1
2011-06-05,2011-06-05 11:20:00,131.67,131.67,131.5,131.5,-0.13,32.4,4236.0,-1
2011-06-05,2011-06-05 11:30:00,131.5,131.5,131.33,131.33,-0.13,32.4,4236.0,-1
2011-06-05,2011-06-05 11:40:00,131.33,131.33,131.17,131.17,-0.12,32.4,4236.0,-1
2011-06-05,2011-06-05 11:50:00,131.17,131.17,131.0,131.0,-0.13,32.4,4236.0,-1
2011-06-05,2011-06-05 12:00:00,131.0,131.0,130.83,130.83,-0.13,32.4,4236.0,-1
2011-06-05,2011-06-05 12:10:00,130.83,130.83,130.67,130.67,-0.12,32.4,4236.0,-1
2011-06-05,2011-06-05 12:20:00,130.67,130.67,130.5,130.5,-0.13,32.4,4236.0,-1
2011-06-05,2011-06-05 12:30:00,130.5,130.5,130.33,130.33,-0.13,32.4,4236.0,-1
2011-06-05,2011-06-05 12:40:00,130.33,130.33,130.17,130.17,-0.12,32.4,4236.0,-1
2011-06-05,2011-06-05 12:50:00,130.17,130.17,130.0,130.0,-0.13,32.4,4236.0,-1
2011-06-05,2011-06-05 13:00:00,130.0,134.0,128.0,129.83,-0.13,32.4,4236.0,-1
2011-06-05,2011-06-05 13:10:00,129.83,129.83,129.67,129.67,-0.12,32.4,4236.0,-1
2011-06-05,2011-06-05 13:20:00,129.67,129.67,129.5,129.5,-0.13,32.4,4236.0,-1
2011-06-05,2011-06-05 13:30:00,129.5,129.5,129.33,129.33,-0.13,32.4,4236.0,-1
2011-06-05,2011-06-05 13:40:00,129.33,129.33,129.17,129.17,-0.12,32.4,4236.0,-1
2011-06-05,2011-06-05 13:50:00,129.17,129.17,129.0,129.0,-0.13,32.4,4236.0,-1
2011-06-05,2011-06-05 14:00:00,129.0,129.0,128.83,128.83,-0.13,32.4,4236.0,-1
2011-06-05,2011-06-05 14:10:00,128.83,128.83,128.67,128.67,-0.12,32.4,4236.0,-1
2011-06-05,2011-06-05 14:20:00,128.67,128.67,128.5,128.5,-0.13,32.4,4236.0,-1
2011-06-05,2011-06-05 14:30:00,128.5,128.5,128.33,128.33,-0.13,32.4,4236.0,-1
2011-06-05,2011-06-05 14:40:00,128.33,128.33,128.17,128.17,-0.12,32.4,4236.0,-1
2011-06-05,2011-06-05 14:50:00,128.17,128.17,128.0,128.0,-0.13,32.4,4236.0,-1
2011-06-05,2011-06-05 15:00:00,128.0,134.0,128.0,128.0,0.0,32.4,4236.0,0
2011-06-06,2011-06-06 11:00:00,128.0,128.6,126.5,127.79,-0.16,79.6,10214.8,-1
2011-06-06,2011-06-06 11:10:00,127.79,127.79,127.58,127.58,-0.16,79.6,10214.8,-1
2011-06-06,2011-06-06 11:20:00,127.58,127.58,127.38,127.38,-0.16,79.6,10214.8,-1
2011-06-06,2011-06-06 11:30:00,127.38,127.38,127.17,127.17,-0.16,79.6,10214.8,-1
2011-06-06,2011-06-06 11:40:00,127.17,127.17,126.96,126.96,-0.17,79.6,10214.8,-1
2011-06-06,2011-06-06 11:50:00,126.96,126.96,126.75,126.75,-0.17,79.6,10214.8,-1
2011-06-06,2011-06-06 12:00:00,126.75,126.75,126.54,126.54,-0.17,79.6,10214.8,-1
2011-06-06,2011-06-06 12:10:00,126.54,126.54,126.33,126.33,-0.17,79.6,10214.8,-1
2011-06-06,2011-06-06 12:20:00,126.33,126.33,126.12,126.12,-0.17,79.6,10214.8,-1
2011-06-06,2011-06-06 12:30:00,126.12,126.12,125.92,125.92,-0.16,79.6,10214.8,-1
2011-06-06,2011-06-06 12:40:00,125.92,125.92,125.71,125.71,-0.17,79.6,10214.8,-1
2011-06-06,2011-06-06 12:50:00,125.71,125.71,125.5,125.5,-0.17,79.6,10214.8,-1
2011-06-06,2011-06-06 13:00:00,125.5,130.0,123.0,125.29,-0.17,79.6,10214.8,-1
