published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-04-25,2021-04-25 11:00:00,379.0,379.0,374.5,378.71,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 11:10:00,378.71,378.71,378.42,378.42,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 11:20:00,378.42,378.42,378.12,378.12,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 11:30:00,378.12,378.12,377.83,377.83,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 11:40:00,377.83,377.83,377.54,377.54,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 11:50:00,377.54,377.54,377.25,377.25,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 12:00:00,377.25,377.25,376.96,376.96,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 12:10:00,376.96,376.96,376.67,376.67,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 12:20:00,376.67,376.67,376.38,376.38,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 12:30:00,376.38,376.38,376.08,376.08,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 12:40:00,376.08,376.08,375.79,375.79,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 12:50:00,375.79,375.79,375.5,375.5,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 13:00:00,375.5,379.0,364.0,375.21,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 13:10:00,375.21,375.21,374.92,374.92,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 13:20:00,374.92,374.92,374.62,374.62,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 13:30:00,374.62,374.62,374.33,374.33,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 13:40:00,374.33,374.33,374.04,374.04,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 13:50:00,374.04,374.04,373.75,373.75,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 14:00:00,373.75,373.75,373.46,373.46,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 14:10:00,373.46,373.46,373.17,373.17,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 14:20:00,373.17,373.17,372.88,372.88,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 14:30:00,372.88,372.88,372.58,372.58,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 14:40:00,372.58,372.58,372.29,372.29,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 14:50:00,372.29,372.29,372.0,372.0,-0.08,836.04,308814.84,-1
2021-04-25,2021-04-25 15:00:00,372.0,379.0,364.0,372.0,0.0,836.04,308814.84,0
2021-04-26,2021-04-26 11:00:00,365.0,365.0,359.0,364.62,-0.1,1074.72,378701.76,-1
2021-04-26,2021-04-26 11:10:00,364.62,364.62,364.25,364.25,-0.1,1074.72,378701.76,-1
2021-04-26,2021-04-26 11:20:00,364.25,364.25,363.88,363.88,-0.1,1074.72,378701.76,-1
2021-04-26,2021-04-26 11:30:00,363.88,363.88,363.5,363.5,-0.1,1074.72,378701.76,-1
2021-04-26,2021-04-26 11:40:00,363.5,363.5,363.12,363.12,-0.1,1074.72,378701.76,-1
2021-04-26,2021-04-26 11:50:00,363.12,363.12,362.75,362.75,-0.1,1074.72,378701.76,-1
2021-04-26,2021-04-26 12:00:00,362.75,362.75,362.38,362.38,-0.1,1074.72,378701.76,-1
2021-04-26,2021-04-26 12:10:00,362.38,362.38,362.0,362.0,-0.1,1074.72,378701.76,-1
2021-04-26,2021-04-26 12:20:00,362.0,362.0,361.62,361.62,-0.1,1074.72,378701.76,-1
2021-04-26,2021-04-26 12:30:00,361.62,361.62,361.25,361.25,-0.1,1074.72,378701.76,-1
2021-04-26,2021-04-26 12:40:00,361.25,361.25,360.88,360.88,-0.1,1074.72,378701.76,-1
2021-04-26,2021-04-26 12:50:00,360.88,360.88,360.5,360.5,-0.11,1074.72,378701.76,-1
2021-04-26,2021-04-26 13:00:00,360.5,365.0,345.0,360.12,-0.11,1074.72,378701.76,-1
2021-04-26,2021-04-26 13:10:00,360.12,360.12,359.75,359.75,-0.1,1074.72,378701.76,-1
2021-04-26,2021-04-26 13:20:00,359.75,359.75,359.38,359.38,-0.1,1074.72,378701.76,-1
2021-04-26,2021-04-26 13:30:00,359.38,359.38,359.0,359.0,-0.11,1074.72,378701.76,-1
2021-04-26,2021-04-26 13:40:00,359.0,359.0,358.62,358.62,-0.11,1074.72,378701.76,-1
2021-04-26,2021-04-26 13:50:00,358.62,358.62,358.25,358.25,-0.1,1074.72,378701.76,-1
2021-04-26,2021-04-26 14:00:00,358.25,358.25,357.88,357.88,-0.1,1074.72,378701.76,-1
2021-04-26,2021-04-26 14:10:00,357.88,357.88,357.5,357.5,-0.11,1074.72,378701.76,-1
2021-04-26,2021-04-26 14:20:00,357.5,357.5,357.12,357.12,-0.11,1074.72,378701.76,-1
2021-04-26,2021-04-26 14:30:00,357.12,357.12,356.75,356.75,-0.1,1074.72,378701.76,-1
2021-04-26,2021-04-26 14:40:00,356.75,356.75,356.38,356.38,-0.1,1074.72,378701.76,-1
2021-04-26,2021-04-26 14:50:00,356.38,356.38,356.0,356.0,-0.11,1074.72,378701.76,-1
2021-04-26,2021-04-26 15:00:00,356.0,365.0,345.0,356.0,0.0,1074.72,378701.76,0
2021-04-27,2021-04-27 11:00:00,350.0,355.7,349.7,350.75,0.21,520.36,187229.84,1
2021-04-27,2021-04-27 11:10:00,350.75,351.5,350.75,351.5,0.21,520.36,187229.84,1
2021-04-27,2021-04-27 11:20:00,351.5,352.25,351.5,352.25,0.21,520.36,187229.84,1
2021-04-27,2021-04-27 11:30:00,352.25,353.0,352.25,353.0,0.21,520.36,187229.84,1
2021-04-27,2021-04-27 11:40:00,353.0,353.75,353.0,353.75,0.21,520.36,187229.84,1
2021-04-27,2021-04-27 11:50:00,353.75,354.5,353.75,354.5,0.21,520.36,187229.84,1
2021-04-27,2021-04-27 12:00:00,354.5,355.25,354.5,355.25,0.21,520.36,187229.84,1
2021-04-27,2021-04-27 12:10:00,355.25,356.0,355.25,356.0,0.21,520.36,187229.84,1
2021-04-27,2021-04-27 12:20:00,356.0,356.75,356.0,356.75,0.21,520.36,187229.84,1
2021-04-27,2021-04-27 12:30:00,356.75,357.5,356.75,357.5,0.21,520.36,187229.84,1
2021-04-27,2021-04-27 12:40:00,357.5,358.25,357.5,358.25,0.21,520.36,187229.84,1
2021-04-27,2021-04-27 12:50:00,358.25,359.0,358.25,359.0,0.21,520.36,187229.84,1
2021-04-27,2021-04-27 13:00:00,359.0,369.0,349.0,359.75,0.21,520.36,187229.84,1
2021-04-27,2021-04-27 13:10:00,359.75,360.5,359.75,360.5,0.21,520.36,187229.84,1
2021-04-27,2021-04-27 13:20:00,360.5,361.25,360.5,361.25,0.21,520.36,187229.84,1
2021-04-27,2021-04-27 13:30:00,361.25,362.0,361.25,362.0,0.21,520.36,187229.84,1
2021-04-27,2021-04-27 13:40:00,362.0,362.75,362.0,362.75,0.21,520.36,187229.84,1
2021-04-27,2021-04-27 13:50:00,362.75,363.5,362.75,363.5,0.21,520.36,187229.84,1
2021-04-27,2021-04-27 14:00:00,363.5,364.25,363.5,364.25,0.21,520.36,187229.84,1
2021-04-27,2021-04-27 14:10:00,364.25,365.0,364.25,365.0,0.21,520.36,187229.84,1
2021-04-27,2021-04-27 14:20:00,365.0,365.75,365.0,365.75,0.21,520.36,187229.84,1
2021-04-27,2021-04-27 14:30:00,365.75,366.5,365.75,366.5,0.21,520.36,187229.84,1
2021-04-27,2021-04-27 14:40:00,366.5,367.25,366.5,367.25,0.2,520.36,187229.84,1
2021-04-27,2021-04-27 14:50:00,367.25,368.0,367.25,368.0,0.2,520.36,187229.84,1
2021-04-27,2021-04-27 15:00:00,368.0,369.0,349.0,368.0,0.0,520.36,187229.84,0
2021-04-28,2021-04-28 11:00:00,386.0,386.0,376.1,384.92,-0.28,289.76,105476.68,-1
2021-04-28,2021-04-28 11:10:00,384.92,384.92,383.83,383.83,-0.28,289.76,105476.68,-1
2021-04-28,2021-04-28 11:20:00,383.83,383.83,382.75,382.75,-0.28,289.76,105476.68,-1
2021-04-28,2021-04-28 11:30:00,382.75,382.75,381.67,381.67,-0.28,289.76,105476.68,-1
2021-04-28,2021-04-28 11:40:00,381.67,381.67,380.58,380.58,-0.29,289.76,105476.68,-1
2021-04-28,2021-04-28 11:50:00,380.58,380.58,379.5,379.5,-0.28,289.76,105476.68,-1
2021-04-28,2021-04-28 12:00:00,379.5,379.5,378.42,378.42,-0.28,289.76,105476.68,-1
2021-04-28,2021-04-28 12:10:00,378.42,378.42,377.33,377.33,-0.29,289.76,105476.68,-1
2021-04-28,2021-04-28 12:20:00,377.33,377.33,376.25,376.25,-0.29,289.76,105476.68,-1
2021-04-28,2021-04-28 12:30:00,376.25,376.25,375.17,375.17,-0.29,289.76,105476.68,-1
2021-04-28,2021-04-28 12:40:00,375.17,375.17,374.08,374.08,-0.29,289.76,105476.68,-1
2021-04-28,2021-04-28 12:50:00,374.08,374.08,373.0,373.0,-0.29,289.76,105476.68,-1
2021-04-28,2021-04-28 13:00:00,373.0,386.0,353.0,371.92,-0.29,289.76,105476.68,-1
2021-04-28,2021-04-28 13:10:00,371.92,371.92,370.83,370.83,-0.29,289.76,105476.68,-1
2021-04-28,2021-04-28 13:20:00,370.83,370.83,369.75,369.75,-0.29,289.76,105476.68,-1
2021-04-28,2021-04-28 13:30:00,369.75,369.75,368.67,368.67,-0.29,289.76,105476.68,-1
2021-04-28,2021-04-28 13:40:00,368.67,368.67,367.58,367.58,-0.3,289.76,105476.68,-1
2021-04-28,2021-04-28 13:50:00,367.58,367.58,366.5,366.5,-0.29,289.76,105476.68,-1
2021-04-28,2021-04-28 14:00:00,366.5,366.5,365.42,365.42,-0.29,289.76,105476.68,-1
2021-04-28,2021-04-28 14:10:00,365.42,365.42,364.33,364.33,-0.3,289.76,105476.68,-1
2021-04-28,2021-04-28 14:20:00,364.33,364.33,363.25,363.25,-0.3,289.76,105476.68,-1
2021-04-28,2021-04-28 14:30:00,363.25,363.25,362.17,362.17,-0.3,289.76,105476.68,-1
2021-04-28,2021-04-28 14:40:00,362.17,362.17,361.08,361.08,-0.3,289.76,105476.68,-1
2021-04-28,2021-04-28 14:50:00,361.08,361.08,360.0,360.0,-0.3,289.76,105476.68,-1
2021-04-28,2021-04-28 15:00:00,360.0,386.0,353.0,360.0,0.0,289.76,105476.68,0
2021-04-29,2021-04-29 11:00:00,350.0,357.2,350.0,350.71,0.2,527.8,193115.2,1
2021-04-29,2021-04-29 11:10:00,350.71,351.42,350.71,351.42,0.2,527.8,193115.2,1
2021-04-29,2021-04-29 11:20:00,351.42,352.12,351.42,352.12,0.2,527.8,193115.2,1
2021-04-29,2021-04-29 11:30:00,352.12,352.83,352.12,352.83,0.2,527.8,193115.2,1
2021-04-29,2021-04-29 11:40:00,352.83,353.54,352.83,353.54,0.2,527.8,193115.2,1
2021-04-29,2021-04-29 11:50:00,353.54,354.25,353.54,354.25,0.2,527.8,193115.2,1
2021-04-29,2021-04-29 12:00:00,354.25,354.96,354.25,354.96,0.2,527.8,193115.2,1
2021-04-29,2021-04-29 12:10:00,354.96,355.67,354.96,355.67,0.2,527.8,193115.2,1
2021-04-29,2021-04-29 12:20:00,355.67,356.38,355.67,356.38,0.2,527.8,193115.2,1
2021-04-29,2021-04-29 12:30:00,356.38,357.08,356.38,357.08,0.2,527.8,193115.2,1
2021-04-29,2021-04-29 12:40:00,357.08,357.79,357.08,357.79,0.2,527.8,193115.2,1
2021-04-29,2021-04-29 12:50:00,357.79,358.5,357.79,358.5,0.2,527.8,193115.2,1
