published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-10-20,2011-10-20 11:00:00,129.0,129.0,126.0,128.58,-0.33,11.6,1388.4,-1
2011-10-20,2011-10-20 11:10:00,128.58,128.58,128.17,128.17,-0.32,11.6,1388.4,-1
2011-10-20,2011-10-20 11:20:00,128.17,128.17,127.75,127.75,-0.33,11.6,1388.4,-1
2011-10-20,2011-10-20 11:30:00,127.75,127.75,127.33,127.33,-0.33,11.6,1388.4,-1
2011-10-20,2011-10-20 11:40:00,127.33,127.33,126.92,126.92,-0.32,11.6,1388.4,-1
2011-10-20,2011-10-20 11:50:00,126.92,126.92,126.5,126.5,-0.33,11.6,1388.4,-1
2011-10-20,2011-10-20 12:00:00,126.5,126.5,126.08,126.08,-0.33,11.6,1388.4,-1
2011-10-20,2011-10-20 12:10:00,126.08,126.08,125.67,125.67,-0.33,11.6,1388.4,-1
2011-10-20,2011-10-20 12:20:00,125.67,125.67,125.25,125.25,-0.33,11.6,1388.4,-1
2011-10-20,2011-10-20 12:30:00,125.25,125.25,124.83,124.83,-0.34,11.6,1388.4,-1
2011-10-20,2011-10-20 12:40:00,124.83,124.83,124.42,124.42,-0.33,11.6,1388.4,-1
2011-10-20,2011-10-20 12:50:00,124.42,124.42,124.0,124.0,-0.34,11.6,1388.4,-1
2011-10-20,2011-10-20 13:00:00,124.0,127.0,119.0,123.58,-0.34,11.6,1388.4,-1
2011-10-20,2011-10-20 13:10:00,123.58,123.58,123.17,123.17,-0.33,11.6,1388.4,-1
2011-10-20,2011-10-20 13:20:00,123.17,123.17,122.75,122.75,-0.34,11.6,1388.4,-1
2011-10-20,2011-10-20 13:30:00,122.75,122.75,122.33,122.33,-0.34,11.6,1388.4,-1
2011-10-20,2011-10-20 13:40:00,122.33,122.33,121.92,121.92,-0.34,11.6,1388.4,-1
2011-10-20,2011-10-20 13:50:00,121.92,121.92,121.5,121.5,-0.34,11.6,1388.4,-1
2011-10-20,2011-10-20 14:00:00,121.5,121.5,121.08,121.08,-0.35,11.6,1388.4,-1
2011-10-20,2011-10-20 14:10:00,121.08,121.08,120.67,120.67,-0.34,11.6,1388.4,-1
2011-10-20,2011-10-20 14:20:00,120.67,120.67,120.25,120.25,-0.35,11.6,1388.4,-1
2011-10-20,2011-10-20 14:30:00,120.25,120.25,119.83,119.83,-0.35,11.6,1388.4,-1
2011-10-20,2011-10-20 14:40:00,119.83,119.83,119.42,119.42,-0.34,11.6,1388.4,-1
2011-10-20,2011-10-20 14:50:00,119.42,119.42,119.0,119.0,-0.35,11.6,1388.4,-1
2011-10-20,2011-10-20 15:00:00,119.0,127.0,119.0,119.0,0.0,11.6,1388.4,0
2011-10-23,2011-10-23 11:00:00,119.0,119.0,115.7,118.54,-0.39,45.2,4892.8,-1
2011-10-23,2011-10-23 11:10:00,118.54,118.54,118.08,118.08,-0.39,45.2,4892.8,-1
2011-10-23,2011-10-23 11:20:00,118.08,118.08,117.62,117.62,-0.39,45.2,4892.8,-1
2011-10-23,2011-10-23 11:30:00,117.62,117.62,117.17,117.17,-0.38,45.2,4892.8,-1
2011-10-23,2011-10-23 11:40:00,117.17,117.17,116.71,116.71,-0.39,45.2,4892.8,-1
2011-10-23,2011-10-23 11:50:00,116.71,116.71,116.25,116.25,-0.39,45.2,4892.8,-1
2011-10-23,2011-10-23 12:00:00,116.25,116.25,115.79,115.79,-0.4,45.2,4892.8,-1
2011-10-23,2011-10-23 12:10:00,115.79,115.79,115.33,115.33,-0.4,45.2,4892.8,-1
2011-10-23,2011-10-23 12:20:00,115.33,115.33,114.88,114.88,-0.39,45.2,4892.8,-1
2011-10-23,2011-10-23 12:30:00,114.88,114.88,114.42,114.42,-0.4,45.2,4892.8,-1
2011-10-23,2011-10-23 12:40:00,114.42,114.42,113.96,113.96,-0.4,45.2,4892.8,-1
2011-10-23,2011-10-23 12:50:00,113.96,113.96,113.5,113.5,-0.4,45.2,4892.8,-1
2011-10-23,2011-10-23 13:00:00,113.5,114.0,108.0,113.04,-0.41,45.2,4892.8,-1
2011-10-23,2011-10-23 13:10:00,113.04,113.04,112.58,112.58,-0.41,45.2,4892.8,-1
2011-10-23,2011-10-23 13:20:00,112.58,112.58,112.12,112.12,-0.41,45.2,4892.8,-1
2011-10-23,2011-10-23 13:30:00,112.12,112.12,111.67,111.67,-0.4,45.2,4892.8,-1
2011-10-23,2011-10-23 13:40:00,111.67,111.67,111.21,111.21,-0.41,45.2,4892.8,-1
2011-10-23,2011-10-23 13:50:00,111.21,111.21,110.75,110.75,-0.41,45.2,4892.8,-1
2011-10-23,2011-10-23 14:00:00,110.75,110.75,110.29,110.29,-0.42,45.2,4892.8,-1
2011-10-23,2011-10-23 14:10:00,110.29,110.29,109.83,109.83,-0.42,45.2,4892.8,-1
2011-10-23,2011-10-23 14:20:00,109.83,109.83,109.38,109.38,-0.41,45.2,4892.8,-1
2011-10-23,2011-10-23 14:30:00,109.38,109.38,108.92,108.92,-0.42,45.2,4892.8,-1
2011-10-23,2011-10-23 14:40:00,108.92,108.92,108.46,108.46,-0.42,45.2,4892.8,-1
2011-10-23,2011-10-23 14:50:00,108.46,108.46,108.0,108.0,-0.42,45.2,4892.8,-1
2011-10-23,2011-10-23 15:00:00,108.0,114.0,108.0,108.0,0.0,45.2,4892.8,0
2011-10-24,2011-10-24 11:00:00,108.0,108.0,105.3,107.75,-0.23,492.4,50210.4,-1
2011-10-24,2011-10-24 11:10:00,107.75,107.75,107.5,107.5,-0.23,492.4,50210.4,-1
2011-10-24,2011-10-24 11:20:00,107.5,107.5,107.25,107.25,-0.23,492.4,50210.4,-1
2011-10-24,2011-10-24 11:30:00,107.25,107.25,107.0,107.0,-0.23,492.4,50210.4,-1
2011-10-24,2011-10-24 11:40:00,107.0,107.0,106.75,106.75,-0.23,492.4,50210.4,-1
2011-10-24,2011-10-24 11:50:00,106.75,106.75,106.5,106.5,-0.23,492.4,50210.4,-1
2011-10-24,2011-10-24 12:00:00,106.5,106.5,106.25,106.25,-0.23,492.4,50210.4,-1
2011-10-24,2011-10-24 12:10:00,106.25,106.25,106.0,106.0,-0.24,492.4,50210.4,-1
2011-10-24,2011-10-24 12:20:00,106.0,106.0,105.75,105.75,-0.24,492.4,50210.4,-1
2011-10-24,2011-10-24 12:30:00,105.75,105.75,105.5,105.5,-0.24,492.4,50210.4,-1
2011-10-24,2011-10-24 12:40:00,105.5,105.5,105.25,105.25,-0.24,492.4,50210.4,-1
2011-10-24,2011-10-24 12:50:00,105.25,105.25,105.0,105.0,-0.24,492.4,50210.4,-1
2011-10-24,2011-10-24 13:00:00,105.0,105.0,99.0,104.75,-0.24,492.4,50210.4,-1
2011-10-24,2011-10-24 13:10:00,104.75,104.75,104.5,104.5,-0.24,492.4,50210.4,-1
2011-10-24,2011-10-24 13:20:00,104.5,104.5,104.25,104.25,-0.24,492.4,50210.4,-1
2011-10-24,2011-10-24 13:30:00,104.25,104.25,104.0,104.0,-0.24,492.4,50210.4,-1
2011-10-24,2011-10-24 13:40:00,104.0,104.0,103.75,103.75,-0.24,492.4,50210.4,-1
