published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-04-19,2017-04-19 11:00:00,282.0,284.4,281.4,282.21,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 11:10:00,282.21,282.42,282.21,282.42,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 11:20:00,282.42,282.62,282.42,282.62,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 11:30:00,282.62,282.83,282.62,282.83,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 11:40:00,282.83,283.04,282.83,283.04,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 11:50:00,283.04,283.25,283.04,283.25,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 12:00:00,283.25,283.46,283.25,283.46,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 12:10:00,283.46,283.67,283.46,283.67,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 12:20:00,283.67,283.88,283.67,283.88,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 12:30:00,283.88,284.08,283.88,284.08,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 12:40:00,284.08,284.29,284.08,284.29,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 12:50:00,284.29,284.5,284.29,284.5,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 13:00:00,284.5,290.0,280.0,284.71,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 13:10:00,284.71,284.92,284.71,284.92,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 13:20:00,284.92,285.12,284.92,285.12,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 13:30:00,285.12,285.33,285.12,285.33,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 13:40:00,285.33,285.54,285.33,285.54,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 13:50:00,285.54,285.75,285.54,285.75,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 14:00:00,285.75,285.96,285.75,285.96,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 14:10:00,285.96,286.17,285.96,286.17,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 14:20:00,286.17,286.38,286.17,286.38,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 14:30:00,286.38,286.58,286.38,286.58,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 14:40:00,286.58,286.79,286.58,286.79,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 14:50:00,286.79,287.0,286.79,287.0,0.07,901.64,256023.4,1
2017-04-19,2017-04-19 15:00:00,287.0,290.0,280.0,287.0,0.0,901.64,256023.4,0
2017-04-20,2017-04-20 11:00:00,287.0,289.4,281.9,286.92,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 11:10:00,286.92,286.92,286.83,286.83,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 11:20:00,286.83,286.83,286.75,286.75,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 11:30:00,286.75,286.75,286.67,286.67,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 11:40:00,286.67,286.67,286.58,286.58,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 11:50:00,286.58,286.58,286.5,286.5,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 12:00:00,286.5,286.5,286.42,286.42,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 12:10:00,286.42,286.42,286.33,286.33,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 12:20:00,286.33,286.33,286.25,286.25,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 12:30:00,286.25,286.25,286.17,286.17,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 12:40:00,286.17,286.17,286.08,286.08,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 12:50:00,286.08,286.08,286.0,286.0,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 13:00:00,286.0,295.0,270.0,285.92,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 13:10:00,285.92,285.92,285.83,285.83,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 13:20:00,285.83,285.83,285.75,285.75,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 13:30:00,285.75,285.75,285.67,285.67,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 13:40:00,285.67,285.67,285.58,285.58,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 13:50:00,285.58,285.58,285.5,285.5,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 14:00:00,285.5,285.5,285.42,285.42,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 14:10:00,285.42,285.42,285.33,285.33,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 14:20:00,285.33,285.33,285.25,285.25,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 14:30:00,285.25,285.25,285.17,285.17,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 14:40:00,285.17,285.17,285.08,285.08,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 14:50:00,285.08,285.08,285.0,285.0,-0.03,865.28,242868.8,-1
2017-04-20,2017-04-20 15:00:00,285.0,295.0,270.0,285.0,0.0,865.28,242868.8,0
2017-04-23,2017-04-23 11:00:00,285.0,288.0,285.0,285.08,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 11:10:00,285.08,285.17,285.08,285.17,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 11:20:00,285.17,285.25,285.17,285.25,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 11:30:00,285.25,285.33,285.25,285.33,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 11:40:00,285.33,285.42,285.33,285.42,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 11:50:00,285.42,285.5,285.42,285.5,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 12:00:00,285.5,285.58,285.5,285.58,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 12:10:00,285.58,285.67,285.58,285.67,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 12:20:00,285.67,285.75,285.67,285.75,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 12:30:00,285.75,285.83,285.75,285.83,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 12:40:00,285.83,285.92,285.83,285.92,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 12:50:00,285.92,286.0,285.92,286.0,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 13:00:00,286.0,295.0,285.0,286.08,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 13:10:00,286.08,286.17,286.08,286.17,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 13:20:00,286.17,286.25,286.17,286.25,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 13:30:00,286.25,286.33,286.25,286.33,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 13:40:00,286.33,286.42,286.33,286.42,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 13:50:00,286.42,286.5,286.42,286.5,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 14:00:00,286.5,286.58,286.5,286.58,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 14:10:00,286.58,286.67,286.58,286.67,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 14:20:00,286.67,286.75,286.67,286.75,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 14:30:00,286.75,286.83,286.75,286.83,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 14:40:00,286.83,286.92,286.83,286.92,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 14:50:00,286.92,287.0,286.92,287.0,0.03,580.0,168002.12,1
2017-04-23,2017-04-23 15:00:00,287.0,295.0,285.0,287.0,0.0,580.0,168002.12,0
2017-04-24,2017-04-24 11:00:00,287.0,292.7,287.0,287.42,0.15,1040.84,308334.92,1
2017-04-24,2017-04-24 11:10:00,287.42,287.83,287.42,287.83,0.14,1040.84,308334.92,1
2017-04-24,2017-04-24 11:20:00,287.83,288.25,287.83,288.25,0.15,1040.84,308334.92,1
2017-04-24,2017-04-24 11:30:00,288.25,288.67,288.25,288.67,0.15,1040.84,308334.92,1
2017-04-24,2017-04-24 11:40:00,288.67,289.08,288.67,289.08,0.14,1040.84,308334.92,1
2017-04-24,2017-04-24 11:50:00,289.08,289.5,289.08,289.5,0.15,1040.84,308334.92,1
2017-04-24,2017-04-24 12:00:00,289.5,289.92,289.5,289.92,0.15,1040.84,308334.92,1
2017-04-24,2017-04-24 12:10:00,289.92,290.33,289.92,290.33,0.14,1040.84,308334.92,1
2017-04-24,2017-04-24 12:20:00,290.33,290.75,290.33,290.75,0.14,1040.84,308334.92,1
2017-04-24,2017-04-24 12:30:00,290.75,291.17,290.75,291.17,0.14,1040.84,308334.92,1
2017-04-24,2017-04-24 12:40:00,291.17,291.58,291.17,291.58,0.14,1040.84,308334.92,1
2017-04-24,2017-04-24 12:50:00,291.58,292.0,291.58,292.0,0.14,1040.84,308334.92,1
2017-04-24,2017-04-24 13:00:00,292.0,306.0,290.0,292.42,0.14,1040.84,308334.92,1
2017-04-24,2017-04-24 13:10:00,292.42,292.83,292.42,292.83,0.14,1040.84,308334.92,1
2017-04-24,2017-04-24 13:20:00,292.83,293.25,292.83,293.25,0.14,1040.84,308334.92,1
2017-04-24,2017-04-24 13:30:00,293.25,293.67,293.25,293.67,0.14,1040.84,308334.92,1
2017-04-24,2017-04-24 13:40:00,293.67,294.08,293.67,294.08,0.14,1040.84,308334.92,1
2017-04-24,2017-04-24 13:50:00,294.08,294.5,294.08,294.5,0.14,1040.84,308334.92,1
2017-04-24,2017-04-24 14:00:00,294.5,294.92,294.5,294.92,0.14,1040.84,308334.92,1
2017-04-24,2017-04-24 14:10:00,294.92,295.33,294.92,295.33,0.14,1040.84,308334.92,1
2017-04-24,2017-04-24 14:20:00,295.33,295.75,295.33,295.75,0.14,1040.84,308334.92,1
2017-04-24,2017-04-24 14:30:00,295.75,296.17,295.75,296.17,0.14,1040.84,308334.92,1
2017-04-24,2017-04-24 14:40:00,296.17,296.58,296.17,296.58,0.14,1040.84,308334.92,1
2017-04-24,2017-04-24 14:50:00,296.58,297.0,296.58,297.0,0.14,1040.84,308334.92,1
2017-04-24,2017-04-24 15:00:00,297.0,306.0,290.0,297.0,0.0,1040.84,308334.92,0
2017-04-25,2017-04-25 11:00:00,297.0,299.4,296.1,297.08,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 11:10:00,297.08,297.17,297.08,297.17,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 11:20:00,297.17,297.25,297.17,297.25,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 11:30:00,297.25,297.33,297.25,297.33,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 11:40:00,297.33,297.42,297.33,297.42,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 11:50:00,297.42,297.5,297.42,297.5,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 12:00:00,297.5,297.58,297.5,297.58,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 12:10:00,297.58,297.67,297.58,297.67,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 12:20:00,297.67,297.75,297.67,297.75,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 12:30:00,297.75,297.83,297.75,297.83,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 12:40:00,297.83,297.92,297.83,297.92,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 12:50:00,297.92,298.0,297.92,298.0,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 13:00:00,298.0,305.0,294.0,298.08,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 13:10:00,298.08,298.17,298.08,298.17,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 13:20:00,298.17,298.25,298.17,298.25,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 13:30:00,298.25,298.33,298.25,298.33,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 13:40:00,298.33,298.42,298.33,298.42,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 13:50:00,298.42,298.5,298.42,298.5,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 14:00:00,298.5,298.58,298.5,298.58,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 14:10:00,298.58,298.67,298.58,298.67,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 14:20:00,298.67,298.75,298.67,298.75,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 14:30:00,298.75,298.83,298.75,298.83,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 14:40:00,298.83,298.92,298.83,298.92,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 14:50:00,298.92,299.0,298.92,299.0,0.03,1394.68,416854.88,1
2017-04-25,2017-04-25 15:00:00,299.0,305.0,294.0,299.0,0.0,1394.68,416854.88,0
2017-04-26,2017-04-26 11:00:00,299.0,300.8,296.9,298.71,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 11:10:00,298.71,298.71,298.42,298.42,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 11:20:00,298.42,298.42,298.12,298.12,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 11:30:00,298.12,298.12,297.83,297.83,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 11:40:00,297.83,297.83,297.54,297.54,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 11:50:00,297.54,297.54,297.25,297.25,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 12:00:00,297.25,297.25,296.96,296.96,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 12:10:00,296.96,296.96,296.67,296.67,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 12:20:00,296.67,296.67,296.38,296.38,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 12:30:00,296.38,296.38,296.08,296.08,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 12:40:00,296.08,296.08,295.79,295.79,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 12:50:00,295.79,295.79,295.5,295.5,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 13:00:00,295.5,305.0,292.0,295.21,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 13:10:00,295.21,295.21,294.92,294.92,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 13:20:00,294.92,294.92,294.62,294.62,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 13:30:00,294.62,294.62,294.33,294.33,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 13:40:00,294.33,294.33,294.04,294.04,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 13:50:00,294.04,294.04,293.75,293.75,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 14:00:00,293.75,293.75,293.46,293.46,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 14:10:00,293.46,293.46,293.17,293.17,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 14:20:00,293.17,293.17,292.88,292.88,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 14:30:00,292.88,292.88,292.58,292.58,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 14:40:00,292.58,292.58,292.29,292.29,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 14:50:00,292.29,292.29,292.0,292.0,-0.1,209.16,62638.12,-1
2017-04-26,2017-04-26 15:00:00,292.0,305.0,292.0,292.0,0.0,209.16,62638.12,0
2017-04-27,2017-04-27 11:00:00,292.0,292.0,288.4,291.88,-0.04,1956.4,555196.6,-1
2017-04-27,2017-04-27 11:10:00,291.88,291.88,291.75,291.75,-0.04,1956.4,555196.6,-1
2017-04-27,2017-04-27 11:20:00,291.75,291.75,291.62,291.62,-0.04,1956.4,555196.6,-1
2017-04-27,2017-04-27 11:30:00,291.62,291.62,291.5,291.5,-0.04,1956.4,555196.6,-1
2017-04-27,2017-04-27 11:40:00,291.5,291.5,291.38,291.38,-0.04,1956.4,555196.6,-1
2017-04-27,2017-04-27 11:50:00,291.38,291.38,291.25,291.25,-0.04,1956.4,555196.6,-1
2017-04-27,2017-04-27 12:00:00,291.25,291.25,291.12,291.12,-0.04,1956.4,555196.6,-1
2017-04-27,2017-04-27 12:10:00,291.12,291.12,291.0,291.0,-0.04,1956.4,555196.6,-1
2017-04-27,2017-04-27 12:20:00,291.0,291.0,290.88,290.88,-0.04,1956.4,555196.6,-1
2017-04-27,2017-04-27 12:30:00,290.88,290.88,290.75,290.75,-0.04,1956.4,555196.6,-1
2017-04-27,2017-04-27 12:40:00,290.75,290.75,290.62,290.62,-0.04,1956.4,555196.6,-1
2017-04-27,2017-04-27 12:50:00,290.62,290.62,290.5,290.5,-0.04,1956.4,555196.6,-1
2017-04-27,2017-04-27 13:00:00,290.5,292.0,280.0,290.38,-0.04,1956.4,555196.6,-1
2017-04-27,2017-04-27 13:10:00,290.38,290.38,290.25,290.25,-0.04,1956.4,555196.6,-1
2017-04-27,2017-04-27 13:20:00,290.25,290.25,290.12,290.12,-0.04,1956.4,555196.6,-1
