published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-01-14,2024-01-14 11:00:00,10.0,10.0,9.7,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 11:10:00,10.0,10.0,10.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 11:20:00,10.0,10.0,10.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 11:30:00,10.0,10.0,10.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 11:40:00,10.0,10.0,10.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 11:50:00,10.0,10.0,10.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 12:00:00,10.0,10.0,10.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 12:10:00,10.0,10.0,10.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 12:20:00,10.0,10.0,10.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 12:30:00,10.0,10.0,10.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 12:40:00,10.0,10.0,10.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 12:50:00,10.0,10.0,10.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 13:00:00,10.0,10.0,9.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 13:10:00,10.0,10.0,10.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 13:20:00,10.0,10.0,10.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 13:30:00,10.0,10.0,10.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 13:40:00,10.0,10.0,10.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 13:50:00,10.0,10.0,10.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 14:00:00,10.0,10.0,10.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 14:10:00,10.0,10.0,10.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 14:20:00,10.0,10.0,10.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 14:30:00,10.0,10.0,10.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 14:40:00,10.0,10.0,10.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 14:50:00,10.0,10.0,10.0,10.0,0.0,455.2,4262.57,0
2024-01-14,2024-01-14 15:00:00,10.0,10.0,9.0,10.0,0.0,455.2,4262.57,0
2024-01-16,2024-01-16 11:00:00,9.9,9.96,9.63,9.86,-0.4,514.0,4761.08,-1
2024-01-16,2024-01-16 11:10:00,9.86,9.86,9.83,9.83,-0.3,514.0,4761.08,-1
2024-01-16,2024-01-16 11:20:00,9.83,9.83,9.79,9.79,-0.41,514.0,4761.08,-1
2024-01-16,2024-01-16 11:30:00,9.79,9.79,9.76,9.76,-0.31,514.0,4761.08,-1
2024-01-16,2024-01-16 11:40:00,9.76,9.76,9.72,9.72,-0.41,514.0,4761.08,-1
2024-01-16,2024-01-16 11:50:00,9.72,9.72,9.68,9.68,-0.41,514.0,4761.08,-1
