published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-08-10,2022-08-10 11:00:00,509.6,509.6,494.57,509.39,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:01:00,509.39,509.39,509.18,509.18,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:02:00,509.18,509.18,508.97,508.97,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:03:00,508.97,508.97,508.77,508.77,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:04:00,508.77,508.77,508.56,508.56,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:05:00,508.56,508.56,508.35,508.35,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:06:00,508.35,508.35,508.14,508.14,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:07:00,508.14,508.14,507.93,507.93,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:08:00,507.93,507.93,507.72,507.72,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:09:00,507.72,507.72,507.51,507.51,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:10:00,507.51,507.51,507.3,507.3,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:11:00,507.3,507.3,507.1,507.1,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:12:00,507.1,507.1,506.89,506.89,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:13:00,506.89,506.89,506.68,506.68,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:14:00,506.68,506.68,506.47,506.47,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:15:00,506.47,506.47,506.26,506.26,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:16:00,506.26,506.26,506.05,506.05,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:17:00,506.05,506.05,505.84,505.84,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:18:00,505.84,505.84,505.63,505.63,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:19:00,505.63,505.63,505.43,505.43,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:20:00,505.43,505.43,505.22,505.22,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:21:00,505.22,505.22,505.01,505.01,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:22:00,505.01,505.01,504.8,504.8,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:23:00,504.8,504.8,504.59,504.59,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:24:00,504.59,504.59,504.38,504.38,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:25:00,504.38,504.38,504.17,504.17,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:26:00,504.17,504.17,503.96,503.96,-0.04,165.71,76975.19,-1
2022-08-10,2022-08-10 11:27:00,503.96,503.96,503.75,503.75,-0.04,165.71,76975.19,-1
