published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-03-12,2026-03-12 11:00:00,101.7,104.73,101.7,101.74,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:01:00,101.74,101.78,101.74,101.78,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:02:00,101.78,101.83,101.78,101.83,0.05,0.62,68.33,1
2026-03-12,2026-03-12 11:03:00,101.83,101.87,101.83,101.87,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:04:00,101.87,101.91,101.87,101.91,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:05:00,101.91,101.95,101.91,101.95,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:06:00,101.95,101.99,101.95,101.99,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:07:00,101.99,102.04,101.99,102.04,0.05,0.62,68.33,1
2026-03-12,2026-03-12 11:08:00,102.04,102.08,102.04,102.08,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:09:00,102.08,102.12,102.08,102.12,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:10:00,102.12,102.16,102.12,102.16,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:11:00,102.16,102.2,102.16,102.2,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:12:00,102.2,102.25,102.2,102.25,0.05,0.62,68.33,1
2026-03-12,2026-03-12 11:13:00,102.25,102.29,102.25,102.29,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:14:00,102.29,102.33,102.29,102.33,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:15:00,102.33,102.37,102.33,102.37,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:16:00,102.37,102.42,102.37,102.42,0.05,0.62,68.33,1
2026-03-12,2026-03-12 11:17:00,102.42,102.46,102.42,102.46,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:18:00,102.46,102.5,102.46,102.5,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:19:00,102.5,102.54,102.5,102.54,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:20:00,102.54,102.58,102.54,102.58,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:21:00,102.58,102.63,102.58,102.63,0.05,0.62,68.33,1
2026-03-12,2026-03-12 11:22:00,102.63,102.67,102.63,102.67,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:23:00,102.67,102.71,102.67,102.71,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:24:00,102.71,102.75,102.71,102.75,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:25:00,102.75,102.79,102.75,102.79,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:26:00,102.79,102.84,102.79,102.84,0.05,0.62,68.33,1
2026-03-12,2026-03-12 11:27:00,102.84,102.88,102.84,102.88,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:28:00,102.88,102.92,102.88,102.92,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:29:00,102.92,102.96,102.92,102.96,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:30:00,102.96,103.0,102.96,103.0,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:31:00,103.0,103.05,103.0,103.05,0.05,0.62,68.33,1
2026-03-12,2026-03-12 11:32:00,103.05,103.09,103.05,103.09,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:33:00,103.09,103.13,103.09,103.13,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:34:00,103.13,103.17,103.13,103.17,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:35:00,103.17,103.22,103.17,103.22,0.05,0.62,68.33,1
2026-03-12,2026-03-12 11:36:00,103.22,103.26,103.22,103.26,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:37:00,103.26,103.3,103.26,103.3,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:38:00,103.3,103.34,103.3,103.34,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:39:00,103.34,103.38,103.34,103.38,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:40:00,103.38,103.43,103.38,103.43,0.05,0.62,68.33,1
2026-03-12,2026-03-12 11:41:00,103.43,103.47,103.43,103.47,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:42:00,103.47,103.51,103.47,103.51,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:43:00,103.51,103.55,103.51,103.55,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:44:00,103.55,103.59,103.55,103.59,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:45:00,103.59,103.64,103.59,103.64,0.05,0.62,68.33,1
2026-03-12,2026-03-12 11:46:00,103.64,103.68,103.64,103.68,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:47:00,103.68,103.72,103.68,103.72,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:48:00,103.72,103.76,103.72,103.76,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:49:00,103.76,103.8,103.76,103.8,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:50:00,103.8,103.85,103.8,103.85,0.05,0.62,68.33,1
2026-03-12,2026-03-12 11:51:00,103.85,103.89,103.85,103.89,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:52:00,103.89,103.93,103.89,103.93,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:53:00,103.93,103.97,103.93,103.97,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:54:00,103.97,104.01,103.97,104.01,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:55:00,104.01,104.06,104.01,104.06,0.05,0.62,68.33,1
2026-03-12,2026-03-12 11:56:00,104.06,104.1,104.06,104.1,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:57:00,104.1,104.14,104.1,104.14,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:58:00,104.14,104.18,104.14,104.18,0.04,0.62,68.33,1
2026-03-12,2026-03-12 11:59:00,104.18,104.22,104.18,104.22,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:00:00,104.22,104.27,104.22,104.27,0.05,0.62,68.33,1
2026-03-12,2026-03-12 12:01:00,104.27,104.31,104.27,104.31,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:02:00,104.31,104.35,104.31,104.35,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:03:00,104.35,104.39,104.35,104.39,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:04:00,104.39,104.44,104.39,104.44,0.05,0.62,68.33,1
2026-03-12,2026-03-12 12:05:00,104.44,104.48,104.44,104.48,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:06:00,104.48,104.52,104.48,104.52,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:07:00,104.52,104.56,104.52,104.56,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:08:00,104.56,104.6,104.56,104.6,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:09:00,104.6,104.65,104.6,104.65,0.05,0.62,68.33,1
2026-03-12,2026-03-12 12:10:00,104.65,104.69,104.65,104.69,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:11:00,104.69,104.73,104.69,104.73,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:12:00,104.73,104.77,104.73,104.77,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:13:00,104.77,104.81,104.77,104.81,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:14:00,104.81,104.86,104.81,104.86,0.05,0.62,68.33,1
2026-03-12,2026-03-12 12:15:00,104.86,104.9,104.86,104.9,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:16:00,104.9,104.94,104.9,104.94,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:17:00,104.94,104.98,104.94,104.98,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:18:00,104.98,105.02,104.98,105.02,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:19:00,105.02,105.07,105.02,105.07,0.05,0.62,68.33,1
2026-03-12,2026-03-12 12:20:00,105.07,105.11,105.07,105.11,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:21:00,105.11,105.15,105.11,105.15,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:22:00,105.15,105.19,105.15,105.19,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:23:00,105.19,105.23,105.19,105.23,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:24:00,105.23,105.28,105.23,105.28,0.05,0.62,68.33,1
2026-03-12,2026-03-12 12:25:00,105.28,105.32,105.28,105.32,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:26:00,105.32,105.36,105.32,105.36,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:27:00,105.36,105.4,105.36,105.4,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:28:00,105.4,105.45,105.4,105.45,0.05,0.62,68.33,1
2026-03-12,2026-03-12 12:29:00,105.45,105.49,105.45,105.49,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:30:00,105.49,105.53,105.49,105.53,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:31:00,105.53,105.57,105.53,105.57,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:32:00,105.57,105.61,105.57,105.61,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:33:00,105.61,105.66,105.61,105.66,0.05,0.62,68.33,1
2026-03-12,2026-03-12 12:34:00,105.66,105.7,105.66,105.7,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:35:00,105.7,105.74,105.7,105.74,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:36:00,105.74,105.78,105.74,105.78,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:37:00,105.78,105.82,105.78,105.82,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:38:00,105.82,105.87,105.82,105.87,0.05,0.62,68.33,1
2026-03-12,2026-03-12 12:39:00,105.87,105.91,105.87,105.91,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:40:00,105.91,105.95,105.91,105.95,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:41:00,105.95,105.99,105.95,105.99,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:42:00,105.99,106.03,105.99,106.03,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:43:00,106.03,106.08,106.03,106.08,0.05,0.62,68.33,1
2026-03-12,2026-03-12 12:44:00,106.08,106.12,106.08,106.12,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:45:00,106.12,106.16,106.12,106.16,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:46:00,106.16,106.2,106.16,106.2,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:47:00,106.2,106.25,106.2,106.25,0.05,0.62,68.33,1
2026-03-12,2026-03-12 12:48:00,106.25,106.29,106.25,106.29,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:49:00,106.29,106.33,106.29,106.33,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:50:00,106.33,106.37,106.33,106.37,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:51:00,106.37,106.41,106.37,106.41,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:52:00,106.41,106.46,106.41,106.46,0.05,0.62,68.33,1
2026-03-12,2026-03-12 12:53:00,106.46,106.5,106.46,106.5,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:54:00,106.5,106.54,106.5,106.54,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:55:00,106.54,106.58,106.54,106.58,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:56:00,106.58,106.62,106.58,106.62,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:57:00,106.62,106.67,106.62,106.67,0.05,0.62,68.33,1
2026-03-12,2026-03-12 12:58:00,106.67,106.71,106.67,106.71,0.04,0.62,68.33,1
2026-03-12,2026-03-12 12:59:00,106.71,106.75,106.71,106.75,0.04,0.62,68.33,1
2026-03-12,2026-03-12 13:00:00,106.75,111.8,101.7,106.79,0.04,0.62,68.33,1
2026-03-12,2026-03-12 13:01:00,106.79,106.83,106.79,106.83,0.04,0.62,68.33,1
2026-03-12,2026-03-12 13:02:00,106.83,106.88,106.83,106.88,0.05,0.62,68.33,1
2026-03-12,2026-03-12 13:03:00,106.88,106.92,106.88,106.92,0.04,0.62,68.33,1
2026-03-12,2026-03-12 13:04:00,106.92,106.96,106.92,106.96,0.04,0.62,68.33,1
2026-03-12,2026-03-12 13:05:00,106.96,107.0,106.96,107.0,0.04,0.62,68.33,1
2026-03-12,2026-03-12 13:06:00,107.0,107.04,107.0,107.04,0.04,0.62,68.33,1
2026-03-12,2026-03-12 13:07:00,107.04,107.09,107.04,107.09,0.05,0.62,68.33,1
2026-03-12,2026-03-12 13:08:00,107.09,107.13,107.09,107.13,0.04,0.62,68.33,1
2026-03-12,2026-03-12 13:09:00,107.13,107.17,107.13,107.17,0.04,0.62,68.33,1
2026-03-12,2026-03-12 13:10:00,107.17,107.21,107.17,107.21,0.04,0.62,68.33,1
2026-03-12,2026-03-12 13:11:00,107.21,107.25,107.21,107.25,0.04,0.62,68.33,1
2026-03-12,2026-03-12 13:12:00,107.25,107.3,107.25,107.3,0.05,0.62,68.33,1
2026-03-12,2026-03-12 13:13:00,107.3,107.34,107.3,107.34,0.04,0.62,68.33,1
2026-03-12,2026-03-12 13:14:00,107.34,107.38,107.34,107.38,0.04,0.62,68.33,1
2026-03-12,2026-03-12 13:15:00,107.38,107.42,107.38,107.42,0.04,0.62,68.33,1
2026-03-12,2026-03-12 13:16:00,107.42,107.47,107.42,107.47,0.05,0.62,68.33,1
2026-03-12,2026-03-12 13:17:00,107.47,107.51,107.47,107.51,0.04,0.62,68.33,1
2026-03-12,2026-03-12 13:18:00,107.51,107.55,107.51,107.55,0.04,0.62,68.33,1
2026-03-12,2026-03-12 13:19:00,107.55,107.59,107.55,107.59,0.04,0.62,68.33,1
