published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-08-08,2022-08-08 11:00:00,228.0,234.84,228.0,228.95,0.42,31.2,7733.63,1
2022-08-08,2022-08-08 11:10:00,228.95,229.9,228.95,229.9,0.41,31.2,7733.63,1
2022-08-08,2022-08-08 11:20:00,229.9,230.85,229.9,230.85,0.41,31.2,7733.63,1
2022-08-08,2022-08-08 11:30:00,230.85,231.8,230.85,231.8,0.41,31.2,7733.63,1
2022-08-08,2022-08-08 11:40:00,231.8,232.75,231.8,232.75,0.41,31.2,7733.63,1
2022-08-08,2022-08-08 11:50:00,232.75,233.7,232.75,233.7,0.41,31.2,7733.63,1
2022-08-08,2022-08-08 12:00:00,233.7,234.65,233.7,234.65,0.41,31.2,7733.63,1
2022-08-08,2022-08-08 12:10:00,234.65,235.6,234.65,235.6,0.4,31.2,7733.63,1
2022-08-08,2022-08-08 12:20:00,235.6,236.55,235.6,236.55,0.4,31.2,7733.63,1
2022-08-08,2022-08-08 12:30:00,236.55,237.5,236.55,237.5,0.4,31.2,7733.63,1
2022-08-08,2022-08-08 12:40:00,237.5,238.45,237.5,238.45,0.4,31.2,7733.63,1
2022-08-08,2022-08-08 12:50:00,238.45,239.4,238.45,239.4,0.4,31.2,7733.63,1
2022-08-08,2022-08-08 13:00:00,239.4,250.8,228.0,240.35,0.4,31.2,7733.63,1
2022-08-08,2022-08-08 13:10:00,240.35,241.3,240.35,241.3,0.4,31.2,7733.63,1
2022-08-08,2022-08-08 13:20:00,241.3,242.25,241.3,242.25,0.39,31.2,7733.63,1
2022-08-08,2022-08-08 13:30:00,242.25,243.2,242.25,243.2,0.39,31.2,7733.63,1
2022-08-08,2022-08-08 13:40:00,243.2,244.15,243.2,244.15,0.39,31.2,7733.63,1
2022-08-08,2022-08-08 13:50:00,244.15,245.1,244.15,245.1,0.39,31.2,7733.63,1
2022-08-08,2022-08-08 14:00:00,245.1,246.05,245.1,246.05,0.39,31.2,7733.63,1
2022-08-08,2022-08-08 14:10:00,246.05,247.0,246.05,247.0,0.39,31.2,7733.63,1
2022-08-08,2022-08-08 14:20:00,247.0,247.95,247.0,247.95,0.38,31.2,7733.63,1
2022-08-08,2022-08-08 14:30:00,247.95,248.9,247.95,248.9,0.38,31.2,7733.63,1
2022-08-08,2022-08-08 14:40:00,248.9,249.85,248.9,249.85,0.38,31.2,7733.63,1
2022-08-08,2022-08-08 14:50:00,249.85,250.8,249.85,250.8,0.38,31.2,7733.63,1
2022-08-08,2022-08-08 15:00:00,250.8,250.8,228.0,250.8,0.0,31.2,7733.63,0
2022-08-09,2022-08-09 11:00:00,255.8,261.8,255.8,256.63,0.32,52.32,14410.26,1
2022-08-09,2022-08-09 11:10:00,256.63,257.47,256.63,257.47,0.33,52.32,14410.26,1
2022-08-09,2022-08-09 11:20:00,257.47,258.3,257.47,258.3,0.32,52.32,14410.26,1
2022-08-09,2022-08-09 11:30:00,258.3,259.13,258.3,259.13,0.32,52.32,14410.26,1
2022-08-09,2022-08-09 11:40:00,259.13,259.97,259.13,259.97,0.32,52.32,14410.26,1
2022-08-09,2022-08-09 11:50:00,259.97,260.8,259.97,260.8,0.32,52.32,14410.26,1
2022-08-09,2022-08-09 12:00:00,260.8,261.63,260.8,261.63,0.32,52.32,14410.26,1
2022-08-09,2022-08-09 12:10:00,261.63,262.47,261.63,262.47,0.32,52.32,14410.26,1
2022-08-09,2022-08-09 12:20:00,262.47,263.3,262.47,263.3,0.32,52.32,14410.26,1
2022-08-09,2022-08-09 12:30:00,263.3,264.13,263.3,264.13,0.32,52.32,14410.26,1
2022-08-09,2022-08-09 12:40:00,264.13,264.97,264.13,264.97,0.32,52.32,14410.26,1
2022-08-09,2022-08-09 12:50:00,264.97,265.8,264.97,265.8,0.31,52.32,14410.26,1
2022-08-09,2022-08-09 13:00:00,265.8,275.8,255.8,266.63,0.31,52.32,14410.26,1
2022-08-09,2022-08-09 13:10:00,266.63,267.47,266.63,267.47,0.32,52.32,14410.26,1
2022-08-09,2022-08-09 13:20:00,267.47,268.3,267.47,268.3,0.31,52.32,14410.26,1
2022-08-09,2022-08-09 13:30:00,268.3,269.13,268.3,269.13,0.31,52.32,14410.26,1
