published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2016-08-24,2016-08-24 11:00:00,325.0,329.2,325.0,325.42,0.13,800.68,265142.56,1
2016-08-24,2016-08-24 11:10:00,325.42,325.83,325.42,325.83,0.13,800.68,265142.56,1
2016-08-24,2016-08-24 11:20:00,325.83,326.25,325.83,326.25,0.13,800.68,265142.56,1
2016-08-24,2016-08-24 11:30:00,326.25,326.67,326.25,326.67,0.13,800.68,265142.56,1
2016-08-24,2016-08-24 11:40:00,326.67,327.08,326.67,327.08,0.13,800.68,265142.56,1
2016-08-24,2016-08-24 11:50:00,327.08,327.5,327.08,327.5,0.13,800.68,265142.56,1
2016-08-24,2016-08-24 12:00:00,327.5,327.92,327.5,327.92,0.13,800.68,265142.56,1
2016-08-24,2016-08-24 12:10:00,327.92,328.33,327.92,328.33,0.13,800.68,265142.56,1
2016-08-24,2016-08-24 12:20:00,328.33,328.75,328.33,328.75,0.13,800.68,265142.56,1
2016-08-24,2016-08-24 12:30:00,328.75,329.17,328.75,329.17,0.13,800.68,265142.56,1
2016-08-24,2016-08-24 12:40:00,329.17,329.58,329.17,329.58,0.12,800.68,265142.56,1
2016-08-24,2016-08-24 12:50:00,329.58,330.0,329.58,330.0,0.13,800.68,265142.56,1
2016-08-24,2016-08-24 13:00:00,330.0,339.0,325.0,330.42,0.13,800.68,265142.56,1
2016-08-24,2016-08-24 13:10:00,330.42,330.83,330.42,330.83,0.12,800.68,265142.56,1
2016-08-24,2016-08-24 13:20:00,330.83,331.25,330.83,331.25,0.13,800.68,265142.56,1
2016-08-24,2016-08-24 13:30:00,331.25,331.67,331.25,331.67,0.13,800.68,265142.56,1
2016-08-24,2016-08-24 13:40:00,331.67,332.08,331.67,332.08,0.12,800.68,265142.56,1
2016-08-24,2016-08-24 13:50:00,332.08,332.5,332.08,332.5,0.13,800.68,265142.56,1
2016-08-24,2016-08-24 14:00:00,332.5,332.92,332.5,332.92,0.13,800.68,265142.56,1
2016-08-24,2016-08-24 14:10:00,332.92,333.33,332.92,333.33,0.12,800.68,265142.56,1
2016-08-24,2016-08-24 14:20:00,333.33,333.75,333.33,333.75,0.13,800.68,265142.56,1
2016-08-24,2016-08-24 14:30:00,333.75,334.17,333.75,334.17,0.13,800.68,265142.56,1
2016-08-24,2016-08-24 14:40:00,334.17,334.58,334.17,334.58,0.12,800.68,265142.56,1
2016-08-24,2016-08-24 14:50:00,334.58,335.0,334.58,335.0,0.13,800.68,265142.56,1
2016-08-24,2016-08-24 15:00:00,335.0,339.0,325.0,335.0,0.0,800.68,265142.56,0
2016-08-28,2016-08-28 11:00:00,335.0,338.3,333.5,334.83,-0.05,673.32,224451.04,-1
2016-08-28,2016-08-28 11:10:00,334.83,334.83,334.67,334.67,-0.05,673.32,224451.04,-1
2016-08-28,2016-08-28 11:20:00,334.67,334.67,334.5,334.5,-0.05,673.32,224451.04,-1
2016-08-28,2016-08-28 11:30:00,334.5,334.5,334.33,334.33,-0.05,673.32,224451.04,-1
2016-08-28,2016-08-28 11:40:00,334.33,334.33,334.17,334.17,-0.05,673.32,224451.04,-1
2016-08-28,2016-08-28 11:50:00,334.17,334.17,334.0,334.0,-0.05,673.32,224451.04,-1
2016-08-28,2016-08-28 12:00:00,334.0,334.0,333.83,333.83,-0.05,673.32,224451.04,-1
2016-08-28,2016-08-28 12:10:00,333.83,333.83,333.67,333.67,-0.05,673.32,224451.04,-1
2016-08-28,2016-08-28 12:20:00,333.67,333.67,333.5,333.5,-0.05,673.32,224451.04,-1
2016-08-28,2016-08-28 12:30:00,333.5,333.5,333.33,333.33,-0.05,673.32,224451.04,-1
2016-08-28,2016-08-28 12:40:00,333.33,333.33,333.17,333.17,-0.05,673.32,224451.04,-1
2016-08-28,2016-08-28 12:50:00,333.17,333.17,333.0,333.0,-0.05,673.32,224451.04,-1
2016-08-28,2016-08-28 13:00:00,333.0,346.0,330.0,332.83,-0.05,673.32,224451.04,-1
