published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-08-26,2022-08-26 11:00:00,115.2,115.2,111.15,115.15,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:01:00,115.15,115.15,115.1,115.1,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:02:00,115.1,115.1,115.06,115.06,-0.03,689.05,71120.99,-1
2022-08-26,2022-08-26 11:03:00,115.06,115.06,115.01,115.01,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:04:00,115.01,115.01,114.96,114.96,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:05:00,114.96,114.96,114.91,114.91,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:06:00,114.91,114.91,114.86,114.86,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:07:00,114.86,114.86,114.82,114.82,-0.03,689.05,71120.99,-1
2022-08-26,2022-08-26 11:08:00,114.82,114.82,114.77,114.77,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:09:00,114.77,114.77,114.72,114.72,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:10:00,114.72,114.72,114.67,114.67,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:11:00,114.67,114.67,114.62,114.62,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:12:00,114.62,114.62,114.58,114.58,-0.03,689.05,71120.99,-1
2022-08-26,2022-08-26 11:13:00,114.58,114.58,114.53,114.53,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:14:00,114.53,114.53,114.48,114.48,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:15:00,114.48,114.48,114.43,114.43,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:16:00,114.43,114.43,114.39,114.39,-0.03,689.05,71120.99,-1
2022-08-26,2022-08-26 11:17:00,114.39,114.39,114.34,114.34,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:18:00,114.34,114.34,114.29,114.29,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:19:00,114.29,114.29,114.24,114.24,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:20:00,114.24,114.24,114.19,114.19,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:21:00,114.19,114.19,114.15,114.15,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:22:00,114.15,114.15,114.1,114.1,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:23:00,114.1,114.1,114.05,114.05,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:24:00,114.05,114.05,114.0,114.0,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:25:00,114.0,114.0,113.95,113.95,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:26:00,113.95,113.95,113.91,113.91,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:27:00,113.91,113.91,113.86,113.86,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:28:00,113.86,113.86,113.81,113.81,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:29:00,113.81,113.81,113.76,113.76,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:30:00,113.76,113.76,113.71,113.71,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:31:00,113.71,113.71,113.67,113.67,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:32:00,113.67,113.67,113.62,113.62,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:33:00,113.62,113.62,113.57,113.57,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:34:00,113.57,113.57,113.52,113.52,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:35:00,113.52,113.52,113.48,113.48,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:36:00,113.48,113.48,113.43,113.43,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:37:00,113.43,113.43,113.38,113.38,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:38:00,113.38,113.38,113.33,113.33,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:39:00,113.33,113.33,113.28,113.28,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:40:00,113.28,113.28,113.24,113.24,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:41:00,113.24,113.24,113.19,113.19,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:42:00,113.19,113.19,113.14,113.14,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:43:00,113.14,113.14,113.09,113.09,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:44:00,113.09,113.09,113.04,113.04,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:45:00,113.04,113.04,113.0,113.0,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:46:00,113.0,113.0,112.95,112.95,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:47:00,112.95,112.95,112.9,112.9,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:48:00,112.9,112.9,112.85,112.85,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:49:00,112.85,112.85,112.8,112.8,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:50:00,112.8,112.8,112.76,112.76,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:51:00,112.76,112.76,112.71,112.71,-0.04,689.05,71120.99,-1
2022-08-26,2022-08-26 11:52:00,112.71,112.71,112.66,112.66,-0.04,689.05,71120.99,-1
