published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-09-01,2025-09-01 11:00:00,252.2,256.79,252.2,252.26,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:01:00,252.26,252.33,252.26,252.33,0.03,0.25,63.93,1
2025-09-01,2025-09-01 11:02:00,252.33,252.39,252.33,252.39,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:03:00,252.39,252.45,252.39,252.45,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:04:00,252.45,252.52,252.45,252.52,0.03,0.25,63.93,1
2025-09-01,2025-09-01 11:05:00,252.52,252.58,252.52,252.58,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:06:00,252.58,252.65,252.58,252.65,0.03,0.25,63.93,1
2025-09-01,2025-09-01 11:07:00,252.65,252.71,252.65,252.71,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:08:00,252.71,252.77,252.71,252.77,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:09:00,252.77,252.84,252.77,252.84,0.03,0.25,63.93,1
2025-09-01,2025-09-01 11:10:00,252.84,252.9,252.84,252.9,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:11:00,252.9,252.96,252.9,252.96,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:12:00,252.96,253.03,252.96,253.03,0.03,0.25,63.93,1
2025-09-01,2025-09-01 11:13:00,253.03,253.09,253.03,253.09,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:14:00,253.09,253.16,253.09,253.16,0.03,0.25,63.93,1
2025-09-01,2025-09-01 11:15:00,253.16,253.22,253.16,253.22,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:16:00,253.22,253.28,253.22,253.28,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:17:00,253.28,253.35,253.28,253.35,0.03,0.25,63.93,1
2025-09-01,2025-09-01 11:18:00,253.35,253.41,253.35,253.41,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:19:00,253.41,253.47,253.41,253.47,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:20:00,253.47,253.54,253.47,253.54,0.03,0.25,63.93,1
2025-09-01,2025-09-01 11:21:00,253.54,253.6,253.54,253.6,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:22:00,253.6,253.67,253.6,253.67,0.03,0.25,63.93,1
2025-09-01,2025-09-01 11:23:00,253.67,253.73,253.67,253.73,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:24:00,253.73,253.79,253.73,253.79,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:25:00,253.79,253.86,253.79,253.86,0.03,0.25,63.93,1
2025-09-01,2025-09-01 11:26:00,253.86,253.92,253.86,253.92,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:27:00,253.92,253.98,253.92,253.98,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:28:00,253.98,254.05,253.98,254.05,0.03,0.25,63.93,1
2025-09-01,2025-09-01 11:29:00,254.05,254.11,254.05,254.11,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:30:00,254.11,254.18,254.11,254.18,0.03,0.25,63.93,1
2025-09-01,2025-09-01 11:31:00,254.18,254.24,254.18,254.24,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:32:00,254.24,254.3,254.24,254.3,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:33:00,254.3,254.37,254.3,254.37,0.03,0.25,63.93,1
2025-09-01,2025-09-01 11:34:00,254.37,254.43,254.37,254.43,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:35:00,254.43,254.5,254.43,254.5,0.03,0.25,63.93,1
2025-09-01,2025-09-01 11:36:00,254.5,254.56,254.5,254.56,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:37:00,254.56,254.62,254.56,254.62,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:38:00,254.62,254.69,254.62,254.69,0.03,0.25,63.93,1
2025-09-01,2025-09-01 11:39:00,254.69,254.75,254.69,254.75,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:40:00,254.75,254.81,254.75,254.81,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:41:00,254.81,254.88,254.81,254.88,0.03,0.25,63.93,1
2025-09-01,2025-09-01 11:42:00,254.88,254.94,254.88,254.94,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:43:00,254.94,255.0,254.94,255.0,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:44:00,255.0,255.07,255.0,255.07,0.03,0.25,63.93,1
2025-09-01,2025-09-01 11:45:00,255.07,255.13,255.07,255.13,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:46:00,255.13,255.2,255.13,255.2,0.03,0.25,63.93,1
2025-09-01,2025-09-01 11:47:00,255.2,255.26,255.2,255.26,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:48:00,255.26,255.32,255.26,255.32,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:49:00,255.32,255.39,255.32,255.39,0.03,0.25,63.93,1
2025-09-01,2025-09-01 11:50:00,255.39,255.45,255.39,255.45,0.02,0.25,63.93,1
2025-09-01,2025-09-01 11:51:00,255.45,255.51,255.45,255.51,0.02,0.25,63.93,1
