published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-01-08,2024-01-08 11:00:00,309.2,318.47,309.2,310.49,0.42,1234.64,416179.51,1
2024-01-08,2024-01-08 11:10:00,310.49,311.77,310.49,311.77,0.41,1234.64,416179.51,1
2024-01-08,2024-01-08 11:20:00,311.77,313.06,311.77,313.06,0.41,1234.64,416179.51,1
2024-01-08,2024-01-08 11:30:00,313.06,314.35,313.06,314.35,0.41,1234.64,416179.51,1
2024-01-08,2024-01-08 11:40:00,314.35,315.64,314.35,315.64,0.41,1234.64,416179.51,1
2024-01-08,2024-01-08 11:50:00,315.64,316.93,315.64,316.93,0.41,1234.64,416179.51,1
2024-01-08,2024-01-08 12:00:00,316.93,318.21,316.93,318.21,0.4,1234.64,416179.51,1
2024-01-08,2024-01-08 12:10:00,318.21,319.5,318.21,319.5,0.41,1234.64,416179.51,1
2024-01-08,2024-01-08 12:20:00,319.5,320.79,319.5,320.79,0.4,1234.64,416179.51,1
2024-01-08,2024-01-08 12:30:00,320.79,322.07,320.79,322.07,0.4,1234.64,416179.51,1
2024-01-08,2024-01-08 12:40:00,322.07,323.36,322.07,323.36,0.4,1234.64,416179.51,1
2024-01-08,2024-01-08 12:50:00,323.36,324.65,323.36,324.65,0.4,1234.64,416179.51,1
2024-01-08,2024-01-08 13:00:00,324.65,340.1,309.2,325.94,0.4,1234.64,416179.51,1
2024-01-08,2024-01-08 13:10:00,325.94,327.23,325.94,327.23,0.4,1234.64,416179.51,1
2024-01-08,2024-01-08 13:20:00,327.23,328.51,327.23,328.51,0.39,1234.64,416179.51,1
2024-01-08,2024-01-08 13:30:00,328.51,329.8,328.51,329.8,0.39,1234.64,416179.51,1
2024-01-08,2024-01-08 13:40:00,329.8,331.09,329.8,331.09,0.39,1234.64,416179.51,1
2024-01-08,2024-01-08 13:50:00,331.09,332.38,331.09,332.38,0.39,1234.64,416179.51,1
2024-01-08,2024-01-08 14:00:00,332.38,333.66,332.38,333.66,0.39,1234.64,416179.51,1
2024-01-08,2024-01-08 14:10:00,333.66,334.95,333.66,334.95,0.39,1234.64,416179.51,1
2024-01-08,2024-01-08 14:20:00,334.95,336.24,334.95,336.24,0.39,1234.64,416179.51,1
2024-01-08,2024-01-08 14:30:00,336.24,337.53,336.24,337.53,0.38,1234.64,416179.51,1
2024-01-08,2024-01-08 14:40:00,337.53,338.81,337.53,338.81,0.38,1234.64,416179.51,1
2024-01-08,2024-01-08 14:50:00,338.81,340.1,338.81,340.1,0.38,1234.64,416179.51,1
