published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-03-09,2025-03-09 11:00:00,1000.0,1030.0,1000.0,1004.17,0.42,37.0,39046.0,1
2025-03-09,2025-03-09 11:10:00,1004.17,1008.33,1004.17,1008.33,0.41,37.0,39046.0,1
2025-03-09,2025-03-09 11:20:00,1008.33,1012.5,1008.33,1012.5,0.41,37.0,39046.0,1
2025-03-09,2025-03-09 11:30:00,1012.5,1016.67,1012.5,1016.67,0.41,37.0,39046.0,1
2025-03-09,2025-03-09 11:40:00,1016.67,1020.83,1016.67,1020.83,0.41,37.0,39046.0,1
2025-03-09,2025-03-09 11:50:00,1020.83,1025.0,1020.83,1025.0,0.41,37.0,39046.0,1
2025-03-09,2025-03-09 12:00:00,1025.0,1029.17,1025.0,1029.17,0.41,37.0,39046.0,1
2025-03-09,2025-03-09 12:10:00,1029.17,1033.33,1029.17,1033.33,0.4,37.0,39046.0,1
2025-03-09,2025-03-09 12:20:00,1033.33,1037.5,1033.33,1037.5,0.4,37.0,39046.0,1
2025-03-09,2025-03-09 12:30:00,1037.5,1041.67,1037.5,1041.67,0.4,37.0,39046.0,1
2025-03-09,2025-03-09 12:40:00,1041.67,1045.83,1041.67,1045.83,0.4,37.0,39046.0,1
2025-03-09,2025-03-09 12:50:00,1045.83,1050.0,1045.83,1050.0,0.4,37.0,39046.0,1
2025-03-09,2025-03-09 13:00:00,1050.0,1100.0,1000.0,1054.17,0.4,37.0,39046.0,1
2025-03-09,2025-03-09 13:10:00,1054.17,1058.33,1054.17,1058.33,0.39,37.0,39046.0,1
2025-03-09,2025-03-09 13:20:00,1058.33,1062.5,1058.33,1062.5,0.39,37.0,39046.0,1
2025-03-09,2025-03-09 13:30:00,1062.5,1066.67,1062.5,1066.67,0.39,37.0,39046.0,1
2025-03-09,2025-03-09 13:40:00,1066.67,1070.83,1066.67,1070.83,0.39,37.0,39046.0,1
2025-03-09,2025-03-09 13:50:00,1070.83,1075.0,1070.83,1075.0,0.39,37.0,39046.0,1
2025-03-09,2025-03-09 14:00:00,1075.0,1079.17,1075.0,1079.17,0.39,37.0,39046.0,1
2025-03-09,2025-03-09 14:10:00,1079.17,1083.33,1079.17,1083.33,0.39,37.0,39046.0,1
2025-03-09,2025-03-09 14:20:00,1083.33,1087.5,1083.33,1087.5,0.38,37.0,39046.0,1
2025-03-09,2025-03-09 14:30:00,1087.5,1091.67,1087.5,1091.67,0.38,37.0,39046.0,1
2025-03-09,2025-03-09 14:40:00,1091.67,1095.83,1091.67,1095.83,0.38,37.0,39046.0,1
2025-03-09,2025-03-09 14:50:00,1095.83,1100.0,1095.83,1100.0,0.38,37.0,39046.0,1
2025-03-09,2025-03-09 15:00:00,1100.0,1100.0,1000.0,1100.0,0.0,37.0,39046.0,0
2025-03-10,2025-03-10 11:00:00,1078.0,1078.0,1068.1,1076.67,-0.12,13.0,13644.88,-1
2025-03-10,2025-03-10 11:10:00,1076.67,1076.67,1075.34,1075.34,-0.12,13.0,13644.88,-1
2025-03-10,2025-03-10 11:20:00,1075.34,1075.34,1074.01,1074.01,-0.12,13.0,13644.88,-1
2025-03-10,2025-03-10 11:30:00,1074.01,1074.01,1072.68,1072.68,-0.12,13.0,13644.88,-1
2025-03-10,2025-03-10 11:40:00,1072.68,1072.68,1071.35,1071.35,-0.12,13.0,13644.88,-1
2025-03-10,2025-03-10 11:50:00,1071.35,1071.35,1070.03,1070.03,-0.12,13.0,13644.88,-1
2025-03-10,2025-03-10 12:00:00,1070.03,1070.03,1068.7,1068.7,-0.12,13.0,13644.88,-1
2025-03-10,2025-03-10 12:10:00,1068.7,1068.7,1067.37,1067.37,-0.12,13.0,13644.88,-1
2025-03-10,2025-03-10 12:20:00,1067.37,1067.37,1066.04,1066.04,-0.12,13.0,13644.88,-1
2025-03-10,2025-03-10 12:30:00,1066.04,1066.04,1064.71,1064.71,-0.12,13.0,13644.88,-1
2025-03-10,2025-03-10 12:40:00,1064.71,1064.71,1063.38,1063.38,-0.12,13.0,13644.88,-1
2025-03-10,2025-03-10 12:50:00,1063.38,1063.38,1062.05,1062.05,-0.13,13.0,13644.88,-1
2025-03-10,2025-03-10 13:00:00,1062.05,1078.0,1045.0,1060.72,-0.13,13.0,13644.88,-1
2025-03-10,2025-03-10 13:10:00,1060.72,1060.72,1059.39,1059.39,-0.13,13.0,13644.88,-1
2025-03-10,2025-03-10 13:20:00,1059.39,1059.39,1058.06,1058.06,-0.13,13.0,13644.88,-1
2025-03-10,2025-03-10 13:30:00,1058.06,1058.06,1056.73,1056.73,-0.13,13.0,13644.88,-1
2025-03-10,2025-03-10 13:40:00,1056.73,1056.73,1055.4,1055.4,-0.13,13.0,13644.88,-1
2025-03-10,2025-03-10 13:50:00,1055.4,1055.4,1054.07,1054.07,-0.13,13.0,13644.88,-1
2025-03-10,2025-03-10 14:00:00,1054.07,1054.07,1052.75,1052.75,-0.13,13.0,13644.88,-1
2025-03-10,2025-03-10 14:10:00,1052.75,1052.75,1051.42,1051.42,-0.13,13.0,13644.88,-1
2025-03-10,2025-03-10 14:20:00,1051.42,1051.42,1050.09,1050.09,-0.13,13.0,13644.88,-1
