published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-06-20,2023-06-20 11:00:00,291.8,300.53,291.56,291.92,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:01:00,291.92,292.04,291.92,292.04,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:02:00,292.04,292.16,292.04,292.16,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:03:00,292.16,292.29,292.16,292.29,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:04:00,292.29,292.41,292.29,292.41,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:05:00,292.41,292.53,292.41,292.53,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:06:00,292.53,292.65,292.53,292.65,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:07:00,292.65,292.77,292.65,292.77,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:08:00,292.77,292.89,292.77,292.89,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:09:00,292.89,293.01,292.89,293.01,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:10:00,293.01,293.13,293.01,293.13,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:11:00,293.13,293.25,293.13,293.25,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:12:00,293.25,293.38,293.25,293.38,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:13:00,293.38,293.5,293.38,293.5,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:14:00,293.5,293.62,293.5,293.62,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:15:00,293.62,293.74,293.62,293.74,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:16:00,293.74,293.86,293.74,293.86,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:17:00,293.86,293.98,293.86,293.98,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:18:00,293.98,294.1,293.98,294.1,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:19:00,294.1,294.23,294.1,294.23,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:20:00,294.23,294.35,294.23,294.35,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:21:00,294.35,294.47,294.35,294.47,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:22:00,294.47,294.59,294.47,294.59,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:23:00,294.59,294.71,294.59,294.71,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:24:00,294.71,294.83,294.71,294.83,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:25:00,294.83,294.95,294.83,294.95,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:26:00,294.95,295.07,294.95,295.07,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:27:00,295.07,295.19,295.07,295.19,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:28:00,295.19,295.32,295.19,295.32,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:29:00,295.32,295.44,295.32,295.44,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:30:00,295.44,295.56,295.44,295.56,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:31:00,295.56,295.68,295.56,295.68,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:32:00,295.68,295.8,295.68,295.8,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:33:00,295.8,295.92,295.8,295.92,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:34:00,295.92,296.04,295.92,296.04,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:35:00,296.04,296.17,296.04,296.17,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:36:00,296.17,296.29,296.17,296.29,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:37:00,296.29,296.41,296.29,296.41,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:38:00,296.41,296.53,296.41,296.53,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:39:00,296.53,296.65,296.53,296.65,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:40:00,296.65,296.77,296.65,296.77,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:41:00,296.77,296.89,296.77,296.89,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:42:00,296.89,297.01,296.89,297.01,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:43:00,297.01,297.13,297.01,297.13,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:44:00,297.13,297.26,297.13,297.26,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:45:00,297.26,297.38,297.26,297.38,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:46:00,297.38,297.5,297.38,297.5,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:47:00,297.5,297.62,297.5,297.62,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:48:00,297.62,297.74,297.62,297.74,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:49:00,297.74,297.86,297.74,297.86,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:50:00,297.86,297.98,297.86,297.98,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:51:00,297.98,298.11,297.98,298.11,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:52:00,298.11,298.23,298.11,298.23,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:53:00,298.23,298.35,298.23,298.35,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:54:00,298.35,298.47,298.35,298.47,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:55:00,298.47,298.59,298.47,298.59,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:56:00,298.59,298.71,298.59,298.71,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:57:00,298.71,298.83,298.71,298.83,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:58:00,298.83,298.95,298.83,298.95,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 11:59:00,298.95,299.07,298.95,299.07,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 12:00:00,299.07,299.2,299.07,299.2,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 12:01:00,299.2,299.32,299.2,299.32,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 12:02:00,299.32,299.44,299.32,299.44,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 12:03:00,299.44,299.56,299.44,299.56,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 12:04:00,299.56,299.68,299.56,299.68,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 12:05:00,299.68,299.8,299.68,299.8,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 12:06:00,299.8,299.92,299.8,299.92,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 12:07:00,299.92,300.05,299.92,300.05,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 12:08:00,300.05,300.17,300.05,300.17,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 12:09:00,300.17,300.29,300.17,300.29,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 12:10:00,300.29,300.41,300.29,300.41,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 12:11:00,300.41,300.53,300.41,300.53,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 12:12:00,300.53,300.65,300.53,300.65,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 12:13:00,300.65,300.77,300.65,300.77,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 12:14:00,300.77,300.89,300.77,300.89,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 12:15:00,300.89,301.01,300.89,301.01,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 12:16:00,301.01,301.14,301.01,301.14,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 12:17:00,301.14,301.26,301.14,301.26,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 12:18:00,301.26,301.38,301.26,301.38,0.04,288.94,91613.85,1
2023-06-20,2023-06-20 12:19:00,301.38,301.5,301.38,301.5,0.04,288.94,91613.85,1
