published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-08-06,2023-08-06 11:00:00,529.5,545.37,529.5,529.72,0.04,227.3,132297.83,1
2023-08-06,2023-08-06 11:01:00,529.72,529.94,529.72,529.94,0.04,227.3,132297.83,1
2023-08-06,2023-08-06 11:02:00,529.94,530.16,529.94,530.16,0.04,227.3,132297.83,1
2023-08-06,2023-08-06 11:03:00,530.16,530.38,530.16,530.38,0.04,227.3,132297.83,1
2023-08-06,2023-08-06 11:04:00,530.38,530.6,530.38,530.6,0.04,227.3,132297.83,1
2023-08-06,2023-08-06 11:05:00,530.6,530.82,530.6,530.82,0.04,227.3,132297.83,1
2023-08-06,2023-08-06 11:06:00,530.82,531.04,530.82,531.04,0.04,227.3,132297.83,1
2023-08-06,2023-08-06 11:07:00,531.04,531.26,531.04,531.26,0.04,227.3,132297.83,1
2023-08-06,2023-08-06 11:08:00,531.26,531.48,531.26,531.48,0.04,227.3,132297.83,1
2023-08-06,2023-08-06 11:09:00,531.48,531.7,531.48,531.7,0.04,227.3,132297.83,1
2023-08-06,2023-08-06 11:10:00,531.7,531.92,531.7,531.92,0.04,227.3,132297.83,1
2023-08-06,2023-08-06 11:11:00,531.92,532.14,531.92,532.14,0.04,227.3,132297.83,1
2023-08-06,2023-08-06 11:12:00,532.14,532.37,532.14,532.37,0.04,227.3,132297.83,1
2023-08-06,2023-08-06 11:13:00,532.37,532.59,532.37,532.59,0.04,227.3,132297.83,1
2023-08-06,2023-08-06 11:14:00,532.59,532.81,532.59,532.81,0.04,227.3,132297.83,1
2023-08-06,2023-08-06 11:15:00,532.81,533.03,532.81,533.03,0.04,227.3,132297.83,1
2023-08-06,2023-08-06 11:16:00,533.03,533.25,533.03,533.25,0.04,227.3,132297.83,1
2023-08-06,2023-08-06 11:17:00,533.25,533.47,533.25,533.47,0.04,227.3,132297.83,1
2023-08-06,2023-08-06 11:18:00,533.47,533.69,533.47,533.69,0.04,227.3,132297.83,1
