published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-05-15,2011-05-15 11:00:00,188.0,188.0,187.1,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 11:10:00,188.0,188.0,188.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 11:20:00,188.0,188.0,188.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 11:30:00,188.0,188.0,188.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 11:40:00,188.0,188.0,188.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 11:50:00,188.0,188.0,188.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 12:00:00,188.0,188.0,188.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 12:10:00,188.0,188.0,188.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 12:20:00,188.0,188.0,188.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 12:30:00,188.0,188.0,188.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 12:40:00,188.0,188.0,188.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 12:50:00,188.0,188.0,188.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 13:00:00,188.0,188.0,185.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 13:10:00,188.0,188.0,188.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 13:20:00,188.0,188.0,188.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 13:30:00,188.0,188.0,188.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 13:40:00,188.0,188.0,188.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 13:50:00,188.0,188.0,188.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 14:00:00,188.0,188.0,188.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 14:10:00,188.0,188.0,188.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 14:20:00,188.0,188.0,188.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 14:30:00,188.0,188.0,188.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 14:40:00,188.0,188.0,188.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 14:50:00,188.0,188.0,188.0,188.0,0.0,5.64,1047.36,0
2011-05-15,2011-05-15 15:00:00,188.0,188.0,185.0,188.0,0.0,5.64,1047.36,0
2011-05-18,2011-05-18 11:00:00,188.0,188.9,188.0,188.12,0.06,0.8,152.8,1
2011-05-18,2011-05-18 11:10:00,188.12,188.25,188.12,188.25,0.07,0.8,152.8,1
2011-05-18,2011-05-18 11:20:00,188.25,188.38,188.25,188.38,0.07,0.8,152.8,1
2011-05-18,2011-05-18 11:30:00,188.38,188.5,188.38,188.5,0.06,0.8,152.8,1
2011-05-18,2011-05-18 11:40:00,188.5,188.62,188.5,188.62,0.06,0.8,152.8,1
2011-05-18,2011-05-18 11:50:00,188.62,188.75,188.62,188.75,0.07,0.8,152.8,1
2011-05-18,2011-05-18 12:00:00,188.75,188.88,188.75,188.88,0.07,0.8,152.8,1
2011-05-18,2011-05-18 12:10:00,188.88,189.0,188.88,189.0,0.06,0.8,152.8,1
2011-05-18,2011-05-18 12:20:00,189.0,189.12,189.0,189.12,0.06,0.8,152.8,1
2011-05-18,2011-05-18 12:30:00,189.12,189.25,189.12,189.25,0.07,0.8,152.8,1
2011-05-18,2011-05-18 12:40:00,189.25,189.38,189.25,189.38,0.07,0.8,152.8,1
2011-05-18,2011-05-18 12:50:00,189.38,189.5,189.38,189.5,0.06,0.8,152.8,1
2011-05-18,2011-05-18 13:00:00,189.5,191.0,189.5,189.62,0.06,0.8,152.8,1
2011-05-18,2011-05-18 13:10:00,189.62,189.75,189.62,189.75,0.07,0.8,152.8,1
2011-05-18,2011-05-18 13:20:00,189.75,189.88,189.75,189.88,0.07,0.8,152.8,1
2011-05-18,2011-05-18 13:30:00,189.88,190.0,189.88,190.0,0.06,0.8,152.8,1
2011-05-18,2011-05-18 13:40:00,190.0,190.12,190.0,190.12,0.06,0.8,152.8,1
2011-05-18,2011-05-18 13:50:00,190.12,190.25,190.12,190.25,0.07,0.8,152.8,1
2011-05-18,2011-05-18 14:00:00,190.25,190.38,190.25,190.38,0.07,0.8,152.8,1
2011-05-18,2011-05-18 14:10:00,190.38,190.5,190.38,190.5,0.06,0.8,152.8,1
2011-05-18,2011-05-18 14:20:00,190.5,190.62,190.5,190.62,0.06,0.8,152.8,1
2011-05-18,2011-05-18 14:30:00,190.62,190.75,190.62,190.75,0.07,0.8,152.8,1
2011-05-18,2011-05-18 14:40:00,190.75,190.88,190.75,190.88,0.07,0.8,152.8,1
2011-05-18,2011-05-18 14:50:00,190.88,191.0,190.88,191.0,0.06,0.8,152.8,1
2011-05-18,2011-05-18 15:00:00,191.0,191.0,191.0,191.0,0.0,0.8,152.8,0
2011-05-19,2011-05-19 11:00:00,191.0,191.0,190.1,190.96,-0.02,3.88,735.36,-1
2011-05-19,2011-05-19 11:10:00,190.96,190.96,190.92,190.92,-0.02,3.88,735.36,-1
2011-05-19,2011-05-19 11:20:00,190.92,190.92,190.88,190.88,-0.02,3.88,735.36,-1
2011-05-19,2011-05-19 11:30:00,190.88,190.88,190.83,190.83,-0.03,3.88,735.36,-1
2011-05-19,2011-05-19 11:40:00,190.83,190.83,190.79,190.79,-0.02,3.88,735.36,-1
2011-05-19,2011-05-19 11:50:00,190.79,190.79,190.75,190.75,-0.02,3.88,735.36,-1
2011-05-19,2011-05-19 12:00:00,190.75,190.75,190.71,190.71,-0.02,3.88,735.36,-1
2011-05-19,2011-05-19 12:10:00,190.71,190.71,190.67,190.67,-0.02,3.88,735.36,-1
2011-05-19,2011-05-19 12:20:00,190.67,190.67,190.62,190.62,-0.03,3.88,735.36,-1
2011-05-19,2011-05-19 12:30:00,190.62,190.62,190.58,190.58,-0.02,3.88,735.36,-1
2011-05-19,2011-05-19 12:40:00,190.58,190.58,190.54,190.54,-0.02,3.88,735.36,-1
2011-05-19,2011-05-19 12:50:00,190.54,190.54,190.5,190.5,-0.02,3.88,735.36,-1
2011-05-19,2011-05-19 13:00:00,190.5,190.5,188.0,190.46,-0.02,3.88,735.36,-1
2011-05-19,2011-05-19 13:10:00,190.46,190.46,190.42,190.42,-0.02,3.88,735.36,-1
2011-05-19,2011-05-19 13:20:00,190.42,190.42,190.38,190.38,-0.02,3.88,735.36,-1
2011-05-19,2011-05-19 13:30:00,190.38,190.38,190.33,190.33,-0.03,3.88,735.36,-1
2011-05-19,2011-05-19 13:40:00,190.33,190.33,190.29,190.29,-0.02,3.88,735.36,-1
2011-05-19,2011-05-19 13:50:00,190.29,190.29,190.25,190.25,-0.02,3.88,735.36,-1
2011-05-19,2011-05-19 14:00:00,190.25,190.25,190.21,190.21,-0.02,3.88,735.36,-1
2011-05-19,2011-05-19 14:10:00,190.21,190.21,190.17,190.17,-0.02,3.88,735.36,-1
2011-05-19,2011-05-19 14:20:00,190.17,190.17,190.12,190.12,-0.03,3.88,735.36,-1
2011-05-19,2011-05-19 14:30:00,190.12,190.12,190.08,190.08,-0.02,3.88,735.36,-1
2011-05-19,2011-05-19 14:40:00,190.08,190.08,190.04,190.04,-0.02,3.88,735.36,-1
2011-05-19,2011-05-19 14:50:00,190.04,190.04,190.0,190.0,-0.02,3.88,735.36,-1
2011-05-19,2011-05-19 15:00:00,190.0,190.0,188.0,190.0,0.0,3.88,735.36,0
2011-05-22,2011-05-22 11:00:00,190.0,190.0,189.4,189.92,-0.04,2.32,436.16,-1
2011-05-22,2011-05-22 11:10:00,189.92,189.92,189.83,189.83,-0.05,2.32,436.16,-1
2011-05-22,2011-05-22 11:20:00,189.83,189.83,189.75,189.75,-0.04,2.32,436.16,-1
2011-05-22,2011-05-22 11:30:00,189.75,189.75,189.67,189.67,-0.04,2.32,436.16,-1
2011-05-22,2011-05-22 11:40:00,189.67,189.67,189.58,189.58,-0.05,2.32,436.16,-1
2011-05-22,2011-05-22 11:50:00,189.58,189.58,189.5,189.5,-0.04,2.32,436.16,-1
2011-05-22,2011-05-22 12:00:00,189.5,189.5,189.42,189.42,-0.04,2.32,436.16,-1
2011-05-22,2011-05-22 12:10:00,189.42,189.42,189.33,189.33,-0.05,2.32,436.16,-1
2011-05-22,2011-05-22 12:20:00,189.33,189.33,189.25,189.25,-0.04,2.32,436.16,-1
2011-05-22,2011-05-22 12:30:00,189.25,189.25,189.17,189.17,-0.04,2.32,436.16,-1
2011-05-22,2011-05-22 12:40:00,189.17,189.17,189.08,189.08,-0.05,2.32,436.16,-1
2011-05-22,2011-05-22 12:50:00,189.08,189.08,189.0,189.0,-0.04,2.32,436.16,-1
2011-05-22,2011-05-22 13:00:00,189.0,189.0,188.0,188.92,-0.04,2.32,436.16,-1
2011-05-22,2011-05-22 13:10:00,188.92,188.92,188.83,188.83,-0.05,2.32,436.16,-1
2011-05-22,2011-05-22 13:20:00,188.83,188.83,188.75,188.75,-0.04,2.32,436.16,-1
2011-05-22,2011-05-22 13:30:00,188.75,188.75,188.67,188.67,-0.04,2.32,436.16,-1
2011-05-22,2011-05-22 13:40:00,188.67,188.67,188.58,188.58,-0.05,2.32,436.16,-1
2011-05-22,2011-05-22 13:50:00,188.58,188.58,188.5,188.5,-0.04,2.32,436.16,-1
2011-05-22,2011-05-22 14:00:00,188.5,188.5,188.42,188.42,-0.04,2.32,436.16,-1
2011-05-22,2011-05-22 14:10:00,188.42,188.42,188.33,188.33,-0.05,2.32,436.16,-1
2011-05-22,2011-05-22 14:20:00,188.33,188.33,188.25,188.25,-0.04,2.32,436.16,-1
2011-05-22,2011-05-22 14:30:00,188.25,188.25,188.17,188.17,-0.04,2.32,436.16,-1
2011-05-22,2011-05-22 14:40:00,188.17,188.17,188.08,188.08,-0.05,2.32,436.16,-1
2011-05-22,2011-05-22 14:50:00,188.08,188.08,188.0,188.0,-0.04,2.32,436.16,-1
2011-05-22,2011-05-22 15:00:00,188.0,188.0,188.0,188.0,0.0,2.32,436.16,0
2011-05-23,2011-05-23 11:00:00,188.0,188.0,187.4,187.92,-0.04,7.8,1450.8,-1
2011-05-23,2011-05-23 11:10:00,187.92,187.92,187.83,187.83,-0.05,7.8,1450.8,-1
2011-05-23,2011-05-23 11:20:00,187.83,187.83,187.75,187.75,-0.04,7.8,1450.8,-1
2011-05-23,2011-05-23 11:30:00,187.75,187.75,187.67,187.67,-0.04,7.8,1450.8,-1
2011-05-23,2011-05-23 11:40:00,187.67,187.67,187.58,187.58,-0.05,7.8,1450.8,-1
2011-05-23,2011-05-23 11:50:00,187.58,187.58,187.5,187.5,-0.04,7.8,1450.8,-1
2011-05-23,2011-05-23 12:00:00,187.5,187.5,187.42,187.42,-0.04,7.8,1450.8,-1
2011-05-23,2011-05-23 12:10:00,187.42,187.42,187.33,187.33,-0.05,7.8,1450.8,-1
2011-05-23,2011-05-23 12:20:00,187.33,187.33,187.25,187.25,-0.04,7.8,1450.8,-1
2011-05-23,2011-05-23 12:30:00,187.25,187.25,187.17,187.17,-0.04,7.8,1450.8,-1
2011-05-23,2011-05-23 12:40:00,187.17,187.17,187.08,187.08,-0.05,7.8,1450.8,-1
2011-05-23,2011-05-23 12:50:00,187.08,187.08,187.0,187.0,-0.04,7.8,1450.8,-1
