published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-07-02,2026-07-02 11:00:00,295.4,308.69,295.4,297.25,0.63,8.0,2647.56,1
2026-07-02,2026-07-02 11:10:00,297.25,299.09,297.25,299.09,0.62,8.0,2647.56,1
2026-07-02,2026-07-02 11:20:00,299.09,300.94,299.09,300.94,0.62,8.0,2647.56,1
2026-07-02,2026-07-02 11:30:00,300.94,302.78,300.94,302.78,0.61,8.0,2647.56,1
2026-07-02,2026-07-02 11:40:00,302.78,304.63,302.78,304.63,0.61,8.0,2647.56,1
2026-07-02,2026-07-02 11:50:00,304.63,306.47,304.63,306.47,0.6,8.0,2647.56,1
2026-07-02,2026-07-02 12:00:00,306.47,308.32,306.47,308.32,0.6,8.0,2647.56,1
2026-07-02,2026-07-02 12:10:00,308.32,310.17,308.32,310.17,0.6,8.0,2647.56,1
2026-07-02,2026-07-02 12:20:00,310.17,312.01,310.17,312.01,0.59,8.0,2647.56,1
2026-07-02,2026-07-02 12:30:00,312.01,313.86,312.01,313.86,0.59,8.0,2647.56,1
2026-07-02,2026-07-02 12:40:00,313.86,315.7,313.86,315.7,0.59,8.0,2647.56,1
2026-07-02,2026-07-02 12:50:00,315.7,317.55,315.7,317.55,0.59,8.0,2647.56,1
2026-07-02,2026-07-02 13:00:00,317.55,339.7,295.4,319.4,0.58,8.0,2647.56,1
2026-07-02,2026-07-02 13:10:00,319.4,321.24,319.4,321.24,0.58,8.0,2647.56,1
2026-07-02,2026-07-02 13:20:00,321.24,323.09,321.24,323.09,0.58,8.0,2647.56,1
2026-07-02,2026-07-02 13:30:00,323.09,324.93,323.09,324.93,0.57,8.0,2647.56,1
2026-07-02,2026-07-02 13:40:00,324.93,326.78,324.93,326.78,0.57,8.0,2647.56,1
2026-07-02,2026-07-02 13:50:00,326.78,328.62,326.78,328.62,0.56,8.0,2647.56,1
2026-07-02,2026-07-02 14:00:00,328.62,330.47,328.62,330.47,0.56,8.0,2647.56,1
2026-07-02,2026-07-02 14:10:00,330.47,332.32,330.47,332.32,0.56,8.0,2647.56,1
2026-07-02,2026-07-02 14:20:00,332.32,334.16,332.32,334.16,0.55,8.0,2647.56,1
2026-07-02,2026-07-02 14:30:00,334.16,336.01,334.16,336.01,0.55,8.0,2647.56,1
2026-07-02,2026-07-02 14:40:00,336.01,337.85,336.01,337.85,0.55,8.0,2647.56,1
2026-07-02,2026-07-02 14:50:00,337.85,339.7,337.85,339.7,0.55,8.0,2647.56,1
2026-07-02,2026-07-02 15:00:00,339.7,339.7,295.4,339.7,0.0,8.0,2647.56,0
2026-07-03,2026-07-03 11:00:00,349.8,362.04,349.8,351.5,0.49,6.0,2303.88,1
2026-07-03,2026-07-03 11:10:00,351.5,353.2,351.5,353.2,0.48,6.0,2303.88,1
2026-07-03,2026-07-03 11:20:00,353.2,354.9,353.2,354.9,0.48,6.0,2303.88,1
2026-07-03,2026-07-03 11:30:00,354.9,356.6,354.9,356.6,0.48,6.0,2303.88,1
2026-07-03,2026-07-03 11:40:00,356.6,358.3,356.6,358.3,0.48,6.0,2303.88,1
2026-07-03,2026-07-03 11:50:00,358.3,360.0,358.3,360.0,0.47,6.0,2303.88,1
2026-07-03,2026-07-03 12:00:00,360.0,361.7,360.0,361.7,0.47,6.0,2303.88,1
2026-07-03,2026-07-03 12:10:00,361.7,363.4,361.7,363.4,0.47,6.0,2303.88,1
2026-07-03,2026-07-03 12:20:00,363.4,365.1,363.4,365.1,0.47,6.0,2303.88,1
2026-07-03,2026-07-03 12:30:00,365.1,366.8,365.1,366.8,0.47,6.0,2303.88,1
2026-07-03,2026-07-03 12:40:00,366.8,368.5,366.8,368.5,0.46,6.0,2303.88,1
2026-07-03,2026-07-03 12:50:00,368.5,370.2,368.5,370.2,0.46,6.0,2303.88,1
2026-07-03,2026-07-03 13:00:00,370.2,390.6,349.8,371.9,0.46,6.0,2303.88,1
2026-07-03,2026-07-03 13:10:00,371.9,373.6,371.9,373.6,0.46,6.0,2303.88,1
2026-07-03,2026-07-03 13:20:00,373.6,375.3,373.6,375.3,0.46,6.0,2303.88,1
2026-07-03,2026-07-03 13:30:00,375.3,377.0,375.3,377.0,0.45,6.0,2303.88,1
2026-07-03,2026-07-03 13:40:00,377.0,378.7,377.0,378.7,0.45,6.0,2303.88,1
2026-07-03,2026-07-03 13:50:00,378.7,380.4,378.7,380.4,0.45,6.0,2303.88,1
2026-07-03,2026-07-03 14:00:00,380.4,382.1,380.4,382.1,0.45,6.0,2303.88,1
2026-07-03,2026-07-03 14:10:00,382.1,383.8,382.1,383.8,0.44,6.0,2303.88,1
2026-07-03,2026-07-03 14:20:00,383.8,385.5,383.8,385.5,0.44,6.0,2303.88,1
2026-07-03,2026-07-03 14:30:00,385.5,387.2,385.5,387.2,0.44,6.0,2303.88,1
2026-07-03,2026-07-03 14:40:00,387.2,388.9,387.2,388.9,0.44,6.0,2303.88,1
2026-07-03,2026-07-03 14:50:00,388.9,390.6,388.9,390.6,0.44,6.0,2303.88,1
2026-07-03,2026-07-03 15:00:00,390.6,390.6,349.8,390.6,0.0,6.0,2303.88,0
2026-07-06,2026-07-06 11:00:00,410.1,421.8,410.1,411.73,0.4,18.8,8395.12,1
2026-07-06,2026-07-06 11:10:00,411.73,413.35,411.73,413.35,0.39,18.8,8395.12,1
2026-07-06,2026-07-06 11:20:00,413.35,414.98,413.35,414.98,0.39,18.8,8395.12,1
2026-07-06,2026-07-06 11:30:00,414.98,416.6,414.98,416.6,0.39,18.8,8395.12,1
2026-07-06,2026-07-06 11:40:00,416.6,418.23,416.6,418.23,0.39,18.8,8395.12,1
2026-07-06,2026-07-06 11:50:00,418.23,419.85,418.23,419.85,0.39,18.8,8395.12,1
2026-07-06,2026-07-06 12:00:00,419.85,421.48,419.85,421.48,0.39,18.8,8395.12,1
2026-07-06,2026-07-06 12:10:00,421.48,423.1,421.48,423.1,0.38,18.8,8395.12,1
2026-07-06,2026-07-06 12:20:00,423.1,424.73,423.1,424.73,0.39,18.8,8395.12,1
2026-07-06,2026-07-06 12:30:00,424.73,426.35,424.73,426.35,0.38,18.8,8395.12,1
2026-07-06,2026-07-06 12:40:00,426.35,427.98,426.35,427.98,0.38,18.8,8395.12,1
2026-07-06,2026-07-06 12:50:00,427.98,429.6,427.98,429.6,0.38,18.8,8395.12,1
2026-07-06,2026-07-06 13:00:00,429.6,449.1,410.1,431.23,0.38,18.8,8395.12,1
2026-07-06,2026-07-06 13:10:00,431.23,432.85,431.23,432.85,0.38,18.8,8395.12,1
2026-07-06,2026-07-06 13:20:00,432.85,434.48,432.85,434.48,0.38,18.8,8395.12,1
2026-07-06,2026-07-06 13:30:00,434.48,436.1,434.48,436.1,0.37,18.8,8395.12,1
2026-07-06,2026-07-06 13:40:00,436.1,437.73,436.1,437.73,0.37,18.8,8395.12,1
2026-07-06,2026-07-06 13:50:00,437.73,439.35,437.73,439.35,0.37,18.8,8395.12,1
2026-07-06,2026-07-06 14:00:00,439.35,440.98,439.35,440.98,0.37,18.8,8395.12,1
2026-07-06,2026-07-06 14:10:00,440.98,442.6,440.98,442.6,0.37,18.8,8395.12,1
2026-07-06,2026-07-06 14:20:00,442.6,444.23,442.6,444.23,0.37,18.8,8395.12,1
2026-07-06,2026-07-06 14:30:00,444.23,445.85,444.23,445.85,0.36,18.8,8395.12,1
2026-07-06,2026-07-06 14:40:00,445.85,447.48,445.85,447.48,0.37,18.8,8395.12,1
2026-07-06,2026-07-06 14:50:00,447.48,449.1,447.48,449.1,0.36,18.8,8395.12,1
2026-07-06,2026-07-06 15:00:00,449.1,449.1,410.1,449.1,0.0,18.8,8395.12,0
2026-07-07,2026-07-07 11:00:00,462.5,478.67,462.5,464.75,0.49,101.2,52207.24,1
2026-07-07,2026-07-07 11:10:00,464.75,466.99,464.75,466.99,0.48,101.2,52207.24,1
2026-07-07,2026-07-07 11:20:00,466.99,469.24,466.99,469.24,0.48,101.2,52207.24,1
2026-07-07,2026-07-07 11:30:00,469.24,471.48,469.24,471.48,0.48,101.2,52207.24,1
2026-07-07,2026-07-07 11:40:00,471.48,473.73,471.48,473.73,0.48,101.2,52207.24,1
2026-07-07,2026-07-07 11:50:00,473.73,475.98,473.73,475.98,0.47,101.2,52207.24,1
2026-07-07,2026-07-07 12:00:00,475.98,478.22,475.98,478.22,0.47,101.2,52207.24,1
2026-07-07,2026-07-07 12:10:00,478.22,480.47,478.22,480.47,0.47,101.2,52207.24,1
2026-07-07,2026-07-07 12:20:00,480.47,482.71,480.47,482.71,0.47,101.2,52207.24,1
2026-07-07,2026-07-07 12:30:00,482.71,484.96,482.71,484.96,0.47,101.2,52207.24,1
2026-07-07,2026-07-07 12:40:00,484.96,487.2,484.96,487.2,0.46,101.2,52207.24,1
2026-07-07,2026-07-07 12:50:00,487.2,489.45,487.2,489.45,0.46,101.2,52207.24,1
2026-07-07,2026-07-07 13:00:00,489.45,516.4,462.5,491.7,0.46,101.2,52207.24,1
2026-07-07,2026-07-07 13:10:00,491.7,493.94,491.7,493.94,0.46,101.2,52207.24,1
2026-07-07,2026-07-07 13:20:00,493.94,496.19,493.94,496.19,0.46,101.2,52207.24,1
2026-07-07,2026-07-07 13:30:00,496.19,498.43,496.19,498.43,0.45,101.2,52207.24,1
2026-07-07,2026-07-07 13:40:00,498.43,500.68,498.43,500.68,0.45,101.2,52207.24,1
2026-07-07,2026-07-07 13:50:00,500.68,502.92,500.68,502.92,0.45,101.2,52207.24,1
2026-07-07,2026-07-07 14:00:00,502.92,505.17,502.92,505.17,0.45,101.2,52207.24,1
2026-07-07,2026-07-07 14:10:00,505.17,507.42,505.17,507.42,0.45,101.2,52207.24,1
2026-07-07,2026-07-07 14:20:00,507.42,509.66,507.42,509.66,0.44,101.2,52207.24,1
2026-07-07,2026-07-07 14:30:00,509.66,511.91,509.66,511.91,0.44,101.2,52207.24,1
2026-07-07,2026-07-07 14:40:00,511.91,514.15,511.91,514.15,0.44,101.2,52207.24,1
2026-07-07,2026-07-07 14:50:00,514.15,516.4,514.15,516.4,0.44,101.2,52207.24,1
2026-07-07,2026-07-07 15:00:00,516.4,516.4,462.5,516.4,0.0,101.2,52207.24,0
2026-07-08,2026-07-08 11:00:00,542.2,542.2,525.04,539.9,-0.42,5719.28,2833495.86,-1
2026-07-08,2026-07-08 11:10:00,539.9,539.9,537.6,537.6,-0.43,5719.28,2833495.86,-1
