published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-04-19,2021-04-19 11:00:00,10.0,10.0,9.94,10.0,0.0,376.0,3749.28,0
2021-04-19,2021-04-19 11:10:00,10.0,10.0,10.0,10.0,0.0,376.0,3749.28,0
2021-04-19,2021-04-19 11:20:00,10.0,10.0,10.0,10.0,0.0,376.0,3749.28,0
2021-04-19,2021-04-19 11:30:00,10.0,10.0,10.0,10.0,0.0,376.0,3749.28,0
2021-04-19,2021-04-19 11:40:00,10.0,10.0,9.99,9.99,-0.1,376.0,3749.28,-1
2021-04-19,2021-04-19 11:50:00,9.99,9.99,9.99,9.99,0.0,376.0,3749.28,0
2021-04-19,2021-04-19 12:00:00,9.99,9.99,9.99,9.99,0.0,376.0,3749.28,0
2021-04-19,2021-04-19 12:10:00,9.99,9.99,9.99,9.99,0.0,376.0,3749.28,0
2021-04-19,2021-04-19 12:20:00,9.99,9.99,9.99,9.99,0.0,376.0,3749.28,0
2021-04-19,2021-04-19 12:30:00,9.99,9.99,9.99,9.99,0.0,376.0,3749.28,0
2021-04-19,2021-04-19 12:40:00,9.99,9.99,9.99,9.99,0.0,376.0,3749.28,0
2021-04-19,2021-04-19 12:50:00,9.99,9.99,9.98,9.98,-0.1,376.0,3749.28,-1
2021-04-19,2021-04-19 13:00:00,9.98,10.0,9.81,9.98,0.0,376.0,3749.28,0
2021-04-19,2021-04-19 13:10:00,9.98,9.98,9.98,9.98,0.0,376.0,3749.28,0
2021-04-19,2021-04-19 13:20:00,9.98,9.98,9.98,9.98,0.0,376.0,3749.28,0
2021-04-19,2021-04-19 13:30:00,9.98,9.98,9.98,9.98,0.0,376.0,3749.28,0
2021-04-19,2021-04-19 13:40:00,9.98,9.98,9.98,9.98,0.0,376.0,3749.28,0
2021-04-19,2021-04-19 13:50:00,9.98,9.98,9.98,9.98,0.0,376.0,3749.28,0
2021-04-19,2021-04-19 14:00:00,9.98,9.98,9.98,9.98,0.0,376.0,3749.28,0
2021-04-19,2021-04-19 14:10:00,9.98,9.98,9.98,9.98,0.0,376.0,3749.28,0
2021-04-19,2021-04-19 14:20:00,9.98,9.98,9.97,9.97,-0.1,376.0,3749.28,-1
2021-04-19,2021-04-19 14:30:00,9.97,9.97,9.97,9.97,0.0,376.0,3749.28,0
2021-04-19,2021-04-19 14:40:00,9.97,9.97,9.97,9.97,0.0,376.0,3749.28,0
2021-04-19,2021-04-19 14:50:00,9.97,9.97,9.97,9.97,0.0,376.0,3749.28,0
2021-04-19,2021-04-19 15:00:00,9.97,10.0,9.81,9.97,0.0,376.0,3749.28,0
2021-04-20,2021-04-20 11:00:00,9.95,9.96,9.9,9.95,0.0,696.0,6893.12,0
2021-04-20,2021-04-20 11:10:00,9.95,9.95,9.95,9.95,0.0,696.0,6893.12,0
2021-04-20,2021-04-20 11:20:00,9.95,9.95,9.95,9.95,0.0,696.0,6893.12,0
