published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-01-26,2017-01-26 11:00:00,214.0,216.4,210.4,214.25,0.12,93.92,19728.24,1
2017-01-26,2017-01-26 11:10:00,214.25,214.5,214.25,214.5,0.12,93.92,19728.24,1
2017-01-26,2017-01-26 11:20:00,214.5,214.75,214.5,214.75,0.12,93.92,19728.24,1
2017-01-26,2017-01-26 11:30:00,214.75,215.0,214.75,215.0,0.12,93.92,19728.24,1
2017-01-26,2017-01-26 11:40:00,215.0,215.25,215.0,215.25,0.12,93.92,19728.24,1
2017-01-26,2017-01-26 11:50:00,215.25,215.5,215.25,215.5,0.12,93.92,19728.24,1
2017-01-26,2017-01-26 12:00:00,215.5,215.75,215.5,215.75,0.12,93.92,19728.24,1
2017-01-26,2017-01-26 12:10:00,215.75,216.0,215.75,216.0,0.12,93.92,19728.24,1
2017-01-26,2017-01-26 12:20:00,216.0,216.25,216.0,216.25,0.12,93.92,19728.24,1
2017-01-26,2017-01-26 12:30:00,216.25,216.5,216.25,216.5,0.12,93.92,19728.24,1
2017-01-26,2017-01-26 12:40:00,216.5,216.75,216.5,216.75,0.12,93.92,19728.24,1
2017-01-26,2017-01-26 12:50:00,216.75,217.0,216.75,217.0,0.12,93.92,19728.24,1
2017-01-26,2017-01-26 13:00:00,217.0,222.0,202.0,217.25,0.12,93.92,19728.24,1
2017-01-26,2017-01-26 13:10:00,217.25,217.5,217.25,217.5,0.12,93.92,19728.24,1
2017-01-26,2017-01-26 13:20:00,217.5,217.75,217.5,217.75,0.11,93.92,19728.24,1
2017-01-26,2017-01-26 13:30:00,217.75,218.0,217.75,218.0,0.11,93.92,19728.24,1
2017-01-26,2017-01-26 13:40:00,218.0,218.25,218.0,218.25,0.11,93.92,19728.24,1
2017-01-26,2017-01-26 13:50:00,218.25,218.5,218.25,218.5,0.11,93.92,19728.24,1
2017-01-26,2017-01-26 14:00:00,218.5,218.75,218.5,218.75,0.11,93.92,19728.24,1
