published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-11-27,2025-11-27 11:00:00,1178.1,1178.1,1177.12,1177.12,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 11:10:00,1177.12,1177.12,1176.14,1176.14,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 11:20:00,1176.14,1176.14,1175.16,1175.16,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 11:30:00,1175.16,1175.16,1174.18,1174.18,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 11:40:00,1174.18,1174.18,1173.2,1173.2,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 11:50:00,1173.2,1173.2,1172.22,1172.22,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 12:00:00,1172.22,1172.22,1171.25,1171.25,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 12:10:00,1171.25,1171.25,1170.27,1170.27,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 12:20:00,1170.27,1170.27,1169.29,1169.29,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 12:30:00,1169.29,1169.29,1168.31,1168.31,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 12:40:00,1168.31,1168.31,1167.33,1167.33,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 12:50:00,1167.33,1167.33,1166.35,1166.35,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 13:00:00,1166.35,1178.1,1165.37,1165.37,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 13:10:00,1165.37,1165.37,1164.39,1164.39,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 13:20:00,1164.39,1164.39,1163.41,1163.41,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 13:30:00,1163.41,1163.41,1162.43,1162.43,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 13:40:00,1162.43,1162.43,1161.45,1161.45,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 13:50:00,1161.45,1161.45,1160.47,1160.47,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 14:00:00,1160.47,1160.47,1159.5,1159.5,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 14:10:00,1159.5,1159.5,1158.52,1158.52,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 14:20:00,1158.52,1158.52,1157.54,1157.54,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 14:30:00,1157.54,1157.54,1156.56,1156.56,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 14:40:00,1156.56,1156.56,1155.58,1155.58,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 14:50:00,1155.58,1155.58,1154.6,1154.6,-0.08,0.2,230.92,-1
2025-11-27,2025-11-27 15:00:00,1154.6,1178.1,1154.6,1154.6,0.0,0.2,230.92,0
2025-11-30,2025-11-30 11:00:00,1154.6,1154.6,1154.07,1154.07,-0.05,0.2,228.4,-1
2025-11-30,2025-11-30 11:10:00,1154.07,1154.07,1153.55,1153.55,-0.05,0.2,228.4,-1
2025-11-30,2025-11-30 11:20:00,1153.55,1153.55,1153.02,1153.02,-0.05,0.2,228.4,-1
2025-11-30,2025-11-30 11:30:00,1153.02,1153.02,1152.5,1152.5,-0.05,0.2,228.4,-1
2025-11-30,2025-11-30 11:40:00,1152.5,1152.5,1151.97,1151.97,-0.05,0.2,228.4,-1
