published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-06,2026-08-06 11:00:00,10.0,10.0,9.76,9.97,-0.3,468.0,4380.48,-1
2026-08-06,2026-08-06 11:10:00,9.97,9.97,9.95,9.95,-0.2,468.0,4380.48,-1
2026-08-06,2026-08-06 11:20:00,9.95,9.95,9.92,9.92,-0.3,468.0,4380.48,-1
2026-08-06,2026-08-06 11:30:00,9.92,9.92,9.89,9.89,-0.3,468.0,4380.48,-1
2026-08-06,2026-08-06 11:40:00,9.89,9.89,9.86,9.86,-0.3,468.0,4380.48,-1
2026-08-06,2026-08-06 11:50:00,9.86,9.86,9.84,9.84,-0.2,468.0,4380.48,-1
2026-08-06,2026-08-06 12:00:00,9.84,9.84,9.81,9.81,-0.3,468.0,4380.48,-1
2026-08-06,2026-08-06 12:10:00,9.81,9.81,9.78,9.78,-0.31,468.0,4380.48,-1
2026-08-06,2026-08-06 12:20:00,9.78,9.78,9.76,9.76,-0.2,468.0,4380.48,-1
2026-08-06,2026-08-06 12:30:00,9.76,9.76,9.73,9.73,-0.31,468.0,4380.48,-1
2026-08-06,2026-08-06 12:40:00,9.73,9.73,9.7,9.7,-0.31,468.0,4380.48,-1
2026-08-06,2026-08-06 12:50:00,9.7,9.7,9.68,9.68,-0.21,468.0,4380.48,-1
2026-08-06,2026-08-06 13:00:00,9.68,10.0,9.19,9.65,-0.31,468.0,4380.48,-1
2026-08-06,2026-08-06 13:10:00,9.65,9.65,9.62,9.62,-0.31,468.0,4380.48,-1
2026-08-06,2026-08-06 13:20:00,9.62,9.62,9.59,9.59,-0.31,468.0,4380.48,-1
2026-08-06,2026-08-06 13:30:00,9.59,9.59,9.57,9.57,-0.21,468.0,4380.48,-1
2026-08-06,2026-08-06 13:40:00,9.57,9.57,9.54,9.54,-0.31,468.0,4380.48,-1
2026-08-06,2026-08-06 13:50:00,9.54,9.54,9.51,9.51,-0.31,468.0,4380.48,-1
2026-08-06,2026-08-06 14:00:00,9.51,9.51,9.49,9.49,-0.21,468.0,4380.48,-1
2026-08-06,2026-08-06 14:10:00,9.49,9.49,9.46,9.46,-0.32,468.0,4380.48,-1
2026-08-06,2026-08-06 14:20:00,9.46,9.46,9.43,9.43,-0.32,468.0,4380.48,-1
2026-08-06,2026-08-06 14:30:00,9.43,9.43,9.4,9.4,-0.32,468.0,4380.48,-1
2026-08-06,2026-08-06 14:40:00,9.4,9.4,9.38,9.38,-0.21,468.0,4380.48,-1
2026-08-06,2026-08-06 14:50:00,9.38,9.38,9.35,9.35,-0.32,468.0,4380.48,-1
2026-08-06,2026-08-06 15:00:00,9.35,10.0,9.19,9.35,0.0,468.0,4380.48,0
