published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-05-22,2025-05-22 11:00:00,10.0,10.06,9.72,10.0,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:01:00,10.0,10.0,9.99,9.99,-0.1,1052.9,10640.64,-1
2025-05-22,2025-05-22 11:02:00,9.99,9.99,9.99,9.99,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:03:00,9.99,9.99,9.98,9.98,-0.1,1052.9,10640.64,-1
2025-05-22,2025-05-22 11:04:00,9.98,9.98,9.98,9.98,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:05:00,9.98,9.98,9.98,9.98,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:06:00,9.98,9.98,9.97,9.97,-0.1,1052.9,10640.64,-1
2025-05-22,2025-05-22 11:07:00,9.97,9.97,9.97,9.97,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:08:00,9.97,9.97,9.97,9.97,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:09:00,9.97,9.97,9.96,9.96,-0.1,1052.9,10640.64,-1
2025-05-22,2025-05-22 11:10:00,9.96,9.96,9.96,9.96,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:11:00,9.96,9.96,9.96,9.96,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:12:00,9.96,9.96,9.95,9.95,-0.1,1052.9,10640.64,-1
2025-05-22,2025-05-22 11:13:00,9.95,9.95,9.95,9.95,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:14:00,9.95,9.95,9.94,9.94,-0.1,1052.9,10640.64,-1
2025-05-22,2025-05-22 11:15:00,9.94,9.94,9.94,9.94,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:16:00,9.94,9.94,9.94,9.94,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:17:00,9.94,9.94,9.93,9.93,-0.1,1052.9,10640.64,-1
2025-05-22,2025-05-22 11:18:00,9.93,9.93,9.93,9.93,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:19:00,9.93,9.93,9.93,9.93,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:20:00,9.93,9.93,9.92,9.92,-0.1,1052.9,10640.64,-1
2025-05-22,2025-05-22 11:21:00,9.92,9.92,9.92,9.92,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:22:00,9.92,9.92,9.91,9.91,-0.1,1052.9,10640.64,-1
2025-05-22,2025-05-22 11:23:00,9.91,9.91,9.91,9.91,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:24:00,9.91,9.91,9.91,9.91,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:25:00,9.91,9.91,9.9,9.9,-0.1,1052.9,10640.64,-1
2025-05-22,2025-05-22 11:26:00,9.9,9.9,9.9,9.9,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:27:00,9.9,9.9,9.89,9.89,-0.1,1052.9,10640.64,-1
2025-05-22,2025-05-22 11:28:00,9.89,9.89,9.89,9.89,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:29:00,9.89,9.89,9.89,9.89,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:30:00,9.89,9.89,9.88,9.88,-0.1,1052.9,10640.64,-1
2025-05-22,2025-05-22 11:31:00,9.88,9.88,9.88,9.88,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:32:00,9.88,9.88,9.88,9.88,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:33:00,9.88,9.88,9.87,9.87,-0.1,1052.9,10640.64,-1
2025-05-22,2025-05-22 11:34:00,9.87,9.87,9.87,9.87,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:35:00,9.87,9.87,9.87,9.87,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:36:00,9.87,9.87,9.86,9.86,-0.1,1052.9,10640.64,-1
2025-05-22,2025-05-22 11:37:00,9.86,9.86,9.86,9.86,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:38:00,9.86,9.86,9.85,9.85,-0.1,1052.9,10640.64,-1
2025-05-22,2025-05-22 11:39:00,9.85,9.85,9.85,9.85,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:40:00,9.85,9.85,9.85,9.85,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:41:00,9.85,9.85,9.84,9.84,-0.1,1052.9,10640.64,-1
2025-05-22,2025-05-22 11:42:00,9.84,9.84,9.84,9.84,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:43:00,9.84,9.84,9.83,9.83,-0.1,1052.9,10640.64,-1
2025-05-22,2025-05-22 11:44:00,9.83,9.83,9.83,9.83,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:45:00,9.83,9.83,9.83,9.83,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:46:00,9.83,9.83,9.82,9.82,-0.1,1052.9,10640.64,-1
2025-05-22,2025-05-22 11:47:00,9.82,9.82,9.82,9.82,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:48:00,9.82,9.82,9.82,9.82,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:49:00,9.82,9.82,9.81,9.81,-0.1,1052.9,10640.64,-1
2025-05-22,2025-05-22 11:50:00,9.81,9.81,9.81,9.81,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:51:00,9.81,9.81,9.8,9.8,-0.1,1052.9,10640.64,-1
2025-05-22,2025-05-22 11:52:00,9.8,9.8,9.8,9.8,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:53:00,9.8,9.8,9.8,9.8,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:54:00,9.8,9.8,9.79,9.79,-0.1,1052.9,10640.64,-1
2025-05-22,2025-05-22 11:55:00,9.79,9.79,9.79,9.79,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:56:00,9.79,9.79,9.79,9.79,0.0,1052.9,10640.64,0
2025-05-22,2025-05-22 11:57:00,9.79,9.79,9.78,9.78,-0.1,1052.9,10640.64,-1
