published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-09-25,2023-09-25 11:00:00,222.0,228.66,215.34,222.12,0.05,5567.4,1219347.86,1
2023-09-25,2023-09-25 11:10:00,222.12,222.25,222.12,222.25,0.06,5567.4,1219347.86,1
2023-09-25,2023-09-25 11:20:00,222.25,222.38,222.25,222.38,0.06,5567.4,1219347.86,1
2023-09-25,2023-09-25 11:30:00,222.38,222.5,222.38,222.5,0.05,5567.4,1219347.86,1
2023-09-25,2023-09-25 11:40:00,222.5,222.62,222.5,222.62,0.05,5567.4,1219347.86,1
2023-09-25,2023-09-25 11:50:00,222.62,222.75,222.62,222.75,0.06,5567.4,1219347.86,1
2023-09-25,2023-09-25 12:00:00,222.75,222.88,222.75,222.88,0.06,5567.4,1219347.86,1
2023-09-25,2023-09-25 12:10:00,222.88,223.0,222.88,223.0,0.05,5567.4,1219347.86,1
2023-09-25,2023-09-25 12:20:00,223.0,223.12,223.0,223.12,0.05,5567.4,1219347.86,1
2023-09-25,2023-09-25 12:30:00,223.12,223.25,223.12,223.25,0.06,5567.4,1219347.86,1
2023-09-25,2023-09-25 12:40:00,223.25,223.38,223.25,223.38,0.06,5567.4,1219347.86,1
2023-09-25,2023-09-25 12:50:00,223.38,223.5,223.38,223.5,0.05,5567.4,1219347.86,1
2023-09-25,2023-09-25 13:00:00,223.5,244.2,199.8,223.62,0.05,5567.4,1219347.86,1
2023-09-25,2023-09-25 13:10:00,223.62,223.75,223.62,223.75,0.06,5567.4,1219347.86,1
2023-09-25,2023-09-25 13:20:00,223.75,223.88,223.75,223.88,0.06,5567.4,1219347.86,1
2023-09-25,2023-09-25 13:30:00,223.88,224.0,223.88,224.0,0.05,5567.4,1219347.86,1
2023-09-25,2023-09-25 13:40:00,224.0,224.12,224.0,224.12,0.05,5567.4,1219347.86,1
2023-09-25,2023-09-25 13:50:00,224.12,224.25,224.12,224.25,0.06,5567.4,1219347.86,1
2023-09-25,2023-09-25 14:00:00,224.25,224.38,224.25,224.38,0.06,5567.4,1219347.86,1
2023-09-25,2023-09-25 14:10:00,224.38,224.5,224.38,224.5,0.05,5567.4,1219347.86,1
2023-09-25,2023-09-25 14:20:00,224.5,224.62,224.5,224.62,0.05,5567.4,1219347.86,1
2023-09-25,2023-09-25 14:30:00,224.62,224.75,224.62,224.75,0.06,5567.4,1219347.86,1
2023-09-25,2023-09-25 14:40:00,224.75,224.88,224.75,224.88,0.06,5567.4,1219347.86,1
2023-09-25,2023-09-25 14:50:00,224.88,225.0,224.88,225.0,0.05,5567.4,1219347.86,1
2023-09-25,2023-09-25 15:00:00,225.0,244.2,199.8,225.0,0.0,5567.4,1219347.86,0
2023-09-26,2023-09-26 11:00:00,225.0,231.75,223.65,225.94,0.42,2513.56,580836.28,1
2023-09-26,2023-09-26 11:10:00,225.94,226.88,225.94,226.88,0.42,2513.56,580836.28,1
2023-09-26,2023-09-26 11:20:00,226.88,227.81,226.88,227.81,0.41,2513.56,580836.28,1
2023-09-26,2023-09-26 11:30:00,227.81,228.75,227.81,228.75,0.41,2513.56,580836.28,1
2023-09-26,2023-09-26 11:40:00,228.75,229.69,228.75,229.69,0.41,2513.56,580836.28,1
2023-09-26,2023-09-26 11:50:00,229.69,230.62,229.69,230.62,0.4,2513.56,580836.28,1
2023-09-26,2023-09-26 12:00:00,230.62,231.56,230.62,231.56,0.41,2513.56,580836.28,1
2023-09-26,2023-09-26 12:10:00,231.56,232.5,231.56,232.5,0.41,2513.56,580836.28,1
2023-09-26,2023-09-26 12:20:00,232.5,233.44,232.5,233.44,0.4,2513.56,580836.28,1
2023-09-26,2023-09-26 12:30:00,233.44,234.38,233.44,234.38,0.4,2513.56,580836.28,1
2023-09-26,2023-09-26 12:40:00,234.38,235.31,234.38,235.31,0.4,2513.56,580836.28,1
2023-09-26,2023-09-26 12:50:00,235.31,236.25,235.31,236.25,0.4,2513.56,580836.28,1
2023-09-26,2023-09-26 13:00:00,236.25,247.5,220.5,237.19,0.4,2513.56,580836.28,1
2023-09-26,2023-09-26 13:10:00,237.19,238.12,237.19,238.12,0.39,2513.56,580836.28,1
2023-09-26,2023-09-26 13:20:00,238.12,239.06,238.12,239.06,0.39,2513.56,580836.28,1
2023-09-26,2023-09-26 13:30:00,239.06,240.0,239.06,240.0,0.39,2513.56,580836.28,1
2023-09-26,2023-09-26 13:40:00,240.0,240.94,240.0,240.94,0.39,2513.56,580836.28,1
2023-09-26,2023-09-26 13:50:00,240.94,241.88,240.94,241.88,0.39,2513.56,580836.28,1
2023-09-26,2023-09-26 14:00:00,241.88,242.81,241.88,242.81,0.38,2513.56,580836.28,1
2023-09-26,2023-09-26 14:10:00,242.81,243.75,242.81,243.75,0.39,2513.56,580836.28,1
2023-09-26,2023-09-26 14:20:00,243.75,244.69,243.75,244.69,0.39,2513.56,580836.28,1
2023-09-26,2023-09-26 14:30:00,244.69,245.62,244.69,245.62,0.38,2513.56,580836.28,1
2023-09-26,2023-09-26 14:40:00,245.62,246.56,245.62,246.56,0.38,2513.56,580836.28,1
2023-09-26,2023-09-26 14:50:00,246.56,247.5,246.56,247.5,0.38,2513.56,580836.28,1
2023-09-26,2023-09-26 15:00:00,247.5,247.5,220.5,247.5,0.0,2513.56,580836.28,0
2023-09-27,2023-09-27 11:00:00,252.4,258.34,252.4,253.22,0.32,1851.88,495123.79,1
2023-09-27,2023-09-27 11:10:00,253.22,254.03,253.22,254.03,0.32,1851.88,495123.79,1
2023-09-27,2023-09-27 11:20:00,254.03,254.85,254.03,254.85,0.32,1851.88,495123.79,1
2023-09-27,2023-09-27 11:30:00,254.85,255.67,254.85,255.67,0.32,1851.88,495123.79,1
2023-09-27,2023-09-27 11:40:00,255.67,256.48,255.67,256.48,0.32,1851.88,495123.79,1
2023-09-27,2023-09-27 11:50:00,256.48,257.3,256.48,257.3,0.32,1851.88,495123.79,1
2023-09-27,2023-09-27 12:00:00,257.3,258.12,257.3,258.12,0.32,1851.88,495123.79,1
2023-09-27,2023-09-27 12:10:00,258.12,258.93,258.12,258.93,0.31,1851.88,495123.79,1
2023-09-27,2023-09-27 12:20:00,258.93,259.75,258.93,259.75,0.32,1851.88,495123.79,1
2023-09-27,2023-09-27 12:30:00,259.75,260.57,259.75,260.57,0.32,1851.88,495123.79,1
2023-09-27,2023-09-27 12:40:00,260.57,261.38,260.57,261.38,0.31,1851.88,495123.79,1
2023-09-27,2023-09-27 12:50:00,261.38,262.2,261.38,262.2,0.31,1851.88,495123.79,1
2023-09-27,2023-09-27 13:00:00,262.2,272.2,252.4,263.02,0.31,1851.88,495123.79,1
2023-09-27,2023-09-27 13:10:00,263.02,263.83,263.02,263.83,0.31,1851.88,495123.79,1
2023-09-27,2023-09-27 13:20:00,263.83,264.65,263.83,264.65,0.31,1851.88,495123.79,1
