published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-12-14,2023-12-14 11:00:00,178.8,184.14,178.8,178.87,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:01:00,178.87,178.95,178.87,178.95,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:02:00,178.95,179.02,178.95,179.02,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:03:00,179.02,179.1,179.02,179.1,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:04:00,179.1,179.17,179.1,179.17,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:05:00,179.17,179.25,179.17,179.25,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:06:00,179.25,179.32,179.25,179.32,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:07:00,179.32,179.39,179.32,179.39,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:08:00,179.39,179.47,179.39,179.47,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:09:00,179.47,179.54,179.47,179.54,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:10:00,179.54,179.62,179.54,179.62,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:11:00,179.62,179.69,179.62,179.69,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:12:00,179.69,179.76,179.69,179.76,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:13:00,179.76,179.84,179.76,179.84,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:14:00,179.84,179.91,179.84,179.91,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:15:00,179.91,179.99,179.91,179.99,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:16:00,179.99,180.06,179.99,180.06,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:17:00,180.06,180.14,180.06,180.14,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:18:00,180.14,180.21,180.14,180.21,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:19:00,180.21,180.28,180.21,180.28,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:20:00,180.28,180.36,180.28,180.36,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:21:00,180.36,180.43,180.36,180.43,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:22:00,180.43,180.51,180.43,180.51,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:23:00,180.51,180.58,180.51,180.58,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:24:00,180.58,180.65,180.58,180.65,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:25:00,180.65,180.73,180.65,180.73,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:26:00,180.73,180.8,180.73,180.8,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:27:00,180.8,180.88,180.8,180.88,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:28:00,180.88,180.95,180.88,180.95,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:29:00,180.95,181.03,180.95,181.03,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:30:00,181.03,181.1,181.03,181.1,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:31:00,181.1,181.17,181.1,181.17,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:32:00,181.17,181.25,181.17,181.25,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:33:00,181.25,181.32,181.25,181.32,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:34:00,181.32,181.4,181.32,181.4,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:35:00,181.4,181.47,181.4,181.47,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:36:00,181.47,181.54,181.47,181.54,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:37:00,181.54,181.62,181.54,181.62,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:38:00,181.62,181.69,181.62,181.69,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:39:00,181.69,181.77,181.69,181.77,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:40:00,181.77,181.84,181.77,181.84,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:41:00,181.84,181.92,181.84,181.92,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:42:00,181.92,181.99,181.92,181.99,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:43:00,181.99,182.06,181.99,182.06,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:44:00,182.06,182.14,182.06,182.14,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:45:00,182.14,182.21,182.14,182.21,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:46:00,182.21,182.29,182.21,182.29,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:47:00,182.29,182.36,182.29,182.36,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:48:00,182.36,182.43,182.36,182.43,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:49:00,182.43,182.51,182.43,182.51,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:50:00,182.51,182.58,182.51,182.58,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:51:00,182.58,182.66,182.58,182.66,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:52:00,182.66,182.73,182.66,182.73,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:53:00,182.73,182.81,182.73,182.81,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:54:00,182.81,182.88,182.81,182.88,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:55:00,182.88,182.95,182.88,182.95,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:56:00,182.95,183.03,182.95,183.03,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:57:00,183.03,183.1,183.03,183.1,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:58:00,183.1,183.18,183.1,183.18,0.04,3.9,760.19,1
2023-12-14,2023-12-14 11:59:00,183.18,183.25,183.18,183.25,0.04,3.9,760.19,1
2023-12-14,2023-12-14 12:00:00,183.25,183.32,183.25,183.32,0.04,3.9,760.19,1
2023-12-14,2023-12-14 12:01:00,183.32,183.4,183.32,183.4,0.04,3.9,760.19,1
2023-12-14,2023-12-14 12:02:00,183.4,183.47,183.4,183.47,0.04,3.9,760.19,1
2023-12-14,2023-12-14 12:03:00,183.47,183.55,183.47,183.55,0.04,3.9,760.19,1
