published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-03-22,2023-03-22 11:00:00,265.5,273.45,265.5,266.6,0.41,27.2,7806.26,1
2023-03-22,2023-03-22 11:10:00,266.6,267.71,266.6,267.71,0.42,27.2,7806.26,1
2023-03-22,2023-03-22 11:20:00,267.71,268.81,267.71,268.81,0.41,27.2,7806.26,1
2023-03-22,2023-03-22 11:30:00,268.81,269.92,268.81,269.92,0.41,27.2,7806.26,1
2023-03-22,2023-03-22 11:40:00,269.92,271.02,269.92,271.02,0.41,27.2,7806.26,1
2023-03-22,2023-03-22 11:50:00,271.02,272.12,271.02,272.12,0.41,27.2,7806.26,1
2023-03-22,2023-03-22 12:00:00,272.12,273.23,272.12,273.23,0.41,27.2,7806.26,1
2023-03-22,2023-03-22 12:10:00,273.23,274.33,273.23,274.33,0.4,27.2,7806.26,1
2023-03-22,2023-03-22 12:20:00,274.33,275.44,274.33,275.44,0.4,27.2,7806.26,1
2023-03-22,2023-03-22 12:30:00,275.44,276.54,275.44,276.54,0.4,27.2,7806.26,1
2023-03-22,2023-03-22 12:40:00,276.54,277.65,276.54,277.65,0.4,27.2,7806.26,1
2023-03-22,2023-03-22 12:50:00,277.65,278.75,277.65,278.75,0.4,27.2,7806.26,1
2023-03-22,2023-03-22 13:00:00,278.75,292.0,265.5,279.85,0.39,27.2,7806.26,1
2023-03-22,2023-03-22 13:10:00,279.85,280.96,279.85,280.96,0.4,27.2,7806.26,1
2023-03-22,2023-03-22 13:20:00,280.96,282.06,280.96,282.06,0.39,27.2,7806.26,1
2023-03-22,2023-03-22 13:30:00,282.06,283.17,282.06,283.17,0.39,27.2,7806.26,1
2023-03-22,2023-03-22 13:40:00,283.17,284.27,283.17,284.27,0.39,27.2,7806.26,1
2023-03-22,2023-03-22 13:50:00,284.27,285.38,284.27,285.38,0.39,27.2,7806.26,1
2023-03-22,2023-03-22 14:00:00,285.38,286.48,285.38,286.48,0.39,27.2,7806.26,1
2023-03-22,2023-03-22 14:10:00,286.48,287.58,286.48,287.58,0.38,27.2,7806.26,1
2023-03-22,2023-03-22 14:20:00,287.58,288.69,287.58,288.69,0.39,27.2,7806.26,1
2023-03-22,2023-03-22 14:30:00,288.69,289.79,288.69,289.79,0.38,27.2,7806.26,1
2023-03-22,2023-03-22 14:40:00,289.79,290.9,289.79,290.9,0.38,27.2,7806.26,1
2023-03-22,2023-03-22 14:50:00,290.9,292.0,290.9,292.0,0.38,27.2,7806.26,1
2023-03-22,2023-03-22 15:00:00,292.0,292.0,265.5,292.0,0.0,27.2,7806.26,0
2023-03-23,2023-03-23 11:00:00,297.8,304.82,297.8,298.78,0.33,252.68,81134.8,1
2023-03-23,2023-03-23 11:10:00,298.78,299.75,298.78,299.75,0.32,252.68,81134.8,1
2023-03-23,2023-03-23 11:20:00,299.75,300.73,299.75,300.73,0.33,252.68,81134.8,1
2023-03-23,2023-03-23 11:30:00,300.73,301.7,300.73,301.7,0.32,252.68,81134.8,1
2023-03-23,2023-03-23 11:40:00,301.7,302.68,301.7,302.68,0.32,252.68,81134.8,1
2023-03-23,2023-03-23 11:50:00,302.68,303.65,302.68,303.65,0.32,252.68,81134.8,1
2023-03-23,2023-03-23 12:00:00,303.65,304.62,303.65,304.62,0.32,252.68,81134.8,1
2023-03-23,2023-03-23 12:10:00,304.62,305.6,304.62,305.6,0.32,252.68,81134.8,1
2023-03-23,2023-03-23 12:20:00,305.6,306.57,305.6,306.57,0.32,252.68,81134.8,1
2023-03-23,2023-03-23 12:30:00,306.57,307.55,306.57,307.55,0.32,252.68,81134.8,1
2023-03-23,2023-03-23 12:40:00,307.55,308.52,307.55,308.52,0.32,252.68,81134.8,1
2023-03-23,2023-03-23 12:50:00,308.52,309.5,308.52,309.5,0.32,252.68,81134.8,1
2023-03-23,2023-03-23 13:00:00,309.5,321.2,297.8,310.48,0.32,252.68,81134.8,1
2023-03-23,2023-03-23 13:10:00,310.48,311.45,310.48,311.45,0.31,252.68,81134.8,1
2023-03-23,2023-03-23 13:20:00,311.45,312.43,311.45,312.43,0.31,252.68,81134.8,1
2023-03-23,2023-03-23 13:30:00,312.43,313.4,312.43,313.4,0.31,252.68,81134.8,1
2023-03-23,2023-03-23 13:40:00,313.4,314.38,313.4,314.38,0.31,252.68,81134.8,1
2023-03-23,2023-03-23 13:50:00,314.38,315.35,314.38,315.35,0.31,252.68,81134.8,1
2023-03-23,2023-03-23 14:00:00,315.35,316.32,315.35,316.32,0.31,252.68,81134.8,1
2023-03-23,2023-03-23 14:10:00,316.32,317.3,316.32,317.3,0.31,252.68,81134.8,1
2023-03-23,2023-03-23 14:20:00,317.3,318.27,317.3,318.27,0.31,252.68,81134.8,1
2023-03-23,2023-03-23 14:30:00,318.27,319.25,318.27,319.25,0.31,252.68,81134.8,1
2023-03-23,2023-03-23 14:40:00,319.25,320.22,319.25,320.22,0.3,252.68,81134.8,1
2023-03-23,2023-03-23 14:50:00,320.22,321.2,320.22,321.2,0.31,252.68,81134.8,1
2023-03-23,2023-03-23 15:00:00,321.2,321.2,297.8,321.2,0.0,252.68,81134.8,0
2023-03-26,2023-03-26 11:00:00,327.6,335.31,327.6,328.67,0.33,349.6,123452.44,1
2023-03-26,2023-03-26 11:10:00,328.67,329.74,328.67,329.74,0.33,349.6,123452.44,1
2023-03-26,2023-03-26 11:20:00,329.74,330.81,329.74,330.81,0.32,349.6,123452.44,1
2023-03-26,2023-03-26 11:30:00,330.81,331.88,330.81,331.88,0.32,349.6,123452.44,1
2023-03-26,2023-03-26 11:40:00,331.88,332.95,331.88,332.95,0.32,349.6,123452.44,1
2023-03-26,2023-03-26 11:50:00,332.95,334.03,332.95,334.03,0.32,349.6,123452.44,1
2023-03-26,2023-03-26 12:00:00,334.03,335.1,334.03,335.1,0.32,349.6,123452.44,1
2023-03-26,2023-03-26 12:10:00,335.1,336.17,335.1,336.17,0.32,349.6,123452.44,1
2023-03-26,2023-03-26 12:20:00,336.17,337.24,336.17,337.24,0.32,349.6,123452.44,1
2023-03-26,2023-03-26 12:30:00,337.24,338.31,337.24,338.31,0.32,349.6,123452.44,1
2023-03-26,2023-03-26 12:40:00,338.31,339.38,338.31,339.38,0.32,349.6,123452.44,1
2023-03-26,2023-03-26 12:50:00,339.38,340.45,339.38,340.45,0.32,349.6,123452.44,1
2023-03-26,2023-03-26 13:00:00,340.45,353.3,327.6,341.52,0.31,349.6,123452.44,1
2023-03-26,2023-03-26 13:10:00,341.52,342.59,341.52,342.59,0.31,349.6,123452.44,1
2023-03-26,2023-03-26 13:20:00,342.59,343.66,342.59,343.66,0.31,349.6,123452.44,1
2023-03-26,2023-03-26 13:30:00,343.66,344.73,343.66,344.73,0.31,349.6,123452.44,1
2023-03-26,2023-03-26 13:40:00,344.73,345.8,344.73,345.8,0.31,349.6,123452.44,1
2023-03-26,2023-03-26 13:50:00,345.8,346.88,345.8,346.88,0.31,349.6,123452.44,1
2023-03-26,2023-03-26 14:00:00,346.88,347.95,346.88,347.95,0.31,349.6,123452.44,1
2023-03-26,2023-03-26 14:10:00,347.95,349.02,347.95,349.02,0.31,349.6,123452.44,1
2023-03-26,2023-03-26 14:20:00,349.02,350.09,349.02,350.09,0.31,349.6,123452.44,1
2023-03-26,2023-03-26 14:30:00,350.09,351.16,350.09,351.16,0.31,349.6,123452.44,1
2023-03-26,2023-03-26 14:40:00,351.16,352.23,351.16,352.23,0.3,349.6,123452.44,1
2023-03-26,2023-03-26 14:50:00,352.23,353.3,352.23,353.3,0.3,349.6,123452.44,1
2023-03-26,2023-03-26 15:00:00,353.3,353.3,327.6,353.3,0.0,349.6,123452.44,0
2023-03-27,2023-03-27 11:00:00,360.3,362.46,350.4,359.45,-0.24,3909.08,1316164.08,-1
2023-03-27,2023-03-27 11:10:00,359.45,359.45,358.61,358.61,-0.23,3909.08,1316164.08,-1
2023-03-27,2023-03-27 11:20:00,358.61,358.61,357.76,357.76,-0.24,3909.08,1316164.08,-1
2023-03-27,2023-03-27 11:30:00,357.76,357.76,356.92,356.92,-0.23,3909.08,1316164.08,-1
2023-03-27,2023-03-27 11:40:00,356.92,356.92,356.07,356.07,-0.24,3909.08,1316164.08,-1
2023-03-27,2023-03-27 11:50:00,356.07,356.07,355.23,355.23,-0.24,3909.08,1316164.08,-1
2023-03-27,2023-03-27 12:00:00,355.23,355.23,354.38,354.38,-0.24,3909.08,1316164.08,-1
