published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-11-20,2023-11-20 11:00:00,288.4,291.85,279.76,288.28,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:01:00,288.28,288.28,288.16,288.16,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:02:00,288.16,288.16,288.04,288.04,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:03:00,288.04,288.04,287.92,287.92,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:04:00,287.92,287.92,287.8,287.8,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:05:00,287.8,287.8,287.68,287.68,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:06:00,287.68,287.68,287.56,287.56,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:07:00,287.56,287.56,287.44,287.44,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:08:00,287.44,287.44,287.32,287.32,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:09:00,287.32,287.32,287.2,287.2,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:10:00,287.2,287.2,287.08,287.08,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:11:00,287.08,287.08,286.96,286.96,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:12:00,286.96,286.96,286.84,286.84,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:13:00,286.84,286.84,286.72,286.72,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:14:00,286.72,286.72,286.6,286.6,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:15:00,286.6,286.6,286.48,286.48,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:16:00,286.48,286.48,286.36,286.36,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:17:00,286.36,286.36,286.24,286.24,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:18:00,286.24,286.24,286.12,286.12,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:19:00,286.12,286.12,286.0,286.0,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:20:00,286.0,286.0,285.88,285.88,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:21:00,285.88,285.88,285.76,285.76,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:22:00,285.76,285.76,285.64,285.64,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:23:00,285.64,285.64,285.52,285.52,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:24:00,285.52,285.52,285.4,285.4,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:25:00,285.4,285.4,285.28,285.28,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:26:00,285.28,285.28,285.16,285.16,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:27:00,285.16,285.16,285.04,285.04,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:28:00,285.04,285.04,284.92,284.92,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:29:00,284.92,284.92,284.8,284.8,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:30:00,284.8,284.8,284.68,284.68,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:31:00,284.68,284.68,284.56,284.56,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:32:00,284.56,284.56,284.44,284.44,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:33:00,284.44,284.44,284.32,284.32,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:34:00,284.32,284.32,284.2,284.2,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:35:00,284.2,284.2,284.08,284.08,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:36:00,284.08,284.08,283.96,283.96,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:37:00,283.96,283.96,283.84,283.84,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:38:00,283.84,283.84,283.72,283.72,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:39:00,283.72,283.72,283.6,283.6,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:40:00,283.6,283.6,283.48,283.48,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:41:00,283.48,283.48,283.36,283.36,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:42:00,283.36,283.36,283.24,283.24,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:43:00,283.24,283.24,283.12,283.12,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:44:00,283.12,283.12,283.0,283.0,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:45:00,283.0,283.0,282.88,282.88,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:46:00,282.88,282.88,282.76,282.76,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:47:00,282.76,282.76,282.64,282.64,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:48:00,282.64,282.64,282.52,282.52,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:49:00,282.52,282.52,282.4,282.4,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:50:00,282.4,282.4,282.28,282.28,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:51:00,282.28,282.28,282.16,282.16,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:52:00,282.16,282.16,282.04,282.04,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:53:00,282.04,282.04,281.92,281.92,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:54:00,281.92,281.92,281.8,281.8,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:55:00,281.8,281.8,281.68,281.68,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:56:00,281.68,281.68,281.56,281.56,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:57:00,281.56,281.56,281.44,281.44,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:58:00,281.44,281.44,281.32,281.32,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 11:59:00,281.32,281.32,281.2,281.2,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:00:00,281.2,281.2,281.08,281.08,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:01:00,281.08,281.08,280.96,280.96,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:02:00,280.96,280.96,280.84,280.84,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:03:00,280.84,280.84,280.72,280.72,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:04:00,280.72,280.72,280.6,280.6,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:05:00,280.6,280.6,280.48,280.48,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:06:00,280.48,280.48,280.36,280.36,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:07:00,280.36,280.36,280.24,280.24,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:08:00,280.24,280.24,280.12,280.12,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:09:00,280.12,280.12,280.0,280.0,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:10:00,280.0,280.0,279.88,279.88,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:11:00,279.88,279.88,279.76,279.76,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:12:00,279.76,279.76,279.64,279.64,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:13:00,279.64,279.64,279.52,279.52,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:14:00,279.52,279.52,279.4,279.4,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:15:00,279.4,279.4,279.28,279.28,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:16:00,279.28,279.28,279.16,279.16,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:17:00,279.16,279.16,279.04,279.04,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:18:00,279.04,279.04,278.92,278.92,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:19:00,278.92,278.92,278.8,278.8,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:20:00,278.8,278.8,278.68,278.68,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:21:00,278.68,278.68,278.56,278.56,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:22:00,278.56,278.56,278.44,278.44,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:23:00,278.44,278.44,278.32,278.32,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:24:00,278.32,278.32,278.2,278.2,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:25:00,278.2,278.2,278.08,278.08,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:26:00,278.08,278.08,277.96,277.96,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:27:00,277.96,277.96,277.84,277.84,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:28:00,277.84,277.84,277.72,277.72,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:29:00,277.72,277.72,277.6,277.6,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:30:00,277.6,277.6,277.48,277.48,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:31:00,277.48,277.48,277.36,277.36,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:32:00,277.36,277.36,277.24,277.24,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:33:00,277.24,277.24,277.12,277.12,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:34:00,277.12,277.12,277.0,277.0,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:35:00,277.0,277.0,276.88,276.88,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:36:00,276.88,276.88,276.76,276.76,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:37:00,276.76,276.76,276.64,276.64,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:38:00,276.64,276.64,276.52,276.52,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:39:00,276.52,276.52,276.4,276.4,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:40:00,276.4,276.4,276.28,276.28,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:41:00,276.28,276.28,276.16,276.16,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:42:00,276.16,276.16,276.04,276.04,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:43:00,276.04,276.04,275.92,275.92,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:44:00,275.92,275.92,275.8,275.8,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:45:00,275.8,275.8,275.68,275.68,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:46:00,275.68,275.68,275.56,275.56,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:47:00,275.56,275.56,275.44,275.44,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:48:00,275.44,275.44,275.32,275.32,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:49:00,275.32,275.32,275.2,275.2,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:50:00,275.2,275.2,275.08,275.08,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:51:00,275.08,275.08,274.96,274.96,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:52:00,274.96,274.96,274.84,274.84,-0.04,130.2,34374.88,-1
2023-11-20,2023-11-20 12:53:00,274.84,274.84,274.72,274.72,-0.04,130.2,34374.88,-1
