published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-05-10,2011-05-10 11:00:00,181.0,181.0,175.6,180.25,-0.41,47.6,7776.8,-1
2011-05-10,2011-05-10 11:10:00,180.25,180.25,179.5,179.5,-0.42,47.6,7776.8,-1
2011-05-10,2011-05-10 11:20:00,179.5,179.5,178.75,178.75,-0.42,47.6,7776.8,-1
2011-05-10,2011-05-10 11:30:00,178.75,178.75,178.0,178.0,-0.42,47.6,7776.8,-1
2011-05-10,2011-05-10 11:40:00,178.0,178.0,177.25,177.25,-0.42,47.6,7776.8,-1
2011-05-10,2011-05-10 11:50:00,177.25,177.25,176.5,176.5,-0.42,47.6,7776.8,-1
2011-05-10,2011-05-10 12:00:00,176.5,176.5,175.75,175.75,-0.42,47.6,7776.8,-1
2011-05-10,2011-05-10 12:10:00,175.75,175.75,175.0,175.0,-0.43,47.6,7776.8,-1
2011-05-10,2011-05-10 12:20:00,175.0,175.0,174.25,174.25,-0.43,47.6,7776.8,-1
2011-05-10,2011-05-10 12:30:00,174.25,174.25,173.5,173.5,-0.43,47.6,7776.8,-1
2011-05-10,2011-05-10 12:40:00,173.5,173.5,172.75,172.75,-0.43,47.6,7776.8,-1
2011-05-10,2011-05-10 12:50:00,172.75,172.75,172.0,172.0,-0.43,47.6,7776.8,-1
2011-05-10,2011-05-10 13:00:00,172.0,178.0,163.0,171.25,-0.44,47.6,7776.8,-1
2011-05-10,2011-05-10 13:10:00,171.25,171.25,170.5,170.5,-0.44,47.6,7776.8,-1
2011-05-10,2011-05-10 13:20:00,170.5,170.5,169.75,169.75,-0.44,47.6,7776.8,-1
2011-05-10,2011-05-10 13:30:00,169.75,169.75,169.0,169.0,-0.44,47.6,7776.8,-1
2011-05-10,2011-05-10 13:40:00,169.0,169.0,168.25,168.25,-0.44,47.6,7776.8,-1
2011-05-10,2011-05-10 13:50:00,168.25,168.25,167.5,167.5,-0.45,47.6,7776.8,-1
2011-05-10,2011-05-10 14:00:00,167.5,167.5,166.75,166.75,-0.45,47.6,7776.8,-1
2011-05-10,2011-05-10 14:10:00,166.75,166.75,166.0,166.0,-0.45,47.6,7776.8,-1
2011-05-10,2011-05-10 14:20:00,166.0,166.0,165.25,165.25,-0.45,47.6,7776.8,-1
2011-05-10,2011-05-10 14:30:00,165.25,165.25,164.5,164.5,-0.45,47.6,7776.8,-1
2011-05-10,2011-05-10 14:40:00,164.5,164.5,163.75,163.75,-0.46,47.6,7776.8,-1
2011-05-10,2011-05-10 14:50:00,163.75,163.75,163.0,163.0,-0.46,47.6,7776.8,-1
2011-05-10,2011-05-10 15:00:00,163.0,178.0,163.0,163.0,0.0,47.6,7776.8,0
2011-05-11,2011-05-11 11:00:00,163.0,163.0,158.5,162.38,-0.38,6.0,913.8,-1
2011-05-11,2011-05-11 11:10:00,162.38,162.38,161.75,161.75,-0.39,6.0,913.8,-1
2011-05-11,2011-05-11 11:20:00,161.75,161.75,161.12,161.12,-0.39,6.0,913.8,-1
2011-05-11,2011-05-11 11:30:00,161.12,161.12,160.5,160.5,-0.38,6.0,913.8,-1
2011-05-11,2011-05-11 11:40:00,160.5,160.5,159.88,159.88,-0.39,6.0,913.8,-1
2011-05-11,2011-05-11 11:50:00,159.88,159.88,159.25,159.25,-0.39,6.0,913.8,-1
2011-05-11,2011-05-11 12:00:00,159.25,159.25,158.62,158.62,-0.4,6.0,913.8,-1
2011-05-11,2011-05-11 12:10:00,158.62,158.62,158.0,158.0,-0.39,6.0,913.8,-1
2011-05-11,2011-05-11 12:20:00,158.0,158.0,157.38,157.38,-0.39,6.0,913.8,-1
2011-05-11,2011-05-11 12:30:00,157.38,157.38,156.75,156.75,-0.4,6.0,913.8,-1
2011-05-11,2011-05-11 12:40:00,156.75,156.75,156.12,156.12,-0.4,6.0,913.8,-1
2011-05-11,2011-05-11 12:50:00,156.12,156.12,155.5,155.5,-0.4,6.0,913.8,-1
2011-05-11,2011-05-11 13:00:00,155.5,160.0,148.0,154.88,-0.4,6.0,913.8,-1
2011-05-11,2011-05-11 13:10:00,154.88,154.88,154.25,154.25,-0.41,6.0,913.8,-1
2011-05-11,2011-05-11 13:20:00,154.25,154.25,153.62,153.62,-0.41,6.0,913.8,-1
2011-05-11,2011-05-11 13:30:00,153.62,153.62,153.0,153.0,-0.4,6.0,913.8,-1
2011-05-11,2011-05-11 13:40:00,153.0,153.0,152.38,152.38,-0.41,6.0,913.8,-1
2011-05-11,2011-05-11 13:50:00,152.38,152.38,151.75,151.75,-0.41,6.0,913.8,-1
