published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-22,2021-11-22 11:00:00,10.0,10.02,9.91,9.99,-0.1,4522.8,44746.43,-1
2021-11-22,2021-11-22 11:10:00,9.99,9.99,9.99,9.99,0.0,4522.8,44746.43,0
2021-11-22,2021-11-22 11:20:00,9.99,9.99,9.98,9.98,-0.1,4522.8,44746.43,-1
2021-11-22,2021-11-22 11:30:00,9.98,9.98,9.98,9.98,0.0,4522.8,44746.43,0
2021-11-22,2021-11-22 11:40:00,9.98,9.98,9.97,9.97,-0.1,4522.8,44746.43,-1
2021-11-22,2021-11-22 11:50:00,9.97,9.97,9.97,9.97,0.0,4522.8,44746.43,0
2021-11-22,2021-11-22 12:00:00,9.97,9.97,9.96,9.96,-0.1,4522.8,44746.43,-1
2021-11-22,2021-11-22 12:10:00,9.96,9.96,9.96,9.96,0.0,4522.8,44746.43,0
2021-11-22,2021-11-22 12:20:00,9.96,9.96,9.96,9.96,0.0,4522.8,44746.43,0
2021-11-22,2021-11-22 12:30:00,9.96,9.96,9.95,9.95,-0.1,4522.8,44746.43,-1
2021-11-22,2021-11-22 12:40:00,9.95,9.95,9.95,9.95,0.0,4522.8,44746.43,0
2021-11-22,2021-11-22 12:50:00,9.95,9.95,9.94,9.94,-0.1,4522.8,44746.43,-1
2021-11-22,2021-11-22 13:00:00,9.94,10.08,9.69,9.94,0.0,4522.8,44746.43,0
2021-11-22,2021-11-22 13:10:00,9.94,9.94,9.93,9.93,-0.1,4522.8,44746.43,-1
2021-11-22,2021-11-22 13:20:00,9.93,9.93,9.93,9.93,0.0,4522.8,44746.43,0
2021-11-22,2021-11-22 13:30:00,9.93,9.93,9.92,9.92,-0.1,4522.8,44746.43,-1
2021-11-22,2021-11-22 13:40:00,9.92,9.92,9.92,9.92,0.0,4522.8,44746.43,0
2021-11-22,2021-11-22 13:50:00,9.92,9.92,9.91,9.91,-0.1,4522.8,44746.43,-1
2021-11-22,2021-11-22 14:00:00,9.91,9.91,9.91,9.91,0.0,4522.8,44746.43,0
2021-11-22,2021-11-22 14:10:00,9.91,9.91,9.9,9.9,-0.1,4522.8,44746.43,-1
2021-11-22,2021-11-22 14:20:00,9.9,9.9,9.9,9.9,0.0,4522.8,44746.43,0
2021-11-22,2021-11-22 14:30:00,9.9,9.9,9.89,9.89,-0.1,4522.8,44746.43,-1
2021-11-22,2021-11-22 14:40:00,9.89,9.89,9.89,9.89,0.0,4522.8,44746.43,0
2021-11-22,2021-11-22 14:50:00,9.89,9.89,9.88,9.88,-0.1,4522.8,44746.43,-1
2021-11-22,2021-11-22 15:00:00,9.88,10.08,9.69,9.88,0.0,4522.8,44746.43,0
2021-11-23,2021-11-23 11:00:00,9.69,9.8,9.69,9.71,0.21,2645.16,26471.73,1
2021-11-23,2021-11-23 11:10:00,9.71,9.72,9.71,9.72,0.1,2645.16,26471.73,1
2021-11-23,2021-11-23 11:20:00,9.72,9.73,9.72,9.73,0.1,2645.16,26471.73,1
2021-11-23,2021-11-23 11:30:00,9.73,9.75,9.73,9.75,0.21,2645.16,26471.73,1
2021-11-23,2021-11-23 11:40:00,9.75,9.77,9.75,9.77,0.21,2645.16,26471.73,1
2021-11-23,2021-11-23 11:50:00,9.77,9.78,9.77,9.78,0.1,2645.16,26471.73,1
2021-11-23,2021-11-23 12:00:00,9.78,9.79,9.78,9.79,0.1,2645.16,26471.73,1
