published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-03-28,2022-03-28 11:00:00,747.7,761.38,747.7,749.6,0.25,4.4,3358.52,1
2022-03-28,2022-03-28 11:10:00,749.6,751.5,749.6,751.5,0.25,4.4,3358.52,1
2022-03-28,2022-03-28 11:20:00,751.5,753.4,751.5,753.4,0.25,4.4,3358.52,1
2022-03-28,2022-03-28 11:30:00,753.4,755.3,753.4,755.3,0.25,4.4,3358.52,1
2022-03-28,2022-03-28 11:40:00,755.3,757.2,755.3,757.2,0.25,4.4,3358.52,1
2022-03-28,2022-03-28 11:50:00,757.2,759.1,757.2,759.1,0.25,4.4,3358.52,1
2022-03-28,2022-03-28 12:00:00,759.1,761.0,759.1,761.0,0.25,4.4,3358.52,1
2022-03-28,2022-03-28 12:10:00,761.0,762.9,761.0,762.9,0.25,4.4,3358.52,1
2022-03-28,2022-03-28 12:20:00,762.9,764.8,762.9,764.8,0.25,4.4,3358.52,1
2022-03-28,2022-03-28 12:30:00,764.8,766.7,764.8,766.7,0.25,4.4,3358.52,1
2022-03-28,2022-03-28 12:40:00,766.7,768.6,766.7,768.6,0.25,4.4,3358.52,1
2022-03-28,2022-03-28 12:50:00,768.6,770.5,768.6,770.5,0.25,4.4,3358.52,1
2022-03-28,2022-03-28 13:00:00,770.5,793.3,747.7,772.4,0.25,4.4,3358.52,1
2022-03-28,2022-03-28 13:10:00,772.4,774.3,772.4,774.3,0.25,4.4,3358.52,1
2022-03-28,2022-03-28 13:20:00,774.3,776.2,774.3,776.2,0.25,4.4,3358.52,1
2022-03-28,2022-03-28 13:30:00,776.2,778.1,776.2,778.1,0.24,4.4,3358.52,1
2022-03-28,2022-03-28 13:40:00,778.1,780.0,778.1,780.0,0.24,4.4,3358.52,1
2022-03-28,2022-03-28 13:50:00,780.0,781.9,780.0,781.9,0.24,4.4,3358.52,1
2022-03-28,2022-03-28 14:00:00,781.9,783.8,781.9,783.8,0.24,4.4,3358.52,1
2022-03-28,2022-03-28 14:10:00,783.8,785.7,783.8,785.7,0.24,4.4,3358.52,1
2022-03-28,2022-03-28 14:20:00,785.7,787.6,785.7,787.6,0.24,4.4,3358.52,1
2022-03-28,2022-03-28 14:30:00,787.6,789.5,787.6,789.5,0.24,4.4,3358.52,1
2022-03-28,2022-03-28 14:40:00,789.5,791.4,789.5,791.4,0.24,4.4,3358.52,1
2022-03-28,2022-03-28 14:50:00,791.4,793.3,791.4,793.3,0.24,4.4,3358.52,1
2022-03-28,2022-03-28 15:00:00,793.3,793.3,747.7,793.3,0.0,4.4,3358.52,0
2022-03-29,2022-03-29 11:00:00,809.1,828.15,809.1,811.75,0.33,4.16,3461.6,1
2022-03-29,2022-03-29 11:10:00,811.75,814.39,811.75,814.39,0.33,4.16,3461.6,1
2022-03-29,2022-03-29 11:20:00,814.39,817.04,814.39,817.04,0.33,4.16,3461.6,1
2022-03-29,2022-03-29 11:30:00,817.04,819.68,817.04,819.68,0.32,4.16,3461.6,1
2022-03-29,2022-03-29 11:40:00,819.68,822.33,819.68,822.33,0.32,4.16,3461.6,1
2022-03-29,2022-03-29 11:50:00,822.33,824.98,822.33,824.98,0.32,4.16,3461.6,1
2022-03-29,2022-03-29 12:00:00,824.98,827.62,824.98,827.62,0.32,4.16,3461.6,1
2022-03-29,2022-03-29 12:10:00,827.62,830.27,827.62,830.27,0.32,4.16,3461.6,1
2022-03-29,2022-03-29 12:20:00,830.27,832.91,830.27,832.91,0.32,4.16,3461.6,1
2022-03-29,2022-03-29 12:30:00,832.91,835.56,832.91,835.56,0.32,4.16,3461.6,1
2022-03-29,2022-03-29 12:40:00,835.56,838.2,835.56,838.2,0.32,4.16,3461.6,1
2022-03-29,2022-03-29 12:50:00,838.2,840.85,838.2,840.85,0.32,4.16,3461.6,1
2022-03-29,2022-03-29 13:00:00,840.85,872.6,809.1,843.5,0.32,4.16,3461.6,1
2022-03-29,2022-03-29 13:10:00,843.5,846.14,843.5,846.14,0.31,4.16,3461.6,1
2022-03-29,2022-03-29 13:20:00,846.14,848.79,846.14,848.79,0.31,4.16,3461.6,1
2022-03-29,2022-03-29 13:30:00,848.79,851.43,848.79,851.43,0.31,4.16,3461.6,1
2022-03-29,2022-03-29 13:40:00,851.43,854.08,851.43,854.08,0.31,4.16,3461.6,1
2022-03-29,2022-03-29 13:50:00,854.08,856.73,854.08,856.73,0.31,4.16,3461.6,1
2022-03-29,2022-03-29 14:00:00,856.73,859.37,856.73,859.37,0.31,4.16,3461.6,1
2022-03-29,2022-03-29 14:10:00,859.37,862.02,859.37,862.02,0.31,4.16,3461.6,1
2022-03-29,2022-03-29 14:20:00,862.02,864.66,862.02,864.66,0.31,4.16,3461.6,1
2022-03-29,2022-03-29 14:30:00,864.66,867.31,864.66,867.31,0.31,4.16,3461.6,1
2022-03-29,2022-03-29 14:40:00,867.31,869.95,867.31,869.95,0.3,4.16,3461.6,1
2022-03-29,2022-03-29 14:50:00,869.95,872.6,869.95,872.6,0.3,4.16,3461.6,1
2022-03-29,2022-03-29 15:00:00,872.6,872.6,809.1,872.6,0.0,4.16,3461.6,0
2022-03-30,2022-03-30 11:00:00,890.0,910.94,890.0,892.91,0.33,4.48,4152.36,1
2022-03-30,2022-03-30 11:10:00,892.91,895.82,892.91,895.82,0.33,4.48,4152.36,1
2022-03-30,2022-03-30 11:20:00,895.82,898.73,895.82,898.73,0.32,4.48,4152.36,1
2022-03-30,2022-03-30 11:30:00,898.73,901.63,898.73,901.63,0.32,4.48,4152.36,1
2022-03-30,2022-03-30 11:40:00,901.63,904.54,901.63,904.54,0.32,4.48,4152.36,1
2022-03-30,2022-03-30 11:50:00,904.54,907.45,904.54,907.45,0.32,4.48,4152.36,1
2022-03-30,2022-03-30 12:00:00,907.45,910.36,907.45,910.36,0.32,4.48,4152.36,1
2022-03-30,2022-03-30 12:10:00,910.36,913.27,910.36,913.27,0.32,4.48,4152.36,1
2022-03-30,2022-03-30 12:20:00,913.27,916.17,913.27,916.17,0.32,4.48,4152.36,1
2022-03-30,2022-03-30 12:30:00,916.17,919.08,916.17,919.08,0.32,4.48,4152.36,1
2022-03-30,2022-03-30 12:40:00,919.08,921.99,919.08,921.99,0.32,4.48,4152.36,1
2022-03-30,2022-03-30 12:50:00,921.99,924.9,921.99,924.9,0.32,4.48,4152.36,1
2022-03-30,2022-03-30 13:00:00,924.9,959.8,890.0,927.81,0.31,4.48,4152.36,1
2022-03-30,2022-03-30 13:10:00,927.81,930.72,927.81,930.72,0.31,4.48,4152.36,1
2022-03-30,2022-03-30 13:20:00,930.72,933.62,930.72,933.62,0.31,4.48,4152.36,1
2022-03-30,2022-03-30 13:30:00,933.62,936.53,933.62,936.53,0.31,4.48,4152.36,1
2022-03-30,2022-03-30 13:40:00,936.53,939.44,936.53,939.44,0.31,4.48,4152.36,1
2022-03-30,2022-03-30 13:50:00,939.44,942.35,939.44,942.35,0.31,4.48,4152.36,1
2022-03-30,2022-03-30 14:00:00,942.35,945.26,942.35,945.26,0.31,4.48,4152.36,1
2022-03-30,2022-03-30 14:10:00,945.26,948.17,945.26,948.17,0.31,4.48,4152.36,1
2022-03-30,2022-03-30 14:20:00,948.17,951.07,948.17,951.07,0.31,4.48,4152.36,1
2022-03-30,2022-03-30 14:30:00,951.07,953.98,951.07,953.98,0.31,4.48,4152.36,1
2022-03-30,2022-03-30 14:40:00,953.98,956.89,953.98,956.89,0.31,4.48,4152.36,1
2022-03-30,2022-03-30 14:50:00,956.89,959.8,956.89,959.8,0.3,4.48,4152.36,1
2022-03-30,2022-03-30 15:00:00,959.8,959.8,890.0,959.8,0.0,4.48,4152.36,0
2022-03-31,2022-03-31 11:00:00,978.9,1001.94,978.9,982.1,0.33,3.84,3887.79,1
2022-03-31,2022-03-31 11:10:00,982.1,985.3,982.1,985.3,0.33,3.84,3887.79,1
2022-03-31,2022-03-31 11:20:00,985.3,988.5,985.3,988.5,0.32,3.84,3887.79,1
2022-03-31,2022-03-31 11:30:00,988.5,991.7,988.5,991.7,0.32,3.84,3887.79,1
2022-03-31,2022-03-31 11:40:00,991.7,994.9,991.7,994.9,0.32,3.84,3887.79,1
2022-03-31,2022-03-31 11:50:00,994.9,998.1,994.9,998.1,0.32,3.84,3887.79,1
2022-03-31,2022-03-31 12:00:00,998.1,1001.3,998.1,1001.3,0.32,3.84,3887.79,1
2022-03-31,2022-03-31 12:10:00,1001.3,1004.5,1001.3,1004.5,0.32,3.84,3887.79,1
2022-03-31,2022-03-31 12:20:00,1004.5,1007.7,1004.5,1007.7,0.32,3.84,3887.79,1
2022-03-31,2022-03-31 12:30:00,1007.7,1010.9,1007.7,1010.9,0.32,3.84,3887.79,1
2022-03-31,2022-03-31 12:40:00,1010.9,1014.1,1010.9,1014.1,0.32,3.84,3887.79,1
2022-03-31,2022-03-31 12:50:00,1014.1,1017.3,1014.1,1017.3,0.32,3.84,3887.79,1
2022-03-31,2022-03-31 13:00:00,1017.3,1055.7,978.9,1020.5,0.31,3.84,3887.79,1
2022-03-31,2022-03-31 13:10:00,1020.5,1023.7,1020.5,1023.7,0.31,3.84,3887.79,1
2022-03-31,2022-03-31 13:20:00,1023.7,1026.9,1023.7,1026.9,0.31,3.84,3887.79,1
2022-03-31,2022-03-31 13:30:00,1026.9,1030.1,1026.9,1030.1,0.31,3.84,3887.79,1
2022-03-31,2022-03-31 13:40:00,1030.1,1033.3,1030.1,1033.3,0.31,3.84,3887.79,1
2022-03-31,2022-03-31 13:50:00,1033.3,1036.5,1033.3,1036.5,0.31,3.84,3887.79,1
2022-03-31,2022-03-31 14:00:00,1036.5,1039.7,1036.5,1039.7,0.31,3.84,3887.79,1
2022-03-31,2022-03-31 14:10:00,1039.7,1042.9,1039.7,1042.9,0.31,3.84,3887.79,1
2022-03-31,2022-03-31 14:20:00,1042.9,1046.1,1042.9,1046.1,0.31,3.84,3887.79,1
2022-03-31,2022-03-31 14:30:00,1046.1,1049.3,1046.1,1049.3,0.31,3.84,3887.79,1
2022-03-31,2022-03-31 14:40:00,1049.3,1052.5,1049.3,1052.5,0.3,3.84,3887.79,1
2022-03-31,2022-03-31 14:50:00,1052.5,1055.7,1052.5,1055.7,0.3,3.84,3887.79,1
2022-03-31,2022-03-31 15:00:00,1055.7,1055.7,978.9,1055.7,0.0,3.84,3887.79,0
2022-04-03,2022-04-03 11:00:00,1047.7,1081.75,1047.7,1052.43,0.45,5.92,6597.16,1
2022-04-03,2022-04-03 11:10:00,1052.43,1057.16,1052.43,1057.16,0.45,5.92,6597.16,1
2022-04-03,2022-04-03 11:20:00,1057.16,1061.89,1057.16,1061.89,0.45,5.92,6597.16,1
2022-04-03,2022-04-03 11:30:00,1061.89,1066.62,1061.89,1066.62,0.45,5.92,6597.16,1
2022-04-03,2022-04-03 11:40:00,1066.62,1071.35,1066.62,1071.35,0.44,5.92,6597.16,1
2022-04-03,2022-04-03 11:50:00,1071.35,1076.08,1071.35,1076.08,0.44,5.92,6597.16,1
2022-04-03,2022-04-03 12:00:00,1076.08,1080.8,1076.08,1080.8,0.44,5.92,6597.16,1
2022-04-03,2022-04-03 12:10:00,1080.8,1085.53,1080.8,1085.53,0.44,5.92,6597.16,1
2022-04-03,2022-04-03 12:20:00,1085.53,1090.26,1085.53,1090.26,0.44,5.92,6597.16,1
2022-04-03,2022-04-03 12:30:00,1090.26,1094.99,1090.26,1094.99,0.43,5.92,6597.16,1
2022-04-03,2022-04-03 12:40:00,1094.99,1099.72,1094.99,1099.72,0.43,5.92,6597.16,1
2022-04-03,2022-04-03 12:50:00,1099.72,1104.45,1099.72,1104.45,0.43,5.92,6597.16,1
2022-04-03,2022-04-03 13:00:00,1104.45,1161.2,1047.7,1109.18,0.43,5.92,6597.16,1
2022-04-03,2022-04-03 13:10:00,1109.18,1113.91,1109.18,1113.91,0.43,5.92,6597.16,1
2022-04-03,2022-04-03 13:20:00,1113.91,1118.64,1113.91,1118.64,0.42,5.92,6597.16,1
2022-04-03,2022-04-03 13:30:00,1118.64,1123.37,1118.64,1123.37,0.42,5.92,6597.16,1
2022-04-03,2022-04-03 13:40:00,1123.37,1128.1,1123.37,1128.1,0.42,5.92,6597.16,1
2022-04-03,2022-04-03 13:50:00,1128.1,1132.83,1128.1,1132.83,0.42,5.92,6597.16,1
2022-04-03,2022-04-03 14:00:00,1132.83,1137.55,1132.83,1137.55,0.42,5.92,6597.16,1
2022-04-03,2022-04-03 14:10:00,1137.55,1142.28,1137.55,1142.28,0.42,5.92,6597.16,1
2022-04-03,2022-04-03 14:20:00,1142.28,1147.01,1142.28,1147.01,0.41,5.92,6597.16,1
2022-04-03,2022-04-03 14:30:00,1147.01,1151.74,1147.01,1151.74,0.41,5.92,6597.16,1
2022-04-03,2022-04-03 14:40:00,1151.74,1156.47,1151.74,1156.47,0.41,5.92,6597.16,1
2022-04-03,2022-04-03 14:50:00,1156.47,1161.2,1156.47,1161.2,0.41,5.92,6597.16,1
2022-04-03,2022-04-03 15:00:00,1161.2,1161.2,1047.7,1161.2,0.0,5.92,6597.16,0
2022-04-04,2022-04-04 11:00:00,1160.7,1195.68,1160.7,1165.56,0.42,5.84,7232.1,1
2022-04-04,2022-04-04 11:10:00,1165.56,1170.42,1165.56,1170.42,0.42,5.84,7232.1,1
2022-04-04,2022-04-04 11:20:00,1170.42,1175.28,1170.42,1175.28,0.42,5.84,7232.1,1
2022-04-04,2022-04-04 11:30:00,1175.28,1180.13,1175.28,1180.13,0.41,5.84,7232.1,1
2022-04-04,2022-04-04 11:40:00,1180.13,1184.99,1180.13,1184.99,0.41,5.84,7232.1,1
2022-04-04,2022-04-04 11:50:00,1184.99,1189.85,1184.99,1189.85,0.41,5.84,7232.1,1
2022-04-04,2022-04-04 12:00:00,1189.85,1194.71,1189.85,1194.71,0.41,5.84,7232.1,1
2022-04-04,2022-04-04 12:10:00,1194.71,1199.57,1194.71,1199.57,0.41,5.84,7232.1,1
2022-04-04,2022-04-04 12:20:00,1199.57,1204.42,1199.57,1204.42,0.4,5.84,7232.1,1
2022-04-04,2022-04-04 12:30:00,1204.42,1209.28,1204.42,1209.28,0.4,5.84,7232.1,1
2022-04-04,2022-04-04 12:40:00,1209.28,1214.14,1209.28,1214.14,0.4,5.84,7232.1,1
2022-04-04,2022-04-04 12:50:00,1214.14,1219.0,1214.14,1219.0,0.4,5.84,7232.1,1
2022-04-04,2022-04-04 13:00:00,1219.0,1277.3,1160.7,1223.86,0.4,5.84,7232.1,1
2022-04-04,2022-04-04 13:10:00,1223.86,1228.72,1223.86,1228.72,0.4,5.84,7232.1,1
2022-04-04,2022-04-04 13:20:00,1228.72,1233.58,1228.72,1233.58,0.4,5.84,7232.1,1
2022-04-04,2022-04-04 13:30:00,1233.58,1238.43,1233.58,1238.43,0.39,5.84,7232.1,1
2022-04-04,2022-04-04 13:40:00,1238.43,1243.29,1238.43,1243.29,0.39,5.84,7232.1,1
2022-04-04,2022-04-04 13:50:00,1243.29,1248.15,1243.29,1248.15,0.39,5.84,7232.1,1
2022-04-04,2022-04-04 14:00:00,1248.15,1253.01,1248.15,1253.01,0.39,5.84,7232.1,1
2022-04-04,2022-04-04 14:10:00,1253.01,1257.87,1253.01,1257.87,0.39,5.84,7232.1,1
2022-04-04,2022-04-04 14:20:00,1257.87,1262.72,1257.87,1262.72,0.39,5.84,7232.1,1
2022-04-04,2022-04-04 14:30:00,1262.72,1267.58,1262.72,1267.58,0.38,5.84,7232.1,1
2022-04-04,2022-04-04 14:40:00,1267.58,1272.44,1267.58,1272.44,0.38,5.84,7232.1,1
2022-04-04,2022-04-04 14:50:00,1272.44,1277.3,1272.44,1277.3,0.38,5.84,7232.1,1
2022-04-04,2022-04-04 15:00:00,1277.3,1277.3,1160.7,1277.3,0.0,5.84,7232.1,0
2022-04-05,2022-04-05 11:00:00,1277.3,1315.61,1277.3,1282.62,0.42,5.8,7838.34,1
2022-04-05,2022-04-05 11:10:00,1282.62,1287.94,1282.62,1287.94,0.41,5.8,7838.34,1
2022-04-05,2022-04-05 11:20:00,1287.94,1293.26,1287.94,1293.26,0.41,5.8,7838.34,1
2022-04-05,2022-04-05 11:30:00,1293.26,1298.58,1293.26,1298.58,0.41,5.8,7838.34,1
2022-04-05,2022-04-05 11:40:00,1298.58,1303.9,1298.58,1303.9,0.41,5.8,7838.34,1
2022-04-05,2022-04-05 11:50:00,1303.9,1309.22,1303.9,1309.22,0.41,5.8,7838.34,1
2022-04-05,2022-04-05 12:00:00,1309.22,1314.55,1309.22,1314.55,0.41,5.8,7838.34,1
2022-04-05,2022-04-05 12:10:00,1314.55,1319.87,1314.55,1319.87,0.4,5.8,7838.34,1
2022-04-05,2022-04-05 12:20:00,1319.87,1325.19,1319.87,1325.19,0.4,5.8,7838.34,1
2022-04-05,2022-04-05 12:30:00,1325.19,1330.51,1325.19,1330.51,0.4,5.8,7838.34,1
2022-04-05,2022-04-05 12:40:00,1330.51,1335.83,1330.51,1335.83,0.4,5.8,7838.34,1
2022-04-05,2022-04-05 12:50:00,1335.83,1341.15,1335.83,1341.15,0.4,5.8,7838.34,1
2022-04-05,2022-04-05 13:00:00,1341.15,1405.0,1277.3,1346.47,0.4,5.8,7838.34,1
2022-04-05,2022-04-05 13:10:00,1346.47,1351.79,1346.47,1351.79,0.4,5.8,7838.34,1
2022-04-05,2022-04-05 13:20:00,1351.79,1357.11,1351.79,1357.11,0.39,5.8,7838.34,1
2022-04-05,2022-04-05 13:30:00,1357.11,1362.43,1357.11,1362.43,0.39,5.8,7838.34,1
2022-04-05,2022-04-05 13:40:00,1362.43,1367.75,1362.43,1367.75,0.39,5.8,7838.34,1
2022-04-05,2022-04-05 13:50:00,1367.75,1373.08,1367.75,1373.08,0.39,5.8,7838.34,1
2022-04-05,2022-04-05 14:00:00,1373.08,1378.4,1373.08,1378.4,0.39,5.8,7838.34,1
2022-04-05,2022-04-05 14:10:00,1378.4,1383.72,1378.4,1383.72,0.39,5.8,7838.34,1
2022-04-05,2022-04-05 14:20:00,1383.72,1389.04,1383.72,1389.04,0.38,5.8,7838.34,1
2022-04-05,2022-04-05 14:30:00,1389.04,1394.36,1389.04,1394.36,0.38,5.8,7838.34,1
2022-04-05,2022-04-05 14:40:00,1394.36,1399.68,1394.36,1399.68,0.38,5.8,7838.34,1
2022-04-05,2022-04-05 14:50:00,1399.68,1405.0,1399.68,1405.0,0.38,5.8,7838.34,1
2022-04-05,2022-04-05 15:00:00,1405.0,1405.0,1277.3,1405.0,0.0,5.8,7838.34,0
2022-04-06,2022-04-06 11:00:00,1400.7,1444.14,1400.7,1406.73,0.43,8.16,12374.26,1
2022-04-06,2022-04-06 11:10:00,1406.73,1412.77,1406.73,1412.77,0.43,8.16,12374.26,1
2022-04-06,2022-04-06 11:20:00,1412.77,1418.8,1412.77,1418.8,0.43,8.16,12374.26,1
2022-04-06,2022-04-06 11:30:00,1418.8,1424.83,1418.8,1424.83,0.43,8.16,12374.26,1
2022-04-06,2022-04-06 11:40:00,1424.83,1430.87,1424.83,1430.87,0.42,8.16,12374.26,1
2022-04-06,2022-04-06 11:50:00,1430.87,1436.9,1430.87,1436.9,0.42,8.16,12374.26,1
2022-04-06,2022-04-06 12:00:00,1436.9,1442.93,1436.9,1442.93,0.42,8.16,12374.26,1
2022-04-06,2022-04-06 12:10:00,1442.93,1448.97,1442.93,1448.97,0.42,8.16,12374.26,1
2022-04-06,2022-04-06 12:20:00,1448.97,1455.0,1448.97,1455.0,0.42,8.16,12374.26,1
2022-04-06,2022-04-06 12:30:00,1455.0,1461.03,1455.0,1461.03,0.41,8.16,12374.26,1
2022-04-06,2022-04-06 12:40:00,1461.03,1467.07,1461.03,1467.07,0.41,8.16,12374.26,1
2022-04-06,2022-04-06 12:50:00,1467.07,1473.1,1467.07,1473.1,0.41,8.16,12374.26,1
2022-04-06,2022-04-06 13:00:00,1473.1,1545.5,1400.7,1479.13,0.41,8.16,12374.26,1
2022-04-06,2022-04-06 13:10:00,1479.13,1485.17,1479.13,1485.17,0.41,8.16,12374.26,1
2022-04-06,2022-04-06 13:20:00,1485.17,1491.2,1485.17,1491.2,0.41,8.16,12374.26,1
2022-04-06,2022-04-06 13:30:00,1491.2,1497.23,1491.2,1497.23,0.4,8.16,12374.26,1
2022-04-06,2022-04-06 13:40:00,1497.23,1503.27,1497.23,1503.27,0.4,8.16,12374.26,1
2022-04-06,2022-04-06 13:50:00,1503.27,1509.3,1503.27,1509.3,0.4,8.16,12374.26,1
2022-04-06,2022-04-06 14:00:00,1509.3,1515.33,1509.3,1515.33,0.4,8.16,12374.26,1
2022-04-06,2022-04-06 14:10:00,1515.33,1521.37,1515.33,1521.37,0.4,8.16,12374.26,1
2022-04-06,2022-04-06 14:20:00,1521.37,1527.4,1521.37,1527.4,0.4,8.16,12374.26,1
2022-04-06,2022-04-06 14:30:00,1527.4,1533.43,1527.4,1533.43,0.39,8.16,12374.26,1
2022-04-06,2022-04-06 14:40:00,1533.43,1539.47,1533.43,1539.47,0.39,8.16,12374.26,1
2022-04-06,2022-04-06 14:50:00,1539.47,1545.5,1539.47,1545.5,0.39,8.16,12374.26,1
2022-04-06,2022-04-06 15:00:00,1545.5,1545.5,1400.7,1545.5,0.0,8.16,12374.26,0
2022-04-07,2022-04-07 11:00:00,1545.5,1591.85,1545.5,1551.94,0.42,14.12,23619.38,1
2022-04-07,2022-04-07 11:10:00,1551.94,1558.38,1551.94,1558.38,0.41,14.12,23619.38,1
2022-04-07,2022-04-07 11:20:00,1558.38,1564.81,1558.38,1564.81,0.41,14.12,23619.38,1
2022-04-07,2022-04-07 11:30:00,1564.81,1571.25,1564.81,1571.25,0.41,14.12,23619.38,1
2022-04-07,2022-04-07 11:40:00,1571.25,1577.69,1571.25,1577.69,0.41,14.12,23619.38,1
2022-04-07,2022-04-07 11:50:00,1577.69,1584.12,1577.69,1584.12,0.41,14.12,23619.38,1
2022-04-07,2022-04-07 12:00:00,1584.12,1590.56,1584.12,1590.56,0.41,14.12,23619.38,1
2022-04-07,2022-04-07 12:10:00,1590.56,1597.0,1590.56,1597.0,0.4,14.12,23619.38,1
2022-04-07,2022-04-07 12:20:00,1597.0,1603.44,1597.0,1603.44,0.4,14.12,23619.38,1
2022-04-07,2022-04-07 12:30:00,1603.44,1609.88,1603.44,1609.88,0.4,14.12,23619.38,1
2022-04-07,2022-04-07 12:40:00,1609.88,1616.31,1609.88,1616.31,0.4,14.12,23619.38,1
2022-04-07,2022-04-07 12:50:00,1616.31,1622.75,1616.31,1622.75,0.4,14.12,23619.38,1
2022-04-07,2022-04-07 13:00:00,1622.75,1700.0,1545.5,1629.19,0.4,14.12,23619.38,1
2022-04-07,2022-04-07 13:10:00,1629.19,1635.62,1629.19,1635.62,0.39,14.12,23619.38,1
2022-04-07,2022-04-07 13:20:00,1635.62,1642.06,1635.62,1642.06,0.39,14.12,23619.38,1
2022-04-07,2022-04-07 13:30:00,1642.06,1648.5,1642.06,1648.5,0.39,14.12,23619.38,1
2022-04-07,2022-04-07 13:40:00,1648.5,1654.94,1648.5,1654.94,0.39,14.12,23619.38,1
2022-04-07,2022-04-07 13:50:00,1654.94,1661.38,1654.94,1661.38,0.39,14.12,23619.38,1
2022-04-07,2022-04-07 14:00:00,1661.38,1667.81,1661.38,1667.81,0.39,14.12,23619.38,1
2022-04-07,2022-04-07 14:10:00,1667.81,1674.25,1667.81,1674.25,0.39,14.12,23619.38,1
2022-04-07,2022-04-07 14:20:00,1674.25,1680.69,1674.25,1680.69,0.38,14.12,23619.38,1
2022-04-07,2022-04-07 14:30:00,1680.69,1687.12,1680.69,1687.12,0.38,14.12,23619.38,1
2022-04-07,2022-04-07 14:40:00,1687.12,1693.56,1687.12,1693.56,0.38,14.12,23619.38,1
2022-04-07,2022-04-07 14:50:00,1693.56,1700.0,1693.56,1700.0,0.38,14.12,23619.38,1
2022-04-07,2022-04-07 15:00:00,1700.0,1700.0,1545.5,1700.0,0.0,14.12,23619.38,0
2022-04-11,2022-04-11 11:00:00,1734.0,1774.8,1734.0,1739.67,0.33,18.84,35042.8,1
2022-04-11,2022-04-11 11:10:00,1739.67,1745.33,1739.67,1745.33,0.33,18.84,35042.8,1
2022-04-11,2022-04-11 11:20:00,1745.33,1751.0,1745.33,1751.0,0.32,18.84,35042.8,1
2022-04-11,2022-04-11 11:30:00,1751.0,1756.67,1751.0,1756.67,0.32,18.84,35042.8,1
2022-04-11,2022-04-11 11:40:00,1756.67,1762.33,1756.67,1762.33,0.32,18.84,35042.8,1
2022-04-11,2022-04-11 11:50:00,1762.33,1768.0,1762.33,1768.0,0.32,18.84,35042.8,1
2022-04-11,2022-04-11 12:00:00,1768.0,1773.67,1768.0,1773.67,0.32,18.84,35042.8,1
2022-04-11,2022-04-11 12:10:00,1773.67,1779.33,1773.67,1779.33,0.32,18.84,35042.8,1
2022-04-11,2022-04-11 12:20:00,1779.33,1785.0,1779.33,1785.0,0.32,18.84,35042.8,1
2022-04-11,2022-04-11 12:30:00,1785.0,1790.67,1785.0,1790.67,0.32,18.84,35042.8,1
2022-04-11,2022-04-11 12:40:00,1790.67,1796.33,1790.67,1796.33,0.32,18.84,35042.8,1
2022-04-11,2022-04-11 12:50:00,1796.33,1802.0,1796.33,1802.0,0.32,18.84,35042.8,1
2022-04-11,2022-04-11 13:00:00,1802.0,1870.0,1734.0,1807.67,0.31,18.84,35042.8,1
2022-04-11,2022-04-11 13:10:00,1807.67,1813.33,1807.67,1813.33,0.31,18.84,35042.8,1
2022-04-11,2022-04-11 13:20:00,1813.33,1819.0,1813.33,1819.0,0.31,18.84,35042.8,1
2022-04-11,2022-04-11 13:30:00,1819.0,1824.67,1819.0,1824.67,0.31,18.84,35042.8,1
2022-04-11,2022-04-11 13:40:00,1824.67,1830.33,1824.67,1830.33,0.31,18.84,35042.8,1
2022-04-11,2022-04-11 13:50:00,1830.33,1836.0,1830.33,1836.0,0.31,18.84,35042.8,1
2022-04-11,2022-04-11 14:00:00,1836.0,1841.67,1836.0,1841.67,0.31,18.84,35042.8,1
2022-04-11,2022-04-11 14:10:00,1841.67,1847.33,1841.67,1847.33,0.31,18.84,35042.8,1
2022-04-11,2022-04-11 14:20:00,1847.33,1853.0,1847.33,1853.0,0.31,18.84,35042.8,1
2022-04-11,2022-04-11 14:30:00,1853.0,1858.67,1853.0,1858.67,0.31,18.84,35042.8,1
2022-04-11,2022-04-11 14:40:00,1858.67,1864.33,1858.67,1864.33,0.3,18.84,35042.8,1
2022-04-11,2022-04-11 14:50:00,1864.33,1870.0,1864.33,1870.0,0.3,18.84,35042.8,1
2022-04-11,2022-04-11 15:00:00,1870.0,1870.0,1734.0,1870.0,0.0,18.84,35042.8,0
2022-04-12,2022-04-12 11:00:00,1849.7,1911.89,1849.7,1858.34,0.47,28.96,59122.76,1
2022-04-12,2022-04-12 11:10:00,1858.34,1866.98,1858.34,1866.98,0.46,28.96,59122.76,1
2022-04-12,2022-04-12 11:20:00,1866.98,1875.61,1866.98,1875.61,0.46,28.96,59122.76,1
2022-04-12,2022-04-12 11:30:00,1875.61,1884.25,1875.61,1884.25,0.46,28.96,59122.76,1
2022-04-12,2022-04-12 11:40:00,1884.25,1892.89,1884.25,1892.89,0.46,28.96,59122.76,1
2022-04-12,2022-04-12 11:50:00,1892.89,1901.53,1892.89,1901.53,0.46,28.96,59122.76,1
2022-04-12,2022-04-12 12:00:00,1901.53,1910.16,1901.53,1910.16,0.45,28.96,59122.76,1
2022-04-12,2022-04-12 12:10:00,1910.16,1918.8,1910.16,1918.8,0.45,28.96,59122.76,1
