published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2018-01-01,2018-01-01 11:00:00,211.0,212.8,211.0,211.25,0.12,3.2,686.0,1
2018-01-01,2018-01-01 11:10:00,211.25,211.5,211.25,211.5,0.12,3.2,686.0,1
2018-01-01,2018-01-01 11:20:00,211.5,211.75,211.5,211.75,0.12,3.2,686.0,1
2018-01-01,2018-01-01 11:30:00,211.75,212.0,211.75,212.0,0.12,3.2,686.0,1
2018-01-01,2018-01-01 11:40:00,212.0,212.25,212.0,212.25,0.12,3.2,686.0,1
2018-01-01,2018-01-01 11:50:00,212.25,212.5,212.25,212.5,0.12,3.2,686.0,1
2018-01-01,2018-01-01 12:00:00,212.5,212.75,212.5,212.75,0.12,3.2,686.0,1
2018-01-01,2018-01-01 12:10:00,212.75,213.0,212.75,213.0,0.12,3.2,686.0,1
2018-01-01,2018-01-01 12:20:00,213.0,213.25,213.0,213.25,0.12,3.2,686.0,1
2018-01-01,2018-01-01 12:30:00,213.25,213.5,213.25,213.5,0.12,3.2,686.0,1
2018-01-01,2018-01-01 12:40:00,213.5,213.75,213.5,213.75,0.12,3.2,686.0,1
2018-01-01,2018-01-01 12:50:00,213.75,214.0,213.75,214.0,0.12,3.2,686.0,1
2018-01-01,2018-01-01 13:00:00,214.0,217.0,211.0,214.25,0.12,3.2,686.0,1
2018-01-01,2018-01-01 13:10:00,214.25,214.5,214.25,214.5,0.12,3.2,686.0,1
2018-01-01,2018-01-01 13:20:00,214.5,214.75,214.5,214.75,0.12,3.2,686.0,1
2018-01-01,2018-01-01 13:30:00,214.75,215.0,214.75,215.0,0.12,3.2,686.0,1
2018-01-01,2018-01-01 13:40:00,215.0,215.25,215.0,215.25,0.12,3.2,686.0,1
2018-01-01,2018-01-01 13:50:00,215.25,215.5,215.25,215.5,0.12,3.2,686.0,1
2018-01-01,2018-01-01 14:00:00,215.5,215.75,215.5,215.75,0.12,3.2,686.0,1
2018-01-01,2018-01-01 14:10:00,215.75,216.0,215.75,216.0,0.12,3.2,686.0,1
2018-01-01,2018-01-01 14:20:00,216.0,216.25,216.0,216.25,0.12,3.2,686.0,1
2018-01-01,2018-01-01 14:30:00,216.25,216.5,216.25,216.5,0.12,3.2,686.0,1
2018-01-01,2018-01-01 14:40:00,216.5,216.75,216.5,216.75,0.12,3.2,686.0,1
2018-01-01,2018-01-01 14:50:00,216.75,217.0,216.75,217.0,0.12,3.2,686.0,1
2018-01-01,2018-01-01 15:00:00,217.0,217.0,211.0,217.0,0.0,3.2,686.0,0
2018-01-02,2018-01-02 11:00:00,217.0,218.2,215.8,217.04,0.02,5.2,1136.0,1
2018-01-02,2018-01-02 11:10:00,217.04,217.08,217.04,217.08,0.02,5.2,1136.0,1
