published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-06-03,2024-06-03 11:00:00,10.0,10.0,9.7,9.96,-0.4,199.2,1860.28,-1
2024-06-03,2024-06-03 11:10:00,9.96,9.96,9.92,9.92,-0.4,199.2,1860.28,-1
2024-06-03,2024-06-03 11:20:00,9.92,9.92,9.88,9.88,-0.4,199.2,1860.28,-1
2024-06-03,2024-06-03 11:30:00,9.88,9.88,9.83,9.83,-0.51,199.2,1860.28,-1
2024-06-03,2024-06-03 11:40:00,9.83,9.83,9.79,9.79,-0.41,199.2,1860.28,-1
2024-06-03,2024-06-03 11:50:00,9.79,9.79,9.75,9.75,-0.41,199.2,1860.28,-1
2024-06-03,2024-06-03 12:00:00,9.75,9.75,9.71,9.71,-0.41,199.2,1860.28,-1
2024-06-03,2024-06-03 12:10:00,9.71,9.71,9.67,9.67,-0.41,199.2,1860.28,-1
2024-06-03,2024-06-03 12:20:00,9.67,9.67,9.62,9.62,-0.52,199.2,1860.28,-1
2024-06-03,2024-06-03 12:30:00,9.62,9.62,9.58,9.58,-0.42,199.2,1860.28,-1
2024-06-03,2024-06-03 12:40:00,9.58,9.58,9.54,9.54,-0.42,199.2,1860.28,-1
2024-06-03,2024-06-03 12:50:00,9.54,9.54,9.5,9.5,-0.42,199.2,1860.28,-1
2024-06-03,2024-06-03 13:00:00,9.5,10.0,9.0,9.46,-0.42,199.2,1860.28,-1
2024-06-03,2024-06-03 13:10:00,9.46,9.46,9.42,9.42,-0.42,199.2,1860.28,-1
2024-06-03,2024-06-03 13:20:00,9.42,9.42,9.38,9.38,-0.42,199.2,1860.28,-1
2024-06-03,2024-06-03 13:30:00,9.38,9.38,9.33,9.33,-0.53,199.2,1860.28,-1
2024-06-03,2024-06-03 13:40:00,9.33,9.33,9.29,9.29,-0.43,199.2,1860.28,-1
2024-06-03,2024-06-03 13:50:00,9.29,9.29,9.25,9.25,-0.43,199.2,1860.28,-1
2024-06-03,2024-06-03 14:00:00,9.25,9.25,9.21,9.21,-0.43,199.2,1860.28,-1
2024-06-03,2024-06-03 14:10:00,9.21,9.21,9.17,9.17,-0.43,199.2,1860.28,-1
2024-06-03,2024-06-03 14:20:00,9.17,9.17,9.12,9.12,-0.55,199.2,1860.28,-1
2024-06-03,2024-06-03 14:30:00,9.12,9.12,9.08,9.08,-0.44,199.2,1860.28,-1
2024-06-03,2024-06-03 14:40:00,9.08,9.08,9.04,9.04,-0.44,199.2,1860.28,-1
2024-06-03,2024-06-03 14:50:00,9.04,9.04,9.0,9.0,-0.44,199.2,1860.28,-1
2024-06-03,2024-06-03 15:00:00,9.0,10.0,9.0,9.0,0.0,199.2,1860.28,0
2024-06-04,2024-06-04 11:00:00,8.82,8.82,8.78,8.82,0.0,659.6,5757.78,0
2024-06-04,2024-06-04 11:10:00,8.82,8.82,8.82,8.82,0.0,659.6,5757.78,0
